time,open,high,low,close,volume
1642435200000,0.27035,0.27133,0.26756,0.27005,1352836.8
1642449600000,0.27013,0.27077,0.26553,0.26997,1173840.5
1642464000000,0.26969,0.27189,0.26452,0.26538,945758.4
1642478400000,0.26532,0.26774,0.26334,0.26494,897621.8
1642492800000,0.26459,0.26482,0.25601,0.26042,1179641.2
1642507200000,0.26021,0.26061,0.25418,0.25801,1463495.0
1642521600000,0.25798,0.26441,0.25768,0.26408,1065390.6
1642536000000,0.26424,0.26903,0.26283,0.26548,1330386.8
1642550400000,0.26567,0.26611,0.2584,0.25959,874169.6
1642564800000,0.25962,0.26198,0.25253,0.25397,1278092.4
1642579200000,0.25399,0.25843,0.25251,0.25819,1303946.9
1642593600000,0.2582,0.26333,0.25652,0.26122,1595880.1
1642608000000,0.26098,0.26553,0.25868,0.26479,1363211.9
1642622400000,0.26462,0.27297,0.26229,0.26727,1850249.6
1642636800000,0.26731,0.27677,0.26661,0.27267,1526486.0
1642651200000,0.27283,0.27547,0.26691,0.27337,1847093.1
1642665600000,0.27333,0.27357,0.27057,0.27231,1399527.6
1642680000000,0.27183,0.28188,0.26753,0.28003,1386002.6
1642694400000,0.27953,0.28119,0.27534,0.27665,773412.3
1642708800000,0.27667,0.27942,0.25862,0.25998,2354419.2
1642723200000,0.25967,0.26797,0.25008,0.25166,3316586.7
1642737600000,0.2518,0.2564,0.25093,0.25394,1272253.3
1642752000000,0.25388,0.25517,0.24848,0.25078,1149774.6
1642766400000,0.25079,0.25232,0.24217,0.24959,1911660.8
1642780800000,0.2497,0.25,0.24431,0.24431,1593699.4
1642795200000,0.24469,0.24598,0.22838,0.23505,3076329.0
1642809600000,0.23439,0.23901,0.23161,0.23427,1327755.8
1642824000000,0.234,0.2346,0.21771,0.22063,2081825.7
1642838400000,0.22089,0.2253,0.20254,0.2144,2439702.1
1642852800000,0.21488,0.22595,0.21261,0.2129,2464464.5
1642867200000,0.21324,0.22118,0.20919,0.21119,2163598.7
1642881600000,0.21135,0.22642,0.20982,0.22219,1519465.4
1642896000000,0.2222,0.22869,0.2202,0.22307,1065931.0
1642910400000,0.22345,0.22771,0.2209,0.22771,1655277.1
1642924800000,0.2277,0.23333,0.22626,0.22711,1225260.5
1642939200000,0.22686,0.22743,0.21899,0.22213,2099352.6
1642953600000,0.22236,0.22491,0.2134,0.21432,1901299.1
1642968000000,0.21399,0.2223,0.21326,0.22225,1924928.3
1642982400000,0.22221,0.22221,0.2111,0.21206,1252755.8
1642996800000,0.21203,0.21297,0.20294,0.20364,1365376.8
1643011200000,0.2039,0.20558,0.19175,0.19309,2328337.3
1643025600000,0.19291,0.19693,0.18619,0.19608,2667400.0
1643040000000,0.19633,0.20486,0.19271,0.2031,2709247.7
1643054400000,0.20279,0.21241,0.20218,0.20657,3232516.1
1643068800000,0.20639,0.2067,0.20138,0.20261,1679110.6
1643083200000,0.20245,0.20296,0.19741,0.19989,1190194.9
1643097600000,0.19961,0.2065,0.19913,0.2041,2300080.4
1643112000000,0.20431,0.2084,0.20236,0.20542,2272835.9
1643126400000,0.20539,0.21668,0.20539,0.2164,1886519.8
