time,open,high,low,close,volume
1768478400000,31.44,31.56,30.82,31.49,3191.74
1768492800000,31.49,31.57,30.91,31.18,3879.84
1768507200000,31.18,31.34,30.75,31.25,1398.39
1768521600000,31.25,31.25,31.25,31.25,0.0
1768536000000,31.25,31.25,31.25,31.25,0.0
1768550400000,31.25,31.25,31.25,31.25,0.0
1768564800000,31.25,31.81,30.65,31.4,3510.02
1768579200000,31.4,31.78,31.25,31.3,4740.23
1768593600000,31.3,31.54,31.14,31.45,1238.09
1768608000000,31.45,31.45,31.45,31.45,0.0
1768622400000,31.45,31.45,31.45,31.45,0.0
1768636800000,31.45,31.45,31.45,31.45,0.0
1768651200000,31.45,31.45,31.45,31.45,0.0
1768665600000,31.45,31.45,31.45,31.45,0.0
1768680000000,31.45,31.45,31.45,31.45,0.0
1768694400000,31.45,31.45,31.45,31.45,0.0
1768708800000,31.45,31.45,31.45,31.45,0.0
1768723200000,31.45,31.45,31.45,31.45,0.0
1768737600000,31.45,31.45,31.45,31.45,0.0
1768752000000,31.45,31.45,31.45,31.45,0.0
1768766400000,31.45,31.45,31.45,31.45,0.0
1768780800000,31.45,31.45,31.45,31.45,0.0
1768795200000,31.45,31.45,31.45,31.45,0.0
1768809600000,31.45,31.45,31.45,31.45,0.0
1768824000000,31.45,31.45,31.45,31.45,0.0
1768838400000,31.45,31.45,31.45,31.45,0.0
1768852800000,31.45,31.45,31.45,31.45,0.0
1768867200000,31.45,31.45,31.45,31.45,0.0
1768881600000,31.45,31.45,31.45,31.45,0.0
1768896000000,31.45,31.45,31.45,31.45,0.0
1768910400000,31.45,31.45,30.05,30.55,4501.85
1768924800000,30.55,31.29,30.52,30.95,5777.68
1768939200000,30.95,30.95,30.42,30.47,1428.79
1768953600000,30.47,30.47,30.47,30.47,0.0
1768968000000,30.47,30.47,30.47,30.47,0.0
1768982400000,30.47,30.47,30.47,30.47,0.0
1768996800000,30.47,30.6,29.14,29.4,4371.92
1769011200000,29.4,29.4,27.98,29.29,8743.81
1769025600000,29.29,29.3,28.72,28.97,2086.83
1769040000000,28.97,28.97,28.97,28.97,0.0
1769054400000,28.97,28.97,28.97,28.97,0.0
1769068800000,28.97,28.97,28.97,28.97,0.0
1769083200000,28.97,29.58,28.97,29.45,4804.91
1769097600000,29.45,30.67,29.23,30.57,4777.43
1769112000000,30.57,30.77,30.19,30.59,1828.78
1769126400000,30.59,30.59,30.59,30.59,0.0
1769140800000,30.59,30.59,30.59,30.59,0.0
1769155200000,30.59,30.59,30.59,30.59,0.0
1769169600000,30.59,30.9,29.95,30.9,3751.34
1769184000000,30.9,30.99,29.52,29.68,5657.06
1769198400000,29.68,29.68,29.42,29.67,1254.66
1769212800000,29.67,29.67,29.67,29.67,0.0
1769227200000,29.67,29.67,29.67,29.67,0.0
1769241600000,29.67,29.67,29.67,29.67,0.0
1769256000000,29.67,29.67,29.67,29.67,0.0
1769270400000,29.67,29.67,29.67,29.67,0.0
1769284800000,29.67,29.67,29.67,29.67,0.0
1769299200000,29.67,29.67,29.67,29.67,0.0
1769313600000,29.67,29.67,29.67,29.67,0.0
1769328000000,29.67,29.67,29.67,29.67,0.0
1769342400000,29.67,29.67,29.67,29.67,0.0
