time,open,high,low,close,volume
1780992000000,50.23,50.23,50.12,50.13,14.76
1781006400000,50.13,50.39,46.81,46.87,1500.06
1781020800000,46.87,48.27,45.75,48.27,438.75
1781035200000,48.27,48.29,47.32,47.75,314.58
1781049600000,47.75,48.05,47.33,47.44,245.68
1781064000000,47.44,47.68,46.71,47.57,267.89
1781078400000,47.57,47.57,46.65,46.77,333.35
1781092800000,46.77,47.83,45.72,46.24,542.4
1781107200000,46.24,46.25,44.96,45.49,365.63
1781121600000,45.49,46.27,44.67,44.84,253.9
1781136000000,44.84,45.86,44.73,45.56,229.25
1781150400000,45.56,46.2,45.54,46.03,202.04
1781164800000,46.03,46.74,45.78,46.14,305.03
1781179200000,46.14,46.39,44.7,45.15,479.66
1781193600000,45.15,46.79,44.8,46.79,365.46
1781208000000,46.79,47.37,46.66,47.18,195.59
1781222400000,47.18,47.93,46.8,47.23,193.82
1781236800000,47.23,47.23,46.47,46.77,158.67
1781251200000,46.77,47.98,46.28,47.3,391.62
1781265600000,47.3,49.76,46.01,48.72,533.66
1781280000000,48.72,49.37,48.2,48.23,287.61
1781294400000,48.23,48.88,48.09,48.31,218.41
1781308800000,48.31,48.5,47.77,47.96,129.82
1781323200000,47.96,48.02,47.41,47.57,124.63
1781337600000,47.57,47.75,47.21,47.22,128.1
1781352000000,47.22,47.84,47.06,47.79,160.62
1781366400000,47.79,47.8,47.04,47.1,127.11
1781380800000,47.1,47.22,47.05,47.07,124.44
1781395200000,47.07,47.36,47.06,47.35,118.82
1781409600000,47.35,47.46,47.17,47.46,111.56
1781424000000,47.46,48.19,47.42,48.19,118.65
1781438400000,48.19,48.19,47.74,47.91,138.06
1781452800000,47.91,47.92,47.69,47.76,124.97
1781467200000,47.76,51.04,47.74,50.7,232.46
1781481600000,50.7,51.17,49.87,50.11,298.43
1781496000000,50.11,50.13,49.61,49.78,167.09
1781510400000,49.78,50.21,49.63,50.07,194.42
1781524800000,50.07,50.12,48.12,48.28,877.42
1781539200000,48.28,49.28,48.25,48.96,271.29
1781553600000,48.96,49.59,48.67,48.76,164.22
1781568000000,48.76,49.01,48.21,48.9,167.9
1781582400000,48.9,49.09,48.51,48.85,168.2
1781596800000,48.85,49.37,48.85,49.29,147.68
