time,open,high,low,close,volume
1736841600000,22.95,23.19,22.27,22.82,94.16
1736856000000,22.82,23.52,22.03,23.21,376.17
1736870400000,23.21,23.21,22.4,22.43,121.72
1736884800000,22.43,23.08,22.37,22.99,116.79
1736899200000,22.99,23.07,22.43,22.69,101.75
1736913600000,22.69,22.84,22.53,22.78,105.29
1736928000000,22.78,22.84,22.13,22.45,133.33
1736942400000,22.45,24.44,22.34,23.79,312.32
1736956800000,23.79,23.94,23.36,23.91,154.9
1736971200000,23.91,24.37,23.67,24.37,95.4
1736985600000,24.37,24.39,23.58,23.73,78.91
1737000000000,23.73,24.11,23.62,23.99,240.13
1737014400000,23.99,24.04,23.4,23.87,83.7
1737028800000,23.87,24.4,23.06,23.52,409.53
1737043200000,23.52,24.0,23.51,23.71,54.82
1737057600000,23.71,23.82,23.14,23.49,97.82
1737072000000,23.49,23.86,23.23,23.24,80.82
1737086400000,23.24,23.8,23.23,23.65,35.25
1737100800000,23.65,24.09,23.65,23.98,45.97
1737115200000,23.98,24.04,22.53,23.17,245.62
1737129600000,23.17,23.39,22.89,23.24,101.48
1737144000000,23.24,23.66,23.02,23.09,64.16
1737158400000,23.09,23.12,21.94,22.13,115.5
1737172800000,22.13,22.88,21.12,21.76,258.03
1737187200000,21.76,22.23,20.2,20.66,576.62
1737201600000,20.66,21.12,20.06,20.15,196.73
1737216000000,20.15,20.84,19.33,20.22,354.05
1737230400000,20.22,21.96,20.17,21.93,329.43
1737244800000,21.93,22.15,20.96,20.96,347.58
1737259200000,20.96,21.16,19.81,20.67,263.65
1737273600000,20.67,22.42,19.36,22.32,1529.01
1737288000000,22.32,23.5,21.57,22.1,359.08
1737302400000,22.1,23.72,22.1,23.1,354.79
1737316800000,23.1,23.71,19.34,20.41,1854.75
1737331200000,20.41,21.42,19.3,20.03,366.03
1737345600000,20.03,21.87,19.89,21.86,264.75
1737360000000,21.86,22.75,21.54,22.18,160.99
1737374400000,22.18,22.41,20.57,20.93,172.99
1737388800000,20.93,21.47,19.98,21.06,281.05
1737403200000,21.06,21.06,20.07,20.54,193.2
1737417600000,20.54,21.35,20.1,21.31,81.85
