time,open,high,low,close,volume
1776816000000,362.63,364.67,361.61,362.9,0.212
1776830400000,362.9,367.96,362.9,367.04,0.843
1776844800000,367.04,367.91,363.63,365.83,0.785
1776859200000,365.83,371.57,361.57,367.75,0.814
1776873600000,367.75,368.1,364.41,366.19,0.468
1776888000000,366.19,377.65,363.99,370.05,0.744
1776902400000,370.05,372.74,354.75,355.13,0.777
1776916800000,355.13,362.27,355.02,358.24,0.946
1776931200000,358.24,358.91,354.76,355.16,1.109
1776945600000,355.16,359.97,354.74,359.41,0.875
1776960000000,359.41,361.39,352.99,357.06,1.439
1776974400000,357.06,360.62,356.1,358.22,0.777
1776988800000,358.22,358.22,344.11,344.73,0.793
1777003200000,344.73,347.41,344.06,346.33,0.778
1777017600000,346.33,350.31,346.1,346.58,0.794
1777032000000,346.58,366.51,346.58,366.51,11.393
1777046400000,366.51,378.64,359.64,369.0,0.86
1777060800000,369.0,374.72,361.78,371.62,0.593
1777075200000,371.62,376.32,361.15,368.94,1.153
1777089600000,368.94,369.02,361.18,366.43,0.874
1777104000000,366.43,370.81,362.85,369.37,0.919
1777118400000,369.37,373.0,364.5,370.61,1.299
1777132800000,370.61,371.74,368.6,370.61,0.787
1777147200000,370.61,371.67,370.55,371.41,0.762
1777161600000,371.41,380.0,363.23,371.31,0.887
1777176000000,371.31,372.9,363.18,370.34,0.679
1777190400000,370.34,376.87,365.72,371.63,0.781
1777204800000,371.63,371.79,370.19,370.63,0.814
1777219200000,370.63,370.66,366.49,368.75,0.688
1777233600000,368.75,380.58,353.87,356.21,1.475
1777248000000,356.21,361.28,347.95,360.33,2.752
1777262400000,360.33,361.86,353.58,357.23,1.092
1777276800000,357.23,361.26,355.36,361.26,0.763
1777291200000,361.26,362.04,357.31,359.64,0.768
1777305600000,359.64,361.67,357.31,359.79,0.77
1777320000000,359.79,367.51,357.43,360.9,0.817
1777334400000,360.9,386.47,359.37,380.5,1.03
1777348800000,380.5,382.08,377.58,378.0,0.781
1777363200000,378.0,378.47,376.29,376.5,0.769
1777377600000,376.5,376.5,371.63,373.84,0.802
1777392000000,373.84,375.94,371.55,373.78,0.766
1777406400000,373.78,383.24,371.61,382.18,0.889
1777420800000,382.18,383.7,372.32,375.39,0.741
1777435200000,375.39,379.71,374.31,377.73,0.774
1777449600000,377.73,377.89,373.29,373.99,0.774
1777464000000,373.99,378.81,373.97,377.29,0.777
1777478400000,377.29,377.44,372.9,375.97,0.647
1777492800000,375.97,380.42,368.6,374.85,1.113
1777507200000,374.85,376.58,363.46,363.46,0.953
1777521600000,363.46,363.75,356.58,359.85,1.362
1777536000000,359.85,363.21,359.7,363.06,0.797
1777550400000,363.06,364.44,358.69,360.83,1.339
1777564800000,360.83,360.88,357.88,358.22,0.789
1777579200000,358.22,362.64,358.11,361.12,0.303
1777593600000,361.12,374.06,361.08,370.93,0.936
1777608000000,370.93,373.87,362.69,371.2,1.21
1777622400000,371.2,374.45,367.94,369.02,0.848
1777636800000,369.02,375.43,367.05,368.85,0.794
1777651200000,368.85,375.4,367.58,372.02,0.734
1777665600000,372.02,372.75,371.08,372.59,0.792
1777680000000,372.59,381.86,370.18,371.16,1.557
1777694400000,371.16,374.0,371.16,373.69,0.656
1777708800000,373.69,376.23,372.77,374.61,0.868
1777723200000,374.61,377.78,372.71,372.75,1.499
1777737600000,372.75,377.1,372.71,374.51,0.783
1777752000000,374.51,374.69,374.4,374.53,0.791
1777766400000,374.53,375.6,373.18,373.23,0.793
1777780800000,373.23,383.99,372.65,377.37,0.947
1777795200000,377.37,382.58,372.33,373.91,0.673
