time,open,high,low,close,volume
1780300800000,332.57,333.7,331.55,331.55,16.91
1780315200000,331.55,332.57,308.39,325.78,2168.89
1780329600000,325.78,327.44,315.28,320.15,1446.46
1780344000000,320.15,320.15,311.25,312.02,308.47
1780358400000,312.02,315.02,306.98,308.85,402.54
1780372800000,308.85,311.99,308.17,311.84,291.3
1780387200000,311.84,315.17,305.48,308.75,818.87
1780401600000,308.75,327.17,308.47,322.62,1742.71
1780416000000,322.62,332.31,321.39,329.54,816.91
1780430400000,329.54,329.78,321.5,322.97,269.2
1780444800000,322.97,325.25,321.02,321.21,226.19
1780459200000,321.21,324.93,320.96,324.12,212.22
1780473600000,324.12,324.56,319.0,323.1,352.32
1780488000000,323.1,323.78,302.65,304.04,1149.06
1780502400000,304.04,310.14,303.94,305.83,410.59
1780516800000,305.83,306.32,291.7,293.53,419.08
1780531200000,293.53,297.97,291.51,295.47,364.91
1780545600000,295.47,300.26,294.77,299.76,243.87
1780560000000,299.76,307.41,295.45,303.77,506.09
1780574400000,303.77,310.09,301.44,305.14,843.83
1780588800000,305.14,305.97,300.28,301.76,497.08
1780603200000,301.76,301.9,300.0,300.0,178.15
1780617600000,300.0,300.34,294.55,297.11,328.84
1780632000000,297.11,297.89,294.98,296.7,349.41
1780646400000,296.7,301.42,296.53,299.0,374.57
1780660800000,299.0,301.8,285.2,285.39,616.83
1780675200000,285.39,286.68,281.71,285.0,523.79
1780689600000,285.0,285.08,280.18,280.79,357.87
1780704000000,280.79,281.29,274.45,276.24,390.01
1780718400000,276.24,277.31,273.63,276.11,364.66
1780732800000,276.11,277.4,275.46,276.57,288.34
1780747200000,276.57,278.72,276.48,277.92,244.17
1780761600000,277.92,279.34,277.68,279.34,223.78
1780776000000,279.34,279.7,278.6,279.04,155.82
1780790400000,279.04,281.17,278.66,280.83,250.16
1780804800000,280.83,281.66,280.15,281.45,228.08
1780819200000,281.45,281.98,280.9,281.77,251.24
1780833600000,281.77,281.97,280.6,280.95,285.95
1780848000000,280.95,281.8,280.27,280.48,190.02
1780862400000,280.48,281.12,279.25,279.3,221.49
1780876800000,279.3,287.42,279.3,282.72,385.88
1780891200000,282.72,283.33,279.35,281.63,245.2
1780905600000,281.63,284.98,280.98,284.21,260.42
1780920000000,284.21,290.23,281.84,281.95,1125.57
1780934400000,281.95,282.57,280.03,281.18,325.06
1780948800000,281.18,281.73,280.33,281.06,186.05
1780963200000,281.06,282.04,280.15,281.9,244.78
1780977600000,281.9,282.27,279.9,280.55,222.03
1780992000000,280.55,280.73,279.55,280.14,230.34
1781006400000,280.14,283.72,274.63,274.72,572.64
1781020800000,274.72,279.25,271.51,277.8,1013.78
1781035200000,277.8,278.52,275.75,276.06,279.42
1781049600000,276.06,277.42,274.17,274.78,293.12
1781064000000,274.78,276.09,272.88,275.08,252.31
1781078400000,275.08,275.22,269.71,270.38,365.05
1781092800000,270.38,280.76,270.38,276.54,454.57
1781107200000,276.54,276.54,273.26,273.31,301.9
1781121600000,273.31,273.66,267.77,268.49,265.3
1781136000000,268.49,272.4,267.63,272.25,263.2
1781150400000,272.25,273.03,271.91,272.46,191.04
1781164800000,272.46,274.04,272.34,273.74,238.96
1781179200000,273.74,275.73,267.48,273.08,482.4
1781193600000,273.08,276.57,271.89,275.2,328.1
1781208000000,275.2,277.63,275.15,277.55,192.11
1781222400000,277.55,279.02,277.32,278.24,177.51
1781236800000,278.24,278.4,275.6,275.7,173.08
1781251200000,275.7,280.05,275.7,279.23,220.07
1781265600000,279.23,279.29,268.57,271.93,501.7
1781280000000,271.93,274.17,271.25,272.39,384.33
1781294400000,272.39,272.95,271.96,272.85,196.8
1781308800000,272.85,273.47,272.6,273.29,266.52
1781323200000,273.29,273.77,272.48,273.06,223.79
1781337600000,273.06,273.24,272.17,272.77,126.8
1781352000000,272.77,274.08,272.77,273.33,199.61
1781366400000,273.33,273.73,272.73,273.34,213.65
1781380800000,273.34,274.35,272.64,274.05,164.91
1781395200000,274.05,275.78,274.01,275.51,182.52
1781409600000,275.51,275.76,275.29,275.62,157.81
1781424000000,275.62,275.79,275.27,275.48,153.61
1781438400000,275.48,275.57,274.88,275.02,230.28
1781452800000,275.02,275.22,274.87,274.94,144.36
1781467200000,274.94,277.6,274.94,276.58,230.81
1781481600000,276.58,279.33,275.05,279.17,241.85
1781496000000,279.17,279.2,276.59,277.81,185.64
1781510400000,277.81,280.02,274.47,274.97,489.73
1781524800000,274.97,275.32,265.67,268.91,661.15
1781539200000,268.91,269.89,267.02,268.88,288.87
1781553600000,268.88,268.99,268.22,268.26,184.39
1781568000000,268.26,268.72,267.89,268.62,189.07
1781582400000,268.62,270.3,268.26,270.22,174.04
1781596800000,270.22,270.99,268.63,268.7,194.94
1781611200000,268.7,276.92,267.94,270.2,499.33
1781625600000,270.2,272.25,269.91,271.0,356.17
1781640000000,271.0,271.56,270.55,271.16,181.04
1781654400000,271.16,272.28,270.59,271.77,226.04
1781668800000,271.77,272.57,271.42,271.55,150.83
1781683200000,271.55,271.84,269.77,269.92,177.32
1781697600000,269.92,270.65,263.82,267.19,550.95
1781712000000,267.19,269.22,262.88,263.17,734.5
1781726400000,263.17,264.51,262.94,264.37,727.71
1781740800000,264.37,266.41,264.37,265.73,722.28
1781755200000,265.73,265.73,264.5,265.61,286.87
1781769600000,265.61,265.66,246.8,248.86,2440.47
1781784000000,248.86,253.85,243.84,247.68,3361.48
1781798400000,247.68,252.54,247.39,249.48,858.68
