time,open,high,low,close,volume
1644105600000,22.25,24.24,22.25,23.49,103932.083
1644120000000,23.49,23.73,23.12,23.39,49747.038
1644134400000,23.38,23.77,23.04,23.18,31598.9947
1644148800000,23.16,23.64,22.23,22.81,72778.684
1644163200000,22.8,23.08,22.7,22.99,31865.5393
1644177600000,22.99,23.49,22.74,23.36,40134.5606
1644192000000,23.36,23.87,22.76,23.79,62346.337
1644206400000,23.81,23.87,23.53,23.64,35514.467
1644220800000,23.64,23.84,23.16,23.79,33231.854
1644235200000,23.79,24.43,23.72,24.06,92408.653
1644249600000,24.08,24.27,23.75,24.07,74074.692
1644264000000,24.07,24.19,23.58,24.01,48466.3946
1644278400000,24.02,24.44,23.54,24.05,64050.802
1644292800000,24.05,24.65,23.73,24.01,73559.536
1644307200000,24.02,24.09,22.76,23.29,95320.678
1644321600000,23.3,23.3,22.35,22.59,75779.21
1644336000000,22.6,22.72,22.28,22.54,50146.556
1644350400000,22.54,23.18,22.48,23.0,49793.0678
1644364800000,23.0,23.19,22.49,22.65,28701.7386
1644379200000,22.65,23.1,22.44,23.02,22534.3749
1644393600000,23.02,23.13,22.72,23.05,27418.7247
1644408000000,23.05,23.39,22.94,23.03,40797.872
1644422400000,23.03,23.34,22.83,23.19,29797.5212
1644436800000,23.19,23.31,23.0,23.07,18928.763
1644451200000,23.07,23.1,22.35,22.54,33577.597
1644465600000,22.54,22.84,22.33,22.81,28148.6879
1644480000000,22.81,23.22,22.75,23.02,36840.733
1644494400000,23.02,23.11,21.54,22.54,160753.563
1644508800000,22.54,22.73,21.95,21.97,42891.867
1644523200000,21.99,22.21,21.44,21.58,26833.724
1644537600000,21.58,21.61,20.97,21.36,55211.614
1644552000000,21.37,21.84,21.3,21.79,17443.0407
1644566400000,21.79,22.04,21.57,21.77,25576.9375
1644580800000,21.77,22.03,21.46,21.64,32696.1122
1644595200000,21.64,21.71,20.24,20.37,63707.6624
1644609600000,20.37,20.44,19.36,19.81,63675.595
1644624000000,19.81,20.22,19.6,19.99,37504.1394
1644638400000,19.99,20.25,19.06,19.84,49841.132
1644652800000,19.84,20.16,19.6,20.07,46903.2073
1644667200000,20.08,20.09,19.7,19.97,25143.2337
1644681600000,19.96,20.55,19.84,20.18,30326.2478
1644696000000,20.17,20.22,19.57,20.03,33601.093
1644710400000,20.03,20.24,19.87,20.12,20090.961
1644724800000,20.11,20.33,19.95,20.18,9398.8404
1644739200000,20.18,20.58,20.08,20.53,20430.3514
1644753600000,20.53,20.79,20.12,20.21,28755.0985
1644768000000,20.21,20.24,19.5,19.63,36866.421
1644782400000,19.63,20.0,19.56,19.75,12265.221
1644796800000,19.75,19.94,19.17,19.53,34944.2196
1644811200000,19.53,19.88,19.47,19.84,23701.9499
1644825600000,19.84,19.95,19.62,19.7,23710.8235
1644840000000,19.7,20.69,19.56,20.6,44665.3905
1644854400000,20.62,21.26,20.15,20.25,74589.063
1644868800000,20.25,20.96,20.18,20.73,41106.487
1644883200000,20.73,21.27,20.58,21.12,46174.3213
1644897600000,21.11,21.23,20.92,21.21,16800.1699
1644912000000,21.2,21.78,21.18,21.6,26989.7362
1644926400000,21.58,21.62,21.11,21.31,55672.373
1644940800000,21.31,21.45,21.16,21.26,19961.0189
1644955200000,21.26,21.86,21.23,21.76,29993.3768
1644969600000,21.76,21.91,21.28,21.53,28642.2357
1644984000000,21.53,21.72,21.2,21.68,17452.2022
1644998400000,21.68,21.79,21.29,21.46,20991.4665
1645012800000,21.46,21.72,20.72,20.94,62492.085
1645027200000,20.94,22.3,20.9,22.2,77350.34
1645041600000,22.21,22.55,21.97,22.07,32361.3742
1645056000000,22.06,22.43,21.33,21.34,28122.413
1645070400000,21.34,21.84,21.3,21.78,18275.1812
1645084800000,21.78,21.95,21.23,21.43,41265.7854
1645099200000,21.43,21.53,20.71,21.01,58206.2577
1645113600000,21.0,21.16,19.93,20.27,63298.3617
1645128000000,20.27,20.28,19.58,19.83,37620.7068
1645142400000,19.84,20.26,19.6,20.01,26883.8356
1645156800000,20.01,20.35,19.96,20.22,13639.8944
1645171200000,20.22,20.37,19.76,19.82,23164.3649
1645185600000,19.84,20.2,19.3,19.41,71023.919
1645200000000,19.43,19.79,19.15,19.59,57435.0808
1645214400000,19.59,19.68,19.26,19.63,13076.8837
1645228800000,19.62,19.96,19.59,19.83,15467.8387
1645243200000,19.83,20.07,19.77,19.95,10500.6458
1645257600000,19.95,20.0,19.2,19.34,31755.1889
1645272000000,19.34,20.01,19.16,19.94,48214.862
1645286400000,19.94,20.46,19.72,19.77,44189.4318
1645300800000,19.77,20.06,19.68,20.0,17891.4387
1645315200000,19.99,20.03,19.4,19.52,29382.5238
1645329600000,19.51,19.56,18.72,19.07,83448.179
1645344000000,19.05,19.1,18.7,19.09,40242.462
1645358400000,19.09,19.27,18.29,18.75,35196.8343
1645372800000,18.75,18.99,18.68,18.83,18367.0281
1645387200000,18.83,19.03,18.33,18.7,28461.9343
1645401600000,18.7,19.41,18.56,19.06,24169.0387
1645416000000,19.06,19.37,19.06,19.34,15171.3407
1645430400000,19.34,19.45,18.16,18.39,41928.9938
1645444800000,18.39,19.1,18.1,18.88,87296.895
1645459200000,18.87,19.02,18.28,18.51,63691.4314
1645473600000,18.51,18.76,17.68,17.76,83223.086
1645488000000,17.77,18.04,16.81,17.02,58783.2007
1645502400000,17.02,17.41,17.0,17.26,35608.5735
1645516800000,17.26,17.82,17.24,17.63,42126.2859
