time,open,high,low,close,volume
1644105600000,2.8744,2.982,2.8225,2.8975,132107.162
1644120000000,2.8977,2.9072,2.8206,2.8422,80422.025
1644134400000,2.8416,2.9092,2.8249,2.8516,89911.207
1644148800000,2.8523,2.9627,2.8043,2.8277,133548.083
1644163200000,2.8296,2.843,2.7229,2.7484,159648.9
1644177600000,2.7484,2.8416,2.7218,2.8252,54477.0317
1644192000000,2.8297,2.8856,2.7598,2.8685,143893.93
1644206400000,2.8627,2.9148,2.8284,2.8568,132804.788
1644220800000,2.8561,2.8821,2.8089,2.8224,97284.955
1644235200000,2.8247,2.8906,2.8142,2.8398,104550.412
1644249600000,2.8411,3.0825,2.8353,3.0,310024.8
1644264000000,3.0034,3.0365,2.85,2.857,198919.197
1644278400000,2.8552,2.986,2.8231,2.9794,143684.384
1644292800000,2.9771,3.6685,2.9765,3.1864,1862897.32
1644307200000,3.1873,3.2093,2.8218,2.8542,948821.02
1644321600000,2.8523,2.8542,2.618,2.6796,755157.474
1644336000000,2.6773,2.7236,2.6075,2.6782,204828.455
1644350400000,2.677,2.7864,2.6708,2.7778,137314.727
1644364800000,2.7797,2.8016,2.6457,2.7531,197921.254
1644379200000,2.7584,2.7854,2.7009,2.7737,153204.484
1644393600000,2.7721,2.7837,2.7114,2.7434,105517.319
1644408000000,2.7414,2.8974,2.7334,2.8033,279364.841
1644422400000,2.8025,2.8118,2.7574,2.7983,145066.603
1644436800000,2.7971,2.8472,2.7849,2.8191,98073.288
1644451200000,2.8195,2.8428,2.768,2.7947,119697.423
1644465600000,2.7937,2.86,2.7691,2.7906,134849.934
1644480000000,2.7896,2.8302,2.7759,2.8015,152026.423
1644494400000,2.8035,2.8161,2.5631,2.6836,373633.006
1644508800000,2.6831,2.6989,2.5677,2.5884,158606.443
1644523200000,2.5894,2.6286,2.56,2.5988,89909.625
1644537600000,2.598,2.6214,2.51,2.5713,163862.989
1644552000000,2.5728,2.7061,2.5501,2.6618,248736.381
1644566400000,2.6627,2.6633,2.5905,2.6205,76141.044
1644580800000,2.6199,2.6487,2.5795,2.5991,102696.064
