time,open,high,low,close,volume
1644105600000,4.438,4.521,4.418,4.484,133469.31
1644120000000,4.483,4.527,4.476,4.516,124625.76
1644134400000,4.517,4.548,4.498,4.536,115562.56
1644148800000,4.538,4.565,4.448,4.507,100981.64
1644163200000,4.509,4.654,4.488,4.601,116309.12
1644177600000,4.6,4.741,4.596,4.738,90395.55
1644192000000,4.734,4.845,4.665,4.814,114322.53
1644206400000,4.814,5.014,4.785,4.911,82717.06
1644220800000,4.907,4.916,4.85,4.867,99662.7
1644235200000,4.873,5.038,4.862,5.036,91312.49
1644249600000,5.035,5.183,5.021,5.113,104282.87
1644264000000,5.114,5.749,5.101,5.118,127581.77
1644278400000,5.122,5.126,5.008,5.035,78886.88
1644292800000,5.035,5.116,4.935,4.983,128693.3
1644307200000,4.984,4.986,4.738,4.78,119281.81
1644321600000,4.775,4.777,4.649,4.731,97222.85
1644336000000,4.727,4.744,4.646,4.663,75963.64
1644350400000,4.662,4.863,4.662,4.811,141282.05
1644364800000,4.811,4.849,4.783,4.818,240552.0
1644379200000,4.818,4.842,4.784,4.84,109969.65
1644393600000,4.837,4.84,4.773,4.83,65684.2
1644408000000,4.83,4.906,4.81,4.86,80393.05
1644422400000,4.862,5.144,4.847,4.964,108822.52
1644436800000,4.97,4.982,4.905,4.921,107885.8
1644451200000,4.918,4.96,4.829,4.846,92229.93
1644465600000,4.844,4.889,4.809,4.872,105023.51
1644480000000,4.872,4.99,4.868,4.955,158651.53
1644494400000,4.957,4.982,4.678,4.833,103395.95
1644508800000,4.831,4.923,4.786,4.787,117216.66
1644523200000,4.787,5.383,4.783,4.998,144390.95
1644537600000,4.992,4.996,4.786,4.808,99849.05
1644552000000,4.804,4.815,4.739,4.806,136330.58
1644566400000,4.804,4.936,4.771,4.896,140095.1
1644580800000,4.893,5.324,4.844,5.156,135821.17
1644595200000,5.161,6.93,5.111,6.48,348111.61
1644609600000,6.491,10.004,6.137,7.368,1098846.69
1644624000000,7.376,8.668,7.283,7.326,243423.4
1644638400000,7.337,9.948,7.101,8.923,179473.72
1644652800000,8.922,9.365,8.163,8.398,154863.79
1644667200000,8.405,8.977,8.169,8.558,98292.0
1644681600000,8.571,8.749,7.6,8.1,119372.56
1644696000000,8.1,8.119,7.07,7.213,92654.42
1644710400000,7.202,7.214,6.755,6.779,83804.33
1644724800000,6.779,7.196,6.604,7.084,162855.07
1644739200000,7.088,7.097,6.476,6.71,193419.58
1644753600000,6.71,6.848,6.504,6.653,116651.56
1644768000000,6.654,6.845,6.134,6.267,165675.28
1644782400000,6.266,6.303,6.048,6.071,94968.93
1644796800000,6.061,6.196,5.857,5.929,137513.83
1644811200000,5.926,6.052,5.855,5.976,156627.49
1644825600000,5.978,6.433,5.97,6.157,201901.84
1644840000000,6.161,6.214,5.968,6.047,168986.3
1644854400000,6.046,6.333,5.946,5.952,78555.64
1644868800000,5.957,6.085,5.946,6.038,68983.63
1644883200000,6.036,6.125,5.916,6.014,83063.63
1644897600000,6.03,6.24,6.01,6.062,157533.35
1644912000000,6.061,6.559,6.052,6.272,200223.5
1644926400000,6.287,6.431,6.172,6.276,117244.73
1644940800000,6.275,6.281,6.084,6.254,139945.09
1644955200000,6.251,6.291,6.191,6.225,115533.11
1644969600000,6.227,6.567,6.119,6.165,102849.61
1644984000000,6.165,6.191,6.077,6.154,96854.63
1644998400000,6.151,6.201,6.032,6.063,110427.01
1645012800000,6.063,6.079,5.868,5.929,125120.12
1645027200000,5.931,6.091,5.883,6.058,87277.47
1645041600000,6.062,6.12,5.99,6.064,83124.25
1645056000000,6.063,6.119,5.988,5.99,74290.24
1645070400000,5.987,6.134,5.898,6.121,114383.86
1645084800000,6.121,6.126,5.862,5.902,103922.37
1645099200000,5.907,6.006,5.667,5.71,94237.26
1645113600000,5.71,5.795,5.461,5.522,120050.24
1645128000000,5.522,5.522,5.327,5.439,71189.53
1645142400000,5.44,6.01,5.39,5.627,119660.3
1645156800000,5.632,5.858,5.532,5.656,171366.37
1645171200000,5.657,5.724,5.468,5.468,115078.39
1645185600000,5.478,5.506,5.288,5.303,137968.56
1645200000000,5.31,5.4,5.195,5.309,90482.23
1645214400000,5.313,5.32,5.218,5.285,93615.75
1645228800000,5.284,5.404,5.269,5.28,109679.69
1645243200000,5.277,5.339,5.233,5.324,107525.32
1645257600000,5.327,5.35,5.069,5.082,97058.91
1645272000000,5.084,5.293,5.083,5.255,104933.33
1645286400000,5.256,6.597,5.221,6.584,275013.74
1645300800000,6.591,7.548,6.446,6.704,660943.75
1645315200000,6.665,7.07,6.257,6.539,383728.22
1645329600000,6.557,6.993,6.233,6.377,466974.11
1645344000000,6.381,6.792,6.357,6.449,422372.4
1645358400000,6.447,6.542,5.756,6.068,353593.99
1645372800000,6.066,6.23,5.654,5.656,245191.05
1645387200000,5.668,5.769,5.575,5.658,156802.79
1645401600000,5.651,5.854,5.583,5.719,120906.47
1645416000000,5.725,5.84,5.648,5.833,91373.97
1645430400000,5.837,5.894,5.401,5.504,147291.24
1645444800000,5.5,5.668,5.251,5.54,193949.15
