time,open,high,low,close,volume
1766865600000,36.14,36.14,36.14,36.14,0.0
1766880000000,36.14,36.14,36.14,36.14,0.0
1766894400000,36.14,36.14,36.14,36.14,0.0
1766908800000,36.14,36.14,36.14,36.14,0.0
1766923200000,36.14,36.14,36.14,36.14,0.0
1766937600000,36.14,36.14,36.14,36.14,0.0
1766952000000,36.14,36.14,36.14,36.14,0.0
1766966400000,36.14,36.32,36.03,36.09,344.35
1766980800000,36.09,36.22,36.03,36.06,305.18
1766995200000,36.06,36.57,35.98,36.29,606.32
1767009600000,36.29,36.68,35.88,36.37,1914.11
1767024000000,36.37,36.67,36.29,36.6,978.75
1767038400000,36.6,36.79,36.54,36.6,456.99
1767052800000,36.6,36.7,36.58,36.68,203.23
1767067200000,36.68,36.8,36.62,36.77,339.73
1767081600000,36.77,36.92,36.77,36.9,426.02
1767096000000,36.9,37.73,36.84,37.73,1654.82
1767110400000,37.73,38.25,37.4,37.45,1456.22
1767124800000,37.45,37.54,37.27,37.45,573.57
1767139200000,37.45,37.47,37.28,37.38,392.25
1767153600000,37.38,37.45,37.31,37.39,305.93
1767168000000,37.39,38.02,37.36,37.84,793.2
1767182400000,37.84,37.87,37.13,37.21,1500.94
1767196800000,37.21,37.49,36.9,37.03,972.54
1767211200000,37.03,37.23,36.85,36.88,552.62
1767225600000,36.88,36.88,36.85,36.87,67.05
1767240000000,36.87,36.87,36.87,36.87,0.0
1767254400000,36.87,36.87,36.87,36.87,0.0
1767268800000,36.87,36.87,36.87,36.87,0.0
1767283200000,36.87,36.87,36.87,36.87,0.0
1767297600000,36.87,36.87,36.87,36.87,0.0
1767312000000,36.87,37.38,36.87,37.38,377.06
1767326400000,37.38,37.66,37.28,37.5,466.53
1767340800000,37.5,37.72,37.5,37.63,683.43
1767355200000,37.63,39.85,37.47,39.02,2842.79
1767369600000,39.02,39.72,38.97,39.55,1865.29
1767384000000,39.55,39.72,39.35,39.47,558.66
1767398400000,39.47,39.5,39.43,39.49,49.17
1767412800000,39.49,39.49,39.49,39.49,0.0
1767427200000,39.49,39.49,39.49,39.49,0.0
1767441600000,39.49,39.49,39.49,39.49,0.0
1767456000000,39.49,39.49,39.49,39.49,0.0
1767470400000,39.49,39.49,39.49,39.49,0.0
1767484800000,39.49,39.49,39.49,39.49,0.0
1767499200000,39.49,39.49,39.49,39.49,0.0
1767513600000,39.49,39.49,39.49,39.49,0.0
1767528000000,39.49,39.49,39.49,39.49,0.0
1767542400000,39.49,39.49,39.49,39.49,0.0
1767556800000,39.49,39.49,39.49,39.49,0.0
1767571200000,39.49,40.5,39.49,39.98,810.06
1767585600000,39.98,40.02,39.77,39.84,640.03
1767600000000,39.84,41.27,39.83,41.06,1045.84
1767614400000,41.06,42.02,39.58,40.4,2458.43
1767628800000,40.4,40.4,39.3,39.33,1720.51
1767643200000,39.33,39.68,39.27,39.48,587.04
1767657600000,39.48,39.77,39.31,39.68,527.72
1767672000000,39.68,40.17,39.68,39.96,752.88
1767686400000,39.96,39.96,39.47,39.84,687.62
1767700800000,39.84,39.9,38.98,39.15,1521.84
1767715200000,39.15,40.18,38.99,40.16,1340.12
1767729600000,40.16,40.3,39.93,40.09,863.35
1767744000000,40.09,40.2,39.99,39.99,382.53
1767758400000,39.99,40.03,39.82,39.89,423.11
1767772800000,39.89,40.09,39.86,40.07,543.22
1767787200000,40.07,44.56,39.97,43.74,2612.26
1767801600000,43.74,43.93,42.54,42.72,2541.96
1767816000000,42.72,42.91,42.31,42.53,1068.02
1767830400000,42.53,42.76,42.46,42.51,432.35
1767844800000,42.51,42.6,42.05,42.4,649.68
1767859200000,42.4,42.99,42.16,42.81,852.57
1767873600000,42.81,43.32,40.97,41.35,2653.75
1767888000000,41.35,41.4,40.68,41.25,1603.79
1767902400000,41.25,42.27,41.06,41.62,971.89
1767916800000,41.62,42.03,41.62,41.9,438.38
1767931200000,41.9,41.99,41.77,41.84,421.95
1767945600000,41.84,42.47,41.76,42.3,569.04
