time,open,high,low,close,volume
1767067200000,39.38,39.62,39.38,39.45,509.1
1767081600000,39.45,39.95,39.44,39.87,369.01
1767096000000,39.87,39.89,38.17,39.46,3124.91
1767110400000,39.46,39.69,38.72,38.74,2158.95
1767124800000,38.74,38.89,38.12,38.28,911.88
1767139200000,38.28,38.41,38.14,38.3,684.91
1767153600000,38.3,38.3,38.03,38.13,350.77
1767168000000,38.13,38.43,37.92,38.4,753.2
1767182400000,38.4,38.99,37.59,38.35,2708.7
1767196800000,38.35,38.51,37.38,37.44,1780.79
1767211200000,37.44,37.93,37.22,37.86,812.74
1767225600000,37.86,37.86,37.86,37.86,0.0
1767240000000,37.86,37.86,37.86,37.86,0.0
1767254400000,37.86,37.86,37.86,37.86,0.0
1767268800000,37.86,37.86,37.86,37.86,0.0
1767283200000,37.86,37.86,37.86,37.86,0.0
1767297600000,37.86,37.86,37.86,37.86,0.0
1767312000000,37.86,38.69,37.86,38.68,382.23
1767326400000,38.68,38.97,38.68,38.82,447.04
1767340800000,38.82,39.61,38.79,39.41,885.98
1767355200000,39.41,41.14,38.11,40.69,3273.34
1767369600000,40.69,42.58,40.57,42.08,3244.75
1767384000000,42.08,42.72,41.89,42.72,455.18
1767398400000,42.72,42.72,42.72,42.72,0.0
1767412800000,42.72,42.72,42.72,42.72,0.0
1767427200000,42.72,42.72,42.72,42.72,0.0
1767441600000,42.72,42.72,42.72,42.72,0.0
1767456000000,42.72,42.72,42.72,42.72,0.0
1767470400000,42.72,42.72,42.72,42.72,0.0
1767484800000,42.72,42.72,42.72,42.72,0.0
1767499200000,42.72,42.72,42.72,42.72,0.0
1767513600000,42.72,42.72,42.72,42.72,0.0
1767528000000,42.72,42.72,42.72,42.72,0.0
1767542400000,42.72,42.72,42.72,42.72,0.0
1767556800000,42.72,42.72,42.72,42.72,0.0
1767571200000,42.72,44.15,42.72,43.65,638.53
1767585600000,43.65,43.73,43.21,43.39,844.32
1767600000000,43.39,44.81,43.33,44.71,1475.98
1767614400000,44.71,47.21,44.23,47.09,5555.86
1767628800000,47.09,48.07,46.45,47.84,3049.57
1767643200000,47.84,48.37,47.66,47.85,1195.41
1767657600000,47.85,47.93,47.23,47.64,485.72
1767672000000,47.64,48.1,47.63,47.78,1473.21
1767686400000,47.78,47.78,47.07,47.61,1141.17
1767700800000,47.61,47.84,45.49,45.87,4150.1
1767715200000,45.87,46.07,43.19,45.14,2877.86
1767729600000,45.14,46.51,45.14,46.42,1370.29
1767744000000,46.42,46.55,46.05,46.26,450.47
1767758400000,46.26,46.27,45.74,45.89,581.05
1767772800000,45.89,46.1,44.62,45.06,1201.54
1767787200000,45.06,46.55,44.14,45.27,2851.83
1767801600000,45.27,46.07,44.66,45.01,2140.17
1767816000000,45.01,45.05,43.31,43.99,1515.95
1767830400000,43.99,44.18,43.7,43.74,682.37
1767844800000,43.74,43.86,42.9,43.28,784.74
1767859200000,43.28,43.89,43.27,43.86,1290.87
1767873600000,43.86,46.58,42.7,46.35,3848.35
1767888000000,46.35,47.56,45.59,45.73,3381.83
1767902400000,45.73,46.15,45.02,45.93,996.32
1767916800000,45.93,46.01,45.54,45.69,503.58
1767931200000,45.69,45.79,45.5,45.68,362.35
1767945600000,45.68,47.46,45.29,46.88,1798.02
1767960000000,46.88,50.0,45.87,48.9,4726.07
1767974400000,48.9,49.37,46.64,46.64,2916.38
1767988800000,46.64,47.02,46.03,46.13,677.66
1768003200000,46.13,46.13,46.13,46.13,0.0
1768017600000,46.13,46.13,46.13,46.13,0.0
1768032000000,46.13,46.13,46.13,46.13,0.0
1768046400000,46.13,46.13,46.13,46.13,0.0
1768060800000,46.13,46.13,46.13,46.13,0.0
1768075200000,46.13,46.13,46.13,46.13,0.0
1768089600000,46.13,46.13,46.13,46.13,0.0
1768104000000,46.13,46.13,46.13,46.13,0.0
1768118400000,46.13,46.13,46.13,46.13,0.0
1768132800000,46.13,46.13,46.13,46.13,0.0
