time,open,high,low,close,volume
1701964800000,2.3161,2.3821,1.7409,1.7739,8292553.7
1701979200000,1.7739,2.7407,1.7691,2.3919,9068079.1
1701993600000,2.3919,3.265,2.377,2.8431,8885350.0
1702008000000,2.8431,3.2285,2.7635,2.8748,4657287.8
1702022400000,2.8748,3.131,2.6452,2.8726,4973108.5
1702036800000,2.8726,3.7031,2.8056,3.4918,8152572.0
1702051200000,3.4918,3.761,3.1722,3.2301,5351444.7
1702065600000,3.2301,3.5751,3.125,3.5751,3376475.2
1702080000000,3.5751,3.6601,3.2333,3.3685,2342024.6
1702094400000,3.3685,3.6666,3.3216,3.5588,1993571.7
1702108800000,3.5588,3.9625,3.4721,3.8717,5600055.6
1702123200000,3.8717,4.3737,3.8705,4.2561,5945054.7
1702137600000,4.2561,4.4388,3.8709,4.0475,3221269.7
1702152000000,4.0475,4.0838,3.242,3.3506,4122754.1
1702166400000,3.3506,3.7335,3.3486,3.5378,2357810.8
1702180800000,3.5378,3.6788,3.3353,3.4374,1723434.5
1702195200000,3.4374,3.4609,3.1954,3.2721,2432453.6
1702209600000,3.2721,3.4869,3.2393,3.3903,1875597.0
1702224000000,3.3903,3.4343,3.27,3.3565,1072230.6
1702238400000,3.3565,3.568,3.3401,3.4536,1495263.6
1702252800000,3.4536,3.4677,2.5862,3.084,3563601.7
1702267200000,3.084,3.1679,2.9501,2.9993,1672932.3
1702281600000,2.9993,3.1281,2.8815,3.1191,1590447.7
1702296000000,3.1191,3.1396,2.8728,2.9389,1639790.8
1702310400000,2.9389,3.0168,2.7631,2.9165,1683777.5
1702324800000,2.9165,3.0555,2.8709,3.0031,955137.4
1702339200000,3.0031,3.3532,2.9535,3.2745,1796423.5
1702353600000,3.2745,3.3071,3.093,3.198,1640023.4
1702368000000,3.198,3.2726,3.0135,3.015,1532869.3
1702382400000,3.015,3.0291,2.8177,2.8549,2249146.0
1702396800000,2.8549,2.9282,2.7997,2.9081,1116328.6
1702411200000,2.9081,2.9593,2.8305,2.9591,563699.6
1702425600000,2.9591,2.9828,2.6068,2.6362,1302377.8
1702440000000,2.6362,2.7212,2.6068,2.6786,831268.9
1702454400000,2.6786,2.7332,2.6238,2.6397,607826.6
1702468800000,2.6397,2.7381,2.6313,2.7164,991745.5
1702483200000,2.7164,2.8661,2.6274,2.7826,1468549.9
1702497600000,2.7826,2.9377,2.7728,2.8333,1317198.9
1702512000000,2.8333,3.0867,2.7803,3.0238,1785667.7
1702526400000,3.0238,3.1767,2.9632,3.1237,1738362.8
1702540800000,3.1237,3.1325,2.9708,3.0395,1174888.5
1702555200000,3.0395,3.0404,2.7226,2.9003,1554272.3
1702569600000,2.9003,3.0435,2.9003,3.02,1285512.1
1702584000000,3.02,3.4571,2.9801,3.456,2444955.7
1702598400000,3.456,3.624,3.2876,3.3982,2935799.7
1702612800000,3.3982,3.4058,3.1567,3.2637,2024374.6
1702627200000,3.2637,3.4783,3.2028,3.3435,1731710.4
1702641600000,3.3435,3.35,2.9611,3.0805,2198992.4
1702656000000,3.0805,3.1545,2.9873,3.131,1234383.3
1702670400000,3.131,3.2433,2.8074,2.8379,1746665.8
1702684800000,2.8379,2.9555,2.7983,2.9266,895573.8
1702699200000,2.9266,2.9294,2.8541,2.9041,697735.6
1702713600000,2.9041,2.9774,2.9029,2.9509,684131.8
1702728000000,2.9509,3.0245,2.9171,2.9807,862621.3
1702742400000,2.9807,3.197,2.9139,2.9342,1904274.3
1702756800000,2.9342,2.9659,2.8802,2.9242,652189.5
1702771200000,2.9242,2.965,2.8289,2.8661,711149.4
1702785600000,2.8661,2.8863,2.7508,2.7575,750855.0
1702800000000,2.7575,2.8341,2.7304,2.7944,613548.6
1702814400000,2.7944,2.8241,2.6935,2.8064,1023105.6
1702828800000,2.8064,2.8681,2.7598,2.7723,702443.8
1702843200000,2.7723,2.8063,2.693,2.7027,437620.3
1702857600000,2.7027,2.7408,2.6137,2.6549,681223.8
1702872000000,2.6549,2.6829,2.4544,2.4623,1210940.4
1702886400000,2.4623,2.4824,2.2312,2.3577,1905170.6
1702900800000,2.3577,2.4515,2.3272,2.3728,1166664.8
1702915200000,2.3728,2.3955,2.3338,2.3671,596428.8
1702929600000,2.3671,2.5115,2.3426,2.5057,919653.5
1702944000000,2.5057,2.6532,2.466,2.5451,1081615.4
1702958400000,2.5451,2.5908,2.5115,2.5385,719280.7
1702972800000,2.5385,2.591,2.4363,2.4797,1185798.3
1702987200000,2.4797,2.4963,2.352,2.4294,1136548.9
1703001600000,2.4294,2.439,2.3604,2.4059,485390.2
1703016000000,2.4059,2.4076,2.3361,2.3735,381905.0
1703030400000,2.3735,2.4319,2.3347,2.3951,575665.7
1703044800000,2.3951,2.5241,2.3841,2.4712,785939.0
1703059200000,2.4712,2.6517,2.4363,2.5991,1270971.9
1703073600000,2.5991,2.736,2.5731,2.7087,2162898.2
1703088000000,2.7087,2.8227,2.6115,2.6723,1485681.7
1703102400000,2.6723,2.689,2.6025,2.6557,710100.8
1703116800000,2.6557,2.7717,2.5541,2.7121,1029149.9
1703131200000,2.7121,2.8888,2.6722,2.8424,1651189.0
1703145600000,2.8424,2.8925,2.7124,2.7764,1178768.3
1703160000000,2.7764,2.8006,2.6298,2.685,1030815.0
1703174400000,2.685,2.7649,2.6436,2.6732,683047.8
1703188800000,2.6732,2.8498,2.6651,2.824,677038.0
1703203200000,2.824,2.9396,2.7579,2.8097,1050928.8
1703217600000,2.8097,2.8822,2.5986,2.6297,1214333.2
1703232000000,2.6297,2.66,2.4541,2.5958,1489522.8
1703246400000,2.5958,2.6761,2.556,2.6309,1068720.8
1703260800000,2.6309,2.6315,2.5639,2.5775,450040.8
1703275200000,2.5775,2.6219,2.5619,2.6005,310196.0
1703289600000,2.6005,2.6355,2.49,2.5016,438334.0
1703304000000,2.5016,2.5627,2.4893,2.5503,341947.5
1703318400000,2.5503,2.5802,2.5161,2.5328,400800.2
1703332800000,2.5328,2.5689,2.5231,2.5536,392291.3
1703347200000,2.5536,2.6148,2.5211,2.5917,549643.3
1703361600000,2.5917,2.6599,2.545,2.6296,734738.3
1703376000000,2.6296,2.7205,2.6005,2.6833,878874.8
1703390400000,2.6833,2.7218,2.5511,2.5933,750883.4
1703404800000,2.5933,2.6463,2.5552,2.5816,685941.8
1703419200000,2.5816,2.6083,2.5248,2.5355,610308.2
1703433600000,2.5355,2.5597,2.5234,2.5457,387939.0
1703448000000,2.5457,2.5512,2.3593,2.4485,722499.2
1703462400000,2.4485,2.4891,2.421,2.457,377743.4
