time,open,high,low,close,volume
1706745600000,0.6559,0.6584,0.6233,0.6289,2232273.3
1706760000000,0.6289,0.6305,0.5638,0.5775,13580719.9
1706774400000,0.5775,0.6287,0.5525,0.6037,13948811.4
1706788800000,0.6037,0.6214,0.5838,0.5928,9254355.6
1706803200000,0.5928,0.6018,0.5651,0.5795,9048358.1
1706817600000,0.5795,0.6048,0.5738,0.6023,5339726.5
1706832000000,0.6023,0.6148,0.5825,0.5887,5358644.7
1706846400000,0.5887,0.6068,0.5773,0.6066,5156200.3
1706860800000,0.6066,0.6388,0.5939,0.6212,11778066.8
1706875200000,0.6212,0.6377,0.6014,0.6331,8973605.6
1706889600000,0.6331,0.6477,0.6042,0.6125,7142814.8
1706904000000,0.6125,0.623,0.6073,0.6172,2609302.1
1706918400000,0.6172,0.6207,0.5708,0.581,6078280.6
1706932800000,0.581,0.5991,0.5765,0.5804,4364977.9
1706947200000,0.5804,0.5853,0.5713,0.5757,3694679.3
1706961600000,0.5757,0.5795,0.5621,0.5734,4322487.4
1706976000000,0.5734,0.5804,0.5684,0.5716,2742169.3
1706990400000,0.5716,0.5758,0.5641,0.565,2049605.4
1707004800000,0.565,0.5727,0.5535,0.5695,2604365.6
1707019200000,0.5695,0.5706,0.5405,0.5437,5220936.4
1707033600000,0.5437,0.5576,0.5328,0.5536,5583245.4
1707048000000,0.5536,0.5678,0.5523,0.5596,4023602.0
1707062400000,0.5596,0.5632,0.5384,0.5414,2543817.6
1707076800000,0.5414,0.5464,0.5237,0.5303,2861845.6
1707091200000,0.5303,0.5355,0.5205,0.5346,2777311.4
1707105600000,0.5346,0.5565,0.5321,0.5516,3244541.3
1707120000000,0.5516,0.5678,0.5434,0.5648,4646804.8
1707134400000,0.5648,0.5711,0.5378,0.5391,4494435.2
1707148800000,0.5391,0.5484,0.5358,0.5385,2266356.1
1707163200000,0.5385,0.5435,0.5249,0.5412,2989334.7
1707177600000,0.5412,0.5431,0.5253,0.5313,2653841.6
1707192000000,0.5313,0.5334,0.5226,0.5323,1728093.0
1707206400000,0.5323,0.5377,0.5115,0.5184,3390076.5
1707220800000,0.5184,0.5233,0.5052,0.5214,2999331.6
1707235200000,0.5214,0.5318,0.5131,0.5293,2762002.8
1707249600000,0.5293,0.5407,0.5212,0.5317,2550732.2
1707264000000,0.5317,0.5426,0.5268,0.528,2254028.6
1707278400000,0.528,0.5294,0.5125,0.5158,2406619.1
1707292800000,0.5158,0.555,0.5147,0.5534,3454262.0
1707307200000,0.5534,0.604,0.545,0.5864,12312784.0
1707321600000,0.5864,0.5947,0.5677,0.5746,5756823.7
1707336000000,0.5746,0.579,0.5506,0.5545,4150790.9
1707350400000,0.5545,0.5619,0.543,0.5527,3156561.9
1707364800000,0.5527,0.5581,0.5313,0.5455,4177844.1
1707379200000,0.5455,0.5549,0.5393,0.5419,3501895.1
1707393600000,0.5419,0.5453,0.5287,0.5431,5002242.8
1707408000000,0.5431,0.5431,0.5216,0.5273,4401505.8
1707422400000,0.5273,0.5304,0.501,0.5098,3352786.3
1707436800000,0.5098,0.5113,0.489,0.5021,6103029.5
1707451200000,0.5021,0.5081,0.4982,0.5031,3545063.9
1707465600000,0.5031,0.5063,0.4911,0.5063,5608934.9
1707480000000,0.5063,0.5186,0.4937,0.5011,7429230.4
1707494400000,0.5011,0.5067,0.4958,0.5028,3509171.6
1707508800000,0.5028,0.5274,0.5028,0.5097,4040941.7
1707523200000,0.5097,0.5266,0.5096,0.5263,2355303.6
1707537600000,0.5263,0.5266,0.5126,0.514,1489542.2
1707552000000,0.514,0.5178,0.4958,0.5058,3795473.1
1707566400000,0.5058,0.5164,0.5026,0.5079,1599130.0
1707580800000,0.5079,0.5149,0.5071,0.5112,1436102.5
1707595200000,0.5112,0.5141,0.5009,0.5045,1541305.6
1707609600000,0.5045,0.5107,0.5018,0.5087,1241111.4
1707624000000,0.5087,0.5156,0.508,0.5115,1434396.7
1707638400000,0.5115,0.5221,0.5058,0.5168,3517037.0
1707652800000,0.5168,0.523,0.5064,0.5112,2876549.7
1707667200000,0.5112,0.5156,0.5065,0.5144,2309234.1
1707681600000,0.5144,0.5178,0.5015,0.5067,2012743.9
1707696000000,0.5067,0.5132,0.4918,0.5002,2267951.3
1707710400000,0.5002,0.5011,0.4931,0.4998,1431337.4
1707724800000,0.4998,0.5027,0.4328,0.476,8549485.2
1707739200000,0.476,0.4932,0.4667,0.4893,4415020.3
1707753600000,0.4893,0.5081,0.4858,0.4998,3369111.8
1707768000000,0.4998,0.5091,0.4998,0.5062,1786022.7
1707782400000,0.5062,0.517,0.4881,0.4949,2405541.3
1707796800000,0.4949,0.5071,0.4939,0.5051,1714365.7
1707811200000,0.5051,0.5136,0.4965,0.5003,2791015.1
1707825600000,0.5003,0.5013,0.4718,0.4822,4467135.8
1707840000000,0.4822,0.4844,0.4727,0.4802,2679744.0
1707854400000,0.4802,0.4878,0.4766,0.4794,1492806.7
1707868800000,0.4794,0.4833,0.4705,0.4832,1706466.5
1707883200000,0.4832,0.4941,0.4782,0.4925,2468550.1
1707897600000,0.4925,0.5054,0.4891,0.5028,4543813.2
1707912000000,0.5028,0.5188,0.4982,0.509,7614333.6
1707926400000,0.509,0.5156,0.5006,0.5151,3214845.7
1707940800000,0.5151,0.535,0.5139,0.5291,5652290.1
1707955200000,0.5291,0.5401,0.5146,0.5343,3684734.3
1707969600000,0.5343,0.5391,0.5194,0.5373,3349806.5
1707984000000,0.5373,0.5619,0.5313,0.5457,5580092.8
1707998400000,0.5457,0.5497,0.5175,0.5219,4718660.9
1708012800000,0.5219,0.5266,0.5061,0.5246,4099880.4
1708027200000,0.5246,0.5259,0.5077,0.5168,1737102.7
1708041600000,0.5168,0.5292,0.5111,0.5286,1831088.5
1708056000000,0.5286,0.5321,0.5126,0.5133,2098177.8
1708070400000,0.5133,0.5243,0.5073,0.5202,2943737.3
1708084800000,0.5202,0.5351,0.491,0.5108,4943576.8
1708099200000,0.5108,0.5204,0.5033,0.5048,1788868.0
1708113600000,0.5048,0.5164,0.5038,0.5141,1085777.1
1708128000000,0.5141,0.5185,0.5031,0.513,1384768.5
1708142400000,0.513,0.5216,0.507,0.5185,1606866.8
1708156800000,0.5185,0.5218,0.5052,0.5097,1439117.6
1708171200000,0.5097,0.5105,0.4815,0.4974,2778239.4
1708185600000,0.4974,0.5031,0.493,0.5016,1458677.0
1708200000000,0.5016,0.5065,0.5002,0.5036,1109330.5
1708214400000,0.5036,0.5078,0.4982,0.5066,1364046.6
1708228800000,0.5066,0.5184,0.5054,0.5147,3241566.5
1708243200000,0.5147,0.5344,0.5128,0.5311,3722696.1
1708257600000,0.5311,0.5381,0.5209,0.537,3302524.2
1708272000000,0.537,0.5564,0.5334,0.542,4869842.6
1708286400000,0.542,0.5478,0.5325,0.5346,2199188.5
1708300800000,0.5346,0.5417,0.5286,0.5379,1947349.9
1708315200000,0.5379,0.5549,0.536,0.5504,3585889.1
1708329600000,0.5504,0.5528,0.5289,0.5389,3305136.9
1708344000000,0.5389,0.543,0.5287,0.5331,3602285.3
1708358400000,0.5331,0.5388,0.5218,0.528,2707375.5
1708372800000,0.528,0.5355,0.5247,0.5265,2150843.8
1708387200000,0.5265,0.5303,0.5123,0.5136,2919385.3
1708401600000,0.5136,0.5248,0.5101,0.5172,1953618.3
1708416000000,0.5172,0.5288,0.5102,0.5263,2579529.4
1708430400000,0.5263,0.5286,0.4563,0.4984,6290007.4
1708444800000,0.4984,0.4988,0.4828,0.4968,2719097.5
1708459200000,0.4968,0.5098,0.4938,0.5055,1368524.3
1708473600000,0.5055,0.5059,0.4912,0.4947,1335576.2
1708488000000,0.4947,0.4955,0.4819,0.4855,2069492.8
1708502400000,0.4855,0.4887,0.4675,0.4697,3843654.4
1708516800000,0.4697,0.4782,0.456,0.4688,2498851.1
1708531200000,0.4688,0.47,0.4537,0.4621,1580608.1
1708545600000,0.4621,0.4766,0.459,0.4748,1102063.6
1708560000000,0.4748,0.4749,0.4562,0.4657,1838786.8
1708574400000,0.4657,0.4811,0.4652,0.4788,2340977.8
1708588800000,0.4788,0.4874,0.476,0.4812,2452261.2
1708603200000,0.4812,0.4838,0.4667,0.4791,2325942.9
1708617600000,0.4791,0.485,0.4718,0.4792,1860088.9
1708632000000,0.4792,0.4851,0.4676,0.469,1437860.5
1708646400000,0.469,0.4756,0.4634,0.4713,1618194.8
1708660800000,0.4713,0.4779,0.4662,0.4735,1816505.6
1708675200000,0.4735,0.4801,0.4703,0.4773,1993881.4
1708689600000,0.4773,0.5044,0.4675,0.4939,9052819.8
1708704000000,0.4939,0.4991,0.4703,0.4946,5743655.2
1708718400000,0.4946,0.4964,0.473,0.4811,1413616.8
1708732800000,0.4811,0.4867,0.4711,0.4833,2195889.4
1708747200000,0.4833,0.5121,0.4815,0.5097,3985660.4
1708761600000,0.5097,0.5164,0.5025,0.5143,3601858.2
1708776000000,0.5143,0.5248,0.4891,0.4898,5851058.4
1708790400000,0.4898,0.4998,0.489,0.496,2440368.0
1708804800000,0.496,0.4976,0.4899,0.4911,1364180.8
1708819200000,0.4911,0.498,0.4862,0.4931,1366759.2
1708833600000,0.4931,0.4995,0.4909,0.4941,1501247.7
1708848000000,0.4941,0.4964,0.4909,0.4947,982477.3
1708862400000,0.4947,0.4977,0.4909,0.4934,1671069.0
1708876800000,0.4934,0.4972,0.4905,0.4965,1014100.8
1708891200000,0.4965,0.4991,0.4938,0.4973,828726.5
1708905600000,0.4973,0.4976,0.4879,0.4941,1008391.0
1708920000000,0.4941,0.4953,0.4891,0.4896,1415431.8
1708934400000,0.4896,0.492,0.4732,0.4788,2596643.9
1708948800000,0.4788,0.4921,0.4743,0.4919,1650855.8
1708963200000,0.4919,0.5077,0.4895,0.5076,2893485.9
1708977600000,0.5076,0.5083,0.4984,0.5027,1372944.6
1708992000000,0.5027,0.5186,0.499,0.5073,4298538.7
1709006400000,0.5073,0.534,0.507,0.5221,5094285.9
1709020800000,0.5221,0.5291,0.5169,0.524,2908127.2
1709035200000,0.524,0.524,0.4967,0.5002,2889125.7
1709049600000,0.5002,0.5066,0.4905,0.5031,3185664.5
1709064000000,0.5031,0.5071,0.4994,0.5041,1176072.9
1709078400000,0.5041,0.5097,0.4974,0.4996,1587321.9
1709092800000,0.4996,0.5132,0.4995,0.512,1456135.2
1709107200000,0.512,0.5425,0.5026,0.5121,6821524.1
1709121600000,0.5121,0.5214,0.5093,0.5133,3581369.9
1709136000000,0.5133,0.5265,0.4502,0.4902,8365230.4
1709150400000,0.4902,0.5108,0.4853,0.5106,2283129.3
1709164800000,0.5106,0.5503,0.5071,0.5469,6105553.3
1709179200000,0.5469,0.5658,0.5348,0.5505,7469732.9
1709193600000,0.5505,0.581,0.5475,0.5549,7239184.8
1709208000000,0.5549,0.593,0.5525,0.5738,7067420.2
1709222400000,0.5738,0.5773,0.5476,0.5651,4926723.3
1709236800000,0.5651,0.5691,0.5299,0.5469,2741397.5
1709251200000,0.5469,0.6312,0.5457,0.6228,9937617.4
1709265600000,0.6228,0.6389,0.5937,0.5962,6767200.5
1709280000000,0.5962,0.6304,0.5953,0.6299,4857813.3
1709294400000,0.6299,0.6464,0.6048,0.6102,7120860.3
1709308800000,0.6102,0.6199,0.604,0.6092,2731701.1
1709323200000,0.6092,0.62,0.6034,0.6151,1854913.6
1709337600000,0.6151,0.6249,0.5904,0.6037,3328015.6
1709352000000,0.6037,0.6085,0.5909,0.6022,2894285.6
1709366400000,0.6022,0.6089,0.5844,0.5916,3438469.9
1709380800000,0.5916,0.5972,0.5763,0.5821,2735910.9
1709395200000,0.5821,0.5977,0.5797,0.5977,2017454.5
1709409600000,0.5977,0.6032,0.5919,0.6026,3121676.5
1709424000000,0.6026,0.6279,0.593,0.6247,3216322.0
1709438400000,0.6247,0.6335,0.5411,0.5832,4906247.9
1709452800000,0.5832,0.6065,0.5731,0.5972,3244664.0
1709467200000,0.5972,0.6264,0.5909,0.6253,3499119.9
1709481600000,0.6253,0.6426,0.616,0.6292,3119097.4
1709496000000,0.6292,0.6439,0.6236,0.6325,1405488.4
1709510400000,0.6325,0.649,0.608,0.6093,3961875.6
1709524800000,0.6093,0.6174,0.6054,0.6119,2092633.4
1709539200000,0.6119,0.6239,0.5965,0.6057,3581816.8
1709553600000,0.6057,0.6146,0.5894,0.603,2426696.9
1709568000000,0.603,0.6046,0.567,0.5918,4173568.9
1709582400000,0.5918,0.5985,0.582,0.5898,1461910.0
1709596800000,0.5898,0.5942,0.5706,0.5784,2211037.1
1709611200000,0.5784,0.6074,0.5692,0.5875,4343792.5
1709625600000,0.5875,0.6064,0.5815,0.5998,1912036.8
1709640000000,0.5998,0.6313,0.5846,0.6124,5169535.3
1709654400000,0.6124,0.6239,0.47,0.5366,8584715.3
1709668800000,0.5366,0.5813,0.5239,0.5774,4270066.5
1709683200000,0.5774,0.5813,0.5354,0.5499,2114860.0
1709697600000,0.5499,0.5927,0.5483,0.5916,2292128.4
1709712000000,0.5916,0.5978,0.5748,0.5874,2017906.3
1709726400000,0.5874,0.589,0.5548,0.5719,2187287.8
1709740800000,0.5719,0.5817,0.5681,0.5755,1822116.5
1709755200000,0.5755,0.5939,0.573,0.5892,1259134.8
1709769600000,0.5892,0.6494,0.5858,0.6272,4400257.8
1709784000000,0.6272,0.692,0.6234,0.6662,7699860.0
1709798400000,0.6662,0.7165,0.6597,0.6949,6818469.4
1709812800000,0.6949,0.7754,0.6871,0.7361,13149937.9
1709827200000,0.7361,0.7735,0.7318,0.7729,5578571.6
1709841600000,0.7729,0.7847,0.7378,0.7435,4547089.1
1709856000000,0.7435,0.7707,0.7076,0.715,4185815.6
1709870400000,0.715,0.7223,0.7063,0.7166,1764702.9
1709884800000,0.7166,0.7366,0.7097,0.7359,2192966.6
1709899200000,0.7359,0.7678,0.6769,0.7158,5313773.4
1709913600000,0.7158,0.7536,0.7116,0.7346,3272092.3
1709928000000,0.7346,0.7367,0.7153,0.7198,884403.3
1709942400000,0.7198,0.737,0.7065,0.7199,1432257.5
1709956800000,0.7199,0.7701,0.7164,0.7663,3225288.2
1709971200000,0.7663,0.7906,0.7451,0.7544,3674601.3
1709985600000,0.7544,0.7878,0.7424,0.7715,3514749.7
1710000000000,0.7715,0.7746,0.7359,0.7387,2123366.1
1710014400000,0.7387,0.7499,0.7373,0.742,837545.0
1710028800000,0.742,0.7644,0.7374,0.7536,1731126.3
