time,open,high,low,close,volume
1740052800000,1.5724,1.7118,0.8693,0.9146,64206.221
1740067200000,0.9146,1.3179,0.8897,1.2323,122841.982
1740081600000,1.2323,2.0789,1.1969,1.6447,114192.997
1740096000000,1.6447,1.6447,1.2652,1.3523,38213.014
1740110400000,1.3523,1.7135,1.3427,1.5763,38692.585
1740124800000,1.5763,1.9829,1.5321,1.8287,61261.976
1740139200000,1.8287,2.1,1.6842,1.8181,52757.413
1740153600000,1.8181,2.0232,1.6165,1.6603,36002.06
1740168000000,1.6603,1.7379,1.4304,1.4414,23137.636
1740182400000,1.4414,1.915,1.3664,1.6983,30941.103
1740196800000,1.6983,1.7913,1.659,1.7138,13989.805
1740211200000,1.7138,1.741,1.5321,1.6186,15552.994
1740225600000,1.6186,1.7121,1.5609,1.5818,12609.55
1740240000000,1.5818,1.7075,1.547,1.6528,13942.032
1740254400000,1.6528,1.6529,1.5153,1.5413,10838.36
1740268800000,1.5413,1.5884,1.4656,1.5081,12949.714
1740283200000,1.5081,1.5744,1.4846,1.5447,9574.64
1740297600000,1.5447,1.5758,1.5156,1.5347,5261.106
1740312000000,1.5347,1.555,1.4717,1.4829,8364.598
1740326400000,1.4829,1.6394,1.4442,1.5564,14362.782
1740340800000,1.5564,1.6381,1.4794,1.5709,16209.04
1740355200000,1.5709,1.7307,1.5246,1.6932,13529.448
1740369600000,1.6932,1.7474,1.6129,1.6676,18833.09
1740384000000,1.6676,1.8881,1.6534,1.8653,19779.341
1740398400000,1.8653,2.0762,1.7439,1.8113,43929.1
1740412800000,1.8113,1.8895,1.7233,1.7515,21985.863
1740427200000,1.7515,1.8016,1.6421,1.7154,13299.891
1740441600000,1.7154,1.7804,1.6147,1.7208,19281.531
1740456000000,1.7208,1.8595,1.6819,1.7747,18129.185
1740470400000,1.7747,1.8714,1.7073,1.7488,20239.864
1740484800000,1.7488,1.7517,1.6049,1.6571,14524.859
1740499200000,1.6571,1.7016,1.628,1.6928,13000.085
1740513600000,1.6928,1.8097,1.6754,1.7311,9971.962
