time,open,high,low,close,volume
1704672000000,0.10103,0.10173,0.09758,0.1016,2110188.0
1704686400000,0.1016,0.10412,0.10127,0.10133,2342365.0
1704700800000,0.10133,0.10525,0.1007,0.10503,2040917.0
1704715200000,0.10503,0.10638,0.10303,0.10398,2163407.0
1704729600000,0.10398,0.11205,0.10225,0.11195,2977491.0
1704744000000,0.11195,0.11575,0.10893,0.11342,4054762.0
1704758400000,0.11342,0.11542,0.11044,0.11339,2094272.0
1704772800000,0.11339,0.1147,0.1112,0.1138,2299013.0
1704787200000,0.1138,0.11712,0.11274,0.11688,2615712.0
1704801600000,0.11688,0.11689,0.11247,0.115,3972987.0
1704816000000,0.115,0.11576,0.11093,0.11126,1864862.0
1704830400000,0.11126,0.1138,0.10819,0.11109,3234789.0
1704844800000,0.11109,0.11474,0.11106,0.11183,1741766.0
1704859200000,0.11183,0.11363,0.11183,0.11272,1231099.0
1704873600000,0.11272,0.11406,0.11105,0.11302,1997724.0
1704888000000,0.11302,0.11385,0.10956,0.1128,2366756.0
1704902400000,0.1128,0.11626,0.11235,0.11585,2504504.0
1704916800000,0.11585,0.12333,0.11297,0.11987,7342490.0
1704931200000,0.11987,0.12001,0.11582,0.1182,2169421.0
1704945600000,0.1182,0.11828,0.11455,0.11709,1521024.0
1704960000000,0.11709,0.11995,0.11559,0.11994,2431275.0
1704974400000,0.11994,0.12986,0.11991,0.12425,8823539.0
1704988800000,0.12425,0.1249,0.11894,0.12307,3689438.0
1705003200000,0.12307,0.12415,0.12068,0.12291,1644151.0
1705017600000,0.12291,0.12556,0.1209,0.12148,2543656.0
1705032000000,0.12148,0.12367,0.12051,0.12174,1624368.0
1705046400000,0.12174,0.12416,0.12048,0.12263,2073235.0
1705060800000,0.12263,0.12359,0.11732,0.11873,2735731.0
1705075200000,0.11873,0.12001,0.11513,0.11736,2867020.0
1705089600000,0.11736,0.11806,0.11074,0.1156,2466191.0
1705104000000,0.1156,0.11585,0.11261,0.11327,1222720.0
1705118400000,0.11327,0.11674,0.11265,0.11625,1167038.0
