time,open,high,low,close,volume
1642435200000,5.4181,5.4555,5.3173,5.4005,182868.44
1642449600000,5.4003,5.4575,5.2361,5.3221,251198.56
1642464000000,5.3203,5.6352,5.3203,5.4937,196413.39
1642478400000,5.4928,5.7752,5.4256,5.6436,245682.05
1642492800000,5.646,5.7656,5.5395,5.6036,170405.38
1642507200000,5.6038,5.6595,5.2964,5.3054,164721.89
1642521600000,5.2998,5.3024,4.9735,5.0211,173315.09
1642536000000,5.0225,5.1014,4.9287,5.0207,162416.46
1642550400000,5.0217,5.0277,4.8309,4.8529,138882.35
1642564800000,4.8524,4.8738,4.6181,4.6356,202067.78
1642579200000,4.6417,4.7606,4.6092,4.7275,201714.89
1642593600000,4.7308,4.7633,4.6486,4.6717,360407.36
1642608000000,4.6711,4.7277,4.613,4.7144,330764.76
1642622400000,4.7061,4.7072,4.491,4.4996,413966.82
1642636800000,4.4991,4.5761,4.438,4.4697,342722.39
1642651200000,4.4652,4.4821,4.3655,4.4344,339655.85
1642665600000,4.4346,4.4361,4.383,4.4283,526135.23
1642680000000,4.4184,4.5701,4.3388,4.5259,481199.59
1642694400000,4.5287,4.5454,4.4481,4.4739,529238.18
1642708800000,4.4779,4.4802,4.0669,4.1063,502968.05
1642723200000,4.0862,4.1883,3.8522,3.8918,388463.09
1642737600000,3.895,3.9808,3.895,3.9676,316060.94
1642752000000,3.9694,4.1322,3.9589,4.1268,530891.95
1642766400000,4.125,4.1898,3.8941,4.1751,297268.23
1642780800000,4.16,4.1948,4.0369,4.0711,231611.82
1642795200000,4.0765,4.1913,3.6702,3.78,197816.6
1642809600000,3.7785,4.0921,3.7045,3.9112,254343.53
1642824000000,3.9222,3.9455,3.3428,3.3555,404964.36
1642838400000,3.3544,3.4645,3.0101,3.3006,281479.53
1642852800000,3.3009,3.4898,3.1927,3.1931,146729.23
1642867200000,3.1978,3.3161,3.0946,3.1466,132081.03
1642881600000,3.1464,3.3321,3.1246,3.2554,167353.16
1642896000000,3.2569,3.3485,3.1959,3.2603,117859.99
1642910400000,3.2615,3.4055,3.2368,3.3712,106970.63
1642924800000,3.3731,3.47,3.3485,3.3698,130434.6
1642939200000,3.368,3.3969,3.2128,3.2867,125630.28
1642953600000,3.2851,3.3451,3.1696,3.1816,216076.24
1642968000000,3.1754,3.3935,3.1627,3.3923,175775.73
1642982400000,3.3855,3.3855,3.1287,3.1397,72804.3
1642996800000,3.1477,3.1675,2.9679,2.9714,1695435.28
1643011200000,2.9679,3.0601,2.8598,2.9524,1204669.65
1643025600000,2.9508,3.0334,2.8089,3.0284,602922.99
1643040000000,3.0263,3.1467,2.9812,3.1444,869424.37
1643054400000,3.1455,3.2515,3.1305,3.2295,1070928.15
1643068800000,3.2278,3.3403,3.1585,3.2736,570798.38
1643083200000,3.2762,3.2785,3.188,3.2278,766093.58
1643097600000,3.2247,3.3165,3.2123,3.2616,1021051.46
1643112000000,3.2584,3.2719,3.1274,3.2135,914415.11
1643126400000,3.2149,3.2765,3.195,3.2202,725330.7
1643140800000,3.2156,3.2165,3.1175,3.1792,1020824.52
1643155200000,3.1849,3.2277,3.1358,3.2266,823691.22
1643169600000,3.2261,3.2881,3.2261,3.2579,971832.85
1643184000000,3.2591,3.3204,3.2499,3.2954,932363.28
1643198400000,3.2953,3.3629,3.2687,3.3246,1038972.13
1643212800000,3.3228,3.4694,3.2462,3.3383,811153.04
1643227200000,3.3376,3.3376,3.1276,3.1962,1210191.07
1643241600000,3.1995,3.281,3.0164,3.0417,915779.69
1643256000000,3.036,3.1352,3.027,3.1276,961802.51
