time,open,high,low,close,volume
1785988800000,310.81,310.95,309.12,310.3,9.54
1786003200000,310.3,310.3,310.3,310.3,0.0
1786017600000,310.3,322.86,301.34,318.98,121.95
1786032000000,318.98,321.52,313.81,315.42,133.16
1786046400000,315.42,320.18,311.03,314.08,110.98
1786060800000,314.08,318.02,281.58,295.87,186.33
1786075200000,295.87,308.21,294.51,302.49,144.39
1786089600000,302.49,307.61,302.42,306.13,129.55
1786104000000,306.13,316.19,292.13,300.29,153.82
1786118400000,300.29,302.55,298.41,299.28,132.12
1786132800000,299.28,299.3,294.69,294.83,108.66
1786147200000,294.83,299.66,294.71,298.8,106.77
1786161600000,298.8,299.53,297.16,298.06,106.33
1786176000000,298.06,298.89,297.14,298.25,104.54
1786190400000,298.25,299.48,297.6,298.93,103.34
1786204800000,298.93,299.87,298.72,299.56,102.34
1786219200000,299.56,300.59,299.44,300.31,103.31
1786233600000,300.31,300.68,298.94,299.79,103.38
1786248000000,299.79,301.42,299.07,301.05,106.14
1786262400000,301.05,301.34,299.31,300.09,103.88
1786276800000,300.09,301.47,299.68,301.21,104.62
1786291200000,301.21,303.76,300.75,303.37,103.1
1786305600000,303.37,303.72,298.14,298.14,115.29
1786320000000,298.14,309.94,295.91,307.49,156.74
1786334400000,307.49,310.28,302.74,306.56,126.5
1786348800000,306.56,307.37,294.33,294.53,126.21
1786363200000,294.53,300.99,293.84,295.31,158.34
1786377600000,295.31,295.57,292.91,292.97,112.53
1786392000000,292.97,293.29,287.08,289.19,118.6
1786406400000,289.19,296.06,288.36,293.21,122.66
1786420800000,293.21,295.51,292.59,295.09,107.16
1786435200000,295.09,295.99,289.06,295.86,109.52
1786449600000,295.86,305.99,293.98,299.94,133.58
1786464000000,299.94,303.66,298.42,302.55,115.56
1786478400000,302.55,305.29,298.88,302.81,117.57
1786492800000,302.81,325.17,296.57,316.99,150.76
1786507200000,316.99,318.6,310.34,314.81,123.46
1786521600000,314.81,318.9,313.9,318.86,125.36
1786536000000,318.86,330.19,318.43,326.54,171.86
1786550400000,326.54,327.46,322.71,326.13,118.95
1786564800000,326.13,330.37,326.11,329.96,111.42
1786579200000,329.96,348.79,329.52,337.32,189.84
1786593600000,337.32,338.77,323.17,326.69,128.47
1786608000000,326.69,331.63,324.43,331.45,133.11
1786622400000,331.45,365.66,328.35,357.16,186.26
1786636800000,357.16,363.5,354.76,356.11,125.91
1786651200000,356.11,361.68,350.01,352.13,124.26
1786665600000,352.13,353.7,334.55,337.43,156.15
1786680000000,337.43,341.1,335.05,339.3,115.96
1786694400000,339.3,351.11,338.38,349.48,117.51
1786708800000,349.48,349.87,336.0,338.94,131.25
1786723200000,338.94,341.2,337.85,339.6,114.26
1786737600000,339.6,341.52,338.56,341.34,117.51
1786752000000,341.34,343.09,340.26,342.51,103.59
1786766400000,342.51,342.83,340.95,342.48,101.5
1786780800000,342.48,342.59,340.43,341.34,104.26
1786795200000,341.34,341.71,341.19,341.63,105.07
1786809600000,341.63,342.3,340.71,341.66,100.53
1786824000000,341.66,342.32,340.95,341.61,102.23
1786838400000,341.61,344.46,341.32,343.91,102.71
1786852800000,343.91,344.72,343.03,343.86,108.27
1786867200000,343.86,343.97,342.27,342.95,102.72
1786881600000,342.95,342.96,340.74,342.11,101.11
1786896000000,342.11,343.59,341.85,343.32,101.5
1786910400000,343.32,345.29,341.87,344.76,103.92
1786924800000,344.76,366.51,344.76,365.58,155.02
1786939200000,365.58,394.7,365.08,392.17,152.82
1786953600000,392.17,393.16,387.52,388.03,142.46
1786968000000,388.03,405.82,384.05,402.72,217.99
1786982400000,402.72,403.84,392.14,392.25,145.63
1786996800000,392.25,405.62,392.24,394.37,153.0
1787011200000,394.37,397.9,356.34,371.6,303.84
1787025600000,371.6,372.41,357.75,360.9,159.98
1787040000000,360.9,360.91,354.36,356.85,153.02
1787054400000,356.85,358.16,341.39,344.13,165.31
1787068800000,344.13,347.61,338.48,339.0,119.68
1787083200000,339.0,339.79,328.81,329.06,150.88
1787097600000,329.06,337.23,319.92,322.22,200.05
1787112000000,322.22,331.29,312.42,329.87,185.24
1787126400000,329.87,331.21,322.72,326.69,141.2
