time,open,high,low,close,volume
1782216000000,249.58,251.34,240.59,242.73,183.44
1782230400000,242.73,247.69,242.17,245.0,167.9
1782244800000,245.0,247.63,244.27,245.75,133.81
1782259200000,245.75,250.92,244.75,246.24,154.42
1782273600000,246.24,247.75,245.17,245.81,145.61
1782288000000,245.81,248.43,245.79,247.75,125.95
1782302400000,247.75,248.18,238.61,240.36,187.53
1782316800000,240.36,241.87,235.55,240.34,166.3
1782331200000,240.34,255.94,239.81,255.35,212.86
1782345600000,255.35,255.51,249.54,250.78,161.33
1782360000000,250.78,253.11,250.14,252.79,146.09
1782374400000,252.79,254.7,251.48,252.11,123.4
1782388800000,252.11,255.76,243.72,253.19,215.4
1782403200000,253.19,260.57,253.14,258.62,157.48
1782417600000,258.62,260.55,255.91,258.38,148.23
1782432000000,258.38,259.09,248.99,251.08,186.87
1782446400000,251.08,254.33,250.03,253.94,142.26
1782460800000,253.94,253.95,249.75,250.09,161.84
1782475200000,250.09,251.76,244.59,246.64,199.38
1782489600000,246.64,249.9,244.57,248.88,159.67
1782504000000,248.88,249.65,246.88,248.31,120.18
1782518400000,248.31,250.59,248.31,250.06,114.91
1782532800000,250.06,252.5,249.85,252.39,115.14
1782547200000,252.39,257.36,252.26,255.99,123.7
1782561600000,255.99,258.51,247.14,247.69,216.35
1782576000000,247.69,248.97,245.88,248.23,139.18
1782590400000,248.23,250.79,248.23,249.96,124.24
1782604800000,249.96,251.31,249.85,251.0,108.66
1782619200000,251.0,253.5,248.43,249.56,148.29
1782633600000,249.56,252.89,248.4,252.38,123.98
1782648000000,252.38,258.03,252.09,257.61,131.16
1782662400000,257.61,258.78,257.28,258.4,122.67
1782676800000,258.4,258.9,254.38,255.47,157.98
1782691200000,255.47,255.67,248.93,251.23,148.69
1782705600000,251.23,257.49,249.03,256.44,135.17
1782720000000,256.44,257.65,254.29,254.63,160.32
1782734400000,254.63,271.8,249.91,271.27,232.69
1782748800000,271.27,280.06,271.16,279.0,167.8
1782763200000,279.0,280.01,277.41,279.76,124.65
1782777600000,279.76,286.93,277.25,284.2,168.86
1782792000000,284.2,287.43,280.96,281.24,185.02
1782806400000,281.24,286.2,280.3,284.14,328.53
1782820800000,284.14,298.43,280.36,295.13,384.18
1782835200000,295.13,307.47,294.69,302.3,250.44
1782849600000,302.3,306.06,302.15,305.73,177.53
1782864000000,305.73,306.85,298.44,303.01,230.67
1782878400000,303.01,304.04,295.15,298.65,206.04
1782892800000,298.65,300.55,295.28,296.86,181.06
1782907200000,296.86,296.89,270.66,271.05,457.1
1782921600000,271.05,272.08,260.15,266.78,283.09
1782936000000,266.78,272.28,264.36,267.85,184.13
1782950400000,267.85,276.02,264.9,270.29,228.25
1782964800000,270.29,270.7,258.36,261.19,245.63
1782979200000,261.19,269.27,258.86,268.34,233.88
1782993600000,268.34,277.21,240.1,241.12,673.39
1783008000000,241.12,241.48,228.54,235.46,386.69
1783022400000,235.46,238.77,235.46,237.58,167.94
1783036800000,237.58,239.18,236.42,236.49,188.78
1783051200000,236.49,246.56,236.49,246.43,200.14
1783065600000,246.43,251.78,244.53,251.09,302.25
1783080000000,251.09,252.94,251.0,252.74,231.55
1783094400000,252.74,254.06,252.73,253.56,184.49
1783108800000,253.56,254.45,252.92,253.64,191.05
1783123200000,253.64,254.14,252.71,252.82,157.19
1783137600000,252.82,254.99,252.22,252.22,193.16
1783152000000,252.22,253.8,250.01,251.6,219.32
1783166400000,251.6,253.01,251.32,252.27,172.37
1783180800000,252.27,253.31,252.04,253.31,157.13
1783195200000,253.31,253.45,252.79,253.14,134.98
1783209600000,253.14,253.63,252.91,253.1,142.02
1783224000000,253.1,253.7,253.1,253.7,137.61
1783238400000,253.7,253.79,253.19,253.31,139.76
1783252800000,253.31,253.48,252.11,252.26,127.04
1783267200000,252.26,252.45,250.02,251.16,152.96
1783281600000,251.16,253.2,249.45,249.74,180.5
1783296000000,249.74,252.1,239.13,240.69,316.31
1783310400000,240.69,245.73,239.7,245.35,168.03
1783324800000,245.35,248.7,242.77,246.97,166.31
1783339200000,246.97,251.06,235.87,237.12,364.58
1783353600000,237.12,237.67,231.45,233.65,210.46
1783368000000,233.65,234.48,230.37,230.38,186.43
1783382400000,230.38,231.92,224.16,225.33,246.62
1783396800000,225.33,227.03,222.19,224.53,208.3
1783411200000,224.53,225.13,220.86,221.32,183.33
1783425600000,221.32,223.35,211.33,217.88,475.04
1783440000000,217.88,220.74,212.41,216.92,225.71
1783454400000,216.92,218.37,214.94,215.01,234.73
1783468800000,215.01,222.57,214.34,220.64,182.43
1783483200000,220.64,220.76,213.9,216.38,184.45
1783497600000,216.38,218.6,208.26,211.41,241.14
1783512000000,211.41,222.23,210.68,216.05,287.19
1783526400000,216.05,223.18,216.05,221.34,169.47
1783540800000,221.34,222.98,219.76,222.74,138.62
1783555200000,222.74,225.4,217.95,221.78,192.49
1783569600000,221.78,227.83,221.02,226.68,139.6
1783584000000,226.68,232.72,226.18,232.13,164.34
1783598400000,232.13,247.06,231.96,235.76,349.6
1783612800000,235.76,236.84,227.94,229.38,227.21
1783627200000,229.38,231.94,229.38,231.1,140.53
1783641600000,231.1,231.19,225.87,230.05,164.48
1783656000000,230.05,231.19,226.41,226.44,133.1
1783670400000,226.44,227.96,223.6,225.6,158.56
1783684800000,225.6,229.19,221.11,227.83,231.76
1783699200000,227.83,231.68,227.83,231.27,159.34
1783713600000,231.27,231.64,230.7,231.39,129.19
1783728000000,231.39,231.46,230.64,230.7,121.91
1783742400000,230.7,231.92,230.61,231.76,110.55
1783756800000,231.76,233.64,231.57,233.17,115.36
1783771200000,233.17,233.58,232.76,233.04,107.52
1783785600000,233.04,233.27,232.32,232.83,109.94
1783800000000,232.83,233.05,232.47,232.68,104.95
1783814400000,232.68,233.41,232.1,233.08,110.35
1783828800000,233.08,237.88,232.75,235.43,136.83
1783843200000,235.43,236.84,234.82,235.97,115.4
1783857600000,235.97,236.35,234.96,235.31,108.63
1783872000000,235.31,235.99,234.94,235.71,106.12
1783886400000,235.71,235.75,233.04,233.29,115.23
1783900800000,233.29,233.3,222.28,223.88,244.51
1783915200000,223.88,224.74,219.85,221.23,186.77
1783929600000,221.23,225.43,220.94,224.16,137.58
1783944000000,224.16,226.8,219.41,221.83,240.33
