time,open,high,low,close,volume
1652270400000,1.583,1.879,1.504,1.609,546123.29
1652284800000,1.608,1.626,1.501,1.504,665360.26
1652299200000,1.503,1.594,1.398,1.521,980850.25
1652313600000,1.521,1.685,1.399,1.412,679990.01
1652328000000,1.411,1.44,1.239,1.44,495249.83
1652342400000,1.444,1.467,1.257,1.429,511824.21
1652356800000,1.429,1.652,1.407,1.506,560412.21
1652371200000,1.505,1.541,1.302,1.368,778978.07
1652385600000,1.368,1.446,1.31,1.408,403165.63
1652400000000,1.409,1.629,1.383,1.625,866300.59
1652414400000,1.625,1.728,1.578,1.61,581347.27
1652428800000,1.61,1.689,1.58,1.635,577761.05
1652443200000,1.636,1.793,1.627,1.69,488009.13
1652457600000,1.69,1.801,1.429,1.501,345719.28
1652472000000,1.501,1.509,1.481,1.498,486794.05
1652486400000,1.499,1.553,1.441,1.447,334599.16
1652500800000,1.447,1.478,1.406,1.411,450186.81
1652515200000,1.411,1.439,1.368,1.369,358758.87
1652529600000,1.369,1.425,1.331,1.334,292297.86
1652544000000,1.333,1.41,1.332,1.403,329459.22
1652558400000,1.403,1.498,1.383,1.49,647458.33
1652572800000,1.489,1.535,1.422,1.424,667928.49
1652587200000,1.422,1.426,1.339,1.359,397548.57
1652601600000,1.358,1.433,1.355,1.431,576729.59
1652616000000,1.431,1.487,1.376,1.39,479209.74
1652630400000,1.39,1.425,1.369,1.394,390555.67
1652644800000,1.394,1.515,1.391,1.474,637239.75
1652659200000,1.474,1.509,1.422,1.474,240565.46
1652673600000,1.474,1.493,1.391,1.395,399235.87
1652688000000,1.394,1.464,1.37,1.371,569180.77
1652702400000,1.371,1.384,1.34,1.375,513860.89
1652716800000,1.376,1.461,1.368,1.402,270860.46
1652731200000,1.401,1.44,1.399,1.429,247666.29
1652745600000,1.43,1.499,1.429,1.495,488247.43
1652760000000,1.496,1.508,1.438,1.461,254229.11
1652774400000,1.46,1.512,1.453,1.491,443397.0
1652788800000,1.491,1.549,1.469,1.494,802885.06
1652803200000,1.495,1.51,1.386,1.426,621924.51
1652817600000,1.427,1.558,1.418,1.53,368212.57
1652832000000,1.529,1.622,1.519,1.559,498371.16
1652846400000,1.558,1.561,1.501,1.504,243681.35
1652860800000,1.504,1.524,1.467,1.469,247286.06
1652875200000,1.469,1.469,1.378,1.381,454738.75
1652889600000,1.382,1.445,1.373,1.445,364823.09
1652904000000,1.445,1.446,1.364,1.365,235042.51
