time,open,high,low,close,volume
1644105600000,17.76,18.17,17.72,17.96,59941.45
1644120000000,17.95,18.03,17.7,17.87,61640.51
1644134400000,17.87,17.99,17.71,17.75,43594.81
1644148800000,17.76,17.98,17.19,17.45,164461.48
1644163200000,17.46,17.64,17.37,17.59,48364.35
1644177600000,17.6,18.08,17.51,18.06,96166.41
1644192000000,18.06,18.55,17.67,18.48,137132.39
1644206400000,18.48,18.94,18.44,18.66,106971.75
1644220800000,18.66,18.7,18.34,18.48,61035.52
1644235200000,18.48,19.08,18.35,19.06,160839.37
1644249600000,19.07,19.39,18.91,19.19,216930.76
1644264000000,19.19,19.25,18.77,18.87,86460.93
1644278400000,18.89,19.02,18.55,19.01,76059.12
1644292800000,19.01,19.51,18.88,18.93,208387.29
1644307200000,18.93,18.95,18.02,18.27,180619.88
1644321600000,18.27,18.27,17.75,17.99,126281.9
1644336000000,18.02,18.23,17.76,18.03,113809.99
1644350400000,18.02,18.54,17.99,18.37,70112.66
1644364800000,18.4,18.5,17.88,17.93,73274.07
1644379200000,17.93,18.2,17.75,18.15,57156.77
1644393600000,18.14,18.37,17.94,18.35,69573.71
1644408000000,18.34,18.64,18.27,18.48,159270.56
1644422400000,18.48,18.72,18.38,18.66,60239.7
1644436800000,18.69,18.73,18.57,18.67,51690.75
1644451200000,18.67,18.69,18.0,18.09,80501.34
1644465600000,18.08,18.24,18.01,18.24,43097.0
1644480000000,18.25,18.76,18.21,18.64,49608.73
1644494400000,18.64,18.68,17.38,18.18,319840.0
1644508800000,18.17,18.45,17.71,17.72,189442.61
1644523200000,17.71,17.84,17.36,17.51,81995.2
1644537600000,17.5,17.52,17.14,17.31,101447.9
1644552000000,17.31,17.52,17.17,17.49,43738.75
1644566400000,17.48,17.64,17.24,17.58,102679.66
1644580800000,17.58,17.8,17.53,17.69,86919.91
1644595200000,17.69,17.72,16.77,16.8,123254.09
1644609600000,16.79,16.83,15.92,16.2,127161.7
1644624000000,16.2,16.31,16.02,16.14,43616.25
1644638400000,16.14,16.24,15.62,15.91,76546.96
1644652800000,15.92,16.15,15.73,16.11,47726.6
1644667200000,16.11,16.15,15.57,15.86,74142.16
1644681600000,15.85,16.38,15.76,16.2,81933.7
1644696000000,16.21,16.33,15.7,15.95,49867.6
1644710400000,15.95,16.19,15.86,15.95,21324.74
1644724800000,15.96,16.19,15.84,16.17,19473.48
1644739200000,16.18,16.32,16.13,16.23,36019.07
1644753600000,16.23,16.31,15.97,16.07,40016.49
1644768000000,16.07,16.08,15.53,15.64,72074.22
1644782400000,15.65,15.92,15.59,15.61,63230.64
1644796800000,15.62,15.7,15.23,15.36,77242.42
1644811200000,15.35,15.65,15.29,15.65,18268.6
1644825600000,15.65,15.74,15.48,15.54,31068.98
1644840000000,15.56,16.11,15.45,15.79,52930.36
1644854400000,15.81,15.98,15.21,15.34,88443.56
1644868800000,15.34,16.02,15.27,15.9,57453.65
1644883200000,15.9,16.53,15.82,16.41,109926.96
1644897600000,16.42,16.46,16.28,16.42,52259.78
1644912000000,16.42,16.91,16.42,16.76,92134.96
1644926400000,16.75,17.04,16.73,16.96,84905.92
1644940800000,16.97,17.09,16.82,16.92,64552.7
1644955200000,16.92,17.45,16.73,17.35,55457.88
1644969600000,17.35,17.4,16.91,17.01,41210.78
1644984000000,17.01,17.21,16.79,17.18,34549.68
1644998400000,17.18,17.33,17.01,17.1,34718.92
1645012800000,17.09,17.14,16.53,16.66,66737.28
1645027200000,16.67,17.28,16.52,17.25,89202.47
1645041600000,17.27,17.37,17.09,17.13,61227.6
1645056000000,17.12,17.44,17.11,17.11,42753.19
1645070400000,17.1,17.1,16.72,16.99,62515.94
1645084800000,16.99,17.05,16.43,16.54,74639.59
1645099200000,16.53,16.63,16.03,16.15,125055.3
1645113600000,16.15,16.24,15.49,15.77,136197.3
1645128000000,15.74,15.84,15.47,15.58,81549.57
1645142400000,15.6,15.88,15.47,15.85,48411.98
1645156800000,15.86,16.03,15.74,15.87,73791.33
1645171200000,15.87,16.04,15.62,15.64,71587.89
1645185600000,15.65,15.76,15.13,15.22,113855.0
1645200000000,15.2,15.49,15.03,15.34,159789.05
1645214400000,15.36,15.38,15.11,15.19,39439.45
1645228800000,15.18,15.48,15.13,15.36,32451.53
1645243200000,15.37,15.54,15.32,15.48,30146.04
1645257600000,15.48,15.5,14.91,15.0,50470.16
1645272000000,14.99,15.38,14.84,15.35,83663.58
1645286400000,15.35,15.67,15.24,15.3,86158.02
1645300800000,15.3,15.56,15.29,15.51,53827.77
1645315200000,15.52,15.53,14.99,14.99,47845.34
1645329600000,14.99,15.01,14.41,14.73,134482.18
1645344000000,14.74,14.78,14.44,14.77,102178.91
1645358400000,14.77,14.96,14.42,14.69,78559.95
1645372800000,14.68,14.9,14.58,14.81,82415.39
1645387200000,14.81,14.9,14.47,14.61,61673.82
1645401600000,14.61,15.25,14.52,15.02,78103.22
1645416000000,15.03,15.31,15.03,15.2,63381.85
1645430400000,15.19,15.28,14.12,14.28,164356.38
1645444800000,14.27,15.05,13.95,14.74,310406.87
1645459200000,14.74,14.84,14.02,14.26,206476.95
