time,open,high,low,close,volume
1774440000000,820.05,820.07,763.84,798.37,194.77
1774454400000,798.37,798.37,771.01,777.39,112.88
1774468800000,777.39,784.93,775.04,778.26,32.93
1774483200000,778.26,783.74,772.69,778.52,48.13
1774497600000,778.52,779.62,761.83,765.56,48.75
1774512000000,765.56,768.25,746.66,751.63,103.81
1774526400000,751.63,759.13,705.03,725.72,373.92
1774540800000,725.72,728.44,687.97,688.8,213.62
1774555200000,688.8,710.43,681.77,700.77,101.8
1774569600000,700.77,721.25,697.73,719.99,84.49
1774584000000,719.99,734.7,709.26,712.64,99.9
1774598400000,712.64,714.02,680.77,694.46,238.98
1774612800000,694.46,732.1,690.7,714.3,294.86
1774627200000,714.3,714.94,693.77,703.12,139.04
1774641600000,703.12,703.93,694.42,696.61,38.48
1774656000000,696.61,696.61,696.61,696.61,0.0
1774670400000,696.61,696.61,696.61,696.61,0.0
1774684800000,696.61,696.61,696.61,696.61,0.0
1774699200000,696.61,696.61,696.61,696.61,0.0
1774713600000,696.61,696.61,696.61,696.61,0.0
1774728000000,696.61,696.61,696.61,696.61,0.0
1774742400000,696.61,696.61,696.61,696.61,0.0
1774756800000,696.61,696.61,696.61,696.61,0.0
1774771200000,696.61,696.61,696.61,696.61,0.0
1774785600000,696.61,696.61,696.61,696.61,0.0
1774800000000,696.61,696.61,696.61,696.61,0.0
1774814400000,696.61,696.61,696.61,696.61,0.0
1774828800000,696.61,715.03,682.3,711.92,123.35
1774843200000,711.92,719.26,699.97,713.53,94.88
1774857600000,713.53,724.84,712.63,721.04,70.63
1774872000000,721.04,734.0,645.0,658.42,378.63
1774886400000,658.42,663.15,643.43,654.76,198.02
1774900800000,654.76,654.76,633.99,634.73,73.63
1774915200000,634.73,673.97,634.73,648.51,199.19
1774929600000,648.51,662.26,640.79,661.33,91.04
1774944000000,661.33,667.78,641.99,658.62,124.13
1774958400000,658.62,696.29,649.98,650.38,384.59
1774972800000,650.38,702.88,650.37,702.88,278.8
1774987200000,702.88,719.37,701.66,719.37,67.25
1775001600000,719.37,722.23,711.83,718.95,78.83
1775016000000,718.95,740.75,715.86,731.0,67.47
1775030400000,731.0,736.2,717.99,734.63,102.58
1775044800000,734.63,781.81,731.91,780.5,489.4
1775059200000,780.5,783.72,754.62,764.28,167.43
1775073600000,764.28,766.98,763.2,766.09,26.95
1775088000000,766.09,769.14,724.1,728.06,223.03
1775102400000,728.06,735.95,715.9,735.31,187.12
1775116800000,735.31,735.31,713.42,713.76,98.83
1775131200000,713.76,816.95,705.8,813.38,320.0
1775145600000,813.38,826.89,801.0,826.36,139.03
1775160000000,826.36,829.4,824.26,827.06,31.27
1775174400000,827.06,827.06,827.06,827.06,0.0
1775188800000,827.06,827.06,827.06,827.06,0.0
1775203200000,827.06,827.06,827.06,827.06,0.0
1775217600000,827.06,827.06,827.06,827.06,0.0
1775232000000,827.06,827.06,827.06,827.06,0.0
1775246400000,827.06,827.06,827.06,827.06,0.0
1775260800000,827.06,827.06,827.06,827.06,0.0
1775275200000,827.06,827.06,827.06,827.06,0.0
1775289600000,827.06,827.06,827.06,827.06,0.0
1775304000000,827.06,827.06,827.06,827.06,0.0
1775318400000,827.06,827.06,827.06,827.06,0.0
1775332800000,827.06,827.06,827.06,827.06,0.0
1775347200000,827.06,827.06,827.06,827.06,0.0
1775361600000,827.06,827.06,827.06,827.06,0.0
1775376000000,827.06,827.06,827.06,827.06,0.0
1775390400000,827.06,827.06,827.06,827.06,0.0
1775404800000,827.06,827.06,827.06,827.06,0.0
1775419200000,827.06,827.06,827.06,827.06,0.0
1775433600000,827.06,844.81,821.47,830.12,123.06
1775448000000,830.12,841.33,830.12,840.58,33.9
1775462400000,840.58,858.45,839.06,846.03,79.96
1775476800000,846.03,850.3,791.99,796.65,485.77
1775491200000,796.65,796.65,767.98,772.54,139.41
