time,open,high,low,close,volume
1772438400000,703.65,708.0,695.72,698.0,28.96
1772452800000,698.0,698.0,671.17,674.21,174.1
1772467200000,674.21,675.7,664.56,673.9,77.49
1772481600000,673.9,677.5,672.77,676.75,15.99
1772496000000,676.75,676.75,676.75,676.75,0.0
1772510400000,676.75,676.75,676.75,676.75,0.0
1772524800000,676.75,676.75,676.75,676.75,0.0
1772539200000,676.75,684.64,657.92,662.23,197.18
1772553600000,662.23,666.85,660.2,664.04,132.94
1772568000000,664.04,668.62,663.25,667.09,21.9
1772582400000,667.09,667.09,667.09,667.09,0.0
1772596800000,667.09,667.09,667.09,667.09,0.0
1772611200000,667.09,667.09,667.09,667.09,0.0
1772625600000,667.09,669.63,652.95,659.28,130.99
1772640000000,659.28,661.58,655.48,660.19,86.87
1772654400000,660.19,664.6,659.91,664.6,17.68
1772668800000,664.6,664.6,664.6,664.6,0.0
1772683200000,664.6,664.6,664.6,664.6,0.0
1772697600000,664.6,664.6,664.6,664.6,0.0
1772712000000,664.6,664.6,653.55,657.25,139.01
1772726400000,657.25,657.25,647.56,651.62,123.74
1772740800000,651.62,655.8,651.6,654.4,21.83
1772755200000,654.4,654.4,654.4,654.4,0.0
1772769600000,654.4,654.4,654.4,654.4,0.0
1772784000000,654.4,654.4,654.4,654.4,0.0
1772798400000,654.4,668.57,654.4,663.9,195.22
1772812800000,663.9,671.75,663.6,671.45,56.11
1772827200000,671.45,672.49,667.76,671.34,16.71
1772841600000,671.34,671.34,671.34,671.34,0.0
1772856000000,671.34,671.34,671.34,671.34,0.0
1772870400000,671.34,671.34,671.34,671.34,0.0
1772884800000,671.34,671.34,671.34,671.34,0.0
1772899200000,671.34,671.34,671.34,671.34,0.0
1772913600000,671.34,671.34,671.34,671.34,0.0
1772928000000,671.34,671.34,671.34,671.34,0.0
1772942400000,671.34,671.34,671.34,671.34,0.0
1772956800000,671.34,671.34,671.34,671.34,0.0
1772971200000,671.34,671.34,671.34,671.34,0.0
1772985600000,671.34,671.34,671.34,671.34,0.0
1773000000000,671.34,671.34,671.34,671.34,0.0
1773014400000,671.34,671.34,671.34,671.34,0.0
