time,open,high,low,close,volume
1772524800000,271.32,272.34,268.67,268.7,4.77
1772539200000,268.7,268.7,249.16,252.96,385.6
1772553600000,252.96,255.85,245.67,245.75,289.18
1772568000000,245.75,246.63,244.53,245.79,370.13
1772582400000,245.79,245.79,245.79,245.79,0.0
1772596800000,245.79,245.79,245.79,245.79,0.0
1772611200000,245.79,245.79,245.79,245.79,0.0
1772625600000,245.79,246.47,241.65,244.77,130.07
1772640000000,244.77,247.78,243.68,246.7,170.86
1772654400000,246.7,249.64,246.59,248.99,29.18
1772668800000,248.99,248.99,248.99,248.99,0.0
1772683200000,248.99,248.99,248.99,248.99,0.0
1772697600000,248.99,248.99,248.99,248.99,0.0
1772712000000,248.99,252.76,248.67,251.13,226.01
1772726400000,251.13,252.95,248.84,249.64,196.23
1772740800000,249.64,250.02,246.62,249.75,64.32
1772755200000,249.75,249.75,249.75,249.75,0.0
1772769600000,249.75,249.75,249.75,249.75,0.0
1772784000000,249.75,249.75,249.75,249.75,0.0
1772798400000,249.75,256.62,249.75,255.21,176.8
1772812800000,255.21,258.99,253.51,256.74,183.52
1772827200000,256.74,256.87,253.66,256.14,119.23
1772841600000,256.14,256.14,256.14,256.14,0.0
1772856000000,256.14,256.14,256.14,256.14,0.0
1772870400000,256.14,256.14,256.14,256.14,0.0
1772884800000,256.14,256.14,256.14,256.14,0.0
1772899200000,256.14,256.14,256.14,256.14,0.0
1772913600000,256.14,256.14,256.14,256.14,0.0
1772928000000,256.14,256.14,256.14,256.14,0.0
1772942400000,256.14,256.14,256.14,256.14,0.0
1772956800000,256.14,256.14,256.14,256.14,0.0
1772971200000,256.14,256.14,256.14,256.14,0.0
1772985600000,256.14,256.14,256.14,256.14,0.0
1773000000000,256.14,256.14,256.14,256.14,0.0
1773014400000,256.14,256.14,256.14,256.14,0.0
1773028800000,256.14,256.14,256.14,256.14,0.0
1773043200000,256.14,256.14,256.14,256.14,0.0
1773057600000,256.14,257.71,250.69,257.51,297.7
1773072000000,257.51,258.35,249.33,250.61,294.93
1773086400000,250.61,250.84,250.61,250.84,0.45
1773100800000,250.84,250.84,250.84,250.84,0.0
1773115200000,250.84,250.84,250.84,250.84,0.0
1773129600000,250.84,250.84,250.84,250.84,0.0
1773144000000,250.84,250.84,244.4,247.82,243.12
1773158400000,247.82,248.29,243.28,245.64,210.4
1773172800000,245.64,245.64,245.64,245.64,0.0
1773187200000,245.64,245.64,245.64,245.64,0.0
1773201600000,245.64,245.64,245.64,245.64,0.0
1773216000000,245.64,245.64,245.64,245.64,0.0
1773230400000,245.64,250.76,245.56,249.91,126.55
1773244800000,249.91,251.03,249.21,250.37,109.89
1773259200000,250.37,250.45,250.37,250.45,0.13
1773273600000,250.45,250.45,250.45,250.45,0.0
1773288000000,250.45,250.45,250.45,250.45,0.0
1773302400000,250.45,250.45,250.45,250.45,0.0
1773316800000,250.45,257.31,250.45,257.22,188.2
1773331200000,257.22,258.25,253.25,253.7,183.47
1773345600000,253.7,254.01,253.7,254.01,4.08
1773360000000,254.01,254.01,254.01,254.01,0.0
1773374400000,254.01,254.01,254.01,254.01,0.0
1773388800000,254.01,254.01,254.01,254.01,0.0
1773403200000,254.01,258.95,250.15,250.15,167.26
1773417600000,250.15,253.42,249.77,252.44,105.78
1773432000000,252.44,252.44,252.44,252.44,0.0
1773446400000,252.44,252.44,252.44,252.44,0.0
1773460800000,252.44,252.44,252.44,252.44,0.0
1773475200000,252.44,252.44,252.44,252.44,0.0
1773489600000,252.44,252.44,252.44,252.44,0.0
1773504000000,252.44,252.44,252.44,252.44,0.0
1773518400000,252.44,252.44,252.44,252.44,0.0
1773532800000,252.44,252.44,252.44,252.44,0.0
1773547200000,252.44,252.44,252.44,252.44,0.0
1773561600000,252.44,252.44,252.44,252.44,0.0
1773576000000,252.44,252.44,252.44,252.44,0.0
1773590400000,252.44,252.44,252.44,252.44,0.0
1773604800000,252.44,252.44,252.44,252.44,0.0
1773619200000,252.44,252.44,252.44,252.44,0.0
1773633600000,252.44,252.44,252.44,252.44,0.0
1773648000000,252.44,252.44,252.44,252.44,0.0
1773662400000,252.44,253.42,249.14,252.14,198.98
1773676800000,252.14,253.1,250.86,251.24,140.53
1773691200000,251.24,251.24,251.24,251.24,0.0
1773705600000,251.24,251.24,251.24,251.24,0.0
1773720000000,251.24,251.24,251.24,251.24,0.0
1773734400000,251.24,251.24,251.24,251.24,0.0
1773748800000,251.24,255.02,251.24,254.45,92.49
1773763200000,254.45,254.89,251.11,251.53,92.91
1773777600000,251.53,251.53,251.53,251.53,0.0
1773792000000,251.53,251.53,251.53,251.53,0.0
1773806400000,251.53,251.53,251.53,251.53,0.0
1773820800000,251.53,251.53,251.53,251.53,0.0
1773835200000,251.53,253.7,248.77,253.44,151.58
1773849600000,253.44,266.85,253.27,266.85,223.92
1773864000000,266.85,266.85,266.85,266.85,0.0
1773878400000,266.85,266.85,266.85,266.85,0.0
1773892800000,266.85,266.85,266.85,266.85,0.0
1773907200000,266.85,266.85,266.85,266.85,0.0
1773921600000,266.85,299.49,266.85,285.42,1068.62
1773936000000,285.42,287.48,278.89,281.5,343.12
1773950400000,281.5,281.5,281.39,281.39,0.3
1773964800000,281.39,281.39,281.39,281.39,0.0
1773979200000,281.39,281.39,281.39,281.39,0.0
1773993600000,281.39,281.39,281.39,281.39,0.0
1774008000000,281.39,289.42,281.39,286.83,417.35
1774022400000,286.83,289.52,280.6,280.6,180.04
1774036800000,280.6,280.97,280.6,280.97,0.24
1774051200000,280.97,280.97,280.97,280.97,0.0
1774065600000,280.97,280.97,280.97,280.97,0.0
1774080000000,280.97,280.97,280.97,280.97,0.0
1774094400000,280.97,280.97,280.97,280.97,0.0
1774108800000,280.97,280.97,280.97,280.97,0.0
1774123200000,280.97,280.97,280.97,280.97,0.0
1774137600000,280.97,280.97,280.97,280.97,0.0
1774152000000,280.97,280.97,280.97,280.97,0.0
1774166400000,280.97,280.97,280.97,280.97,0.0
1774180800000,280.97,280.97,280.97,280.97,0.0
1774195200000,280.97,280.97,280.97,280.97,0.0
1774209600000,280.97,280.97,280.97,280.97,0.0
1774224000000,280.97,280.97,280.97,280.97,0.0
1774238400000,280.97,280.97,280.97,280.97,0.0
1774252800000,280.97,280.97,280.97,280.97,0.0
1774267200000,280.97,283.33,273.14,280.62,363.15
1774281600000,280.62,287.9,280.47,287.0,185.34
1774296000000,287.0,287.18,287.0,287.18,0.15
1774310400000,287.18,287.18,287.18,287.18,0.0
1774324800000,287.18,287.18,287.18,287.18,0.0
1774339200000,287.18,287.18,287.18,287.18,0.0
1774353600000,287.18,297.5,287.18,297.44,1142.28
1774368000000,297.44,298.36,293.82,294.16,339.94
1774382400000,294.16,294.16,294.16,294.16,0.0
1774396800000,294.16,294.16,294.16,294.16,0.0
1774411200000,294.16,294.16,294.16,294.16,0.0
1774425600000,294.16,294.16,294.16,294.16,0.0
1774440000000,294.16,294.16,283.83,285.73,334.55
1774454400000,285.73,287.0,282.46,284.32,208.06
1774468800000,284.32,284.32,284.32,284.32,0.0
1774483200000,284.32,284.32,284.32,284.32,0.0
1774497600000,284.32,284.32,284.32,284.32,0.0
1774512000000,284.32,284.32,284.32,284.32,0.0
1774526400000,284.32,291.83,284.32,291.83,373.28
1774540800000,291.83,292.3,289.97,291.36,125.71
1774555200000,291.36,291.36,291.36,291.36,0.0
1774569600000,291.36,291.36,291.36,291.36,0.0
1774584000000,291.36,291.36,291.36,291.36,0.0
1774598400000,291.36,291.36,291.36,291.36,0.0
1774612800000,291.36,298.72,291.36,297.56,176.89
1774627200000,297.56,298.41,295.38,296.89,153.36
1774641600000,296.89,296.89,296.84,296.84,0.1
1774656000000,296.84,296.84,296.84,296.84,0.0
1774670400000,296.84,296.84,296.84,296.84,0.0
1774684800000,296.84,296.84,296.84,296.84,0.0
1774699200000,296.84,296.84,296.84,296.84,0.0
1774713600000,296.84,296.84,296.84,296.84,0.0
1774728000000,296.84,296.84,296.84,296.84,0.0
1774742400000,296.84,296.84,296.84,296.84,0.0
1774756800000,296.84,296.84,296.84,296.84,0.0
1774771200000,296.84,296.84,296.84,296.84,0.0
1774785600000,296.84,296.84,296.84,296.84,0.0
1774800000000,296.84,296.84,296.84,296.84,0.0
1774814400000,296.84,296.84,296.84,296.84,0.0
1774828800000,296.84,296.84,296.84,296.84,0.0
1774843200000,296.84,296.84,296.84,296.84,0.0
1774857600000,296.84,296.84,296.84,296.84,0.0
1774872000000,296.84,299.7,294.64,297.67,357.63
1774886400000,297.67,298.56,292.41,293.48,155.08
1774900800000,293.48,293.48,293.48,293.48,0.0
1774915200000,293.48,293.48,293.48,293.48,0.0
1774929600000,293.48,293.48,293.48,293.48,0.0
1774944000000,293.48,293.48,293.48,293.48,0.0
1774958400000,293.48,294.06,287.79,291.64,289.03
1774972800000,291.64,292.26,278.73,283.55,488.29
1774987200000,283.55,283.6,283.55,283.6,0.31
1775001600000,283.6,283.6,283.6,283.6,0.0
1775016000000,283.6,283.6,283.6,283.6,0.0
1775030400000,283.6,283.6,283.6,283.6,0.0
1775044800000,283.6,283.6,273.78,274.13,546.1
1775059200000,274.13,276.18,272.68,275.8,153.65
1775073600000,275.8,275.8,275.8,275.8,0.0
1775088000000,275.8,275.8,275.8,275.8,0.0
1775102400000,275.8,275.8,275.8,275.8,0.0
1775116800000,275.8,275.8,275.8,275.8,0.0
1775131200000,275.8,286.51,275.8,280.47,265.69
1775145600000,280.47,282.69,279.83,281.36,137.93
1775160000000,281.36,281.36,281.16,281.16,0.36
1775174400000,281.16,281.16,281.16,281.16,0.0
1775188800000,281.16,281.16,281.16,281.16,0.0
1775203200000,281.16,281.16,281.16,281.16,0.0
1775217600000,281.16,281.16,281.16,281.16,0.0
1775232000000,281.16,281.16,281.16,281.16,0.0
1775246400000,281.16,281.16,281.16,281.16,0.0
1775260800000,281.16,281.16,281.16,281.16,0.0
1775275200000,281.16,281.16,281.16,281.16,0.0
1775289600000,281.16,281.16,281.16,281.16,0.0
1775304000000,281.16,281.16,281.16,281.16,0.0
1775318400000,281.16,281.16,281.16,281.16,0.0
1775332800000,281.16,281.16,281.16,281.16,0.0
1775347200000,281.16,281.16,281.16,281.16,0.0
1775361600000,281.16,281.16,281.16,281.16,0.0
1775376000000,281.16,281.16,281.16,281.16,0.0
1775390400000,281.16,281.16,281.16,281.16,0.0
1775404800000,281.16,281.16,281.16,281.16,0.0
1775419200000,281.16,281.16,281.16,281.16,0.0
1775433600000,281.16,281.16,281.16,281.16,0.0
1775448000000,281.16,281.16,281.16,281.16,0.0
1775462400000,281.16,281.16,281.16,281.16,0.0
1775476800000,281.16,283.76,280.36,282.8,175.19
1775491200000,282.8,284.67,281.69,284.25,107.4
1775505600000,284.25,284.25,284.06,284.06,3.98
1775520000000,284.06,284.06,284.06,284.06,0.0
1775534400000,284.06,284.06,284.06,284.06,0.0
1775548800000,284.06,284.06,284.06,284.06,0.0
1775563200000,284.06,290.47,284.06,287.15,199.43
1775577600000,287.15,287.41,282.63,284.12,146.36
1775592000000,284.12,284.12,284.12,284.12,0.0
1775606400000,284.12,284.12,284.12,284.12,0.0
1775620800000,284.12,284.12,284.12,284.12,0.0
1775635200000,284.12,284.12,284.12,284.12,0.0
1775649600000,284.12,284.12,261.66,270.93,495.3
1775664000000,270.93,276.16,270.18,275.12,177.41
1775678400000,275.12,275.12,275.12,275.12,0.0
1775692800000,275.12,275.12,275.12,275.12,0.0
1775707200000,275.12,275.12,275.12,275.12,0.0
1775721600000,275.12,275.12,275.12,275.12,0.0
1775736000000,275.12,280.46,268.13,268.13,194.34
1775750400000,268.13,268.13,262.38,265.64,249.35
1775764800000,265.64,265.64,265.64,265.64,0.0
1775779200000,265.64,265.64,265.64,265.64,0.0
1775793600000,265.64,265.64,265.64,265.64,0.0
1775808000000,265.64,265.64,265.64,265.64,0.0
1775822400000,265.64,267.59,262.59,267.34,144.53
1775836800000,267.34,267.34,263.84,265.42,74.16
1775851200000,265.42,265.42,265.42,265.42,0.0
1775865600000,265.42,265.42,265.42,265.42,0.0
1775880000000,265.42,265.42,265.42,265.42,0.0
1775894400000,265.42,265.42,265.42,265.42,0.0
1775908800000,265.42,265.42,265.42,265.42,0.0
1775923200000,265.42,265.42,265.42,265.42,0.0
1775937600000,265.42,265.42,265.42,265.42,0.0
1775952000000,265.42,265.42,265.42,265.42,0.0
1775966400000,265.42,265.42,265.42,265.42,0.0
1775980800000,265.42,265.42,265.42,265.42,0.0
1775995200000,265.42,265.42,265.42,265.42,0.0
1776009600000,265.42,265.42,265.42,265.42,0.0
1776024000000,265.42,265.42,265.42,265.42,0.0
1776038400000,265.42,265.42,265.42,265.42,0.0
1776052800000,265.42,265.42,265.42,265.42,0.0
1776067200000,265.42,265.42,265.42,265.42,0.0
1776081600000,265.42,270.76,263.67,264.49,131.67
1776096000000,264.49,264.77,258.82,261.53,183.12
1776110400000,261.53,261.53,261.53,261.53,0.0
1776124800000,261.53,261.53,261.53,261.53,0.0
1776139200000,261.53,261.53,261.53,261.53,0.0
1776153600000,261.53,261.53,261.53,261.53,0.0
1776168000000,261.53,261.53,256.25,257.36,363.81
1776182400000,257.36,259.94,257.17,259.63,90.54
1776196800000,259.63,259.63,259.63,259.63,0.0
1776211200000,259.63,259.63,259.63,259.63,0.0
1776225600000,259.63,259.63,259.63,259.63,0.0
1776240000000,259.63,259.63,259.63,259.63,0.0
1776254400000,259.63,261.01,258.91,259.75,124.27
1776268800000,259.75,260.79,256.22,256.74,102.86
1776283200000,256.74,256.74,256.74,256.74,0.0
1776297600000,256.74,256.74,256.74,256.74,0.0
1776312000000,256.74,256.74,256.74,256.74,0.0
1776326400000,256.74,256.74,256.74,256.74,0.0
1776340800000,256.74,265.4,256.74,262.11,162.32
1776355200000,262.11,263.19,261.26,262.86,77.04
1776369600000,262.86,262.86,262.86,262.86,0.0
1776384000000,262.86,262.86,262.86,262.86,0.0
1776398400000,262.86,262.86,262.86,262.86,0.0
1776412800000,262.86,262.86,262.86,262.86,0.0
