time,open,high,low,close,volume
1642435200000,34.37,34.43,33.83,34.37,5621.42
1642449600000,34.33,34.61,33.7,34.42,5793.46
1642464000000,34.38,35.19,34.38,34.53,6218.3
1642478400000,34.44,34.86,34.15,34.8,5071.31
1642492800000,34.8,34.81,33.45,33.69,7723.31
1642507200000,33.69,33.75,33.08,33.31,8116.3
1642521600000,33.32,33.59,33.09,33.53,7042.36
1642536000000,33.49,34.34,33.33,34.07,4868.66
1642550400000,34.09,34.4,33.37,33.53,5494.44
1642564800000,33.57,33.78,32.23,32.25,4863.71
1642579200000,32.29,33.0,32.02,32.9,8554.55
1642593600000,32.92,33.94,32.8,33.24,7623.04
1642608000000,33.26,33.44,32.74,32.99,8202.36
1642622400000,32.96,33.0,32.42,32.46,4835.89
1642636800000,32.43,32.79,32.02,32.67,4077.02
1642651200000,32.68,33.39,32.59,33.26,3996.8
1642665600000,33.26,33.44,33.1,33.43,8202.22
1642680000000,33.42,34.33,33.17,34.22,8328.0
1642694400000,34.27,34.36,33.53,33.63,6464.76
1642708800000,33.61,33.72,30.05,30.21,10174.86
1642723200000,30.2,30.73,27.78,27.99,12867.18
1642737600000,28.01,28.76,27.98,28.75,8382.91
1642752000000,28.72,28.82,28.16,28.25,7123.18
1642766400000,28.33,28.44,26.93,28.21,11607.52
1642780800000,28.32,28.39,26.94,26.95,6633.47
1642795200000,26.96,27.35,24.45,24.87,15425.37
1642809600000,24.78,25.54,24.6,24.88,21391.01
1642824000000,24.88,25.0,22.02,22.27,11368.62
1642838400000,22.28,23.52,20.74,23.08,17052.87
1642852800000,23.14,24.38,22.56,22.59,8914.73
1642867200000,22.62,23.68,22.24,22.85,14021.57
1642881600000,22.98,24.26,22.71,23.81,9349.01
1642896000000,23.8,24.53,23.51,24.02,13091.39
1642910400000,23.97,26.23,23.94,25.07,27119.7
1642924800000,25.11,25.47,24.55,24.57,15400.54
1642939200000,24.59,24.92,23.37,24.01,13660.41
1642953600000,24.01,24.2,23.24,23.35,12732.77
1642968000000,23.39,24.41,23.22,24.37,12415.53
1642982400000,24.35,24.38,23.43,23.62,8747.58
1642996800000,23.62,23.81,22.69,22.77,10943.62
1643011200000,22.8,23.16,20.78,20.89,18613.49
1643025600000,20.88,21.71,20.4,21.63,12101.2
1643040000000,21.64,22.79,21.12,22.69,20085.44
1643054400000,22.66,23.75,22.53,23.41,15556.92
