time,open,high,low,close,volume
1644105600000,3.0145,3.169,3.0145,3.0832,1833188.88
1644120000000,3.0867,3.1122,3.024,3.0723,743976.25
1644134400000,3.0691,3.1583,3.0583,3.0913,747103.14
1644148800000,3.0905,3.276,3.0459,3.2604,2079510.38
1644163200000,3.257,3.3893,3.2569,3.2976,2099330.67
1644177600000,3.2971,3.326,3.1868,3.3022,1149407.8
1644192000000,3.2989,3.3814,3.2176,3.3012,1712258.95
1644206400000,3.301,3.3584,3.2484,3.3289,932349.6
1644220800000,3.3292,3.3496,3.2462,3.2846,500423.11
1644235200000,3.2842,3.3488,3.2339,3.3384,1187595.8
1644249600000,3.3378,3.4545,3.3008,3.3364,1568802.0
1644264000000,3.3377,3.3568,3.2763,3.2855,618908.71
1644278400000,3.2866,3.3228,3.1976,3.3143,1309022.18
1644292800000,3.3155,3.344,3.2437,3.2564,768082.47
1644307200000,3.2574,3.2692,3.1162,3.2314,1356316.0
1644321600000,3.2273,3.2365,3.1165,3.1692,1038707.62
1644336000000,3.1675,3.2288,3.1179,3.1779,969807.59
1644350400000,3.1748,3.4881,3.1666,3.4694,1711284.22
1644364800000,3.4696,3.5488,3.3164,3.3243,1297286.52
1644379200000,3.326,3.3818,3.255,3.3601,631167.47
1644393600000,3.3605,3.4137,3.2993,3.3828,756093.49
1644408000000,3.3827,3.4413,3.3477,3.3623,946193.59
1644422400000,3.3623,3.3807,3.3179,3.3639,679444.8
1644436800000,3.3668,3.3806,3.3292,3.3447,275407.5
1644451200000,3.3463,3.3481,3.2261,3.256,667459.49
1644465600000,3.2556,3.2888,3.208,3.2847,410864.05
1644480000000,3.2846,3.3406,3.2663,3.313,578482.31
1644494400000,3.3145,3.3214,3.0909,3.3014,1983054.06
1644508800000,3.3012,3.3647,3.2196,3.2246,998018.4
1644523200000,3.223,3.2602,3.1076,3.1376,782177.64
1644537600000,3.1374,3.27,3.1122,3.2472,838774.63
1644552000000,3.2439,3.2666,3.2106,3.236,332024.24
1644566400000,3.2339,3.249,3.1652,3.1711,251380.2
1644580800000,3.1681,3.2432,3.1566,3.2154,383297.3
1644595200000,3.2187,3.2264,3.0093,3.0293,775884.38
1644609600000,3.0333,3.0436,2.8565,2.9199,1000155.83
1644624000000,2.9189,3.0047,2.8783,2.9411,669873.98
1644638400000,2.9425,2.977,2.8292,2.9056,622503.29
1644652800000,2.9063,2.9555,2.8717,2.9347,398714.13
1644667200000,2.933,2.937,2.8237,2.8627,534392.95
1644681600000,2.8641,3.0183,2.8492,2.9438,735475.2
1644696000000,2.9471,2.9846,2.8614,2.9056,409527.54
1644710400000,2.909,2.9711,2.8894,2.9143,441313.25
1644724800000,2.9168,2.9361,2.88,2.92,304038.93
1644739200000,2.9183,2.9384,2.885,2.9174,353733.46
1644753600000,2.9183,2.9365,2.887,2.9063,468649.09
1644768000000,2.9061,2.9728,2.7565,2.7962,1058533.96
1644782400000,2.7974,2.864,2.7936,2.8216,450564.84
1644796800000,2.8239,2.8311,2.718,2.7535,392234.52
1644811200000,2.7522,2.7948,2.7224,2.7948,199912.97
1644825600000,2.7948,2.813,2.7355,2.7701,296839.49
1644840000000,2.7768,2.8844,2.7533,2.844,510675.86
1644854400000,2.844,2.892,2.7655,2.7938,470826.17
1644868800000,2.7944,2.8569,2.7843,2.8424,315609.78
1644883200000,2.844,2.9938,2.8341,2.9666,787547.37
1644897600000,2.967,3.028,2.9428,3.0173,368959.26
1644912000000,3.0183,3.0942,3.0183,3.0693,626903.39
1644926400000,3.0692,3.0716,3.0228,3.0473,287182.36
1644940800000,3.0517,3.2212,3.0455,3.1828,1214888.15
1644955200000,3.1828,3.3364,3.1542,3.3363,872846.05
1644969600000,3.3364,3.4014,3.2896,3.309,763474.59
1644984000000,3.307,3.3673,3.2412,3.3454,704922.27
1644998400000,3.3456,3.3625,3.2705,3.3101,376245.49
1645012800000,3.3046,3.3221,3.1637,3.1935,1178836.54
1645027200000,3.1932,3.3408,3.1691,3.3214,838509.72
1645041600000,3.3238,3.3389,3.2489,3.2582,394597.49
1645056000000,3.262,3.3777,3.2587,3.2689,614459.55
1645070400000,3.2689,3.318,3.21,3.3131,530496.27
1645084800000,3.3137,3.3312,3.1946,3.236,506979.76
1645099200000,3.2363,3.2921,3.1824,3.2848,1080285.51
1645113600000,3.2848,3.3511,3.0758,3.1342,1393884.0
1645128000000,3.132,3.132,3.0104,3.0766,656620.84
1645142400000,3.0775,3.1348,3.0454,3.1052,386020.45
1645156800000,3.1044,3.1744,3.0892,3.1389,309273.92
1645171200000,3.1408,3.1645,3.0231,3.0326,469643.02
1645185600000,3.0384,3.0757,2.9308,2.958,1398158.45
1645200000000,2.9571,2.9959,2.9095,2.9649,567577.28
1645214400000,2.9655,2.9797,2.9191,2.9665,228821.07
1645228800000,2.9645,3.0359,2.9471,2.9648,363051.03
1645243200000,2.9697,3.0177,2.9595,3.0003,153097.53
1645257600000,3.0018,3.0123,2.8311,2.8649,628791.02
1645272000000,2.8655,2.8822,2.8136,2.8822,399969.52
1645286400000,2.8776,2.9346,2.8447,2.8523,314268.65
1645300800000,2.8522,2.8921,2.8419,2.8869,134367.87
1645315200000,2.8872,2.8872,2.7568,2.7768,478850.69
1645329600000,2.7779,2.7961,2.6769,2.7195,797293.88
1645344000000,2.7202,2.7213,2.6616,2.6892,442550.93
1645358400000,2.6934,2.7311,2.6145,2.6651,484798.42
1645372800000,2.6613,2.7264,2.6613,2.7058,353865.55
1645387200000,2.7054,2.778,2.6462,2.6926,492507.56
1645401600000,2.6927,2.8699,2.6685,2.8074,930072.17
1645416000000,2.8062,2.947,2.8055,2.9381,669434.7
1645430400000,2.9361,2.9522,2.7369,2.7605,776356.52
1645444800000,2.7634,2.846,2.6743,2.7788,1843500.76
1645459200000,2.78,2.7998,2.6207,2.664,1268831.05
1645473600000,2.66,2.6949,2.456,2.4818,1300563.94
1645488000000,2.4827,2.5358,2.3819,2.4054,1037078.57
1645502400000,2.4063,2.4932,2.3875,2.4473,721755.58
1645516800000,2.4473,2.5942,2.4365,2.5514,857604.35
1645531200000,2.5513,2.6133,2.5202,2.5577,1030719.46
1645545600000,2.5566,2.5767,2.5138,2.5711,613005.89
1645560000000,2.5733,2.6552,2.5285,2.6447,538185.8
1645574400000,2.6482,2.6864,2.5755,2.5916,706302.62
1645588800000,2.5919,2.6591,2.586,2.6572,423778.95
1645603200000,2.6582,2.7938,2.6438,2.7621,1414546.53
1645617600000,2.7624,2.809,2.686,2.6946,666796.74
1645632000000,2.6958,2.7605,2.6137,2.6174,889167.4
1645646400000,2.6179,2.6445,2.5486,2.5553,815976.02
1645660800000,2.5539,2.5774,2.3035,2.3094,1714120.34
1645675200000,2.3076,2.3417,2.1995,2.3015,2686440.35
1645689600000,2.3019,2.3553,2.2365,2.2924,1579121.44
1645704000000,2.2941,2.421,2.2612,2.4127,1466060.28
1645718400000,2.4098,2.5618,2.3727,2.5591,1567037.52
1645732800000,2.5581,2.6868,2.5346,2.5875,1256968.19
1645747200000,2.5864,2.6841,2.5744,2.6415,831037.17
1645761600000,2.6393,2.6466,2.5568,2.6084,438145.45
1645776000000,2.6082,2.6379,2.5206,2.6293,704184.18
1645790400000,2.6286,2.7358,2.6241,2.7057,1339000.3
1645804800000,2.7041,2.7176,2.6333,2.638,459969.2
1645819200000,2.6377,2.7848,2.6259,2.74,822840.51
1645833600000,2.7378,2.8387,2.7302,2.7465,990197.24
1645848000000,2.7449,2.7591,2.6632,2.708,385233.37
1645862400000,2.708,2.742,2.6522,2.6737,422208.84
1645876800000,2.6768,2.7214,2.6482,2.6977,376283.13
1645891200000,2.6941,2.7098,2.6546,2.6927,297052.21
1645905600000,2.6934,2.7254,2.6586,2.6772,262249.46
1645920000000,2.6801,2.6912,2.5299,2.5717,681945.8
1645934400000,2.5693,2.629,2.5496,2.6045,253000.44
1645948800000,2.603,2.7203,2.5816,2.7156,566866.28
1645963200000,2.7185,2.7487,2.6079,2.7069,1199352.3
1645977600000,2.7085,2.7161,2.5363,2.5478,571530.2
1645992000000,2.5448,2.6037,2.5025,2.5527,625887.76
1646006400000,2.5572,2.5707,2.456,2.5333,716226.77
1646020800000,2.5324,2.6061,2.504,2.5959,529360.69
1646035200000,2.5929,2.6231,2.5587,2.59,392905.53
1646049600000,2.5909,2.7203,2.5473,2.716,946454.23
1646064000000,2.7168,2.7426,2.6652,2.7051,686553.45
1646078400000,2.707,2.8661,2.7009,2.848,1073818.67
1646092800000,2.8476,2.8928,2.7651,2.7964,864853.82
1646107200000,2.7991,2.8342,2.7611,2.8197,324307.76
1646121600000,2.819,2.8402,2.746,2.8055,547948.02
1646136000000,2.8065,2.9282,2.7726,2.8,1432796.9
1646150400000,2.7993,2.83,2.7574,2.7932,467387.5
1646164800000,2.7919,2.8517,2.7711,2.8391,429209.86
1646179200000,2.8391,2.8536,2.7621,2.8405,434007.67
1646193600000,2.8447,2.8518,2.7713,2.7904,321207.41
1646208000000,2.7944,2.8246,2.7622,2.8176,318418.42
1646222400000,2.818,2.8434,2.7139,2.755,1029944.5
1646236800000,2.7561,2.7889,2.7068,2.7269,416338.56
1646251200000,2.7295,2.7842,2.7247,2.7513,241594.79
1646265600000,2.7511,2.7653,2.6784,2.6952,429411.53
1646280000000,2.6969,2.7286,2.6687,2.7118,227266.34
1646294400000,2.7107,2.7247,2.6832,2.7053,168311.3
1646308800000,2.7048,2.7462,2.6119,2.6344,547638.76
1646323200000,2.6303,2.6484,2.5825,2.6173,431213.1
1646337600000,2.6143,2.6586,2.5883,2.6383,191400.08
1646352000000,2.6347,2.6415,2.5157,2.5494,495236.61
1646366400000,2.549,2.5741,2.5283,2.5702,180967.2
1646380800000,2.5713,2.6381,2.5412,2.627,337868.96
1646395200000,2.63,2.634,2.5433,2.552,547007.73
1646409600000,2.552,2.5727,2.4984,2.5063,289864.87
1646424000000,2.5041,2.5218,2.4359,2.4785,414858.47
1646438400000,2.4748,2.5099,2.408,2.495,300882.49
1646452800000,2.4971,2.5416,2.4676,2.5321,183368.43
1646467200000,2.5329,2.5516,2.4954,2.5255,211078.15
1646481600000,2.5252,2.5454,2.496,2.5305,171086.96
1646496000000,2.5298,2.5722,2.5216,2.5466,168826.52
1646510400000,2.5429,2.5663,2.5373,2.5577,135479.23
1646524800000,2.5534,2.5928,2.5112,2.5183,280510.11
1646539200000,2.5136,2.5343,2.481,2.5111,266597.37
1646553600000,2.5092,2.5168,2.436,2.4592,304709.06
1646568000000,2.4585,2.5073,2.4486,2.4742,210172.43
1646582400000,2.4724,2.5057,2.4434,2.4494,145723.73
1646596800000,2.4475,2.4994,2.412,2.4144,303446.37
1646611200000,2.4146,2.4213,2.3359,2.3572,444296.52
1646625600000,2.3631,2.4091,2.3488,2.372,146504.49
1646640000000,2.3743,2.4076,2.355,2.4065,178427.78
1646654400000,2.4069,2.5253,2.4069,2.4841,528900.31
1646668800000,2.4848,2.5084,2.3131,2.3242,464155.9
1646683200000,2.3213,2.3988,2.3009,2.3564,374804.7
1646697600000,2.3555,2.4277,2.3387,2.4109,341533.55
1646712000000,2.4111,2.4244,2.3581,2.395,222435.54
1646726400000,2.3966,2.4379,2.3894,2.41,313563.39
1646740800000,2.414,2.4257,2.3624,2.3838,330372.7
1646755200000,2.3868,2.4414,2.3555,2.4042,349415.66
1646769600000,2.4053,2.4094,2.3702,2.3934,134606.04
1646784000000,2.3907,2.5188,2.3864,2.5097,520531.68
1646798400000,2.5137,2.5311,2.476,2.5203,339693.91
1646812800000,2.5224,2.5461,2.5028,2.5156,254555.27
1646827200000,2.5174,2.537,2.4765,2.5296,308076.97
1646841600000,2.5271,2.5295,2.4674,2.4976,219115.07
1646856000000,2.4951,2.5057,2.464,2.4931,160484.98
1646870400000,2.4942,2.5117,2.4122,2.4218,320472.66
1646884800000,2.4212,2.4266,2.3503,2.373,459083.31
1646899200000,2.3734,2.3798,2.3523,2.3675,219452.23
1646913600000,2.3646,2.405,2.3264,2.3751,514124.84
1646928000000,2.3725,2.3879,2.3555,2.3828,324720.17
1646942400000,2.3836,2.394,2.3613,2.3703,212771.75
1646956800000,2.3694,2.3746,2.3065,2.341,295446.16
1646971200000,2.3383,2.375,2.31,2.3635,209670.11
1646985600000,2.3655,2.4028,2.3436,2.3943,248486.15
1647000000000,2.3966,2.4096,2.3372,2.3499,310663.32
1647014400000,2.3471,2.3508,2.3124,2.321,171853.68
1647028800000,2.321,2.3421,2.296,2.304,259752.42
1647043200000,2.3036,2.3537,2.3032,2.3308,156094.99
1647057600000,2.3302,2.3578,2.3168,2.3362,161834.29
1647072000000,2.3357,2.3424,2.3181,2.3302,96639.69
1647086400000,2.3312,2.3438,2.3152,2.3265,126826.11
1647100800000,2.3266,2.3427,2.3186,2.3206,118731.77
1647115200000,2.3224,2.3307,2.3069,2.3098,74195.54
1647129600000,2.3079,2.4455,2.3024,2.3879,864413.7
1647144000000,2.3919,2.4032,2.3647,2.3742,607811.86
1647158400000,2.3768,2.3776,2.328,2.335,197362.64
1647172800000,2.3329,2.3421,2.3009,2.3271,224269.03
1647187200000,2.3262,2.3381,2.3222,2.3238,106385.03
1647201600000,2.3232,2.3245,2.2319,2.2519,443224.16
1647216000000,2.2503,2.2723,2.2244,2.2649,189177.61
1647230400000,2.2649,2.3092,2.2644,2.3054,179361.3
