time,open,high,low,close,volume
1767067200000,658.06,658.07,656.48,656.73,101.7
1767081600000,656.73,658.09,656.63,657.94,105.51
1767096000000,657.94,672.01,657.32,666.82,196.11
1767110400000,666.82,667.67,665.37,666.93,115.8
1767124800000,666.93,667.66,665.7,665.9,109.02
1767139200000,665.9,666.05,663.91,664.01,117.76
1767153600000,664.01,664.59,662.63,663.29,102.23
1767168000000,663.29,664.39,661.91,663.95,115.21
1767182400000,663.95,666.88,660.89,661.93,149.32
1767196800000,661.93,663.94,661.63,661.68,123.31
1767211200000,661.68,661.7,659.3,659.37,124.57
1767225600000,659.37,659.49,658.5,658.71,31.27
1767240000000,658.71,658.71,658.71,658.71,0.0
1767254400000,658.71,658.71,658.71,658.71,0.0
1767268800000,658.71,658.71,658.71,658.71,0.0
1767283200000,658.71,658.71,658.71,658.71,0.0
1767297600000,658.71,658.71,658.71,658.71,0.0
1767312000000,658.71,663.3,658.71,663.08,83.96
1767326400000,663.08,664.35,662.71,663.85,108.12
1767340800000,663.85,666.2,663.85,664.49,116.35
1767355200000,664.49,664.88,648.37,648.68,486.5
1767369600000,648.68,653.46,643.75,651.15,192.62
1767384000000,651.15,651.89,649.43,649.95,115.42
1767398400000,649.95,649.95,649.67,649.84,25.26
1767412800000,649.84,649.84,649.84,649.84,0.0
1767427200000,649.84,649.84,649.84,649.84,0.0
1767441600000,649.84,649.84,649.84,649.84,0.0
1767456000000,649.84,649.84,649.84,649.84,0.0
1767470400000,649.84,649.84,649.84,649.84,0.0
1767484800000,649.84,649.84,649.84,649.84,0.0
1767499200000,649.84,649.84,649.84,649.84,0.0
1767513600000,649.84,649.84,649.84,649.84,0.0
1767528000000,649.84,649.84,649.84,649.84,0.0
1767542400000,649.84,649.84,649.84,649.84,0.0
1767556800000,649.84,649.84,649.84,649.84,0.0
1767571200000,649.84,651.49,649.54,650.23,104.37
1767585600000,650.23,651.81,650.02,650.06,114.21
1767600000000,650.06,651.54,647.29,649.05,119.37
1767614400000,649.05,664.34,648.36,660.77,204.87
1767628800000,660.77,663.85,659.55,660.24,150.1
1767643200000,660.24,661.27,658.04,658.74,127.66
1767657600000,658.74,659.18,657.95,658.65,110.37
1767672000000,658.65,659.87,658.65,659.31,137.19
1767686400000,659.31,659.36,656.31,657.33,118.11
1767700800000,657.33,661.46,653.55,656.62,216.0
1767715200000,656.62,665.42,652.02,660.6,182.86
1767729600000,660.6,661.41,658.93,659.51,122.97
1767744000000,659.51,660.47,658.85,659.07,113.66
1767758400000,659.07,659.09,656.97,657.18,111.84
1767772800000,657.18,657.41,656.27,657.12,121.17
1767787200000,657.12,658.78,645.08,649.55,256.36
1767801600000,649.55,654.49,648.01,650.51,163.63
1767816000000,650.51,651.24,648.14,648.96,127.26
1767830400000,648.96,649.48,647.03,647.26,116.28
1767844800000,647.26,647.85,645.1,646.65,118.13
1767859200000,646.65,647.09,645.12,645.79,126.75
1767873600000,645.79,646.59,635.92,644.27,224.33
1767888000000,644.27,644.95,640.93,644.23,171.99
1767902400000,644.23,647.09,643.89,644.75,120.46
1767916800000,644.75,646.12,644.43,645.05,117.9
1767931200000,645.05,645.39,644.54,644.64,104.32
1767945600000,644.64,645.74,644.01,645.43,114.0
1767960000000,645.43,651.87,643.05,650.52,244.66
1767974400000,650.52,654.89,650.51,651.67,143.67
1767988800000,651.67,654.06,650.83,653.76,114.35
1768003200000,653.76,653.79,652.82,653.04,26.85
1768017600000,653.04,653.04,653.04,653.04,0.0
1768032000000,653.04,653.04,653.04,653.04,0.0
1768046400000,653.04,653.04,653.04,653.04,0.0
1768060800000,653.04,653.04,653.04,653.04,0.0
1768075200000,653.04,653.04,653.04,653.04,0.0
1768089600000,653.04,653.04,653.04,653.04,0.0
1768104000000,653.04,653.04,653.04,653.04,0.0
1768118400000,653.04,653.04,653.04,653.04,0.0
1768132800000,653.04,653.04,653.04,653.04,0.0
1768147200000,653.04,653.04,653.04,653.04,0.0
1768161600000,653.04,653.04,653.04,653.04,0.0
1768176000000,653.04,653.04,648.18,648.26,149.12
1768190400000,648.26,648.32,646.8,647.33,117.32
1768204800000,647.33,647.55,644.43,646.59,126.86
1768219200000,646.59,654.0,645.54,647.34,223.93
1768233600000,647.34,650.79,646.25,647.54,144.73
1768248000000,647.54,648.47,641.38,642.42,154.43
1768262400000,642.42,643.17,642.19,642.36,110.3
1768276800000,642.36,643.94,642.27,643.07,108.49
1768291200000,643.07,643.15,641.02,641.69,118.84
1768305600000,641.69,644.85,625.28,626.96,937.71
1768320000000,626.96,630.34,624.34,628.84,396.08
1768334400000,628.84,631.69,627.72,630.14,206.72
1768348800000,630.14,631.18,628.91,630.27,157.02
1768363200000,630.27,630.32,627.89,629.49,159.73
1768377600000,629.49,629.61,625.66,626.04,150.08
1768392000000,626.04,628.66,617.8,619.0,223.41
1768406400000,619.0,622.0,615.11,617.56,165.59
1768420800000,617.56,619.51,614.76,614.97,173.25
1768435200000,614.97,616.3,614.91,615.96,105.97
1768449600000,615.96,618.37,614.85,615.97,118.9
1768464000000,615.97,619.3,615.97,617.65,148.34
1768478400000,617.65,621.94,614.5,619.79,237.15
1768492800000,619.79,624.14,618.99,619.29,173.67
1768507200000,619.29,622.33,617.05,620.4,139.2
1768521600000,620.4,622.84,620.02,622.71,119.32
1768536000000,622.71,624.04,622.47,623.92,106.59
1768550400000,623.92,624.29,622.69,622.95,111.99
1768564800000,622.95,628.93,621.16,622.43,248.19
1768579200000,622.43,627.49,621.98,623.85,168.58
1768593600000,623.85,623.93,619.91,620.35,137.03
1768608000000,620.35,621.52,620.04,620.41,27.9
1768622400000,620.41,620.41,620.41,620.41,0.0
1768636800000,620.41,620.41,620.41,620.41,0.0
