time,open,high,low,close,volume
1773993600000,26.3,26.45,25.68,25.98,912.88
1774008000000,25.98,26.12,24.3,24.47,5263.78
1774022400000,24.47,24.61,23.62,23.62,2628.44
1774036800000,23.62,23.62,23.62,23.62,0.0
1774051200000,23.62,23.62,23.62,23.62,0.0
1774065600000,23.62,23.62,23.62,23.62,0.0
1774080000000,23.62,23.62,23.62,23.62,0.0
1774094400000,23.62,23.62,23.62,23.62,0.0
1774108800000,23.62,23.62,23.62,23.62,0.0
1774123200000,23.62,23.62,23.62,23.62,0.0
1774137600000,23.62,23.62,23.62,23.62,0.0
1774152000000,23.62,23.62,23.62,23.62,0.0
1774166400000,23.62,23.62,23.62,23.62,0.0
1774180800000,23.62,23.62,23.62,23.62,0.0
1774195200000,23.62,23.62,23.62,23.62,0.0
1774209600000,23.62,23.62,23.62,23.62,0.0
1774224000000,23.62,23.62,23.62,23.62,0.0
1774238400000,23.62,23.62,23.62,23.62,0.0
1774252800000,23.62,23.62,23.62,23.62,0.0
1774267200000,23.62,24.26,23.19,23.82,3746.66
1774281600000,23.82,24.25,23.74,24.09,3060.79
1774296000000,24.09,24.09,24.09,24.09,0.0
1774310400000,24.09,24.09,24.09,24.09,0.0
1774324800000,24.09,24.09,24.09,24.09,0.0
1774339200000,24.09,24.09,24.09,24.09,0.0
1774353600000,24.09,25.23,24.09,25.15,2501.86
1774368000000,25.15,25.46,24.71,25.21,2247.1
1774382400000,25.21,25.21,25.21,25.21,0.0
1774396800000,25.21,25.21,25.21,25.21,0.0
1774411200000,25.21,25.21,25.21,25.21,0.0
1774425600000,25.21,25.21,25.21,25.21,0.0
1774440000000,25.21,25.21,24.8,25.17,2264.84
1774454400000,25.17,26.19,25.02,26.19,2435.34
1774468800000,26.19,26.19,26.19,26.19,0.0
1774483200000,26.19,26.19,26.19,26.19,0.0
1774497600000,26.19,26.19,26.19,26.19,0.0
1774512000000,26.19,26.19,26.19,26.19,0.0
1774526400000,26.19,26.19,25.07,25.17,3247.54
1774540800000,25.17,25.23,24.43,24.97,3151.53
1774555200000,24.97,24.97,24.97,24.97,0.03
1774569600000,24.97,24.97,24.97,24.97,0.0
1774584000000,24.97,24.97,24.97,24.97,0.0
1774598400000,24.97,24.97,24.97,24.97,0.0
1774612800000,24.97,25.44,24.79,25.41,2185.66
1774627200000,25.41,25.41,24.83,24.99,2343.16
1774641600000,24.99,24.99,24.99,24.99,0.0
1774656000000,24.99,24.99,24.99,24.99,0.0
1774670400000,24.99,24.99,24.99,24.99,0.0
1774684800000,24.99,24.99,24.99,24.99,0.0
1774699200000,24.99,24.99,24.99,24.99,0.0
1774713600000,24.99,24.99,24.99,24.99,0.0
1774728000000,24.99,24.99,24.99,24.99,0.0
1774742400000,24.99,24.99,24.99,24.99,0.0
1774756800000,24.99,24.99,24.99,24.99,0.0
1774771200000,24.99,24.99,24.99,24.99,0.0
1774785600000,24.99,24.99,24.99,24.99,0.0
1774800000000,24.99,24.99,24.99,24.99,0.0
1774814400000,24.99,24.99,24.99,24.99,0.0
1774828800000,24.99,24.99,24.99,24.99,0.0
1774843200000,24.99,24.99,24.99,24.99,0.0
1774857600000,24.99,24.99,24.99,24.99,0.0
1774872000000,24.99,25.71,24.82,25.57,2991.36
1774886400000,25.57,25.57,24.77,25.0,2355.75
1774900800000,25.0,25.0,24.98,24.99,7.7
1774915200000,24.99,24.99,24.99,24.99,0.0
1774929600000,24.99,24.99,24.99,24.99,0.0
1774944000000,24.99,24.99,24.99,24.99,0.0
1774958400000,24.99,25.48,24.99,25.05,3667.58
1774972800000,25.05,25.67,24.76,25.49,2963.03
1774987200000,25.49,25.49,25.49,25.49,0.0
1775001600000,25.49,25.49,25.49,25.49,0.0
1775016000000,25.49,25.49,25.49,25.49,0.0
1775030400000,25.49,25.49,25.49,25.49,0.0
1775044800000,25.49,25.85,25.15,25.72,2736.54
1775059200000,25.72,26.57,25.66,26.54,2429.42
1775073600000,26.54,26.54,26.54,26.54,0.0
1775088000000,26.54,26.54,26.54,26.54,0.0
1775102400000,26.54,26.54,26.54,26.54,0.0
1775116800000,26.54,26.54,26.54,26.54,0.0
1775131200000,26.54,26.85,25.92,25.92,2606.09
1775145600000,25.92,26.17,25.89,26.17,1355.78
1775160000000,26.17,26.17,26.17,26.17,0.0
1775174400000,26.17,26.17,26.17,26.17,0.0
1775188800000,26.17,26.17,26.17,26.17,0.0
1775203200000,26.17,26.17,26.17,26.17,0.0
1775217600000,26.17,26.17,26.17,26.17,0.0
1775232000000,26.17,26.17,26.17,26.17,0.0
1775246400000,26.17,26.17,26.17,26.17,0.0
1775260800000,26.17,26.17,26.17,26.17,0.0
1775275200000,26.17,26.17,26.17,26.17,0.0
1775289600000,26.17,26.17,26.17,26.17,0.0
