time,open,high,low,close,volume
1777291200000,159.75,162.84,151.15,155.7,2166.45
1777305600000,155.7,158.32,155.43,158.16,843.21
1777320000000,158.16,158.26,157.08,157.1,266.04
1777334400000,157.1,157.45,155.11,155.95,404.91
1777348800000,155.95,156.63,153.83,153.96,363.9
1777363200000,153.96,154.22,147.44,148.97,1078.85
1777377600000,148.97,155.91,146.07,151.32,2355.26
1777392000000,151.32,154.9,151.08,153.22,1073.71
1777406400000,153.22,155.35,153.22,155.28,337.83
1777420800000,155.28,156.91,154.74,156.76,321.6
1777435200000,156.76,157.8,155.87,155.9,287.39
1777449600000,155.9,157.2,154.44,156.98,578.91
1777464000000,156.98,157.14,151.46,154.37,1548.2
1777478400000,154.37,156.53,152.8,156.51,862.24
1777492800000,156.51,161.09,152.28,159.95,1168.33
1777507200000,159.95,161.56,157.78,158.29,458.55
1777521600000,158.29,158.3,155.31,157.68,549.18
1777536000000,157.68,161.02,157.67,160.32,613.1
1777550400000,160.32,165.29,156.41,164.05,1672.52
1777564800000,164.05,165.6,163.12,165.19,708.76
1777579200000,165.19,165.31,162.79,163.45,382.01
1777593600000,163.45,165.8,163.4,165.33,274.7
1777608000000,165.33,165.33,164.27,164.28,208.45
1777622400000,164.28,164.53,162.99,163.14,315.94
1777636800000,163.14,165.49,159.53,164.94,1188.24
1777651200000,164.94,166.32,164.39,164.93,591.91
1777665600000,164.93,165.15,164.58,164.66,175.14
1777680000000,164.66,164.66,164.65,164.66,0.04
1777694400000,164.66,164.66,164.66,164.66,0.0
1777708800000,164.66,164.66,164.66,164.66,0.0
1777723200000,164.66,164.66,164.66,164.66,0.0
1777737600000,164.66,164.66,164.66,164.66,0.0
1777752000000,164.66,164.66,164.66,164.66,0.0
1777766400000,164.66,164.66,164.66,164.66,0.0
1777780800000,164.66,164.66,164.66,164.66,0.0
1777795200000,164.66,164.66,164.66,164.66,0.0
1777809600000,164.66,164.66,164.66,164.66,0.0
1777824000000,164.66,164.66,164.66,164.66,0.0
1777838400000,164.66,164.66,164.66,164.66,0.0
1777852800000,164.66,166.53,163.55,165.48,406.99
1777867200000,165.48,166.46,165.47,166.28,261.82
1777881600000,166.28,168.21,163.6,166.33,508.72
1777896000000,166.33,167.56,162.73,164.3,1335.84
1777910400000,164.3,164.87,162.32,163.65,702.11
