time,open,high,low,close,volume
1766721600000,160.49,162.23,160.17,160.67,749.93
1766736000000,160.67,161.14,160.11,160.28,100.82
1766750400000,160.28,160.59,154.26,156.78,243.47
1766764800000,156.78,159.23,155.99,157.93,140.83
1766779200000,157.93,159.1,156.93,158.42,106.13
1766793600000,158.42,158.47,158.21,158.38,20.3
1766808000000,158.38,158.38,158.38,158.38,0.0
1766822400000,158.38,158.38,158.38,158.38,0.0
1766836800000,158.38,158.38,158.38,158.38,0.0
1766851200000,158.38,158.38,158.38,158.38,0.0
1766865600000,158.38,158.38,158.38,158.38,0.0
1766880000000,158.38,158.38,158.38,158.38,0.0
1766894400000,158.38,158.38,158.38,158.38,0.0
1766908800000,158.38,158.38,158.38,158.38,0.0
1766923200000,158.38,158.38,158.38,158.38,0.0
1766937600000,158.38,158.38,158.38,158.38,0.0
1766952000000,158.38,158.38,158.38,158.38,0.0
1766966400000,158.38,161.99,158.38,161.97,106.83
1766980800000,161.97,162.99,160.89,160.93,115.96
1766995200000,160.93,161.67,158.13,158.13,404.55
1767009600000,158.13,162.83,156.22,158.3,1193.11
1767024000000,158.3,158.41,155.84,156.69,798.05
1767038400000,156.69,157.25,155.07,155.33,418.11
1767052800000,155.33,155.83,154.7,155.49,321.13
1767067200000,155.49,155.96,155.41,155.75,246.61
1767081600000,155.75,156.71,155.74,156.18,333.22
1767096000000,156.18,158.47,154.48,157.81,1277.65
1767110400000,157.81,159.28,156.26,156.77,1310.97
1767124800000,156.77,157.11,155.12,155.81,486.49
1767139200000,155.81,156.55,155.33,155.96,445.22
1767153600000,155.96,156.09,155.77,155.79,169.34
1767168000000,155.79,156.76,155.71,156.66,258.41
1767182400000,156.66,157.44,152.94,153.52,858.26
1767196800000,153.52,154.66,152.57,153.1,722.41
1767211200000,153.1,153.21,151.47,151.93,467.01
1767225600000,151.93,152.01,151.84,151.96,35.56
1767240000000,151.96,151.96,151.96,151.96,0.0
1767254400000,151.96,151.96,151.96,151.96,0.0
1767268800000,151.96,151.96,151.96,151.96,0.0
1767283200000,151.96,151.96,151.96,151.96,0.0
1767297600000,151.96,151.96,151.96,151.96,0.0
1767312000000,151.96,154.53,151.96,154.31,327.67
1767326400000,154.31,154.43,153.53,154.25,350.2
1767340800000,154.25,156.79,154.18,155.96,450.95
1767355200000,155.96,157.53,149.89,156.52,1771.46
1767369600000,156.52,160.71,155.99,156.92,1867.68
1767384000000,156.92,158.44,156.24,158.37,514.21
1767398400000,158.37,158.49,158.29,158.48,42.04
1767412800000,158.48,158.48,158.48,158.48,0.0
1767427200000,158.48,158.48,158.48,158.48,0.0
1767441600000,158.48,158.48,158.48,158.48,0.0
1767456000000,158.48,158.48,158.48,158.48,0.0
1767470400000,158.48,158.48,158.48,158.48,0.0
1767484800000,158.48,158.48,158.48,158.48,0.0
1767499200000,158.48,158.48,158.48,158.48,0.0
1767513600000,158.48,158.48,158.48,158.48,0.0
1767528000000,158.48,158.48,158.48,158.48,0.0
1767542400000,158.48,158.48,158.48,158.48,0.0
1767556800000,158.48,158.48,158.48,158.48,0.0
