time,open,high,low,close,volume
1766721600000,293.71,294.39,291.86,293.95,103.64
1766736000000,293.95,294.57,291.38,291.9,154.14
1766750400000,291.9,293.12,284.7,285.25,431.16
1766764800000,285.25,285.94,283.48,285.87,181.71
1766779200000,285.87,286.14,284.42,284.78,42.94
1766793600000,284.78,284.78,284.78,284.78,0.0
1766808000000,284.78,284.78,284.78,284.78,0.0
1766822400000,284.78,284.78,284.78,284.78,0.0
1766836800000,284.78,284.78,284.78,284.78,0.0
1766851200000,284.78,284.78,284.78,284.78,0.0
1766865600000,284.78,284.78,284.78,284.78,0.0
1766880000000,284.78,284.78,284.78,284.78,0.0
1766894400000,284.78,284.78,284.78,284.78,0.0
1766908800000,284.78,284.78,284.78,284.78,0.0
1766923200000,284.78,284.78,284.78,284.78,0.0
1766937600000,284.78,284.78,284.78,284.78,0.0
1766952000000,284.78,284.78,284.78,284.78,0.0
1766966400000,284.78,286.77,284.04,284.14,104.53
1766980800000,284.14,284.14,281.87,282.5,99.22
1766995200000,282.5,282.51,280.1,280.51,108.45
1767009600000,280.51,287.37,278.54,285.6,404.53
1767024000000,285.6,293.14,284.64,292.56,225.74
1767038400000,292.56,295.95,292.51,295.44,119.6
1767052800000,295.44,296.26,294.33,296.26,100.79
1767067200000,296.26,297.36,295.3,295.3,168.38
1767081600000,295.3,297.99,295.29,296.31,116.61
1767096000000,296.31,298.66,292.25,295.53,385.95
1767110400000,295.53,296.75,293.74,294.44,145.8
1767124800000,294.44,294.46,292.06,292.8,102.76
1767139200000,292.8,292.92,291.19,291.41,53.65
1767153600000,291.41,291.89,290.59,291.59,169.51
1767168000000,291.59,292.19,290.86,291.8,60.21
1767182400000,291.8,293.87,284.51,287.58,336.09
1767196800000,287.58,288.61,285.33,285.79,159.14
1767211200000,285.79,286.59,284.24,285.59,58.08
1767225600000,285.59,285.59,285.59,285.59,0.0
1767240000000,285.59,285.59,285.59,285.59,0.0
1767254400000,285.59,285.59,285.59,285.59,0.0
1767268800000,285.59,285.59,285.59,285.59,0.0
1767283200000,285.59,285.59,285.59,285.59,0.0
1767297600000,285.59,285.59,285.59,285.59,0.0
1767312000000,285.59,290.49,285.59,290.38,90.02
1767326400000,290.38,293.04,290.09,292.93,96.36
1767340800000,292.93,296.55,292.93,295.0,312.84
1767355200000,295.0,310.31,292.86,306.77,589.93
1767369600000,306.77,314.27,305.15,313.85,357.98
1767384000000,313.85,315.5,313.54,315.33,36.0
1767398400000,315.33,315.33,315.33,315.33,0.0
1767412800000,315.33,315.33,315.33,315.33,0.0
1767427200000,315.33,315.33,315.33,315.33,0.0
