time,open,high,low,close,volume
1773648000000,3.1073,3.128,3.0778,3.0778,24323.9
1773662400000,3.0778,3.1345,3.0016,3.0054,32269.9
1773676800000,3.0054,3.0231,2.9837,3.0186,18363.7
1773691200000,3.0186,3.0279,3.01,3.0221,7797.9
1773705600000,3.0221,3.0307,3.0123,3.0133,6460.2
1773720000000,3.0133,3.0361,3.0046,3.0115,7577.9
1773734400000,3.0115,3.0496,2.9974,3.0393,11080.9
1773748800000,3.0393,3.0761,3.0015,3.019,27121.1
1773763200000,3.019,3.0291,2.9931,3.011,14377.9
1773777600000,3.011,3.0166,3.0094,3.0116,4190.4
1773792000000,3.0116,3.0133,2.9149,2.916,9132.3
1773806400000,2.916,2.919,2.9005,2.9147,8942.4
1773820800000,2.9147,2.9527,2.9133,2.9295,12226.4
1773835200000,2.9295,3.0522,2.9249,3.014,31389.6
1773849600000,3.014,3.1551,2.9855,3.1283,25878.5
1773864000000,3.1283,3.1984,3.1196,3.186,20532.1
1773878400000,3.186,3.219,3.1441,3.149,18980.6
1773892800000,3.149,3.1807,3.1267,3.1584,19357.1
1773907200000,3.1584,3.1928,3.1121,3.1557,28915.5
1773921600000,3.1557,3.2317,3.1283,3.1696,63234.7
1773936000000,3.1696,3.1713,3.0677,3.0988,28949.8
1773950400000,3.0988,3.1352,3.0659,3.0811,16142.7
1773964800000,3.0811,3.1032,3.0762,3.0992,8481.0
1773979200000,3.0992,3.1168,3.0829,3.0877,9229.9
1773993600000,3.0877,3.134,3.0297,3.0327,30200.4
1774008000000,3.0327,3.072,3.012,3.0536,33101.0
1774022400000,3.0536,3.0853,3.0267,3.0584,17387.5
1774036800000,3.0584,3.0755,2.7657,2.9374,51254.2
1774051200000,2.9374,2.9374,2.8849,2.894,11109.7
1774065600000,2.894,2.9125,2.8841,2.9052,10856.9
1774080000000,2.9052,2.9327,2.8991,2.9181,10412.9
1774094400000,2.9181,2.9649,2.9148,2.945,11828.6
1774108800000,2.945,2.9741,2.9378,2.9474,6053.4
1774123200000,2.9474,2.9632,2.9378,2.9468,7874.1
1774137600000,2.9468,2.9776,2.9377,2.9702,14122.9
1774152000000,2.9702,2.9771,2.9624,2.9745,7806.9
1774166400000,2.9745,3.0073,2.9697,2.9945,20384.7
1774180800000,2.9945,3.0318,2.9892,2.9991,12624.6
1774195200000,2.9991,2.9993,2.9581,2.9808,15515.2
1774209600000,2.9808,3.0695,2.972,3.0034,27470.1
1774224000000,3.0034,3.0556,3.0034,3.0543,13177.8
1774238400000,3.0543,3.1363,3.0523,3.1259,22039.7
1774252800000,3.1259,3.1259,2.9392,2.9727,47492.1
1774267200000,2.9727,2.984,2.8904,2.9207,67223.3
1774281600000,2.9207,2.934,2.8658,2.8912,31331.5
1774296000000,2.8912,2.9107,2.886,2.8962,9407.6
1774310400000,2.8962,2.9387,2.896,2.9206,12559.7
1774324800000,2.9206,2.9407,2.9146,2.9154,13169.6
1774339200000,2.9154,2.9276,2.8932,2.9131,17509.5
1774353600000,2.9131,2.9264,2.8759,2.8959,29119.2
1774368000000,2.8959,2.9333,2.8916,2.898,18322.5
1774382400000,2.898,2.8982,2.8478,2.8612,13854.7
1774396800000,2.8612,2.8627,2.8321,2.8428,12903.6
1774411200000,2.8428,2.8597,2.831,2.8463,10935.5
1774425600000,2.8463,2.8713,2.8409,2.8538,20176.0
1774440000000,2.8538,2.9218,2.8485,2.9204,30652.8
1774454400000,2.9204,2.9351,2.9063,2.9276,11463.6
1774468800000,2.9276,2.9467,2.9272,2.9312,11390.0
1774483200000,2.9312,2.9313,2.9161,2.9259,6663.7
1774497600000,2.9259,2.9378,2.9062,2.9364,10012.7
1774512000000,2.9364,2.962,2.8823,2.9167,21717.5
1774526400000,2.9167,2.9795,2.899,2.9771,29747.3
1774540800000,2.9771,2.9827,2.9196,2.9201,18856.6
1774555200000,2.9201,2.9313,2.8853,2.9225,17678.3
1774569600000,2.9225,2.9377,2.9181,2.9332,5735.1
1774584000000,2.9332,2.9754,2.9303,2.9736,12770.6
1774598400000,2.9736,3.0465,2.9701,3.0315,19219.0
1774612800000,3.0315,3.0545,2.97,3.0008,32369.0
1774627200000,3.0008,3.0509,2.9919,3.0279,17086.6
1774641600000,3.0279,3.0418,3.0263,3.0374,6501.1
1774656000000,3.0374,3.0411,3.0257,3.0363,2940.0
1774670400000,3.0363,3.0581,3.0343,3.0482,7790.9
1774684800000,3.0482,3.0604,3.0449,3.0586,13839.2
1774699200000,3.0586,3.0821,3.0541,3.0651,17286.7
1774713600000,3.0651,3.0939,3.0569,3.0914,6519.4
1774728000000,3.0914,3.0984,3.0844,3.0963,7274.3
1774742400000,3.0963,3.102,3.0832,3.0841,2851.7
1774756800000,3.0841,3.0841,3.0734,3.08,3440.9
1774771200000,3.08,3.0816,3.0663,3.0677,3950.8
1774785600000,3.0677,3.0779,3.0662,3.0728,2604.8
1774800000000,3.0728,3.0905,3.0694,3.0779,2612.4
1774814400000,3.0779,3.0851,2.8942,2.9581,27062.9
1774828800000,2.9581,2.9646,2.9265,2.9556,17932.9
1774843200000,2.9556,2.9557,2.9163,2.9216,20050.6
1774857600000,2.9216,2.9558,2.9179,2.9253,17711.4
1774872000000,2.9253,2.9291,2.8678,2.8869,52235.0
1774886400000,2.8869,2.9022,2.8645,2.8854,34499.9
1774900800000,2.8854,2.911,2.8854,2.9006,9573.6
1774915200000,2.9006,2.9006,2.8169,2.8451,15658.9
1774929600000,2.8451,2.8605,2.8367,2.8417,11711.8
1774944000000,2.8417,2.8594,2.8263,2.8436,14377.7
1774958400000,2.8436,2.9859,2.8424,2.9131,50663.2
1774972800000,2.9131,2.9362,2.8762,2.893,30735.6
1774987200000,2.893,2.893,2.8802,2.8855,6086.3
1775001600000,2.8855,2.8894,2.8696,2.8862,6867.9
1775016000000,2.8862,2.898,2.8562,2.8747,12089.9
1775030400000,2.8747,2.8807,2.8356,2.8378,14955.0
1775044800000,2.8378,2.8739,2.8267,2.8378,29847.0
1775059200000,2.8378,2.8406,2.7902,2.8161,18580.4
1775073600000,2.8161,2.8206,2.8129,2.8198,4521.3
1775088000000,2.8198,2.8881,2.8184,2.8656,18966.6
1775102400000,2.8656,2.8804,2.856,2.8563,17459.8
1775116800000,2.8563,2.8703,2.8355,2.8478,17629.0
1775131200000,2.8478,2.8572,2.7854,2.8176,42185.7
1775145600000,2.8176,2.8182,2.7935,2.8053,17152.6
1775160000000,2.8053,2.8142,2.8032,2.8066,4832.8
1775174400000,2.8066,2.8095,2.8029,2.8058,1426.2
1775188800000,2.8058,2.808,2.8024,2.8046,804.0
1775203200000,2.8046,2.8089,2.8031,2.806,1915.4
1775217600000,2.806,2.8128,2.8028,2.8099,2362.4
1775232000000,2.8099,2.8141,2.8061,2.808,2581.2
1775246400000,2.808,2.8121,2.806,2.8101,2555.1
1775260800000,2.8101,2.8163,2.8098,2.8151,1543.5
1775275200000,2.8151,2.8189,2.8095,2.8109,2296.3
1775289600000,2.8109,2.8141,2.8082,2.8103,4572.8
1775304000000,2.8103,2.8129,2.808,2.8116,2269.2
1775318400000,2.8116,2.8144,2.809,2.8113,1683.1
