time,open,high,low,close,volume
1779868800000,211.64,212.8,211.38,212.25,43.31
1779883200000,212.25,212.25,198.71,203.84,413.16
1779897600000,203.84,209.54,203.28,208.68,296.62
1779912000000,208.68,239.25,208.29,234.27,521.73
1779926400000,234.27,235.3,226.66,226.74,606.47
1779940800000,226.74,232.43,222.94,230.77,508.86
1779955200000,230.77,234.63,226.54,229.69,583.97
1779969600000,229.69,232.81,219.07,226.84,1129.49
1779984000000,226.84,230.97,225.73,226.47,421.65
1779998400000,226.47,230.12,225.08,229.47,228.44
1780012800000,229.47,230.2,226.99,227.05,214.49
1780027200000,227.05,231.16,227.01,227.35,217.25
1780041600000,227.35,231.51,227.35,229.82,213.09
1780056000000,229.82,233.22,212.13,220.3,733.64
1780070400000,220.3,232.28,220.29,231.01,399.75
1780084800000,231.01,231.01,228.33,229.0,206.43
1780099200000,229.0,229.0,228.61,228.94,160.91
1780113600000,228.94,233.84,228.88,231.82,228.65
1780128000000,231.82,232.37,231.19,231.65,167.15
1780142400000,231.65,237.29,231.53,234.19,258.82
1780156800000,234.19,235.61,233.21,234.8,177.43
1780171200000,234.8,234.83,233.39,233.43,132.1
1780185600000,233.43,234.94,233.29,234.09,139.61
1780200000000,234.09,235.37,233.32,234.62,164.62
1780214400000,234.62,234.86,233.65,234.47,139.89
1780228800000,234.47,234.99,234.03,234.7,171.47
1780243200000,234.7,235.41,233.1,234.14,161.81
1780257600000,234.14,236.07,234.0,235.85,179.95
1780272000000,235.85,248.63,233.46,242.04,436.45
1780286400000,242.04,244.52,241.27,242.73,364.46
1780300800000,242.73,249.46,241.57,245.83,341.43
1780315200000,245.83,274.23,237.73,269.94,1236.92
1780329600000,269.94,274.77,263.7,265.09,759.21
1780344000000,265.09,268.22,265.09,268.21,253.55
1780358400000,268.21,271.17,262.13,263.76,493.24
1780372800000,263.76,272.95,262.3,271.59,375.51
1780387200000,271.59,282.63,270.02,278.37,421.27
1780401600000,278.37,280.47,262.37,264.97,1438.04
1780416000000,264.97,268.53,260.63,260.85,458.77
1780430400000,260.85,262.1,257.55,259.89,246.1
1780444800000,259.89,262.68,258.51,259.1,239.6
1780459200000,259.1,259.72,256.74,258.72,270.33
1780473600000,258.72,267.46,257.49,262.81,473.13
1780488000000,262.81,267.21,248.74,255.09,1154.01
1780502400000,255.09,255.68,248.04,251.75,469.54
1780516800000,251.75,254.45,237.49,240.76,370.62
1780531200000,240.76,247.56,240.24,245.67,280.32
1780545600000,245.67,246.58,244.25,245.15,268.8
1780560000000,245.15,246.23,235.52,240.18,450.61
1780574400000,240.18,249.83,235.01,249.33,635.3
1780588800000,249.33,264.45,248.31,259.64,455.25
1780603200000,259.64,259.9,253.53,254.15,361.36
1780617600000,254.15,254.93,247.75,251.77,437.84
