time,open,high,low,close,volume
1642435200000,18.732,18.796,17.651,17.841,451905.55
1642449600000,17.857,17.943,17.389,17.701,362078.17
1642464000000,17.697,18.22,17.565,17.717,342007.86
1642478400000,17.732,18.206,17.273,17.986,359741.25
1642492800000,17.992,18.121,17.371,17.782,477475.82
1642507200000,17.78,17.888,16.805,17.016,737389.52
1642521600000,17.015,17.281,16.785,17.147,333833.79
1642536000000,17.155,17.983,17.021,17.693,322794.15
1642550400000,17.701,17.852,17.17,17.455,335518.82
1642564800000,17.467,17.811,16.559,16.609,419255.6
1642579200000,16.619,17.581,16.405,17.458,581249.89
1642593600000,17.458,17.615,17.026,17.214,373727.98
1642608000000,17.2,17.286,16.816,16.873,323015.74
1642622400000,16.872,16.876,16.174,16.209,382619.94
1642636800000,16.219,16.497,16.129,16.406,215765.7
1642651200000,16.406,16.835,16.333,16.76,211084.01
1642665600000,16.747,16.804,16.566,16.653,280871.1
1642680000000,16.652,17.55,16.346,17.267,482911.79
1642694400000,17.263,17.403,16.993,17.128,366302.88
1642708800000,17.131,17.171,15.161,15.272,813836.42
1642723200000,15.272,15.7,14.45,14.57,1046885.79
1642737600000,14.572,14.981,14.295,14.703,345372.94
1642752000000,14.698,14.796,14.243,14.37,324080.34
1642766400000,14.372,14.578,13.725,14.459,828465.14
1642780800000,14.469,14.485,13.571,13.584,793225.1
1642795200000,13.607,13.698,11.982,13.232,1408611.26
1642809600000,13.229,13.525,12.639,12.762,790551.82
1642824000000,12.762,12.809,11.092,11.234,795939.3
1642838400000,11.232,11.556,10.19,11.294,1427384.78
1642852800000,11.295,12.234,11.004,11.061,1016544.76
1642867200000,11.075,11.834,10.917,11.302,732413.26
1642881600000,11.301,11.882,11.149,11.401,797735.49
1642896000000,11.4,12.408,11.317,11.826,698718.91
1642910400000,11.845,12.127,11.572,11.913,366502.07
1642924800000,11.903,12.554,11.753,11.871,521183.76
1642939200000,11.872,12.19,11.13,11.26,529738.22
1642953600000,11.258,11.489,10.905,11.042,451716.23
1642968000000,11.027,11.832,10.832,11.7,488324.09
1642982400000,11.697,11.697,10.852,11.008,464441.42
1642996800000,11.013,11.085,10.182,10.195,451247.15
1643011200000,10.203,10.486,9.523,9.923,1191351.49
1643025600000,9.918,10.462,9.542,10.286,1851249.13
1643040000000,10.297,10.787,9.816,10.442,1312659.77
1643054400000,10.438,11.069,10.427,10.718,762737.18
1643068800000,10.714,10.723,10.182,10.455,715942.21
1643083200000,10.454,10.493,9.987,10.298,521554.73
1643097600000,10.287,11.01,10.263,10.966,799034.23
1643112000000,10.971,11.37,10.517,11.155,1041010.77
1643126400000,11.165,12.486,11.149,12.3,915811.87
1643140800000,12.301,12.303,11.645,12.125,706446.78
1643155200000,12.13,12.466,11.609,11.806,871634.04
1643169600000,11.804,12.24,11.457,11.712,666792.19
1643184000000,11.698,12.102,11.694,11.996,611540.81
1643198400000,11.987,12.582,11.81,12.108,612695.7
1643212800000,12.097,12.908,11.593,11.963,1506499.17
1643227200000,11.957,11.957,10.741,11.276,1155468.92
1643241600000,11.288,11.428,10.488,10.61,963943.36
1643256000000,10.603,11.115,10.568,10.959,711827.2
1643270400000,10.961,11.455,10.794,11.334,752575.43
1643284800000,11.343,11.763,11.174,11.3,768606.11
1643299200000,11.299,11.482,10.766,10.794,784207.91
1643313600000,10.789,10.923,9.937,10.531,966712.14
1643328000000,10.526,10.672,10.232,10.512,577141.6
1643342400000,10.517,10.669,10.255,10.296,512368.26
1643356800000,10.291,10.479,10.13,10.267,490716.94
1643371200000,10.279,10.565,10.063,10.499,693924.62
1643385600000,10.507,10.588,10.276,10.459,437474.86
1643400000000,10.459,10.888,10.415,10.768,435336.47
1643414400000,10.767,10.941,10.655,10.906,268135.25
1643428800000,10.915,11.158,10.803,11.112,321393.86
1643443200000,11.115,11.151,10.936,11.115,210537.5
1643457600000,11.115,11.35,10.834,11.024,485216.97
1643472000000,11.027,11.178,10.909,11.091,293770.43
1643486400000,11.093,11.236,10.883,11.021,357166.41
1643500800000,11.034,11.156,10.736,10.853,317218.25
1643515200000,10.853,11.046,10.819,11.037,187610.08
1643529600000,11.04,11.152,10.854,11.094,236000.57
1643544000000,11.095,11.103,10.779,10.858,206032.13
1643558400000,10.88,10.896,10.367,10.441,289247.43
1643572800000,10.439,10.536,10.268,10.369,274413.53
1643587200000,10.35,10.408,10.035,10.21,403283.03
