time,open,high,low,close,volume
1766894400000,94.35,94.35,94.35,94.35,0.0
1766908800000,94.35,94.35,94.35,94.35,0.0
1766923200000,94.35,94.35,94.35,94.35,0.0
1766937600000,94.35,94.35,94.35,94.35,0.0
1766952000000,94.35,94.35,94.35,94.35,0.0
1766966400000,94.35,94.5,94.35,94.38,74.57
1766980800000,94.38,94.42,94.11,94.31,99.96
1766995200000,94.31,94.45,94.07,94.19,176.27
1767009600000,94.19,94.94,93.77,93.86,419.67
1767024000000,93.86,94.43,93.65,94.35,229.81
1767038400000,94.35,94.36,93.86,93.89,133.49
1767052800000,93.89,94.19,93.81,93.95,88.79
1767067200000,93.95,94.02,93.79,94.02,77.17
1767081600000,94.02,94.49,93.8,93.93,156.69
1767096000000,93.93,94.02,93.37,93.62,286.47
1767110400000,93.62,93.97,93.55,93.77,176.76
1767124800000,93.77,93.9,93.54,93.54,78.28
1767139200000,93.54,93.6,93.45,93.54,119.68
1767153600000,93.54,93.6,93.42,93.48,62.94
1767168000000,93.48,93.6,93.44,93.56,75.2
1767182400000,93.56,94.12,93.2,93.38,369.08
1767196800000,93.38,94.29,93.35,93.99,335.54
1767211200000,93.99,93.99,93.46,93.53,155.62
1767225600000,93.53,93.6,93.48,93.59,30.45
1767240000000,93.59,93.59,93.59,93.59,0.0
1767254400000,93.59,93.59,93.59,93.59,0.0
1767268800000,93.59,93.59,93.59,93.59,0.0
1767283200000,93.59,93.59,93.59,93.59,0.0
1767297600000,93.59,93.59,93.59,93.59,0.0
1767312000000,93.59,94.19,93.59,94.06,137.9
1767326400000,94.06,94.29,94.06,94.25,98.03
1767340800000,94.25,94.54,94.17,94.33,96.9
1767355200000,94.33,94.33,91.57,91.63,562.78
1767369600000,91.63,91.63,90.85,91.26,558.62
1767384000000,91.26,91.44,90.82,91.01,171.2
1767398400000,91.01,91.1,90.99,91.08,29.05
1767412800000,91.08,91.08,91.08,91.08,0.0
1767427200000,91.08,91.08,91.08,91.08,0.0
1767441600000,91.08,91.08,91.08,91.08,0.0
1767456000000,91.08,91.08,91.08,91.08,0.0
1767470400000,91.08,91.08,91.08,91.08,0.0
1767484800000,91.08,91.08,91.08,91.08,0.0
1767499200000,91.08,91.08,91.08,91.08,0.0
1767513600000,91.08,91.08,91.08,91.08,0.0
1767528000000,91.08,91.08,91.08,91.08,0.0
1767542400000,91.08,91.08,91.08,91.08,0.0
1767556800000,91.08,91.08,91.08,91.08,0.0
1767571200000,91.08,91.33,91.08,91.24,251.12
1767585600000,91.24,91.35,91.09,91.15,100.29
1767600000000,91.15,91.37,90.95,91.09,310.12
1767614400000,91.09,92.26,90.52,91.77,640.85
1767628800000,91.77,92.62,91.32,91.52,516.84
1767643200000,91.52,91.73,91.33,91.38,150.73
1767657600000,91.38,91.71,91.33,91.56,68.26
1767672000000,91.56,91.69,91.51,91.6,92.44
1767686400000,91.6,91.78,91.44,91.73,97.05
1767700800000,91.73,91.93,89.89,90.13,910.46
1767715200000,90.13,90.92,89.76,90.83,694.82
1767729600000,90.83,90.9,90.54,90.58,267.01
1767744000000,90.58,90.82,90.52,90.82,152.4
1767758400000,90.82,90.82,90.61,90.74,81.2
1767772800000,90.74,90.96,90.42,90.94,565.72
1767787200000,90.94,92.32,90.08,90.16,1178.42
1767801600000,90.16,91.35,90.16,90.91,422.69
1767816000000,90.91,91.2,90.36,90.83,308.29
1767830400000,90.83,90.97,90.61,90.75,194.91
1767844800000,90.75,90.96,90.44,90.53,129.64
1767859200000,90.53,90.67,90.34,90.45,148.7
1767873600000,90.45,90.88,89.61,90.3,718.7
1767888000000,90.3,91.23,89.62,90.59,600.11
1767902400000,90.59,90.7,90.33,90.64,158.6
1767916800000,90.64,90.65,90.35,90.58,122.25
1767931200000,90.58,90.75,90.56,90.63,93.61
1767945600000,90.63,90.65,90.17,90.38,220.79
1767960000000,90.38,90.67,88.35,88.76,859.5
1767974400000,88.76,89.25,88.71,88.89,527.95
1767988800000,88.89,89.46,88.88,89.35,224.25
1768003200000,89.35,89.4,89.33,89.36,23.55
1768017600000,89.36,89.36,89.36,89.36,0.0
1768032000000,89.36,89.36,89.36,89.36,0.0
1768046400000,89.36,89.36,89.36,89.36,0.0
1768060800000,89.36,89.36,89.36,89.36,0.0
1768075200000,89.36,89.36,89.36,89.36,0.0
1768089600000,89.36,89.36,89.36,89.36,0.0
1768104000000,89.36,89.36,89.36,89.36,0.0
1768118400000,89.36,89.36,89.36,89.36,0.0
1768132800000,89.36,89.36,89.36,89.36,0.0
1768147200000,89.36,89.36,89.36,89.36,0.0
1768161600000,89.36,89.36,89.36,89.36,0.0
1768176000000,89.36,89.39,89.02,89.02,446.14
1768190400000,89.02,89.49,88.89,89.27,202.01
1768204800000,89.27,89.66,89.02,89.48,360.55
1768219200000,89.48,90.32,88.98,90.1,864.72
1768233600000,90.1,90.15,89.44,89.72,331.93
1768248000000,89.72,89.9,89.35,89.51,225.75
1768262400000,89.51,89.65,89.38,89.53,161.0
1768276800000,89.53,89.77,89.52,89.74,78.75
1768291200000,89.74,89.77,89.01,89.5,236.65
1768305600000,89.5,90.97,89.24,89.39,1000.78
1768320000000,89.39,89.9,89.29,89.9,548.84
1768334400000,89.9,91.05,89.37,90.9,854.43
1768348800000,90.9,91.67,90.9,91.63,252.9
1768363200000,91.63,91.66,91.01,91.04,190.33
1768377600000,91.04,92.35,90.7,91.72,763.52
1768392000000,91.72,92.08,88.51,88.56,1517.69
1768406400000,88.56,88.96,87.97,88.24,562.55
1768420800000,88.24,88.78,88.17,88.6,324.66
1768435200000,88.6,88.85,88.59,88.84,127.15
1768449600000,88.84,89.09,88.78,88.82,118.89
1768464000000,88.82,89.1,88.77,88.96,196.97
1768478400000,88.96,89.86,88.68,89.13,1007.13
1768492800000,89.13,89.36,88.32,88.37,642.02
1768507200000,88.37,88.41,87.84,88.28,459.14
1768521600000,88.28,88.53,88.26,88.52,291.51
1768536000000,88.52,88.74,88.47,88.55,133.67
1768550400000,88.55,88.65,88.37,88.37,208.56
1768564800000,88.37,88.64,87.81,88.13,609.0
1768579200000,88.13,88.29,87.85,87.87,360.08
1768593600000,87.87,88.57,87.84,88.47,400.97
1768608000000,88.47,88.47,88.41,88.46,13.93
1768622400000,88.46,88.46,88.46,88.46,0.0
1768636800000,88.46,88.46,88.46,88.46,0.0
1768651200000,88.46,88.46,88.46,88.46,0.0
1768665600000,88.46,88.46,88.46,88.46,0.0
1768680000000,88.46,88.46,88.46,88.46,0.0
1768694400000,88.46,88.46,88.46,88.46,0.0
1768708800000,88.46,88.46,88.46,88.46,0.0
1768723200000,88.46,88.46,88.46,88.46,0.0
1768737600000,88.46,88.46,88.46,88.46,0.0
1768752000000,88.46,88.46,88.46,88.46,0.0
1768766400000,88.46,88.46,88.46,88.46,0.0
1768780800000,88.46,88.46,88.46,88.46,0.0
1768795200000,88.46,88.46,88.46,88.46,0.0
1768809600000,88.46,88.46,88.46,88.46,0.0
1768824000000,88.46,88.46,88.46,88.46,0.0
1768838400000,88.46,88.46,88.46,88.46,0.0
1768852800000,88.46,88.46,88.46,88.46,0.0
1768867200000,88.46,89.54,88.08,89.21,354.64
1768881600000,89.21,89.29,88.02,88.21,561.66
1768896000000,88.21,88.91,88.0,88.72,542.87
1768910400000,88.72,89.88,88.24,88.36,1334.43
1768924800000,88.36,88.93,87.74,87.99,750.87
1768939200000,87.99,88.18,82.72,82.99,2817.12
1768953600000,82.99,83.11,82.63,82.69,368.12
1768968000000,82.69,82.71,82.13,82.37,288.59
1768982400000,82.37,82.52,81.11,81.27,1339.86
1768996800000,81.27,85.19,80.41,83.75,2782.46
1769011200000,83.75,85.07,82.93,85.05,1085.4
1769025600000,85.05,85.64,84.6,85.58,673.21
1769040000000,85.58,85.72,85.49,85.63,219.08
1769054400000,85.63,85.83,85.44,85.81,199.09
1769068800000,85.81,86.13,85.03,85.21,1441.74
1769083200000,85.21,85.84,83.75,84.09,1745.95
1769097600000,84.09,84.17,83.03,83.42,602.92
1769112000000,83.42,83.64,83.05,83.63,223.34
1769126400000,83.63,83.77,83.57,83.72,126.7
1769140800000,83.72,83.9,83.68,83.9,140.14
1769155200000,83.9,83.91,83.53,83.57,307.88
1769169600000,83.57,85.64,83.39,85.22,1200.62
1769184000000,85.22,86.29,85.13,85.64,924.51
1769198400000,85.64,86.29,85.48,86.11,263.03
1769212800000,86.11,86.22,86.08,86.11,114.5
1769227200000,86.11,86.11,86.11,86.11,0.0
1769241600000,86.11,86.11,86.11,86.11,0.0
1769256000000,86.11,86.11,86.11,86.11,0.0
1769270400000,86.11,86.11,86.11,86.11,0.0
1769284800000,86.11,86.11,86.11,86.11,0.0
1769299200000,86.11,86.11,86.11,86.11,0.0
1769313600000,86.11,86.11,86.11,86.11,0.0
1769328000000,86.11,86.11,86.11,86.11,0.0
1769342400000,86.11,86.11,86.11,86.11,0.0
1769356800000,86.11,86.11,86.11,86.11,0.0
1769371200000,86.11,86.11,86.11,86.11,0.0
1769385600000,86.11,86.37,85.57,86.36,270.8
1769400000000,86.36,87.15,86.35,86.63,348.98
1769414400000,86.63,87.27,86.47,87.16,591.64
1769428800000,87.16,87.2,85.38,85.89,1203.4
1769443200000,85.89,86.15,85.69,85.98,658.03
1769457600000,85.98,86.05,85.58,85.83,197.25
1769472000000,85.83,86.31,85.71,86.02,174.16
1769486400000,86.02,86.07,85.96,86.0,113.33
1769500800000,86.0,86.0,85.7,85.84,474.14
1769515200000,85.84,85.84,83.91,84.52,1192.22
1769529600000,84.52,85.2,84.07,85.16,523.61
1769544000000,85.16,85.6,85.16,85.39,195.45
1769558400000,85.39,85.71,85.38,85.57,196.19
1769572800000,85.57,86.08,85.51,85.55,225.18
1769587200000,85.55,85.63,85.07,85.33,212.9
1769601600000,85.33,86.43,84.88,85.56,627.66
1769616000000,85.56,85.6,84.32,85.16,584.33
1769630400000,85.16,85.32,84.27,84.4,408.92
1769644800000,84.4,84.6,84.07,84.45,293.07
1769659200000,84.45,84.88,84.33,84.66,201.57
1769673600000,84.66,84.81,84.33,84.42,287.32
1769688000000,84.42,84.47,82.38,82.73,758.07
1769702400000,82.73,82.98,82.47,82.71,922.96
1769716800000,82.71,83.22,82.63,83.06,460.09
1769731200000,83.06,83.22,82.58,82.79,270.16
1769745600000,82.79,83.08,82.59,82.6,244.72
1769760000000,82.6,83.03,82.55,82.91,276.81
1769774400000,82.91,84.04,82.41,83.45,803.86
1769788800000,83.45,83.65,82.81,83.43,525.49
1769803200000,83.43,83.7,83.06,83.49,250.9
1769817600000,83.49,83.49,83.4,83.42,24.53
1769832000000,83.42,83.42,83.42,83.42,0.0
1769846400000,83.42,83.42,83.42,83.42,0.0
