time,open,high,low,close,volume
1776859200000,46.47,46.94,45.82,45.84,2382.69
1776873600000,45.84,45.96,45.51,45.71,1727.6
1776888000000,45.71,45.92,45.57,45.79,805.24
1776902400000,45.79,45.86,45.55,45.6,647.06
1776916800000,45.6,45.7,45.56,45.67,436.36
1776931200000,45.67,45.75,45.47,45.56,902.02
1776945600000,45.56,45.7,44.7,44.7,1975.83
1776960000000,44.7,44.9,44.24,44.78,1680.61
1776974400000,44.78,45.23,44.74,45.03,686.72
1776988800000,45.03,45.11,44.92,44.98,512.62
1777003200000,44.98,45.13,44.83,44.84,434.6
1777017600000,44.84,45.22,44.84,45.03,1112.56
1777032000000,45.03,45.41,44.74,45.09,1855.73
1777046400000,45.09,45.12,44.59,44.68,1065.42
1777060800000,44.68,44.87,44.68,44.81,328.0
1777075200000,44.81,44.81,44.8,44.8,0.05
1777089600000,44.8,44.8,44.8,44.8,0.0
1777104000000,44.8,44.8,44.8,44.8,0.0
1777118400000,44.8,44.8,44.8,44.8,0.0
1777132800000,44.8,44.8,44.8,44.8,0.0
1777147200000,44.8,44.8,44.8,44.8,0.0
1777161600000,44.8,44.8,44.8,44.8,0.0
1777176000000,44.8,44.8,44.8,44.8,0.0
1777190400000,44.8,44.8,44.8,44.8,0.0
1777204800000,44.8,44.8,44.8,44.8,0.0
1777219200000,44.8,44.8,44.8,44.8,0.0
1777233600000,44.8,44.8,44.8,44.8,0.0
1777248000000,44.8,44.89,44.8,44.85,362.22
1777262400000,44.85,44.86,44.75,44.75,227.24
1777276800000,44.75,44.84,44.75,44.82,373.14
1777291200000,44.82,45.39,44.59,45.07,1756.2
1777305600000,45.07,45.28,44.9,45.17,966.64
1777320000000,45.17,45.24,45.16,45.23,246.51
1777334400000,45.23,45.35,45.2,45.31,341.89
1777348800000,45.31,45.34,45.13,45.2,218.34
1777363200000,45.2,45.27,45.07,45.12,674.71
1777377600000,45.12,45.68,44.75,44.97,2266.53
1777392000000,44.97,45.14,44.8,45.02,944.36
1777406400000,45.02,45.05,44.98,45.04,432.53
1777420800000,45.04,45.14,45.03,45.06,571.61
1777435200000,45.06,45.35,45.02,45.22,391.91
1777449600000,45.22,45.45,45.16,45.19,517.73
1777464000000,45.19,45.21,44.16,44.2,1677.14
1777478400000,44.2,44.66,44.17,44.39,1269.17
1777492800000,44.39,44.41,44.29,44.33,377.47
1777507200000,44.33,44.45,44.33,44.38,290.63
1777521600000,44.38,44.38,44.2,44.28,330.86
1777536000000,44.28,44.41,44.28,44.32,367.32
1777550400000,44.32,44.39,43.51,44.1,2020.96
1777564800000,44.1,44.81,43.94,44.37,1076.85
1777579200000,44.37,44.46,44.3,44.37,592.28
1777593600000,44.37,44.55,44.3,44.47,413.72
1777608000000,44.47,44.49,44.41,44.46,234.28
1777622400000,44.46,44.51,44.42,44.5,402.64
1777636800000,44.5,44.94,44.4,44.55,1839.56
1777651200000,44.55,44.64,44.23,44.41,1153.44
1777665600000,44.41,44.48,44.38,44.38,207.82
1777680000000,44.38,44.39,44.38,44.39,0.07
1777694400000,44.39,44.39,44.39,44.39,0.0
1777708800000,44.39,44.39,44.39,44.39,0.0
1777723200000,44.39,44.39,44.39,44.39,0.0
1777737600000,44.39,44.39,44.39,44.39,0.0
1777752000000,44.39,44.39,44.39,44.39,0.0
1777766400000,44.39,44.39,44.39,44.39,0.0
1777780800000,44.39,44.39,44.39,44.39,0.0
1777795200000,44.39,44.39,44.39,44.39,0.0
1777809600000,44.39,44.39,44.39,44.39,0.0
1777824000000,44.39,44.39,44.39,44.39,0.0
1777838400000,44.39,44.39,44.39,44.39,0.0
1777852800000,44.39,44.82,44.39,44.51,630.65
1777867200000,44.51,44.53,44.43,44.48,266.63
1777881600000,44.48,44.56,44.21,44.32,656.57
1777896000000,44.32,44.42,43.43,43.48,1747.81
1777910400000,43.48,43.51,43.11,43.11,1292.29
1777924800000,43.11,43.24,43.1,43.2,234.06
1777939200000,43.2,43.27,43.17,43.19,389.25
1777953600000,43.19,43.35,43.19,43.26,298.53
1777968000000,43.26,43.36,43.25,43.32,301.52
1777982400000,43.32,43.36,42.65,43.14,1693.79
1777996800000,43.14,43.16,42.76,43.04,951.69
1778011200000,43.04,43.1,43.0,43.06,540.48
1778025600000,43.06,43.15,43.02,43.06,402.46
1778040000000,43.06,43.18,43.04,43.16,252.09
1778054400000,43.16,43.9,43.13,43.83,1051.58
1778068800000,43.83,43.95,43.2,43.46,2621.51
1778083200000,43.46,43.91,43.29,43.86,1221.18
1778097600000,43.86,43.91,43.77,43.91,442.35
1778112000000,43.91,43.98,43.83,43.96,547.12
1778126400000,43.96,44.04,43.91,44.02,325.83
1778140800000,44.02,44.03,43.91,43.95,324.59
1778155200000,43.95,44.59,43.91,44.46,2111.68
1778169600000,44.46,44.64,44.16,44.4,1455.77
1778184000000,44.4,44.49,44.18,44.28,365.42
1778198400000,44.28,44.46,44.23,44.46,414.67
1778212800000,44.46,44.48,44.41,44.43,176.16
1778227200000,44.43,44.55,43.88,44.02,950.81
1778241600000,44.02,44.65,43.8,44.4,2006.49
1778256000000,44.4,44.43,43.97,44.15,1004.54
1778270400000,44.15,44.16,44.09,44.13,341.5
1778284800000,44.13,44.14,44.13,44.13,0.08
1778299200000,44.13,44.13,44.13,44.13,0.0
1778313600000,44.13,44.13,44.13,44.13,0.0
1778328000000,44.13,44.13,44.13,44.13,0.0
1778342400000,44.13,44.13,44.13,44.13,0.0
1778356800000,44.13,44.13,44.13,44.13,0.0
1778371200000,44.13,44.13,44.13,44.13,0.0
1778385600000,44.13,44.13,44.13,44.13,0.0
1778400000000,44.13,44.13,44.13,44.13,0.0
1778414400000,44.13,44.13,44.13,44.13,0.0
1778428800000,44.13,44.13,44.13,44.13,0.0
1778443200000,44.13,44.13,44.13,44.13,0.0
1778457600000,44.13,44.16,43.94,43.98,414.44
1778472000000,43.98,44.07,43.94,44.04,242.73
1778486400000,44.04,44.12,44.0,44.05,337.75
1778500800000,44.05,44.27,42.85,42.98,2010.17
1778515200000,42.98,42.99,42.4,42.4,1302.75
1778529600000,42.4,42.57,42.4,42.53,312.17
1778544000000,42.53,42.6,42.42,42.49,574.43
1778558400000,42.49,42.54,42.49,42.53,266.66
1778572800000,42.53,42.62,42.41,42.43,615.91
1778587200000,42.43,42.47,42.07,42.24,1956.67
1778601600000,42.24,42.5,42.17,42.36,1428.18
1778616000000,42.36,42.45,42.35,42.41,288.2
1778630400000,42.41,42.43,42.33,42.39,1762.56
1778644800000,42.39,42.44,42.34,42.38,285.96
1778659200000,42.38,42.47,42.31,42.34,1435.65
1778673600000,42.34,42.35,41.71,42.12,1811.13
1778688000000,42.12,42.6,42.08,42.35,1272.42
1778702400000,42.35,42.47,42.29,42.34,419.76
1778716800000,42.34,42.43,42.31,42.4,337.75
1778731200000,42.4,42.43,42.35,42.39,314.04
1778745600000,42.39,42.43,42.34,42.43,909.58
1778760000000,42.43,42.8,42.13,42.55,3041.53
1778774400000,42.55,42.58,42.0,42.03,1288.92
1778788800000,42.03,42.16,42.03,42.1,336.14
1778803200000,42.1,42.16,42.0,42.02,456.55
1778817600000,42.02,42.06,41.9,41.99,360.85
1778832000000,41.99,42.02,41.85,41.96,510.21
1778846400000,41.96,42.53,41.84,42.49,1898.83
1778860800000,42.49,42.77,41.85,41.87,3632.31
1778875200000,41.87,41.99,41.86,41.94,246.42
1778889600000,41.94,41.94,41.94,41.94,0.04
1778904000000,41.94,41.94,41.94,41.94,0.0
1778918400000,41.94,41.94,41.94,41.94,0.0
1778932800000,41.94,41.94,41.94,41.94,0.0
1778947200000,41.94,41.94,41.94,41.94,0.0
1778961600000,41.94,41.94,41.94,41.94,0.0
1778976000000,41.94,41.94,41.94,41.94,0.0
1778990400000,41.94,41.94,41.94,41.94,0.0
1779004800000,41.94,41.94,41.94,41.94,0.0
1779019200000,41.94,41.94,41.94,41.94,0.0
1779033600000,41.94,41.94,41.94,41.94,0.0
1779048000000,41.94,41.94,41.94,41.94,0.0
1779062400000,41.94,41.94,41.62,41.71,1045.45
1779076800000,41.71,41.78,41.65,41.78,448.49
1779091200000,41.78,41.99,41.73,41.9,646.25
1779105600000,41.9,42.43,41.36,42.22,2563.86
1779120000000,42.22,42.74,42.19,42.55,2043.1
1779134400000,42.55,42.66,42.54,42.63,394.64
1779148800000,42.63,42.66,42.49,42.55,596.39
