time,open,high,low,close,volume
1780560000000,121.88,122.38,116.45,121.66,264.02
1780574400000,121.66,124.84,119.59,121.35,2418.27
1780588800000,121.35,121.89,119.47,119.54,429.37
1780603200000,119.54,119.98,119.11,119.38,239.74
1780617600000,119.38,119.43,117.49,118.28,243.8
1780632000000,118.28,119.89,118.19,119.83,265.97
1780646400000,119.83,122.4,119.77,120.25,300.35
1780660800000,120.25,122.09,113.61,114.31,693.55
1780675200000,114.31,114.55,111.61,112.39,466.54
1780689600000,112.39,112.63,110.65,111.11,267.78
1780704000000,111.11,112.5,111.1,111.44,235.3
1780718400000,111.44,111.76,106.7,107.91,357.15
1780732800000,107.91,107.99,106.76,107.53,266.09
1780747200000,107.53,110.35,107.43,109.96,238.65
1780761600000,109.96,110.34,109.64,109.85,160.77
1780776000000,109.85,110.29,107.16,109.64,277.38
1780790400000,109.64,111.98,109.25,111.31,245.23
1780804800000,111.31,113.41,110.87,113.39,401.22
1780819200000,113.39,113.41,111.53,112.05,189.7
1780833600000,112.05,112.31,111.43,111.92,196.12
1780848000000,111.92,112.68,111.42,111.44,320.08
1780862400000,111.44,112.3,110.74,112.15,195.12
1780876800000,112.15,113.99,111.36,113.48,254.48
1780891200000,113.48,113.52,111.22,112.39,185.17
1780905600000,112.39,113.64,111.37,113.06,238.04
1780920000000,113.06,115.25,111.41,114.16,446.42
1780934400000,114.16,115.39,114.08,114.31,212.54
1780948800000,114.31,114.56,113.13,113.59,153.45
1780963200000,113.59,115.23,113.34,114.79,142.25
1780977600000,114.79,115.56,113.61,113.82,191.02
1780992000000,113.82,113.88,112.4,112.48,168.92
1781006400000,112.48,113.22,105.3,105.35,476.08
1781020800000,105.35,107.02,103.32,107.01,322.67
1781035200000,107.01,108.25,105.85,106.33,236.23
1781049600000,106.33,107.56,105.79,105.88,163.14
1781064000000,105.88,106.36,104.59,105.0,171.14
1781078400000,105.0,105.37,103.05,103.59,228.66
1781092800000,103.59,109.81,103.59,108.95,538.2
1781107200000,108.95,109.69,106.09,106.22,346.08
1781121600000,106.22,106.4,103.21,103.45,252.46
1781136000000,103.45,106.78,103.43,106.73,188.31
1781150400000,106.73,106.8,104.41,104.78,211.22
1781164800000,104.78,105.77,104.67,105.59,147.27
1781179200000,105.59,105.7,101.52,103.43,408.23
1781193600000,103.43,104.77,102.35,103.11,484.96
1781208000000,103.11,103.9,103.11,103.89,130.98
1781222400000,103.89,105.45,103.87,104.71,173.8
1781236800000,104.71,104.88,102.63,103.51,210.39
1781251200000,103.51,105.27,103.51,104.55,190.55
1781265600000,104.55,104.59,98.68,100.49,630.2
1781280000000,100.49,102.55,100.42,102.26,320.49
1781294400000,102.26,103.13,101.61,102.89,169.89
1781308800000,102.89,103.29,102.53,102.57,111.96
1781323200000,102.57,102.62,102.02,102.1,144.12
1781337600000,102.1,102.86,101.95,102.72,111.35
1781352000000,102.72,102.84,102.01,102.03,106.53
1781366400000,102.03,104.8,101.2,104.38,154.41
1781380800000,104.38,104.89,103.59,103.76,123.88
1781395200000,103.76,104.29,103.75,104.24,163.5
1781409600000,104.24,104.31,104.08,104.24,106.7
1781424000000,104.24,104.91,104.18,104.72,120.48
1781438400000,104.72,104.76,103.29,104.41,142.43
1781452800000,104.41,104.75,103.11,103.67,124.01
1781467200000,103.67,106.43,103.63,105.22,154.58
1781481600000,105.22,107.92,104.55,106.56,303.8
1781496000000,106.56,106.86,105.08,106.24,146.33
1781510400000,106.24,107.55,104.87,105.12,207.13
1781524800000,105.12,107.2,103.8,107.12,676.62
1781539200000,107.12,107.17,103.43,104.21,427.21
1781553600000,104.21,104.64,104.0,104.29,165.26
1781568000000,104.29,104.96,103.35,104.33,215.17
1781582400000,104.33,104.94,104.22,104.84,127.2
1781596800000,104.84,105.29,103.34,103.36,191.61
1781611200000,103.36,105.63,101.29,102.07,692.87
1781625600000,102.07,102.19,101.35,101.43,256.24
1781640000000,101.43,102.11,101.17,101.94,140.38
1781654400000,101.94,102.27,101.78,102.04,134.25
1781668800000,102.04,102.4,101.35,101.43,163.73
1781683200000,101.43,101.79,100.87,101.21,193.54
1781697600000,101.21,102.84,98.72,100.77,511.6
1781712000000,100.77,101.39,95.21,95.51,406.75
1781726400000,95.51,97.5,95.44,97.43,181.76
1781740800000,97.43,97.65,96.77,96.85,199.02
1781755200000,96.85,96.85,96.18,96.65,149.62
1781769600000,96.65,97.41,93.84,94.59,409.76
1781784000000,94.59,96.68,92.66,95.22,728.8
1781798400000,95.22,96.21,94.8,95.39,303.18
1781812800000,95.39,95.64,95.14,95.22,142.21
1781827200000,95.22,95.34,94.94,95.11,135.31
1781841600000,95.11,95.25,94.68,94.73,138.36
1781856000000,94.73,96.27,94.72,96.25,129.5
1781870400000,96.25,96.84,95.09,95.53,190.2
1781884800000,95.53,96.1,95.18,96.05,154.59
1781899200000,96.05,96.28,95.79,96.24,122.08
1781913600000,96.24,96.85,96.22,96.45,144.54
1781928000000,96.45,97.05,96.43,96.86,116.22
1781942400000,96.86,97.03,95.99,96.0,167.53
1781956800000,96.0,96.52,95.71,96.39,137.35
1781971200000,96.39,96.45,95.66,95.73,160.81
1781985600000,95.73,96.35,95.72,96.29,118.56
1782000000000,96.29,96.82,95.85,95.93,140.34
1782014400000,95.93,96.43,95.87,96.35,124.8
1782028800000,96.35,96.61,95.79,95.97,126.11
1782043200000,95.97,96.27,95.51,96.17,117.42
1782057600000,96.17,96.5,96.06,96.37,114.97
1782072000000,96.37,96.61,95.66,95.7,131.94
1782086400000,95.7,95.7,93.89,94.34,183.45
1782100800000,94.34,95.2,94.07,94.85,146.44
1782115200000,94.85,95.05,93.95,94.12,139.73
1782129600000,94.12,97.42,92.8,92.84,794.84
1782144000000,92.84,93.05,91.64,93.05,276.95
1782158400000,93.05,93.42,93.0,93.27,144.23
1782172800000,93.27,93.51,91.83,92.39,162.23
1782187200000,92.39,93.11,92.07,92.99,216.55
1782201600000,92.99,95.22,92.97,94.59,228.85
1782216000000,94.59,97.24,94.35,96.61,424.81
1782230400000,96.61,97.58,96.0,96.17,264.84
1782244800000,96.17,96.72,95.86,96.72,147.45
1782259200000,96.72,96.76,95.44,96.12,174.41
1782273600000,96.12,96.45,95.86,95.95,135.94
1782288000000,95.95,96.04,94.14,94.88,459.54
1782302400000,94.88,97.11,93.66,95.1,402.6
1782316800000,95.1,95.15,93.51,93.92,219.52
1782331200000,93.92,94.22,92.94,93.47,168.03
1782345600000,93.47,93.77,93.25,93.7,139.44
1782360000000,93.7,93.7,92.66,92.8,143.64
1782374400000,92.8,93.21,92.53,92.61,144.67
1782388800000,92.61,92.79,89.38,90.81,520.93
1782403200000,90.81,91.23,89.63,89.68,274.75
1782417600000,89.68,90.44,89.67,90.07,137.73
1782432000000,90.07,90.17,88.65,89.06,210.72
1782446400000,89.06,90.96,88.97,90.74,182.87
1782460800000,90.74,91.36,90.39,90.46,164.81
1782475200000,90.46,97.58,90.35,97.12,893.14
1782489600000,97.12,98.95,96.54,98.45,799.89
1782504000000,98.45,98.76,97.68,98.74,156.04
1782518400000,98.74,99.56,98.57,99.01,175.46
1782532800000,99.01,99.3,98.56,99.17,154.96
1782547200000,99.17,99.39,99.01,99.34,115.79
1782561600000,99.34,99.82,98.94,99.73,120.99
1782576000000,99.73,99.82,99.28,99.78,122.04
1782590400000,99.78,100.48,99.76,100.42,132.36
1782604800000,100.42,100.43,98.43,99.46,146.43
1782619200000,99.46,100.73,99.13,100.47,133.03
1782633600000,100.47,100.57,99.69,100.27,138.88
1782648000000,100.27,100.3,99.78,99.91,130.34
1782662400000,99.91,100.72,99.45,100.53,144.22
1782676800000,100.53,101.29,100.49,101.14,124.91
1782691200000,101.14,101.37,98.69,101.09,779.0
1782705600000,101.09,101.09,99.24,99.38,165.24
1782720000000,99.38,101.37,98.93,101.24,211.61
1782734400000,101.24,103.15,100.24,100.8,473.12
1782748800000,100.8,101.23,99.53,100.04,255.93
1782763200000,100.04,100.83,99.82,100.52,127.84
1782777600000,100.52,100.59,100.11,100.28,120.02
1782792000000,100.28,100.49,99.99,100.22,122.08
1782806400000,100.22,100.25,99.51,99.52,129.15
1782820800000,99.52,99.55,97.3,97.62,378.4
1782835200000,97.62,99.61,97.36,99.35,204.02
1782849600000,99.35,99.67,98.91,99.57,130.01
1782864000000,99.57,100.15,98.79,100.12,143.58
1782878400000,100.12,100.69,100.0,100.16,127.08
1782892800000,100.16,104.49,99.99,104.27,284.57
1782907200000,104.27,106.39,102.01,106.28,831.52
1782921600000,106.28,106.7,105.1,105.91,288.47
1782936000000,105.91,105.91,103.9,104.84,158.6
1782950400000,104.84,105.9,104.59,105.51,147.47
1782964800000,105.51,106.59,105.46,106.26,153.16
1782979200000,106.26,107.91,105.43,105.89,226.58
1782993600000,105.89,107.61,103.5,105.19,434.74
1783008000000,105.19,107.19,104.88,106.24,274.92
1783022400000,106.24,107.05,105.72,105.84,144.29
1783036800000,105.84,106.21,104.45,104.61,314.09
1783051200000,104.61,104.74,103.81,104.37,151.14
1783065600000,104.37,105.0,104.01,104.82,138.53
1783080000000,104.82,104.91,104.07,104.49,131.48
1783094400000,104.49,105.06,104.47,104.71,148.52
1783108800000,104.71,104.86,104.36,104.67,147.71
1783123200000,104.67,104.84,104.29,104.5,155.54
1783137600000,104.5,104.65,104.26,104.34,124.88
1783152000000,104.34,104.45,104.24,104.29,136.18
1783166400000,104.29,104.86,104.22,104.85,123.22
1783180800000,104.85,105.07,104.65,104.72,135.31
1783195200000,104.72,105.11,104.51,105.05,138.0
1783209600000,105.05,105.26,104.95,105.24,114.78
1783224000000,105.24,105.45,105.09,105.37,128.33
1783238400000,105.37,105.47,105.32,105.44,129.72
1783252800000,105.44,106.07,104.33,105.91,185.17
1783267200000,105.91,106.19,105.84,106.1,125.93
1783281600000,106.1,106.21,105.79,105.82,116.9
1783296000000,105.82,107.21,105.77,106.17,158.48
1783310400000,106.17,106.69,105.99,106.28,134.63
1783324800000,106.28,106.98,105.14,105.19,218.82
1783339200000,105.19,108.75,103.46,108.35,647.82
1783353600000,108.35,110.69,107.75,107.98,278.55
1783368000000,107.98,108.74,107.95,108.28,160.46
1783382400000,108.28,108.62,108.12,108.5,128.21
1783396800000,108.5,109.18,108.35,108.6,148.39
1783411200000,108.6,111.8,108.6,111.78,201.25
1783425600000,111.78,112.66,109.22,112.59,1248.47
1783440000000,112.59,113.83,110.55,110.7,408.28
1783454400000,110.7,110.83,108.86,109.37,169.0
1783468800000,109.37,109.77,108.89,109.18,174.82
1783483200000,109.18,110.55,108.93,109.63,491.89
1783497600000,109.63,109.77,105.41,107.21,662.17
1783512000000,107.21,108.35,105.45,106.46,315.79
1783526400000,106.46,108.16,106.45,107.86,366.09
1783540800000,107.86,107.86,107.07,107.74,125.75
1783555200000,107.74,108.12,107.14,107.97,139.68
1783569600000,107.97,108.51,107.21,107.22,155.53
1783584000000,107.22,107.72,103.28,103.84,228.76
1783598400000,103.84,108.23,101.97,107.39,411.8
1783612800000,107.39,109.25,107.2,108.87,229.8
1783627200000,108.87,109.24,108.66,108.91,132.83
1783641600000,108.91,109.23,108.6,108.98,123.91
1783656000000,108.98,110.0,108.79,109.57,172.94
1783670400000,109.57,111.72,109.54,110.28,185.4
1783684800000,110.28,111.64,105.94,107.68,343.4
1783699200000,107.68,107.88,106.95,107.77,152.97
1783713600000,107.77,107.85,107.28,107.34,117.05
1783728000000,107.34,107.38,106.82,107.02,132.19
1783742400000,107.02,107.22,106.58,106.96,130.11
1783756800000,106.96,107.12,106.81,106.85,116.79
1783771200000,106.85,106.98,106.56,106.74,119.24
1783785600000,106.74,106.86,106.59,106.74,108.08
1783800000000,106.74,106.84,106.57,106.7,108.16
