time,open,high,low,close,volume
1773993600000,76.66,76.81,76.5,76.61,48.35
1774008000000,76.61,76.61,74.1,74.9,680.37
1774022400000,74.9,75.19,74.67,74.78,651.54
1774036800000,74.78,74.78,74.78,74.78,0.0
1774051200000,74.78,74.78,74.78,74.78,0.0
1774065600000,74.78,74.78,74.78,74.78,0.0
1774080000000,74.78,74.78,74.78,74.78,0.0
1774094400000,74.78,74.78,74.78,74.78,0.0
1774108800000,74.78,74.78,74.78,74.78,0.0
1774123200000,74.78,74.78,74.78,74.78,0.0
1774137600000,74.78,74.78,74.78,74.78,0.0
1774152000000,74.78,74.78,74.78,74.78,0.0
1774166400000,74.78,74.78,74.78,74.78,0.0
1774180800000,74.78,74.78,74.78,74.78,0.0
1774195200000,74.78,74.78,74.78,74.78,0.0
1774209600000,74.78,74.78,74.78,74.78,0.0
1774224000000,74.78,74.78,74.78,74.78,0.0
1774238400000,74.78,74.78,74.78,74.78,0.0
1774252800000,74.78,74.78,74.78,74.78,0.0
1774267200000,74.78,74.78,72.24,72.66,755.76
1774281600000,72.66,73.8,72.65,72.87,480.84
1774296000000,72.87,72.9,72.87,72.9,1.02
1774310400000,72.9,72.9,72.9,72.9,0.0
1774324800000,72.9,72.9,72.9,72.9,0.0
1774339200000,72.9,72.9,72.9,72.9,0.0
1774353600000,72.9,77.16,72.9,77.06,608.34
1774368000000,77.06,77.26,76.44,76.79,603.4
1774382400000,76.79,76.79,76.79,76.79,0.0
1774396800000,76.79,76.79,76.79,76.79,0.0
1774411200000,76.79,76.79,76.79,76.79,0.0
1774425600000,76.79,76.79,76.79,76.79,0.0
1774440000000,76.79,77.23,75.62,77.06,625.35
1774454400000,77.06,77.12,76.43,76.54,577.69
1774468800000,76.54,76.54,76.54,76.54,0.0
1774483200000,76.54,76.54,76.54,76.54,0.0
1774497600000,76.54,76.54,76.54,76.54,0.0
1774512000000,76.54,76.54,76.54,76.54,0.0
1774526400000,76.54,77.79,74.01,74.09,999.79
1774540800000,74.09,74.38,73.27,73.65,968.12
1774555200000,73.65,73.65,73.65,73.65,0.0
1774569600000,73.65,73.65,73.65,73.65,0.0
1774584000000,73.65,73.65,73.65,73.65,0.0
1774598400000,73.65,73.65,73.65,73.65,0.0
1774612800000,73.65,75.02,73.65,74.88,578.61
1774627200000,74.88,75.74,74.67,75.73,663.72
1774641600000,75.73,75.73,75.73,75.73,0.0
1774656000000,75.73,75.73,75.73,75.73,0.0
1774670400000,75.73,75.73,75.73,75.73,0.0
1774684800000,75.73,75.73,75.73,75.73,0.0
1774699200000,75.73,75.73,75.73,75.73,0.0
1774713600000,75.73,75.73,75.73,75.73,0.0
1774728000000,75.73,75.73,75.73,75.73,0.0
1774742400000,75.73,75.73,75.73,75.73,0.0
1774756800000,75.73,75.73,75.73,75.73,0.0
1774771200000,75.73,75.73,75.73,75.73,0.0
1774785600000,75.73,75.73,75.73,75.73,0.0
1774800000000,75.73,75.73,75.73,75.73,0.0
1774814400000,75.73,75.73,75.73,75.73,0.0
1774828800000,75.73,75.73,75.73,75.73,0.0
1774843200000,75.73,75.73,75.73,75.73,0.0
1774857600000,75.73,75.73,75.73,75.73,0.0
1774872000000,75.73,77.54,75.73,77.45,726.77
1774886400000,77.45,77.45,76.09,76.5,622.82
1774900800000,76.5,76.5,76.5,76.5,0.0
1774915200000,76.5,76.5,76.5,76.5,0.0
1774929600000,76.5,76.5,76.5,76.5,0.0
1774944000000,76.5,76.5,76.5,76.5,0.0
1774958400000,76.5,76.5,74.59,75.06,494.77
1774972800000,75.06,75.62,73.7,75.44,802.78
1774987200000,75.44,75.44,75.44,75.44,0.0
1775001600000,75.44,75.44,75.44,75.44,0.0
1775016000000,75.44,75.44,75.44,75.44,0.0
1775030400000,75.44,75.44,75.44,75.44,0.0
1775044800000,75.44,75.44,73.13,73.48,661.16
1775059200000,73.48,75.01,73.08,74.63,536.06
1775073600000,74.63,74.63,74.58,74.58,1.07
1775088000000,74.58,74.58,74.58,74.58,0.0
1775102400000,74.58,74.58,74.58,74.58,0.0
1775116800000,74.58,74.58,74.58,74.58,0.0
1775131200000,74.58,76.75,74.58,75.06,720.39
1775145600000,75.06,75.96,75.06,75.49,431.71
1775160000000,75.49,75.49,75.49,75.49,0.0
1775174400000,75.49,75.49,75.49,75.49,0.0
1775188800000,75.49,75.49,75.49,75.49,0.0
1775203200000,75.49,75.49,75.49,75.49,0.0
1775217600000,75.49,75.49,75.49,75.49,0.0
1775232000000,75.49,75.49,75.49,75.49,0.0
1775246400000,75.49,75.49,75.49,75.49,0.0
1775260800000,75.49,75.49,75.49,75.49,0.0
1775275200000,75.49,75.49,75.49,75.49,0.0
1775289600000,75.49,75.49,75.49,75.49,0.0
1775304000000,75.49,75.49,75.49,75.49,0.0
1775318400000,75.49,75.49,75.49,75.49,0.0
1775332800000,75.49,75.49,75.49,75.49,0.0
1775347200000,75.49,75.49,75.49,75.49,0.0
1775361600000,75.49,75.49,75.49,75.49,0.0
1775376000000,75.49,75.49,75.49,75.49,0.0
