time,open,high,low,close,volume
1693440000000,43.66,43.7,43.61,43.61,72.5114
1693454400000,43.61,43.84,43.56,43.78,855.1144
1693468800000,43.78,44.09,43.67,43.79,857.8705
1693483200000,43.79,43.94,43.56,43.64,1515.6983
1693497600000,43.64,43.66,42.9,42.96,3024.6297
1693512000000,42.96,43.0,42.77,42.91,721.1114
1693526400000,42.91,43.0,42.76,42.88,750.2105
1693540800000,42.88,42.91,42.63,42.8,643.0316
1693555200000,42.8,42.92,42.79,42.86,483.9332
1693569600000,42.86,42.94,42.62,42.72,1264.8786
1693584000000,42.72,42.75,42.26,42.63,1315.5392
1693598400000,42.63,42.87,42.52,42.77,331.1916
1693612800000,42.77,42.83,42.51,42.68,565.0245
1693627200000,42.68,42.85,42.61,42.69,599.5006
1693641600000,42.69,42.81,42.65,42.77,375.347
1693656000000,42.77,42.88,42.38,42.41,874.1057
1693670400000,42.41,42.43,40.69,41.09,5528.5964
1693684800000,41.09,41.6,41.08,41.58,998.5668
1693699200000,41.58,41.8,41.53,41.72,1215.6811
1693713600000,41.72,41.84,41.68,41.78,563.4177
1693728000000,41.78,42.08,41.57,42.05,972.2402
1693742400000,42.05,42.38,41.83,42.21,948.9247
1693756800000,42.21,42.45,42.06,42.45,848.1433
1693771200000,42.45,42.55,42.33,42.38,487.6913
1693785600000,42.38,42.45,42.19,42.26,636.8394
1693800000000,42.26,43.0,42.26,42.9,1400.7526
1693814400000,42.9,43.14,42.42,42.51,1422.074
1693828800000,42.51,42.57,42.13,42.21,1185.0777
1693843200000,42.21,42.3,41.86,42.02,643.247
1693857600000,42.02,42.69,41.78,42.54,1150.6698
1693872000000,42.54,42.58,42.11,42.37,751.5338
1693886400000,42.37,42.54,42.25,42.37,683.4206
1693900800000,42.37,42.6,42.28,42.57,347.6058
1693915200000,42.57,42.63,42.18,42.38,757.559
1693929600000,42.38,42.48,42.31,42.32,280.8568
1693944000000,42.32,42.49,42.22,42.49,303.1832
1693958400000,42.49,42.56,42.07,42.13,924.1765
1693972800000,42.13,42.27,42.08,42.18,463.2745
1693987200000,42.18,42.21,41.98,42.0,754.8767
1694001600000,42.0,42.05,41.66,41.89,890.4117
1694016000000,41.89,42.47,41.44,42.22,1414.6551
1694030400000,42.22,42.38,42.19,42.3,475.0861
1694044800000,42.3,42.3,42.08,42.24,559.118
1694059200000,42.24,42.35,41.99,42.02,549.0831
1694073600000,42.02,42.26,41.96,42.08,450.1419
1694088000000,42.08,42.08,41.77,41.92,788.214
1694102400000,41.92,42.36,41.89,42.23,480.6938
1694116800000,42.23,42.6,42.21,42.46,929.1239
1694131200000,42.46,42.7,42.4,42.47,950.6395
1694145600000,42.47,42.59,42.31,42.41,304.6348
1694160000000,42.41,42.47,41.97,42.25,585.6846
1694174400000,42.25,42.37,42.01,42.3,1077.5291
1694188800000,42.3,42.35,41.96,42.16,1046.0413
1694203200000,42.16,42.35,42.09,42.34,252.1804
1694217600000,42.34,42.38,42.18,42.19,800.2585
1694232000000,42.19,42.3,42.1,42.21,429.4332
1694246400000,42.21,42.26,42.07,42.26,418.5389
1694260800000,42.26,42.27,42.12,42.25,356.6233
1694275200000,42.25,42.26,42.14,42.2,263.5908
1694289600000,42.2,42.26,42.1,42.25,540.9439
1694304000000,42.25,42.26,41.87,42.04,529.4206
1694318400000,42.04,42.05,41.43,41.78,2231.6338
1694332800000,41.78,41.83,41.7,41.81,378.8173
1694347200000,41.81,41.93,41.46,41.6,701.7213
1694361600000,41.6,41.93,41.22,41.89,1167.385
1694376000000,41.89,42.05,41.86,41.92,467.464
1694390400000,41.92,41.94,41.67,41.78,768.8336
1694404800000,41.78,41.83,41.52,41.56,562.4967
1694419200000,41.56,41.63,41.31,41.45,1090.5822
1694433600000,41.45,41.6,40.91,41.1,2597.6814
1694448000000,41.1,41.16,40.76,40.78,1423.5964
1694462400000,40.78,41.17,40.71,41.16,658.1575
1694476800000,41.16,41.92,41.15,41.78,1050.5409
1694491200000,41.78,41.92,41.46,41.69,677.1575
