time,open,high,low,close,volume
1766649600000,81.12,81.12,81.12,81.12,0.0
1766664000000,81.12,81.12,81.12,81.12,0.0
1766678400000,81.12,81.12,81.12,81.12,0.0
1766692800000,81.12,81.12,81.12,81.12,0.0
1766707200000,81.12,81.42,80.99,81.22,121.98
1766721600000,81.22,81.22,80.72,80.98,125.45
1766736000000,80.98,81.21,80.27,80.33,716.63
1766750400000,80.33,80.9,76.35,77.76,1634.95
1766764800000,77.76,77.95,76.25,76.31,1135.01
1766779200000,76.31,77.12,76.22,76.87,211.31
1766793600000,76.87,76.87,76.87,76.87,0.0
1766808000000,76.87,76.87,76.87,76.87,0.0
1766822400000,76.87,76.87,76.87,76.87,0.0
1766836800000,76.87,76.87,76.87,76.87,0.0
1766851200000,76.87,76.87,76.87,76.87,0.0
1766865600000,76.87,76.87,76.87,76.87,0.0
1766880000000,76.87,76.87,76.87,76.87,0.0
1766894400000,76.87,76.87,76.87,76.87,0.0
1766908800000,76.87,76.87,76.87,76.87,0.0
1766923200000,76.87,76.87,76.87,76.87,0.0
1766937600000,76.87,76.87,76.87,76.87,0.0
1766952000000,76.87,76.87,76.87,76.87,0.0
1766966400000,76.87,76.87,75.66,75.83,192.56
1766980800000,75.83,76.22,75.82,76.03,161.5
1766995200000,76.03,76.03,74.79,75.09,381.57
1767009600000,75.09,78.35,73.94,74.38,1387.49
1767024000000,74.38,75.22,73.89,74.66,1026.01
1767038400000,74.66,74.66,73.59,73.65,535.49
1767052800000,73.65,73.98,73.44,73.85,167.64
1767067200000,73.85,74.21,73.75,73.85,155.44
1767081600000,73.85,74.72,73.84,74.69,277.04
1767096000000,74.69,74.96,72.62,74.24,1076.14
1767110400000,74.24,74.39,72.34,72.44,1074.75
1767124800000,72.44,72.56,71.42,71.66,573.96
1767139200000,71.66,71.69,71.1,71.25,298.69
1767153600000,71.25,71.28,70.78,70.98,202.99
1767168000000,70.98,71.26,70.74,71.22,178.93
1767182400000,71.22,72.68,70.93,72.02,1030.01
1767196800000,72.02,72.22,70.96,71.49,796.27
1767211200000,71.49,72.02,70.95,71.7,570.67
1767225600000,71.7,71.7,71.7,71.7,0.0
1767240000000,71.7,71.7,71.7,71.7,0.0
1767254400000,71.7,71.7,71.7,71.7,0.0
1767268800000,71.7,71.7,71.7,71.7,0.0
1767283200000,71.7,71.7,71.7,71.7,0.0
1767297600000,71.7,71.7,71.7,71.7,0.0
1767312000000,71.7,73.43,71.7,73.43,212.83
1767326400000,73.43,73.72,73.42,73.49,170.5
1767340800000,73.49,74.82,73.48,74.49,468.22
1767355200000,74.49,75.97,72.24,75.29,1301.78
1767369600000,75.29,77.41,74.91,76.88,1463.99
1767384000000,76.88,77.89,76.52,77.79,304.85
1767398400000,77.79,77.79,77.79,77.79,0.0
1767412800000,77.79,77.79,77.79,77.79,0.0
1767427200000,77.79,77.79,77.79,77.79,0.0
1767441600000,77.79,77.79,77.79,77.79,0.0
1767456000000,77.79,77.79,77.79,77.79,0.0
1767470400000,77.79,77.79,77.79,77.79,0.0
1767484800000,77.79,77.79,77.79,77.79,0.0
1767499200000,77.79,77.79,77.79,77.79,0.0
1767513600000,77.79,77.79,77.79,77.79,0.0
1767528000000,77.79,77.79,77.79,77.79,0.0
1767542400000,77.79,77.79,77.79,77.79,0.0
1767556800000,77.79,77.79,77.79,77.79,0.0
1767571200000,77.79,79.82,77.79,79.35,235.45
1767585600000,79.35,79.44,78.68,78.87,371.45
1767600000000,78.87,81.58,78.84,81.08,504.35
1767614400000,81.08,88.47,80.78,88.45,2535.97
1767628800000,88.45,90.74,86.97,90.68,1920.13
1767643200000,90.68,90.81,89.08,90.06,1072.08
1767657600000,90.06,90.89,89.45,90.3,265.4
1767672000000,90.3,90.8,90.07,90.11,221.16
1767686400000,90.11,91.05,88.87,90.21,506.55
1767700800000,90.21,95.69,89.43,91.51,2300.7
1767715200000,91.51,95.7,88.94,95.08,1582.55
1767729600000,95.08,96.73,94.99,95.19,618.99
1767744000000,95.19,95.52,94.09,94.76,257.15
1767758400000,94.76,94.8,94.24,94.64,93.5
1767772800000,94.64,94.77,92.69,93.38,520.79
1767787200000,93.38,100.89,92.52,99.29,2174.04
1767801600000,99.29,100.26,97.15,98.49,1621.25
1767816000000,98.49,98.87,97.04,97.49,445.59
1767830400000,97.49,97.97,96.78,97.17,309.86
1767844800000,97.17,97.23,95.06,95.88,479.83
1767859200000,95.88,96.89,95.84,96.73,250.43
1767873600000,96.73,100.33,93.7,95.69,1443.76
1767888000000,95.69,99.9,95.01,96.89,1207.47
1767902400000,96.89,97.89,96.48,97.74,476.2
1767916800000,97.74,97.84,97.09,97.65,168.41
1767931200000,97.65,97.65,97.33,97.5,121.42
1767945600000,97.5,120.16,97.47,112.98,1521.2
1767960000000,112.98,116.26,108.01,110.96,2988.66
1767974400000,110.96,111.35,104.61,105.26,1907.1
1767988800000,105.26,106.06,104.27,105.25,308.09
1768003200000,105.25,105.25,105.25,105.25,0.0
1768017600000,105.25,105.25,105.25,105.25,0.0
1768032000000,105.25,105.25,105.25,105.25,0.0
1768046400000,105.25,105.25,105.25,105.25,0.0
1768060800000,105.25,105.25,105.25,105.25,0.0
1768075200000,105.25,105.25,105.25,105.25,0.0
1768089600000,105.25,105.25,105.25,105.25,0.0
1768104000000,105.25,105.25,105.25,105.25,0.0
1768118400000,105.25,105.25,105.25,105.25,0.0
1768132800000,105.25,105.25,105.25,105.25,0.0
1768147200000,105.25,105.25,105.25,105.25,0.0
1768161600000,105.25,105.25,105.25,105.25,0.0
1768176000000,105.25,107.71,105.25,105.94,334.27
1768190400000,105.94,106.08,103.43,104.22,603.2
1768204800000,104.22,104.6,102.82,104.07,524.09
1768219200000,104.07,105.75,100.83,102.44,1398.58
1768233600000,102.44,103.75,101.07,101.97,1031.47
1768248000000,101.97,102.85,100.87,102.64,931.73
1768262400000,102.64,103.51,102.45,103.23,305.43
1768276800000,103.23,104.67,103.22,104.61,159.04
1768291200000,104.61,105.45,104.44,104.91,524.03
1768305600000,104.91,107.44,99.12,100.24,1529.54
1768320000000,100.24,101.08,98.12,99.85,1611.46
1768334400000,99.85,100.1,96.75,97.53,580.8
1768348800000,97.53,98.04,96.7,97.37,349.99
1768363200000,97.37,97.47,96.4,96.78,289.01
1768377600000,96.78,98.89,95.46,95.65,632.95
1768392000000,95.65,96.55,91.69,92.78,1851.64
1768406400000,92.78,97.01,92.52,95.96,1896.17
1768420800000,95.96,96.65,95.15,95.5,829.56
1768435200000,95.5,95.91,95.03,95.08,369.18
1768449600000,95.08,96.65,95.02,96.31,190.67
1768464000000,96.31,98.76,96.3,98.54,559.83
1768478400000,98.54,99.18,95.6,97.78,2091.21
1768492800000,97.78,98.36,94.06,95.01,1498.61
1768507200000,95.01,95.01,90.73,92.64,574.45
1768521600000,92.64,93.83,92.42,93.73,313.5
1768536000000,93.73,94.47,93.64,94.22,231.07
1768550400000,94.22,94.27,93.91,94.01,200.16
1768564800000,94.01,96.61,89.41,93.07,1856.71
1768579200000,93.07,96.03,93.07,94.73,1557.66
1768593600000,94.73,95.12,93.68,94.99,297.84
1768608000000,94.99,94.99,94.99,94.99,0.0
1768622400000,94.99,94.99,94.99,94.99,0.0
