time,open,high,low,close,volume
1711353600000,0.9312,0.9519,0.8894,0.8941,4451888.79
1711368000000,0.8941,0.9478,0.8636,0.9383,3390551.4
1711382400000,0.9383,0.9419,0.9021,0.9207,1952924.25
1711396800000,0.9207,0.9484,0.8912,0.9255,2193708.62
1711411200000,0.9255,0.9485,0.9112,0.9165,1764017.85
1711425600000,0.9165,0.9954,0.9126,0.9315,3679783.39
1711440000000,0.9315,0.9434,0.901,0.9103,1697465.94
1711454400000,0.9103,0.9176,0.8684,0.8795,3458574.47
1711468800000,0.8795,0.8932,0.8429,0.8678,2572822.22
1711483200000,0.8678,0.8847,0.858,0.8779,1273706.86
1711497600000,0.8779,0.9397,0.8652,0.9119,2957156.88
1711512000000,0.9119,0.9199,0.8686,0.8736,2118513.74
1711526400000,0.8736,0.9028,0.8313,0.8712,2373809.43
1711540800000,0.8712,0.9121,0.8431,0.8464,2405004.3
1711555200000,0.8464,0.9364,0.8464,0.8736,2810165.96
1711569600000,0.8736,0.904,0.857,0.8634,1101291.22
1711584000000,0.8634,0.8909,0.8514,0.8898,1699807.05
1711598400000,0.8898,0.9433,0.8888,0.9345,2051997.05
1711612800000,0.9345,0.9621,0.9,0.9015,1734407.74
1711627200000,0.9015,0.9205,0.8828,0.8962,1159434.8
1711641600000,0.8962,0.9497,0.8902,0.9335,2334045.84
1711656000000,0.9335,0.9337,0.9043,0.9111,456106.68
1711670400000,0.9111,0.9424,0.8838,0.8943,1776975.11
1711684800000,0.8943,0.9062,0.8767,0.881,1138635.17
1711699200000,0.881,0.894,0.8711,0.8814,937787.85
1711713600000,0.8814,0.9013,0.8624,0.8747,1829756.08
1711728000000,0.8747,0.9065,0.8747,0.8918,1172447.3
1711742400000,0.8918,0.9013,0.8738,0.8763,1273532.14
1711756800000,0.8763,0.9043,0.8686,0.8915,2312396.11
1711771200000,0.8915,0.9238,0.8848,0.8951,2557367.2
1711785600000,0.8951,0.9353,0.8805,0.9314,3108990.82
1711800000000,0.9314,0.9453,0.9032,0.9032,3584585.67
1711814400000,0.9032,0.9216,0.8988,0.9176,1590611.69
1711828800000,0.9176,0.9189,0.888,0.8962,1698195.89
1711843200000,0.8962,0.9143,0.8902,0.8914,1873859.19
1711857600000,0.8914,0.8991,0.8884,0.8962,1533285.39
1711872000000,0.8962,0.9197,0.8905,0.9192,1897474.04
1711886400000,0.9192,0.9431,0.8959,0.9282,2524094.47
1711900800000,0.9282,1.0462,0.9227,1.0365,6059707.95
1711915200000,1.0365,1.0501,0.9673,0.9769,3036702.34
1711929600000,0.9769,0.9814,0.9205,0.9225,2828258.95
1711944000000,0.9225,0.9326,0.854,0.8929,3624958.63
1711958400000,0.8929,0.9353,0.8849,0.9018,2713339.16
1711972800000,0.9018,0.9067,0.8512,0.8653,3383177.35
1711987200000,0.8653,0.8775,0.8405,0.8745,1863590.0
1712001600000,0.8745,0.9115,0.8671,0.901,968553.83
1712016000000,0.901,0.9015,0.8154,0.8385,2263046.31
1712030400000,0.8385,0.8506,0.8153,0.8153,1820706.82
1712044800000,0.8153,0.8172,0.7722,0.8043,3682782.31
1712059200000,0.8043,0.8447,0.7913,0.8089,2234353.54
1712073600000,0.8089,0.8353,0.7961,0.8108,2779259.85
1712088000000,0.8108,0.8125,0.7863,0.7944,745706.91
1712102400000,0.7944,0.8247,0.7529,0.7902,4022664.56
1712116800000,0.7902,0.83,0.789,0.8133,1381190.19
1712131200000,0.8133,0.84,0.8057,0.8123,1968914.94
1712145600000,0.8123,0.8367,0.7924,0.8019,1427971.35
1712160000000,0.8019,0.8303,0.7804,0.7997,1005541.45
1712174400000,0.7997,0.8151,0.7764,0.801,677798.93
1712188800000,0.801,0.8075,0.76,0.7631,879827.09
1712203200000,0.7631,0.7779,0.7506,0.7732,345826.96
1712217600000,0.7732,0.8129,0.7712,0.8023,269245.51
1712232000000,0.8023,0.8492,0.7999,0.8431,545039.17
1712246400000,0.8431,0.8474,0.8129,0.8141,288462.13
1712260800000,0.8141,0.8154,0.7807,0.8061,268459.47
1712275200000,0.8061,0.8123,0.7691,0.7856,184001.51
1712289600000,0.7856,0.7908,0.7611,0.7688,193749.78
1712304000000,0.7688,0.7772,0.7358,0.7381,310588.46
1712318400000,0.7381,0.7794,0.7355,0.7748,458281.35
1712332800000,0.7748,0.7892,0.774,0.7793,166566.69
1712347200000,0.7793,0.7986,0.7717,0.7719,176815.08
1712361600000,0.7719,0.7988,0.764,0.7959,168278.15
1712376000000,0.7959,0.814,0.7881,0.8055,194133.63
1712390400000,0.8055,0.8336,0.7968,0.7976,245568.89
1712404800000,0.7976,0.8105,0.7932,0.8064,148015.94
1712419200000,0.8064,0.8102,0.7932,0.7967,102601.99
1712433600000,0.7967,0.8143,0.7949,0.7982,86177.51
1712448000000,0.7982,0.8362,0.7958,0.8341,244589.46
1712462400000,0.8341,0.8528,0.8217,0.8347,345284.52
1712476800000,0.8347,0.8374,0.8085,0.813,241214.46
1712491200000,0.813,0.8207,0.8034,0.8035,156148.37
1712505600000,0.8035,0.8203,0.7951,0.7962,196037.34
1712520000000,0.7962,0.8077,0.7825,0.8049,156002.62
1712534400000,0.8049,0.8049,0.7843,0.7897,146543.29
1712548800000,0.7897,0.8165,0.785,0.8162,213033.26
1712563200000,0.8162,0.8347,0.814,0.8215,313567.55
1712577600000,0.8215,0.8292,0.81,0.8268,413634.93
1712592000000,0.8268,0.8408,0.8226,0.8338,784683.27
1712606400000,0.8338,0.8623,0.8265,0.8439,279478.27
1712620800000,0.8439,0.8462,0.8156,0.8161,387581.98
1712635200000,0.8161,0.8245,0.7892,0.7955,392844.22
1712649600000,0.7955,0.8034,0.7812,0.8011,445042.32
1712664000000,0.8011,0.8023,0.7608,0.7726,393374.61
1712678400000,0.7726,0.7744,0.7546,0.7684,553195.55
1712692800000,0.7684,0.7721,0.7554,0.7598,205416.33
1712707200000,0.7598,0.7669,0.7365,0.7538,377473.49
1712721600000,0.7538,0.7862,0.7508,0.781,487311.11
1712736000000,0.781,0.7876,0.7573,0.7653,429882.24
1712750400000,0.7653,0.7686,0.7203,0.7547,557318.57
1712764800000,0.7547,0.7886,0.7513,0.7757,360914.32
1712779200000,0.7757,0.7858,0.7678,0.7754,249217.66
1712793600000,0.7754,0.7812,0.7653,0.7714,230369.45
1712808000000,0.7714,0.7938,0.7634,0.785,87894.07
1712822400000,0.785,0.7934,0.7476,0.7491,65665.45
1712836800000,0.7491,0.7768,0.7416,0.755,91300.01
1712851200000,0.755,0.778,0.7392,0.7752,91637.73
1712865600000,0.7752,0.8438,0.7732,0.8201,146191.43
1712880000000,0.8201,0.8574,0.803,0.8377,95946.62
1712894400000,0.8377,0.8479,0.8131,0.819,114356.6
1712908800000,0.819,0.8191,0.7781,0.7854,97948.8
1712923200000,0.7854,0.7885,0.7455,0.7648,123276.6
1712937600000,0.7648,0.7672,0.5804,0.6816,254854.23
1712952000000,0.6816,0.7146,0.6793,0.6998,109720.83
1712966400000,0.6998,0.7289,0.6382,0.7235,89882.27
1712980800000,0.7235,0.7679,0.7133,0.7656,141160.74
1712995200000,0.7656,0.842,0.7628,0.8254,143646.03
1713009600000,0.8254,0.8337,0.7728,0.8017,121632.82
1713024000000,0.8017,0.8111,0.6701,0.7154,178178.58
1713038400000,0.7154,0.8202,0.6324,0.7729,304678.24
1713052800000,0.7729,0.7875,0.7128,0.7369,190418.69
1713067200000,0.7369,0.8135,0.7224,0.8064,152537.17
1713081600000,0.8064,0.8362,0.7945,0.8028,100813.55
1713096000000,0.8028,0.8254,0.7856,0.7945,132916.04
1713110400000,0.7945,0.8399,0.7686,0.8103,107678.0
1713124800000,0.8103,0.9376,0.7928,0.9007,175526.92
1713139200000,0.9007,0.9029,0.8557,0.8723,90423.99
1713153600000,0.8723,1.0271,0.8701,0.982,169158.91
1713168000000,0.982,0.9974,0.9352,0.9389,86302.38
1713182400000,0.9389,0.9752,0.8956,0.9431,141998.6
1713196800000,0.9431,0.9503,0.851,0.8768,106642.16
1713211200000,0.8768,0.8927,0.8336,0.8609,96337.32
1713225600000,0.8609,0.8802,0.8187,0.8282,119582.98
1713240000000,0.8282,0.8779,0.7904,0.8551,97138.71
1713254400000,0.8551,0.8872,0.8208,0.86,90385.48
1713268800000,0.86,0.8633,0.7651,0.7702,86158.3
1713283200000,0.7702,0.8133,0.7657,0.7767,68529.46
1713297600000,0.7767,0.8415,0.7737,0.8235,53063.71
1713312000000,0.8235,0.8456,0.797,0.8052,70196.51
1713326400000,0.8052,0.844,0.7882,0.7991,51504.7
1713340800000,0.7991,0.8845,0.7988,0.8176,88605.6
1713355200000,0.8176,0.83,0.769,0.7771,106957.5
1713369600000,0.7771,0.8405,0.7693,0.8157,110741.86
1713384000000,0.8157,0.832,0.7941,0.7969,73119.89
1713398400000,0.7969,0.8012,0.776,0.7938,57226.49
1713412800000,0.7938,0.808,0.7431,0.7452,63548.06
1713427200000,0.7452,0.7928,0.742,0.7752,70095.68
1713441600000,0.7752,0.825,0.752,0.8142,95739.56
1713456000000,0.8142,0.8366,0.7856,0.8022,74628.83
1713470400000,0.8022,0.8043,0.7631,0.7658,55226.27
1713484800000,0.7658,0.7671,0.6917,0.74,97517.01
1713499200000,0.74,0.7992,0.7395,0.78,97586.13
1713513600000,0.78,0.7997,0.7734,0.7828,80224.09
1713528000000,0.7828,0.7967,0.761,0.7825,61048.2
1713542400000,0.7825,0.7889,0.7619,0.7676,46515.66
1713556800000,0.7676,0.7752,0.7331,0.7473,52664.59
