time,open,high,low,close,volume
1768478400000,13.38,13.75,12.99,13.22,14209.53
1768492800000,13.22,14.06,12.97,13.4,23958.17
1768507200000,13.4,13.4,12.82,12.83,6390.83
1768521600000,12.83,12.83,12.83,12.83,0.0
1768536000000,12.83,12.83,12.83,12.83,0.0
1768550400000,12.83,12.83,12.83,12.83,0.0
1768564800000,12.83,14.23,12.38,12.4,31315.05
1768579200000,12.4,13.29,12.22,12.77,32939.31
1768593600000,12.77,12.77,12.14,12.15,5989.75
1768608000000,12.15,12.15,12.15,12.15,0.0
1768622400000,12.15,12.15,12.15,12.15,0.0
1768636800000,12.15,12.15,12.15,12.15,0.0
1768651200000,12.15,12.15,12.15,12.15,0.0
1768665600000,12.15,12.15,12.15,12.15,0.0
1768680000000,12.15,12.15,12.15,12.15,0.0
1768694400000,12.15,12.15,12.15,12.15,0.0
1768708800000,12.15,12.15,12.15,12.15,0.0
1768723200000,12.15,12.15,12.15,12.15,0.0
1768737600000,12.15,12.15,12.15,12.15,0.0
1768752000000,12.15,12.15,12.15,12.15,0.0
1768766400000,12.15,12.15,12.15,12.15,0.0
1768780800000,12.15,12.15,12.15,12.15,0.0
1768795200000,12.15,12.15,12.15,12.15,0.0
1768809600000,12.15,12.15,12.15,12.15,0.0
1768824000000,12.15,12.15,12.15,12.15,0.0
1768838400000,12.15,12.15,12.15,12.15,0.0
1768852800000,12.15,12.15,12.15,12.15,0.0
1768867200000,12.15,12.15,12.15,12.15,0.0
1768881600000,12.15,12.15,12.15,12.15,0.0
1768896000000,12.15,12.15,12.15,12.15,0.0
1768910400000,12.15,13.94,11.89,13.7,32719.66
1768924800000,13.7,14.18,12.92,13.33,33160.78
1768939200000,13.33,13.33,13.02,13.13,8074.76
1768953600000,13.13,13.13,13.13,13.13,0.0
1768968000000,13.13,13.13,13.13,13.13,0.0
1768982400000,13.13,13.13,13.13,13.13,0.0
1768996800000,13.13,14.29,13.13,13.28,25051.32
1769011200000,13.28,13.28,11.95,12.64,38091.76
1769025600000,12.64,12.76,12.34,12.56,10034.33
1769040000000,12.56,12.56,12.56,12.56,0.0
1769054400000,12.56,12.56,12.56,12.56,0.0
1769068800000,12.56,12.56,12.56,12.56,0.0
1769083200000,12.56,12.96,12.37,12.69,21799.21
1769097600000,12.69,13.32,12.38,13.32,26559.8
1769112000000,13.32,13.32,12.43,12.62,7881.99
1769126400000,12.62,12.62,12.62,12.62,0.0
1769140800000,12.62,12.62,12.62,12.62,0.0
1769155200000,12.62,12.62,12.62,12.62,0.0
1769169600000,12.62,12.85,12.04,12.34,19563.67
1769184000000,12.34,12.58,12.06,12.12,26834.24
1769198400000,12.12,12.2,11.96,12.18,6032.27
1769212800000,12.18,12.18,12.18,12.18,0.0
1769227200000,12.18,12.18,12.18,12.18,0.0
1769241600000,12.18,12.18,12.18,12.18,0.0
1769256000000,12.18,12.18,12.18,12.18,0.0
1769270400000,12.18,12.18,12.18,12.18,0.0
1769284800000,12.18,12.18,12.18,12.18,0.0
1769299200000,12.18,12.18,12.18,12.18,0.0
1769313600000,12.18,12.18,12.18,12.18,0.0
1769328000000,12.18,12.18,12.18,12.18,0.0
1769342400000,12.18,12.18,12.18,12.18,0.0
1769356800000,12.18,12.18,12.18,12.18,0.0
1769371200000,12.18,12.18,12.18,12.18,0.0
1769385600000,12.18,12.18,12.18,12.18,0.0
1769400000000,12.18,12.18,12.18,12.18,0.0
1769414400000,12.18,12.18,12.18,12.18,0.0
1769428800000,12.18,12.32,11.33,11.43,18479.17
1769443200000,11.43,11.44,11.03,11.04,17909.39
1769457600000,11.04,11.16,10.97,11.16,6106.41
1769472000000,11.16,11.16,11.16,11.16,0.0
1769486400000,11.16,11.16,11.16,11.16,0.0
1769500800000,11.16,11.16,11.16,11.16,0.0
1769515200000,11.16,12.13,11.13,12.12,21285.18
