time,open,high,low,close,volume
1782475200000,103.4,103.5,92.23,93.03,859.7
1782489600000,93.03,93.31,89.26,90.37,874.42
1782504000000,90.37,90.91,89.78,90.28,410.57
1782518400000,90.28,90.37,90.27,90.36,12.59
1782532800000,90.36,90.36,90.36,90.36,0.0
1782547200000,90.36,90.36,90.36,90.36,0.0
1782561600000,90.36,90.36,90.36,90.36,0.0
1782576000000,90.36,90.36,90.36,90.36,0.0
1782590400000,90.36,90.36,90.36,90.36,0.0
1782604800000,90.36,90.36,90.36,90.36,0.0
1782619200000,90.36,90.36,90.36,90.36,0.0
1782633600000,90.36,90.36,90.36,90.36,0.0
1782648000000,90.36,90.36,90.36,90.36,0.0
1782662400000,90.36,90.36,90.36,90.36,0.0
1782676800000,90.36,90.36,90.36,90.36,0.0
1782691200000,90.36,90.36,90.36,90.36,0.0
1782705600000,90.36,90.36,90.36,90.36,0.0
1782720000000,90.36,90.36,90.36,90.36,0.0
1782734400000,90.36,91.01,86.59,88.92,659.11
1782748800000,88.92,90.66,87.92,88.91,458.63
1782763200000,88.91,88.91,88.67,88.67,0.66
1782777600000,88.67,88.67,88.67,88.67,0.0
1782792000000,88.67,88.67,88.67,88.67,0.0
1782806400000,88.67,88.67,88.67,88.67,0.0
1782820800000,88.67,94.38,88.67,93.43,621.54
1782835200000,93.43,95.46,92.94,94.64,274.86
1782849600000,94.64,94.79,94.64,94.79,0.42
1782864000000,94.79,94.79,94.79,94.79,0.0
1782878400000,94.79,94.79,94.79,94.79,0.0
1782892800000,94.79,94.79,94.79,94.79,0.0
1782907200000,94.79,96.54,92.05,95.47,722.79
1782921600000,95.47,96.91,94.53,94.81,387.57
1782936000000,94.81,94.82,94.75,94.75,0.29
1782950400000,94.75,94.75,94.75,94.75,0.0
1782964800000,94.75,94.75,94.75,94.75,0.0
1782979200000,94.75,94.75,94.75,94.75,0.0
1782993600000,94.75,98.25,92.12,92.32,739.37
1783008000000,92.32,92.37,89.39,91.31,595.55
1783022400000,91.31,91.32,91.31,91.32,0.01
1783036800000,91.32,91.32,91.32,91.32,0.0
1783051200000,91.32,91.32,91.32,91.32,0.0
1783065600000,91.32,91.32,91.32,91.32,0.0
1783080000000,91.32,91.32,91.32,91.32,0.0
1783094400000,91.32,91.32,91.32,91.32,0.0
1783108800000,91.32,91.32,91.32,91.32,0.0
1783123200000,91.32,91.32,91.32,91.32,0.0
1783137600000,91.32,91.32,91.32,91.32,0.0
1783152000000,91.32,91.32,91.32,91.32,0.0
1783166400000,91.32,91.32,91.32,91.32,0.0
1783180800000,91.32,91.32,91.32,91.32,0.0
1783195200000,91.32,91.32,91.32,91.32,0.0
1783209600000,91.32,91.32,91.32,91.32,0.0
1783224000000,91.32,91.32,91.32,91.32,0.0
1783238400000,91.32,91.32,91.32,91.32,0.0
1783252800000,91.32,91.32,91.32,91.32,0.0
1783267200000,91.32,91.32,91.32,91.32,0.0
1783281600000,91.32,91.32,91.32,91.32,0.0
1783296000000,91.32,91.32,91.32,91.32,0.0
1783310400000,91.32,91.32,91.32,91.32,0.0
1783324800000,91.32,91.32,91.32,91.32,0.0
1783339200000,91.32,98.71,91.32,97.05,492.37
1783353600000,97.05,97.39,94.33,94.74,293.06
1783368000000,94.74,94.75,94.74,94.75,0.06
1783382400000,94.75,94.75,94.75,94.75,0.0
1783396800000,94.75,94.75,94.75,94.75,0.0
1783411200000,94.75,94.75,94.75,94.75,0.0
1783425600000,94.75,94.75,88.11,89.85,452.62
