time,open,high,low,close,volume
1779782400000,1493.0,1497.6,1411.0,1470.86,291.28
1779796800000,1470.86,1479.99,1450.72,1470.03,525.77
1779811200000,1470.03,1477.25,1459.1,1475.96,218.32
1779825600000,1475.96,1499.54,1459.21,1463.12,310.13
1779840000000,1463.12,1481.9,1450.59,1465.32,281.12
1779854400000,1465.32,1477.79,1459.33,1471.55,243.15
1779868800000,1471.55,1475.06,1458.94,1464.28,225.53
1779883200000,1464.28,1473.35,1442.1,1450.33,427.6
1779897600000,1450.33,1453.98,1437.28,1441.86,241.76
1779912000000,1441.86,1443.56,1430.53,1436.56,265.13
1779926400000,1436.56,1450.8,1327.56,1345.81,338.12
1779940800000,1345.81,1391.3,1339.62,1388.68,316.3
1779955200000,1388.68,1401.18,1361.81,1367.73,637.87
1779969600000,1367.73,1406.52,1345.02,1406.13,662.32
1779984000000,1406.13,1424.18,1386.39,1392.77,193.79
1779998400000,1392.77,1394.47,1377.08,1383.57,79.09
1780012800000,1383.57,1438.16,1383.57,1401.41,263.78
1780027200000,1401.41,1414.6,1388.77,1396.03,168.41
1780041600000,1396.03,1414.17,1394.8,1408.45,148.54
1780056000000,1408.45,1431.38,1397.1,1424.66,313.94
1780070400000,1424.66,1429.28,1395.86,1399.85,187.53
1780084800000,1399.85,1404.7,1396.68,1401.82,82.98
1780099200000,1401.82,1411.62,1397.36,1408.99,84.11
1780113600000,1408.99,1413.26,1398.75,1403.88,75.57
1780128000000,1403.88,1416.09,1401.52,1413.2,78.44
1780142400000,1413.2,1418.71,1409.49,1415.53,87.29
1780156800000,1415.53,1421.86,1413.97,1419.93,76.64
1780171200000,1419.93,1424.55,1415.18,1424.45,77.38
1780185600000,1424.45,1444.75,1416.88,1443.81,184.37
1780200000000,1443.81,1498.82,1440.87,1489.45,363.12
1780214400000,1489.45,1490.98,1469.4,1477.58,208.84
1780228800000,1477.58,1493.82,1469.02,1475.28,255.23
1780243200000,1475.28,1492.77,1451.99,1455.3,242.96
1780257600000,1455.3,1465.91,1455.11,1459.55,85.02
1780272000000,1459.55,1485.0,1457.72,1466.74,160.19
1780286400000,1466.74,1469.56,1458.43,1461.94,131.92
1780300800000,1461.94,1488.73,1459.44,1478.54,101.06
1780315200000,1478.54,1486.54,1448.07,1450.67,249.81
1780329600000,1450.67,1487.59,1447.59,1485.11,147.35
1780344000000,1485.11,1489.91,1473.35,1486.66,119.72
1780358400000,1486.66,1489.92,1467.57,1479.66,157.08
1780372800000,1479.66,1481.84,1450.12,1472.44,188.46
1780387200000,1472.44,1480.19,1450.79,1453.83,226.26
1780401600000,1453.83,1460.94,1419.45,1441.1,133.02
1780416000000,1441.1,1455.0,1433.83,1443.21,65.34
1780430400000,1443.21,1446.79,1431.75,1438.18,49.04
1780444800000,1438.18,1441.71,1427.34,1432.25,61.26
1780459200000,1432.25,1438.31,1427.24,1437.86,34.05
1780473600000,1437.86,1550.59,1436.19,1512.27,492.37
1780488000000,1512.27,1519.57,1476.78,1500.05,175.76
1780502400000,1500.05,1513.96,1492.26,1503.77,81.23
1780516800000,1503.77,1503.92,1429.06,1441.18,128.04
1780531200000,1441.18,1466.46,1424.84,1466.46,105.54
1780545600000,1466.46,1469.12,1429.55,1434.31,59.01
1780560000000,1434.31,1440.2,1412.76,1432.46,66.49
1780574400000,1432.46,1456.89,1424.71,1429.84,84.16
1780588800000,1429.84,1439.9,1411.68,1416.7,57.08
1780603200000,1416.7,1428.94,1400.08,1427.36,71.16
1780617600000,1427.36,1445.89,1411.79,1418.98,91.06
1780632000000,1418.98,1428.81,1401.59,1418.78,70.8
1780646400000,1418.78,1429.55,1411.09,1411.25,64.45
1780660800000,1411.25,1413.42,1348.36,1375.08,155.81
1780675200000,1375.08,1380.58,1332.47,1346.9,100.07
1780689600000,1346.9,1361.35,1334.03,1335.12,61.43
1780704000000,1335.12,1348.4,1300.04,1301.54,41.91
1780718400000,1301.54,1315.6,1264.29,1275.46,72.7
1780732800000,1275.46,1338.31,1274.35,1331.34,50.66
1780747200000,1331.34,1331.34,1296.07,1304.95,42.97
1780761600000,1304.95,1333.7,1304.49,1333.36,38.86
1780776000000,1333.36,1339.61,1327.46,1339.23,25.36
1780790400000,1339.23,1339.85,1311.53,1329.77,32.93
1780804800000,1329.77,1357.02,1324.87,1356.63,44.98
1780819200000,1356.63,1357.84,1337.5,1348.56,33.62
1780833600000,1348.56,1358.06,1341.89,1347.83,25.01
1780848000000,1347.83,1357.67,1320.74,1322.44,25.89
1780862400000,1322.44,1346.09,1318.64,1346.07,30.03
1780876800000,1346.07,1394.38,1338.07,1387.6,51.82
1780891200000,1387.6,1398.88,1370.8,1370.85,53.46
1780905600000,1370.85,1381.96,1353.99,1369.32,39.85
1780920000000,1369.32,1369.32,1352.54,1358.5,34.57
1780934400000,1358.5,1373.63,1351.93,1372.76,27.48
1780948800000,1372.76,1381.5,1342.62,1346.02,33.35
1780963200000,1346.02,1352.54,1325.48,1352.12,40.25
1780977600000,1352.12,1373.85,1350.49,1357.3,34.6
1780992000000,1357.3,1357.81,1345.34,1356.01,23.41
1781006400000,1356.01,1361.92,1306.62,1315.22,75.65
1781020800000,1315.22,1331.32,1310.31,1326.87,46.23
1781035200000,1326.87,1331.31,1302.42,1302.84,27.02
1781049600000,1302.84,1322.59,1302.69,1319.37,31.16
1781064000000,1319.37,1333.05,1316.11,1330.45,18.31
