time,open,high,low,close,volume
1766894400000,197.02,197.02,197.02,197.02,0.0
1766908800000,197.02,197.02,197.02,197.02,0.0
1766923200000,197.02,197.02,197.02,197.02,0.0
1766937600000,197.02,197.02,197.02,197.02,0.0
1766952000000,197.02,197.02,197.02,197.02,0.0
1766966400000,197.02,197.35,195.89,196.2,101.77
1766980800000,196.2,196.67,196.02,196.15,74.0
1766995200000,196.15,196.47,193.96,194.25,206.75
1767009600000,194.25,198.41,192.97,195.39,411.53
1767024000000,195.39,195.74,194.39,195.63,137.26
1767038400000,195.63,195.8,194.75,195.16,84.44
1767052800000,195.16,195.16,193.32,194.59,78.52
1767067200000,194.59,195.27,194.58,194.86,46.36
1767081600000,194.86,195.88,194.69,195.19,211.75
1767096000000,195.19,198.32,194.95,197.93,268.29
1767110400000,197.93,198.3,196.96,197.71,152.85
1767124800000,197.71,197.88,196.49,196.53,139.71
1767139200000,196.53,196.54,196.13,196.36,55.91
1767153600000,196.36,196.61,195.81,196.17,70.93
1767168000000,196.17,196.4,195.88,196.25,101.68
1767182400000,196.25,197.35,195.13,195.95,452.98
1767196800000,195.95,196.83,195.73,195.89,111.99
1767211200000,195.89,195.89,193.34,193.34,90.56
1767225600000,193.34,193.71,193.32,193.6,12.49
1767240000000,193.6,193.6,193.6,193.6,0.0
1767254400000,193.6,193.6,193.6,193.6,0.0
1767268800000,193.6,193.6,193.6,193.6,0.0
1767283200000,193.6,193.6,193.6,193.6,0.0
1767297600000,193.6,193.6,193.6,193.6,0.0
1767312000000,193.6,196.39,193.6,196.35,113.11
1767326400000,196.35,196.8,196.17,196.54,66.36
1767340800000,196.54,197.99,196.5,197.93,98.5
1767355200000,197.93,198.48,194.39,194.66,305.04
1767369600000,194.66,197.09,194.29,195.44,246.71
1767384000000,195.44,196.03,195.42,195.7,71.42
1767398400000,195.7,195.92,195.69,195.92,8.16
1767412800000,195.92,195.92,195.92,195.92,0.0
1767427200000,195.92,195.92,195.92,195.92,0.0
1767441600000,195.92,195.92,195.92,195.92,0.0
1767456000000,195.92,195.92,195.92,195.92,0.0
1767470400000,195.92,195.92,195.92,195.92,0.0
1767484800000,195.92,195.92,195.92,195.92,0.0
1767499200000,195.92,195.92,195.92,195.92,0.0
1767513600000,195.92,195.92,195.92,195.92,0.0
1767528000000,195.92,195.92,195.92,195.92,0.0
1767542400000,195.92,195.92,195.92,195.92,0.0
