time,open,high,low,close,volume
1684584000000,0.0,13.687,11.993,12.536,4659.4922
1684598400000,12.536,13.489,12.259,13.073,6772.8697
1684612800000,13.073,13.345,12.397,12.602,5604.9516
1684627200000,12.594,13.49,12.594,12.805,5420.504
1684641600000,12.805,13.077,12.606,12.921,4207.0342
1684656000000,12.921,12.946,11.692,11.996,6912.4495
1684670400000,11.996,12.08,10.917,11.035,4913.6493
1684684800000,11.035,11.469,10.258,11.258,5520.7898
1684699200000,11.258,11.468,10.447,10.738,4678.9256
1684713600000,10.738,10.771,9.166,9.651,6058.2712
1684728000000,9.651,10.446,9.367,10.136,4680.7495
1684742400000,10.136,10.322,9.558,10.166,4601.8544
1684756800000,10.166,10.238,9.813,10.082,3698.0664
1684771200000,10.082,10.726,9.827,10.391,3935.897
1684785600000,10.391,10.698,9.648,9.887,3919.8189
1684800000000,9.887,10.474,9.367,10.259,5296.0488
1684814400000,10.259,10.284,9.92,10.083,3711.2747
1684828800000,10.083,10.154,9.986,10.13,3069.317
1684843200000,10.13,10.14,9.641,9.869,3747.2637
1684857600000,9.869,9.879,9.323,9.545,4845.3582
1684872000000,9.545,9.616,9.364,9.486,5680.3116
1684886400000,9.486,9.514,8.113,8.493,4860.7609
1684900800000,8.493,8.584,8.187,8.406,3711.4095
1684915200000,8.406,8.764,8.28,8.43,3726.8672
1684929600000,8.43,8.488,7.722,8.09,3558.1174
1684944000000,8.09,8.366,7.12,7.282,5033.4562
1684958400000,7.282,7.729,7.158,7.557,4278.321
1684972800000,7.557,7.691,6.691,7.122,5465.2399
1684987200000,7.122,7.625,7.03,7.118,4182.9071
1685001600000,7.118,7.576,7.111,7.528,3674.5028
1685016000000,7.528,8.218,7.528,7.625,4636.251
1685030400000,7.621,7.973,7.513,7.9,3689.4114
1685044800000,7.9,8.357,7.838,7.924,3721.6306
1685059200000,7.924,7.973,7.571,7.856,3679.8429
1685073600000,7.856,7.907,7.548,7.806,3621.5969
1685088000000,7.806,7.84,7.652,7.774,3114.9148
1685102400000,7.774,8.261,7.663,8.201,5940.2464
1685116800000,8.201,8.318,7.821,7.979,4905.1527
1685131200000,7.979,8.182,7.94,7.94,3097.8935
1685145600000,7.94,8.082,7.821,8.075,4042.2847
1685160000000,8.075,8.109,7.937,8.015,3017.2612
1685174400000,8.016,8.079,7.938,8.035,2968.6302
1685188800000,8.035,8.168,7.915,7.998,4375.0356
1685203200000,7.998,7.996,7.714,7.879,3329.3673
1685217600000,7.879,7.975,7.845,7.919,2969.7243
1685232000000,7.919,8.301,7.877,8.186,3689.3114
1685246400000,8.186,8.534,8.147,8.453,4875.5483
1685260800000,8.453,9.379,8.319,9.106,5292.8034
1685275200000,9.106,9.257,8.829,9.236,3738.1336
1685289600000,9.236,10.452,9.104,10.003,7351.9436
1685304000000,10.003,10.3,9.697,10.064,4256.4218
1685318400000,10.064,10.135,9.633,9.679,3829.2767
1685332800000,9.679,9.775,9.022,9.512,4301.9092
1685347200000,9.512,9.623,9.285,9.489,3493.8401
1685361600000,9.491,9.695,9.024,9.128,4818.0812
1685376000000,9.128,9.388,9.0,9.23,3664.6286
1685390400000,9.23,9.483,9.15,9.35,5619.0016
1685404800000,9.352,9.597,9.199,9.486,3392.9179
1685419200000,9.486,9.499,9.292,9.3,3141.5636
1685433600000,9.302,9.497,9.181,9.493,3167.3542
1685448000000,9.493,9.894,9.282,9.394,3835.0435
1685462400000,9.394,9.733,9.316,9.726,3413.6227
1685476800000,9.726,9.763,9.388,9.388,3419.7005
1685491200000,9.388,9.646,9.385,9.522,3094.0922
1685505600000,9.522,9.528,8.537,8.744,3952.4215
1685520000000,8.744,8.814,8.315,8.499,4100.8404
1685534400000,8.499,8.597,8.039,8.081,6508.3337
1685548800000,8.081,8.287,7.688,8.185,4044.3647
1685563200000,8.184,8.504,8.169,8.474,3173.3368
1685577600000,8.474,8.589,8.122,8.299,3458.9398
1685592000000,8.299,8.328,8.115,8.148,5115.0139
1685606400000,8.148,8.51,8.052,8.496,3980.5684
1685620800000,8.505,8.676,8.371,8.548,3536.9766
1685635200000,8.548,8.869,8.421,8.636,6820.6127
1685649600000,8.636,8.984,8.57,8.64,3504.6873
1685664000000,8.64,8.778,8.424,8.722,3555.4294
1685678400000,8.705,8.963,8.655,8.732,3198.2864
1685692800000,8.732,8.843,8.631,8.717,3693.3961
1685707200000,8.717,8.882,8.481,8.648,4057.7105
1685721600000,8.648,8.684,8.227,8.494,3887.0426
1685736000000,8.494,8.602,8.431,8.536,3027.572
1685750400000,8.536,8.55,8.328,8.379,3458.1346
1685764800000,8.379,8.493,8.348,8.448,3329.7997
1685779200000,8.448,8.664,8.389,8.563,3348.0282
1685793600000,8.563,8.808,8.523,8.785,3477.0438
1685808000000,8.788,9.23,8.638,8.64,4135.0455
1685822400000,8.64,8.984,8.634,8.848,3302.9224
1685836800000,8.848,8.91,8.633,8.837,3329.6113
1685851200000,8.837,8.942,8.701,8.906,3147.0887
1685865600000,8.906,9.197,8.883,9.041,3859.9068
1685880000000,9.041,9.095,8.842,8.852,3430.3043
1685894400000,8.852,9.002,8.748,8.971,3346.4926
1685908800000,8.971,9.374,8.96,9.004,3817.8321
1685923200000,9.004,9.124,8.405,8.477,4245.7268
1685937600000,8.476,8.697,8.43,8.633,3549.0878
