time,open,high,low,close,volume
1774440000000,23.58,24.74,23.02,24.08,6078.72
1774454400000,24.08,24.56,23.66,24.56,1801.12
1774468800000,24.56,24.56,24.56,24.56,0.0
1774483200000,24.56,24.56,24.56,24.56,0.0
1774497600000,24.56,24.56,24.56,24.56,0.0
1774512000000,24.56,24.56,24.56,24.56,0.0
1774526400000,24.56,24.56,23.12,23.55,3417.91
1774540800000,23.55,23.74,22.72,22.72,1854.54
1774555200000,22.72,22.72,22.71,22.72,2.78
1774569600000,22.72,22.72,22.72,22.72,0.0
1774584000000,22.72,22.72,22.72,22.72,0.0
1774598400000,22.72,22.72,22.72,22.72,0.0
1774612800000,22.72,23.97,22.72,23.49,5906.03
1774627200000,23.49,23.49,22.86,23.13,3147.18
1774641600000,23.13,23.13,23.13,23.13,0.0
1774656000000,23.13,23.13,23.13,23.13,0.0
1774670400000,23.13,23.13,23.13,23.13,0.0
1774684800000,23.13,23.13,23.13,23.13,0.0
1774699200000,23.13,23.13,23.13,23.13,0.0
1774713600000,23.13,23.13,23.13,23.13,0.0
1774728000000,23.13,23.13,23.13,23.13,0.0
1774742400000,23.13,23.13,23.13,23.13,0.0
1774756800000,23.13,23.13,23.13,23.13,0.0
1774771200000,23.13,23.13,23.13,23.13,0.0
1774785600000,23.13,23.13,23.13,23.13,0.0
1774800000000,23.13,23.13,23.13,23.13,0.0
1774814400000,23.13,23.13,23.13,23.13,0.0
1774828800000,23.13,23.13,23.13,23.13,0.0
1774843200000,23.13,23.13,23.13,23.13,0.0
1774857600000,23.13,23.13,23.13,23.13,0.0
1774872000000,23.13,23.43,20.48,20.61,6169.59
1774886400000,20.61,20.76,19.87,20.75,6281.23
1774900800000,20.75,20.75,20.75,20.75,0.0
1774915200000,20.75,20.75,20.75,20.75,0.0
1774929600000,20.75,20.75,20.75,20.75,0.0
1774944000000,20.75,20.75,20.75,20.75,0.0
1774958400000,20.75,21.52,20.18,21.44,3548.38
1774972800000,21.44,21.96,21.23,21.42,3666.16
1774987200000,21.42,21.42,21.42,21.42,0.0
1775001600000,21.42,21.42,21.42,21.42,0.0
1775016000000,21.42,21.42,21.42,21.42,0.0
1775030400000,21.42,21.42,21.42,21.42,0.0
1775044800000,21.42,21.58,20.47,21.05,5898.53
1775059200000,21.05,21.26,20.77,21.2,3829.06
1775073600000,21.2,21.2,21.2,21.2,0.0
1775088000000,21.2,21.2,21.2,21.2,0.0
1775102400000,21.2,21.2,21.2,21.2,0.0
1775116800000,21.2,21.2,21.2,21.2,0.0
1775131200000,21.2,21.2,19.97,21.05,3862.15
