time,open,high,low,close,volume
1688371200000,0.0,1.054,0.965,1.001,760686.8
1688385600000,1.001,1.022,0.882,0.892,1319359.3
1688400000000,0.894,0.894,0.82,0.86,723344.0
1688414400000,0.86,0.874,0.841,0.853,234762.7
1688428800000,0.853,0.917,0.841,0.876,404065.0
1688443200000,0.876,0.879,0.846,0.862,272615.6
1688457600000,0.862,0.888,0.854,0.883,350115.8
1688472000000,0.883,0.966,0.866,0.907,718425.3
1688486400000,0.907,1.097,0.904,0.953,1696834.2
1688500800000,0.954,0.957,0.914,0.946,228810.8
1688515200000,0.946,0.946,0.88,0.883,216328.1
1688529600000,0.883,0.899,0.866,0.873,238653.7
1688544000000,0.873,0.875,0.841,0.861,249889.9
1688558400000,0.861,0.872,0.848,0.85,143253.2
1688572800000,0.85,0.9,0.849,0.865,176137.1
1688587200000,0.866,0.882,0.863,0.88,73899.9
1688601600000,0.88,0.88,0.849,0.852,106913.5
1688616000000,0.852,0.873,0.842,0.86,126378.0
1688630400000,0.86,0.959,0.854,0.904,653651.4
1688644800000,0.904,0.907,0.852,0.879,273589.0
1688659200000,0.879,0.923,0.876,0.901,215513.9
1688673600000,0.901,0.906,0.864,0.864,99489.9
1688688000000,0.864,0.895,0.855,0.893,121983.3
1688702400000,0.893,0.921,0.888,0.91,192384.0
1688716800000,0.91,0.942,0.895,0.91,341747.0
1688731200000,0.91,0.942,0.905,0.919,172686.6
1688745600000,0.919,0.923,0.891,0.896,114352.8
1688760000000,0.896,0.923,0.889,0.917,74027.8
1688774400000,0.917,0.933,0.906,0.92,62602.8
1688788800000,0.92,0.924,0.892,0.906,65905.3
1688803200000,0.906,0.906,0.89,0.89,68904.2
1688817600000,0.89,0.898,0.881,0.889,61352.9
1688832000000,0.889,0.89,0.861,0.865,94778.4
1688846400000,0.865,0.886,0.864,0.883,53871.5
1688860800000,0.883,0.892,0.875,0.875,31810.5
1688875200000,0.875,0.883,0.865,0.868,32820.6
1688889600000,0.868,0.885,0.865,0.879,55913.7
1688904000000,0.879,0.895,0.875,0.879,73302.3
1688918400000,0.879,0.885,0.875,0.879,24840.4
1688932800000,0.879,0.883,0.875,0.877,22771.6
1688947200000,0.877,0.879,0.852,0.852,57660.3
1688961600000,0.852,0.854,0.825,0.828,122862.8
1688976000000,0.828,0.834,0.804,0.814,168210.6
1688990400000,0.814,0.82,0.807,0.814,88889.9
1689004800000,0.814,0.826,0.802,0.825,100123.6
1689019200000,0.825,0.831,0.811,0.812,68671.1
1689033600000,0.812,0.82,0.807,0.817,61604.1
1689048000000,0.817,0.819,0.811,0.816,42105.2
1689062400000,0.816,0.818,0.773,0.779,223787.5
1689076800000,0.779,0.793,0.757,0.78,196580.2
1689091200000,0.78,0.787,0.77,0.774,101672.6
1689105600000,0.774,0.775,0.752,0.768,73512.0
1689120000000,0.768,0.775,0.755,0.759,61432.9
1689134400000,0.759,0.772,0.758,0.77,46146.8
1689148800000,0.77,0.794,0.771,0.792,124862.8
1689163200000,0.792,0.823,0.786,0.792,234457.7
1689177600000,0.792,0.801,0.767,0.768,85449.7
1689192000000,0.768,0.792,0.763,0.79,56710.8
1689206400000,0.79,0.799,0.78,0.781,63958.0
1689220800000,0.781,0.783,0.77,0.783,69573.3
1689235200000,0.783,0.811,0.783,0.788,110028.3
1689249600000,0.788,0.814,0.785,0.811,56255.9
1689264000000,0.811,0.83,0.801,0.807,194753.8
1689278400000,0.807,0.808,0.796,0.806,46306.3
1689292800000,0.806,0.842,0.805,0.833,103722.9
1689307200000,0.833,0.833,0.813,0.815,54973.7
1689321600000,0.815,0.82,0.803,0.815,49598.6
1689336000000,0.815,0.882,0.806,0.875,302602.8
1689350400000,0.875,1.052,0.858,0.88,1877799.9
1689364800000,0.88,0.924,0.863,0.906,273181.6
1689379200000,0.906,0.965,0.906,0.952,399114.6
1689393600000,0.952,0.963,0.905,0.918,297282.9
1689408000000,0.918,0.937,0.887,0.894,304791.3
1689422400000,0.894,0.894,0.861,0.877,173043.0
1689436800000,0.877,0.889,0.87,0.883,61560.5
1689451200000,0.883,0.892,0.878,0.878,42443.6
1689465600000,0.878,0.894,0.876,0.879,32263.3
1689480000000,0.879,0.878,0.867,0.868,48231.7
1689494400000,0.868,0.89,0.865,0.888,49122.3
1689508800000,0.888,0.915,0.886,0.892,146428.9
1689523200000,0.892,0.895,0.88,0.88,33520.9
1689537600000,0.88,0.892,0.874,0.874,25306.9
1689552000000,0.874,0.902,0.871,0.896,55765.6
1689566400000,0.898,0.904,0.881,0.881,64520.2
1689580800000,0.881,0.967,0.881,0.91,645974.2
1689595200000,0.91,0.927,0.893,0.916,122068.5
1689609600000,0.916,0.918,0.867,0.871,179571.5
1689624000000,0.871,0.893,0.869,0.882,29920.1
1689638400000,0.882,0.894,0.879,0.88,48934.1
1689652800000,0.88,0.881,0.863,0.868,60050.1
1689667200000,0.868,0.878,0.866,0.876,51367.7
1689681600000,0.876,0.877,0.858,0.86,90250.6
1689696000000,0.86,0.864,0.845,0.851,56949.5
1689710400000,0.851,0.861,0.851,0.852,26687.1
1689724800000,0.852,0.854,0.848,0.849,49499.6
1689739200000,0.849,0.863,0.844,0.844,91369.7
1689753600000,0.844,0.844,0.827,0.832,99212.9
1689768000000,0.832,0.837,0.81,0.819,70630.1
1689782400000,0.819,0.824,0.812,0.82,40724.1
1689796800000,0.82,0.82,0.797,0.797,47362.0
1689811200000,0.797,0.807,0.796,0.797,49623.1
1689825600000,0.797,0.815,0.797,0.814,33571.7
1689840000000,0.814,0.842,0.812,0.842,94069.5
1689854400000,0.842,0.844,0.804,0.804,68388.1
1689868800000,0.804,0.811,0.803,0.807,17460.9
1689883200000,0.807,0.819,0.803,0.811,24374.5
1689897600000,0.811,0.813,0.801,0.807,61055.3
1689912000000,0.807,0.808,0.797,0.797,38465.9
1689926400000,0.797,0.799,0.79,0.796,33346.5
1689940800000,0.796,0.801,0.793,0.794,42795.6
