time,open,high,low,close,volume
1683115200000,0.0,9.73e-07,9.19e-07,9.56e-07,48703299057.0
1683129600000,9.56e-07,1.119e-06,9.01e-07,1.059e-06,167175271060.0
1683144000000,1.059e-06,1.19e-06,1.013e-06,1.07e-06,159824124525.0
1683158400000,1.07e-06,1.25e-06,1.061e-06,1.189e-06,177220895887.0
1683172800000,1.189e-06,1.363e-06,1.141e-06,1.329e-06,179972562879.0
1683187200000,1.329e-06,1.837e-06,1.254e-06,1.614e-06,196145002092.0
1683201600000,1.614e-06,1.82e-06,1.491e-06,1.681e-06,304797119347.0
1683216000000,1.681e-06,1.789e-06,1.561e-06,1.627e-06,248930919680.0
1683230400000,1.629e-06,2.017e-06,1.598e-06,1.963e-06,296282780253.0
1683244800000,1.963e-06,2.398e-06,1.928e-06,2.212e-06,291568891949.0
1683259200000,2.212e-06,2.261e-06,1.824e-06,1.949e-06,275344043162.0
1683273600000,1.949e-06,2.942e-06,1.903e-06,2.905e-06,413540613275.0
1683288000000,2.905e-06,4.061e-06,2.666e-06,3.734e-06,764403606223.0
1683302400000,3.739e-06,4.482e-06,2.933e-06,3.359e-06,618155050316.0
1683316800000,3.359e-06,3.829e-06,3.141e-06,3.732e-06,284255474548.0
1683331200000,3.742e-06,3.83e-06,2.939e-06,3.027e-06,265250177863.0
1683345600000,3.027e-06,3.283e-06,2.585e-06,2.756e-06,254332017030.0
1683360000000,2.756e-06,3.176e-06,2.728e-06,3.081e-06,264162260141.0
1683374400000,3.081e-06,3.102e-06,2.75e-06,2.927e-06,228653501935.0
1683388800000,2.927e-06,3.052e-06,2.453e-06,2.575e-06,217221004105.0
1683403200000,2.575e-06,2.665e-06,2.298e-06,2.627e-06,218158188494.0
1683417600000,2.627e-06,2.681e-06,2.442e-06,2.601e-06,189773346828.0
1683432000000,2.601e-06,2.655e-06,2.422e-06,2.627e-06,173928203914.0
1683446400000,2.634e-06,2.862e-06,2.515e-06,2.768e-06,181448831099.0
1683460800000,2.768e-06,3.105e-06,2.732e-06,2.816e-06,215420486674.0
1683475200000,2.816e-06,2.903e-06,2.659e-06,2.823e-06,190191076621.0
1683489600000,2.822e-06,2.895e-06,2.705e-06,2.786e-06,180953181358.0
1683504000000,2.786e-06,2.8e-06,2.45e-06,2.545e-06,184654440358.0
1683518400000,2.545e-06,2.558e-06,2.223e-06,2.299e-06,171894177949.0
1683532800000,2.302e-06,2.378e-06,2.132e-06,2.294e-06,189579276168.0
1683547200000,2.294e-06,2.314e-06,2.023e-06,2.122e-06,168581045350.0
1683561600000,2.123e-06,2.168e-06,1.54e-06,1.728e-06,245176349648.0
