time,open,high,low,close,volume
1726286400000,0.4216,0.4229,0.4113,0.4146,11185.7
1726300800000,0.4146,0.4164,0.4057,0.4084,42733.7
1726315200000,0.4084,0.4134,0.4049,0.4101,17839.8
1726329600000,0.4101,0.4112,0.3985,0.4024,17223.2
1726344000000,0.4024,0.4067,0.4006,0.4058,9422.6
1726358400000,0.4058,0.4081,0.4021,0.4055,11886.0
1726372800000,0.4055,0.4061,0.3988,0.4017,13205.1
1726387200000,0.4017,0.4023,0.3981,0.3994,13867.3
1726401600000,0.3994,0.4043,0.3989,0.4037,9630.8
1726416000000,0.4037,0.4043,0.3912,0.3999,16906.7
1726430400000,0.3999,0.3999,0.3866,0.3891,17082.0
1726444800000,0.3891,0.3922,0.3744,0.3817,19254.2
1726459200000,0.3817,0.386,0.3815,0.3841,10677.0
1726473600000,0.3841,0.3855,0.3747,0.3799,18985.5
1726488000000,0.3799,0.3816,0.3749,0.3779,15987.6
1726502400000,0.3779,0.382,0.3723,0.3774,15355.9
1726516800000,0.3774,0.3796,0.3743,0.3759,6103.7
1726531200000,0.3759,0.3817,0.3739,0.3792,7957.1
1726545600000,0.3792,0.3872,0.378,0.3862,13199.9
1726560000000,0.3862,0.3876,0.3816,0.3832,10140.6
1726574400000,0.3832,0.3907,0.3818,0.3884,20100.2
1726588800000,0.3884,0.3893,0.3781,0.3807,16841.1
1726603200000,0.3807,0.3836,0.3791,0.3815,7388.6
1726617600000,0.3815,0.382,0.3768,0.3807,9291.1
1726632000000,0.3807,0.3815,0.3785,0.3799,7342.8
1726646400000,0.3799,0.3804,0.373,0.3764,10123.9
1726660800000,0.3764,0.379,0.3723,0.3733,11100.2
1726675200000,0.3733,0.3861,0.3726,0.3816,16087.9
1726689600000,0.3816,0.3902,0.3788,0.3902,11499.8
1726704000000,0.3902,0.3951,0.3888,0.394,18735.2
1726718400000,0.394,0.398,0.3923,0.3971,19304.3
1726732800000,0.3971,0.399,0.3938,0.3971,61336.9
1726747200000,0.3971,0.4,0.3963,0.399,58484.4
1726761600000,0.399,0.402,0.3983,0.3995,35709.2
1726776000000,0.3995,0.3998,0.3927,0.399,11316.4
1726790400000,0.399,0.4028,0.3932,0.4027,16234.9
1726804800000,0.4027,0.4088,0.402,0.4084,23194.5
1726819200000,0.4084,0.4098,0.4038,0.4039,16890.3
1726833600000,0.4039,0.4064,0.3947,0.3985,32171.9
1726848000000,0.3985,0.3997,0.3948,0.3985,8929.8
1726862400000,0.3985,0.4013,0.3977,0.4013,6519.7
1726876800000,0.4013,0.4036,0.3963,0.3986,29651.6
1726891200000,0.3986,0.4004,0.396,0.4003,35138.7
1726905600000,0.4003,0.4021,0.3992,0.4012,12582.5
1726920000000,0.4012,0.4086,0.4006,0.4067,18168.7
1726934400000,0.4067,0.4086,0.4055,0.4085,8216.9
1726948800000,0.4085,0.4117,0.405,0.4115,10422.4
1726963200000,0.4115,0.4115,0.4039,0.4061,16417.7
1726977600000,0.4061,0.4065,0.4006,0.4023,9865.7
1726992000000,0.4023,0.4055,0.399,0.4016,15073.7
1727006400000,0.4016,0.4018,0.3968,0.3986,15172.4
1727020800000,0.3986,0.402,0.3967,0.4005,7025.1
1727035200000,0.4005,0.4023,0.3926,0.401,20219.7
1727049600000,0.401,0.4071,0.3941,0.406,27886.4
1727064000000,0.406,0.4067,0.4011,0.4016,16548.9
1727078400000,0.4016,0.4044,0.4,0.4018,18336.5
1727092800000,0.4018,0.408,0.4007,0.4057,30281.9
1727107200000,0.4057,0.4081,0.4047,0.4056,16875.5
1727121600000,0.4056,0.4075,0.4043,0.406,19983.9
1727136000000,0.406,0.407,0.4001,0.4038,24357.9
1727150400000,0.4038,0.4067,0.4003,0.4061,16408.6
1727164800000,0.4061,0.4092,0.4051,0.406,23520.5
1727179200000,0.406,0.4081,0.3991,0.4013,29872.8
1727193600000,0.4013,0.4072,0.4001,0.4069,20597.6
1727208000000,0.4069,0.4098,0.4054,0.4093,24181.1
1727222400000,0.4093,0.414,0.408,0.4128,19471.0
1727236800000,0.4128,0.413,0.4041,0.4063,20969.4
1727251200000,0.4063,0.4097,0.4061,0.409,17044.1
1727265600000,0.409,0.4191,0.409,0.4128,31714.1
1727280000000,0.4128,0.4153,0.4084,0.4103,14568.1
1727294400000,0.4103,0.4152,0.4085,0.4094,17420.6
1727308800000,0.4094,0.4121,0.403,0.4117,20451.1
1727323200000,0.4117,0.4187,0.409,0.4179,25906.9
1727337600000,0.4179,0.426,0.4158,0.4209,28963.1
1727352000000,0.4209,0.429,0.4196,0.4278,41764.4
1727366400000,0.4278,0.4323,0.4252,0.4257,27135.8
1727380800000,0.4257,0.4266,0.4212,0.4256,14967.4
1727395200000,0.4256,0.4288,0.4235,0.4285,19662.8
1727409600000,0.4285,0.4352,0.4283,0.4337,29575.0
1727424000000,0.4337,0.4367,0.4293,0.4317,29941.4
1727438400000,0.4317,0.4382,0.431,0.4337,38360.7
1727452800000,0.4337,0.4382,0.4308,0.4314,25567.4
1727467200000,0.4314,0.435,0.4303,0.4335,13531.7
1727481600000,0.4335,0.4375,0.4332,0.4358,13097.0
1727496000000,0.4358,0.4365,0.4242,0.4245,19513.7
1727510400000,0.4245,0.4246,0.4174,0.4237,21716.1
1727524800000,0.4237,0.427,0.42,0.424,24069.8
1727539200000,0.424,0.4266,0.4214,0.4242,17455.1
1727553600000,0.4242,0.4246,0.4189,0.4239,9969.6
1727568000000,0.4239,0.4251,0.4208,0.4236,9158.6
1727582400000,0.4236,0.4239,0.4177,0.4185,12327.2
1727596800000,0.4185,0.4208,0.4166,0.4186,13690.3
1727611200000,0.4186,0.422,0.4136,0.4215,17513.3
1727625600000,0.4215,0.4251,0.4195,0.425,9591.1
1727640000000,0.425,0.426,0.4198,0.4213,12082.0
1727654400000,0.4213,0.4222,0.406,0.4125,27456.3
1727668800000,0.4125,0.4159,0.4095,0.4151,13271.9
1727683200000,0.4151,0.4151,0.4052,0.4096,22924.9
1727697600000,0.4096,0.4105,0.4023,0.4024,21067.9
1727712000000,0.4024,0.4048,0.3994,0.4013,14756.1
