time,open,high,low,close,volume
1702627200000,0.4097,0.4218,0.4069,0.4121,3883766.0
1702641600000,0.4121,0.4294,0.388,0.3926,7663513.0
1702656000000,0.3926,0.3987,0.3853,0.3948,3552870.0
1702670400000,0.3948,0.3977,0.3759,0.3774,3765374.0
1702684800000,0.3774,0.386,0.3716,0.3852,3126959.0
1702699200000,0.3852,0.3861,0.3771,0.3815,2788798.0
1702713600000,0.3815,0.3885,0.3803,0.3885,2290822.0
1702728000000,0.3885,0.3936,0.3847,0.3915,3013934.0
1702742400000,0.3915,0.4052,0.3839,0.3853,4524568.0
1702756800000,0.3853,0.3972,0.3848,0.3964,2007483.0
1702771200000,0.3964,0.4023,0.3871,0.3893,3704727.0
1702785600000,0.3893,0.3944,0.3752,0.3767,3315517.0
1702800000000,0.3767,0.3884,0.3738,0.3821,3478089.0
1702814400000,0.3821,0.3849,0.3704,0.3808,4624028.0
1702828800000,0.3808,0.3876,0.3775,0.3815,3050288.0
1702843200000,0.3815,0.3856,0.3715,0.3748,2072693.0
1702857600000,0.3748,0.3792,0.356,0.3636,3831294.0
1702872000000,0.3636,0.365,0.3427,0.3449,3220016.0
1702886400000,0.3449,0.3463,0.3182,0.3335,7538159.0
1702900800000,0.3335,0.3429,0.3295,0.3326,1896398.0
1702915200000,0.3326,0.341,0.3283,0.3374,1348661.0
1702929600000,0.3374,0.3555,0.3344,0.3529,1582659.0
1702944000000,0.3529,0.3628,0.348,0.3555,2697205.0
1702958400000,0.3555,0.3569,0.3483,0.3539,1536560.0
1702972800000,0.3539,0.3597,0.3488,0.3503,1356236.0
1702987200000,0.3503,0.3524,0.3323,0.3377,2065461.0
1703001600000,0.3377,0.3419,0.3253,0.3315,1522725.0
1703016000000,0.3315,0.333,0.3241,0.3273,1256396.0
1703030400000,0.3273,0.332,0.3205,0.3319,1742347.0
1703044800000,0.3319,0.3418,0.3318,0.3389,1364407.0
1703059200000,0.3389,0.348,0.3356,0.3465,1280859.0
1703073600000,0.3465,0.3578,0.3397,0.3483,2713769.0
1703088000000,0.3483,0.3548,0.3411,0.3425,1990594.0
1703102400000,0.3425,0.3459,0.334,0.3432,1543231.0
1703116800000,0.3432,0.3544,0.3382,0.3445,1432767.0
1703131200000,0.3445,0.3541,0.3401,0.3502,2077968.0
1703145600000,0.3502,0.3734,0.3466,0.3733,3219022.0
1703160000000,0.3733,0.3795,0.3523,0.3682,4362637.0
1703174400000,0.3682,0.3695,0.3548,0.3589,1887205.0
1703188800000,0.3589,0.394,0.3589,0.3897,2185612.0
1703203200000,0.3897,0.396,0.3769,0.3842,2588972.0
1703217600000,0.3842,0.3893,0.3578,0.3617,3175184.0
1703232000000,0.3617,0.3674,0.3461,0.3587,2276268.0
1703246400000,0.3587,0.3595,0.3505,0.3555,1485864.0
1703260800000,0.3555,0.3607,0.3524,0.3542,1340049.0
1703275200000,0.3542,0.3715,0.3537,0.3647,1361332.0
1703289600000,0.3647,0.368,0.342,0.3423,2507363.0
1703304000000,0.3423,0.3522,0.34,0.3484,2481824.0
1703318400000,0.3484,0.354,0.3481,0.352,1283704.0
1703332800000,0.352,0.3649,0.3514,0.3606,2415027.0
1703347200000,0.3606,0.3732,0.358,0.3665,1959266.0
1703361600000,0.3665,0.383,0.3654,0.3755,1923527.0
1703376000000,0.3755,0.3866,0.3688,0.3815,3163851.0
1703390400000,0.3815,0.3816,0.3615,0.3711,2169358.0
1703404800000,0.3711,0.372,0.3573,0.3629,1937962.0
1703419200000,0.3629,0.3655,0.3555,0.3579,1978835.0
1703433600000,0.3579,0.363,0.3543,0.3574,1178522.0
1703448000000,0.3574,0.3589,0.3408,0.3485,2254295.0
1703462400000,0.3485,0.3636,0.3461,0.3581,2192208.0
1703476800000,0.3581,0.3636,0.3567,0.3613,1271943.0
1703491200000,0.3613,0.371,0.354,0.3641,2420080.0
1703505600000,0.3641,0.3762,0.3605,0.3731,3189523.0
1703520000000,0.3731,0.3806,0.3636,0.3705,1447454.0
1703534400000,0.3705,0.3784,0.3659,0.3692,1231584.0
1703548800000,0.3692,0.3744,0.3638,0.3692,2678542.0
1703563200000,0.3692,0.3835,0.3586,0.3744,4616357.0
1703577600000,0.3744,0.381,0.3609,0.3667,3453589.0
1703592000000,0.3667,0.3667,0.3466,0.3473,3205876.0
1703606400000,0.3473,0.352,0.2937,0.3292,5203260.0
1703620800000,0.3292,0.3429,0.3286,0.3399,1619799.0
1703635200000,0.3399,0.3448,0.3249,0.3255,2606525.0
1703649600000,0.3255,0.3377,0.3255,0.331,1317182.0
1703664000000,0.331,0.3453,0.3299,0.3415,1865925.0
1703678400000,0.3415,0.3451,0.3362,0.3376,2691882.0
1703692800000,0.3376,0.3405,0.331,0.3331,1840193.0
1703707200000,0.3331,0.3437,0.3331,0.3372,1147068.0
1703721600000,0.3372,0.3459,0.3355,0.3388,2379347.0
1703736000000,0.3388,0.3474,0.3208,0.3281,3649828.0
1703750400000,0.3281,0.3319,0.3248,0.3311,1652332.0
1703764800000,0.3311,0.3337,0.3171,0.3212,2263550.0
1703779200000,0.3212,0.3278,0.32,0.3266,802393.0
1703793600000,0.3266,0.3356,0.3208,0.3325,694495.0
1703808000000,0.3325,0.3395,0.3243,0.3264,2026723.0
1703822400000,0.3264,0.3464,0.3217,0.3238,2720470.0
1703836800000,0.3238,0.3467,0.3218,0.3437,3474563.0
1703851200000,0.3437,0.3446,0.3256,0.3282,2270953.0
1703865600000,0.3282,0.3302,0.3188,0.3259,1246284.0
1703880000000,0.3259,0.3265,0.312,0.3264,953305.0
1703894400000,0.3264,0.3342,0.3227,0.3238,1147059.0
1703908800000,0.3238,0.3304,0.3232,0.326,641501.0
1703923200000,0.326,0.3272,0.3174,0.3217,886119.0
1703937600000,0.3217,0.3278,0.3209,0.3274,592325.0
1703952000000,0.3274,0.3314,0.3245,0.3307,976898.0
1703966400000,0.3307,0.334,0.3276,0.3308,719691.0
1703980800000,0.3308,0.3367,0.3235,0.3275,836424.0
