time,open,high,low,close,volume
1778227200000,213.74,217.03,211.07,215.11,155.55
1778241600000,215.11,228.22,209.23,225.23,545.69
1778256000000,225.23,225.39,214.79,219.4,180.57
1778270400000,219.4,222.56,218.98,221.83,115.27
1778284800000,221.83,221.88,220.34,220.87,161.17
1778299200000,220.87,221.18,220.78,221.01,118.53
1778313600000,221.01,221.15,220.76,221.08,147.77
1778328000000,221.08,221.12,220.13,220.42,117.05
1778342400000,220.42,221.03,220.3,220.96,120.49
1778356800000,220.96,221.04,220.63,220.91,96.59
1778371200000,220.91,223.78,220.78,221.6,113.58
1778385600000,221.6,222.84,220.8,221.9,151.4
1778400000000,221.9,222.59,218.21,221.42,130.85
1778414400000,221.42,222.77,220.03,220.18,133.74
1778428800000,220.18,225.33,217.78,218.2,307.0
1778443200000,218.2,227.68,210.36,224.52,196.14
1778457600000,224.52,228.47,218.19,222.66,216.48
1778472000000,222.66,222.75,218.65,220.18,169.11
1778486400000,220.18,235.42,219.46,232.62,162.82
1778500800000,232.62,247.95,230.55,241.68,828.65
1778515200000,241.68,243.62,232.14,238.07,269.72
1778529600000,238.07,240.01,236.63,239.18,103.92
1778544000000,239.18,239.26,222.48,230.26,226.93
1778558400000,230.26,233.6,228.21,230.74,186.89
1778572800000,230.74,234.64,229.13,230.79,234.94
1778587200000,230.79,232.37,206.38,206.51,464.21
1778601600000,206.51,211.32,202.84,210.76,581.89
1778616000000,210.76,212.88,207.9,208.22,318.75
1778630400000,208.22,218.12,208.03,217.98,253.1
1778644800000,217.98,220.19,213.55,216.92,269.77
1778659200000,216.92,223.07,216.92,220.19,265.5
1778673600000,220.19,222.07,207.4,213.45,648.23
1778688000000,213.45,219.39,212.33,213.67,279.27
1778702400000,213.67,215.75,213.08,215.36,158.99
1778716800000,215.36,216.41,211.87,212.5,179.87
1778731200000,212.5,214.73,212.13,213.5,203.47
1778745600000,213.5,213.73,201.95,207.22,349.41
1778760000000,207.22,209.68,201.75,202.22,517.27
1778774400000,202.22,205.42,200.02,200.26,267.19
1778788800000,200.26,208.85,199.52,206.6,295.79
1778803200000,206.6,207.78,201.12,204.72,252.43
1778817600000,204.72,205.3,196.58,199.71,383.57
1778832000000,199.71,204.77,199.51,200.77,362.55
1778846400000,200.77,207.97,199.14,200.51,386.14
1778860800000,200.51,206.0,200.51,202.38,226.88
1778875200000,202.38,202.63,199.67,200.18,176.33
1778889600000,200.18,200.99,196.82,199.35,279.93
1778904000000,199.35,200.96,197.67,198.7,307.54
1778918400000,198.7,199.58,197.1,197.86,164.41
1778932800000,197.86,199.38,197.15,198.86,391.83
1778947200000,198.86,201.69,198.85,201.64,120.25
1778961600000,201.64,201.64,199.22,200.29,201.07
1778976000000,200.29,203.34,199.79,203.29,226.91
1778990400000,203.29,204.84,202.06,203.51,242.06
1779004800000,203.51,204.65,202.79,204.28,251.91
1779019200000,204.28,204.95,203.35,204.69,118.58
1779033600000,204.69,205.74,202.97,205.73,118.03
1779048000000,205.73,206.13,200.79,202.5,219.1
1779062400000,202.5,202.56,197.36,200.45,229.96
1779076800000,200.45,201.81,199.73,201.56,168.6
1779091200000,201.56,203.4,199.56,200.36,168.44
1779105600000,200.36,210.72,194.45,198.16,413.93
