time,open,high,low,close,volume
1780041600000,89.76,93.94,88.72,91.99,829.73
1780056000000,91.99,97.36,90.01,94.55,1964.53
1780070400000,94.55,99.43,91.12,96.76,1368.76
1780084800000,96.76,99.09,95.23,96.76,1201.9
1780099200000,96.76,98.4,95.8,96.96,832.92
1780113600000,96.96,97.74,93.04,94.74,765.07
1780128000000,94.74,94.98,92.25,93.95,568.37
1780142400000,93.95,98.9,93.95,97.94,933.59
1780156800000,97.94,98.2,96.46,97.46,437.6
1780171200000,97.46,97.78,96.05,96.92,363.07
1780185600000,96.92,97.36,95.11,97.1,488.12
1780200000000,97.1,104.09,96.48,101.18,1385.26
1780214400000,101.18,102.6,99.21,100.8,1506.29
1780228800000,100.8,102.5,99.32,100.34,1454.76
1780243200000,100.34,100.79,99.01,99.24,591.16
1780257600000,99.24,102.85,99.05,100.27,466.46
1780272000000,100.27,102.02,98.97,100.0,705.13
1780286400000,100.0,100.42,96.02,97.17,2112.9
1780300800000,97.17,99.23,96.65,98.47,1101.52
1780315200000,98.47,99.1,94.86,96.88,1548.76
1780329600000,96.88,97.9,90.63,91.85,744.44
1780344000000,91.85,93.65,91.68,93.43,419.6
1780358400000,93.43,94.22,90.96,92.06,433.79
1780372800000,92.06,95.22,92.05,93.4,412.29
1780387200000,93.4,94.06,92.03,93.47,373.74
1780401600000,93.47,95.03,93.03,93.06,696.89
1780416000000,93.06,101.05,93.01,96.71,471.66
1780430400000,96.71,97.84,93.31,93.33,405.76
1780444800000,93.33,94.5,91.64,92.67,386.21
1780459200000,92.67,99.17,92.58,97.16,447.47
1780473600000,97.16,97.43,96.03,96.44,306.12
1780488000000,96.44,100.1,94.67,99.2,395.78
1780502400000,99.2,101.7,98.37,98.94,328.29
1780516800000,98.94,99.35,94.08,95.93,561.94
1780531200000,95.93,99.8,95.08,96.8,415.72
1780545600000,96.8,99.39,96.6,97.41,443.26
1780560000000,97.41,98.39,91.35,91.75,895.88
1780574400000,91.75,96.16,70.28,78.22,2306.84
1780588800000,78.22,80.56,60.1,60.44,3690.54
1780603200000,60.44,61.29,58.23,59.68,1844.52
1780617600000,59.68,64.36,58.74,59.68,2013.3
1780632000000,59.68,59.98,53.24,57.39,1903.3
1780646400000,57.39,59.96,56.43,58.51,1961.45
1780660800000,58.51,59.75,53.96,56.01,75979.38
1780675200000,56.01,56.63,51.02,56.29,1197.27
1780689600000,56.29,56.48,55.08,55.48,723.6
1780704000000,55.48,55.62,51.67,52.53,656.51
1780718400000,52.53,54.07,51.99,52.92,539.46
1780732800000,52.92,53.34,51.93,52.66,511.6
1780747200000,52.66,53.85,52.11,52.35,370.46
1780761600000,52.35,53.88,52.35,53.12,394.58
1780776000000,53.12,54.41,53.04,53.89,406.19
1780790400000,53.89,56.88,53.25,54.83,668.3
1780804800000,54.83,56.44,54.52,56.05,380.79
1780819200000,56.05,56.87,54.77,55.01,572.97
1780833600000,55.01,56.41,54.36,54.62,637.56
1780848000000,54.62,56.11,53.96,54.32,505.32
1780862400000,54.32,56.29,54.23,55.74,425.28
1780876800000,55.74,56.83,55.26,56.4,2280.4
1780891200000,56.4,56.42,54.2,55.66,787.98
1780905600000,55.66,57.67,54.61,56.68,1372.44
1780920000000,56.68,61.59,56.13,60.24,11265.57
1780934400000,60.24,60.53,57.64,58.43,671.32
1780948800000,58.43,61.27,58.08,60.26,505.31
1780963200000,60.26,60.39,58.38,59.97,427.98
1780977600000,59.97,61.4,59.69,60.43,688.56
1780992000000,60.43,61.19,59.43,60.69,1158.9
1781006400000,60.69,62.41,57.78,57.9,4278.54
1781020800000,57.9,58.0,54.57,55.08,671.81
1781035200000,55.08,56.22,54.99,55.69,511.8
1781049600000,55.69,56.48,55.31,55.85,309.07
1781064000000,55.85,56.11,53.6,54.37,482.9
1781078400000,54.37,54.53,53.32,53.68,413.58
1781092800000,53.68,56.03,50.69,51.54,4215.78
1781107200000,51.54,52.41,50.21,51.37,755.33
1781121600000,51.37,51.86,50.54,51.21,399.01
1781136000000,51.21,51.98,51.17,51.85,454.93
1781150400000,51.85,51.9,51.22,51.4,321.25
1781164800000,51.4,53.07,51.38,52.31,597.05
1781179200000,52.31,57.01,51.41,55.86,1982.45
1781193600000,55.86,56.94,54.26,56.53,601.77
1781208000000,56.53,57.09,55.85,56.76,453.1
1781222400000,56.76,56.86,55.93,56.42,510.64
1781236800000,56.42,56.99,55.49,56.12,421.65
1781251200000,56.12,57.98,55.76,56.74,456.41
1781265600000,56.74,57.48,54.64,55.15,678.76
1781280000000,55.15,56.0,54.68,55.16,439.79
1781294400000,55.16,55.83,54.64,55.66,271.29
1781308800000,55.66,55.98,54.89,55.52,253.67
1781323200000,55.52,55.92,54.73,55.91,249.04
1781337600000,55.91,56.77,55.5,55.78,251.34
1781352000000,55.78,56.09,55.13,56.03,240.12
1781366400000,56.03,56.03,54.83,55.19,249.77
1781380800000,55.19,55.46,54.8,55.18,228.48
1781395200000,55.18,55.75,55.11,55.38,206.9
1781409600000,55.38,55.46,54.98,55.25,213.44
1781424000000,55.25,55.83,55.05,55.65,248.43
1781438400000,55.65,56.0,54.87,55.14,247.59
1781452800000,55.14,55.21,54.76,55.05,191.4
1781467200000,55.05,57.39,55.04,56.74,246.98
1781481600000,56.74,59.6,56.62,59.35,412.92
1781496000000,59.35,59.35,57.24,57.69,362.67
1781510400000,57.69,58.13,57.23,57.74,331.69
1781524800000,57.74,58.98,55.66,57.93,1169.12
1781539200000,57.93,60.88,57.55,57.96,742.73
1781553600000,57.96,58.23,57.56,57.87,267.17
1781568000000,57.87,57.9,57.11,57.81,408.02
1781582400000,57.81,58.35,57.67,58.14,217.67
1781596800000,58.14,60.16,58.14,58.9,424.62
1781611200000,58.9,59.32,55.79,56.54,925.58
1781625600000,56.54,57.94,54.85,55.64,625.51
1781640000000,55.64,56.31,54.73,54.86,440.84
1781654400000,54.86,56.39,54.61,55.87,428.81
1781668800000,55.87,56.59,55.87,56.28,232.01
1781683200000,56.28,57.33,55.45,55.91,409.14
1781697600000,55.91,64.71,55.59,64.54,1394.15
1781712000000,64.54,65.31,60.88,62.71,1044.13
1781726400000,62.71,64.37,61.92,64.36,458.14
1781740800000,64.36,65.0,62.35,63.56,591.14
1781755200000,63.56,65.99,62.76,63.8,419.69
1781769600000,63.8,65.22,63.05,63.37,458.45
1781784000000,63.37,67.19,62.07,64.92,1628.82
1781798400000,64.92,72.48,64.64,69.8,805.76
1781812800000,69.8,71.46,68.81,69.4,561.24
1781827200000,69.4,70.78,68.75,69.45,545.7
1781841600000,69.45,70.21,69.0,69.84,397.43
1781856000000,69.84,70.87,69.07,69.23,358.08
1781870400000,69.23,72.65,69.22,71.63,1412.9
1781884800000,71.63,71.9,70.58,70.67,685.35
1781899200000,70.67,71.31,70.62,71.15,211.47
1781913600000,71.15,71.25,69.72,69.97,287.09
1781928000000,69.97,70.48,69.54,70.38,214.52
1781942400000,70.38,70.52,66.93,68.85,733.9
1781956800000,68.85,69.4,67.1,68.94,1101.48
1781971200000,68.94,70.41,68.07,70.09,649.34
1781985600000,70.09,70.09,68.0,69.71,622.83
1782000000000,69.71,70.22,68.9,69.88,220.38
1782014400000,69.88,70.61,69.77,70.4,215.75
1782028800000,70.4,70.75,69.86,70.3,247.0
1782043200000,70.3,71.09,69.93,70.96,219.54
1782057600000,70.96,71.05,70.27,70.48,206.63
1782072000000,70.48,70.8,69.93,69.95,219.43
1782086400000,69.95,71.1,69.94,70.59,400.53
1782100800000,70.59,70.6,69.07,69.26,253.82
1782115200000,69.26,70.02,68.17,68.97,212.34
1782129600000,68.97,77.56,67.05,71.2,1555.87
1782144000000,71.2,71.62,67.66,70.24,831.26
1782158400000,70.24,71.2,68.47,70.66,572.16
1782172800000,70.66,70.98,67.85,68.06,462.26
1782187200000,68.06,68.41,65.12,67.2,772.88
1782201600000,67.2,69.17,64.73,68.98,715.75
1782216000000,68.98,80.78,66.39,76.86,2935.57
1782230400000,76.86,79.61,73.83,77.52,1216.05
1782244800000,77.52,78.85,77.16,78.44,542.19
1782259200000,78.44,79.7,77.76,79.65,454.52
1782273600000,79.65,82.81,79.12,79.57,1348.22
1782288000000,79.57,82.65,79.56,80.31,3351.5
1782302400000,80.31,80.6,69.52,72.07,2374.54
1782316800000,72.07,72.13,68.12,71.25,782.25
1782331200000,71.25,74.1,70.05,73.1,874.37
1782345600000,73.1,73.19,71.66,71.87,362.96
1782360000000,71.87,72.76,71.37,71.72,528.68
1782374400000,71.72,74.17,71.7,72.3,592.81
1782388800000,72.3,73.21,64.71,69.49,2555.12
1782403200000,69.49,71.86,69.43,71.7,905.04
1782417600000,71.7,72.18,70.04,71.09,696.33
1782432000000,71.09,71.54,68.82,70.12,613.02
1782446400000,70.12,70.6,69.33,69.94,420.57
1782460800000,69.94,70.85,67.4,69.22,525.87
1782475200000,69.22,79.01,66.88,76.25,1696.86
