time,open,high,low,close,volume
1642435200000,5.188,5.198,5.121,5.172,46424.1
1642449600000,5.171,5.181,5.087,5.167,68951.3
1642464000000,5.166,5.199,5.115,5.13,46581.3
1642478400000,5.129,5.154,5.076,5.131,73170.3
1642492800000,5.13,5.131,5.01,5.067,54918.6
1642507200000,5.064,5.08,4.995,5.019,54087.4
1642521600000,5.016,5.053,5.0,5.039,58155.0
1642536000000,5.04,5.189,5.025,5.162,54740.0
1642550400000,5.161,5.172,5.068,5.084,79542.7
1642564800000,5.085,5.1,4.943,4.948,103762.8
1642579200000,4.956,5.009,4.916,4.978,51144.5
1642593600000,4.978,5.055,4.977,5.008,59169.8
1642608000000,5.008,5.038,4.971,5.011,57875.6
1642622400000,5.007,5.03,4.962,4.962,54677.6
1642636800000,4.964,5.013,4.936,5.01,70766.4
1642651200000,5.009,5.061,4.972,5.059,86457.3
1642665600000,5.06,5.106,5.027,5.072,65532.5
1642680000000,5.071,5.234,5.045,5.226,46640.6
1642694400000,5.23,5.243,5.133,5.142,61896.0
1642708800000,5.141,5.147,4.743,4.782,70284.7
1642723200000,4.78,4.814,4.567,4.609,80328.7
1642737600000,4.607,4.66,4.54,4.607,82504.7
1642752000000,4.607,4.624,4.52,4.539,60315.3
1642766400000,4.54,4.549,4.336,4.525,152836.4
1642780800000,4.527,4.558,4.403,4.403,80938.8
1642795200000,4.404,4.459,4.107,4.252,75179.3
1642809600000,4.25,4.319,4.126,4.173,85069.2
1642824000000,4.173,4.185,3.832,3.905,102202.1
1642838400000,3.903,4.026,3.458,3.81,78921.1
1642852800000,3.807,3.949,3.71,3.717,59905.7
1642867200000,3.722,3.874,3.592,3.635,66961.3
1642881600000,3.641,3.778,3.617,3.692,82175.9
1642896000000,3.691,3.784,3.622,3.66,139511.8
1642910400000,3.661,3.804,3.63,3.781,120031.2
1642924800000,3.779,3.864,3.769,3.811,139134.4
1642939200000,3.811,3.853,3.663,3.721,96472.8
1642953600000,3.724,3.744,3.581,3.599,77740.9
1642968000000,3.59,3.768,3.587,3.751,76185.8
1642982400000,3.75,3.75,3.575,3.591,83567.3
1642996800000,3.594,3.612,3.436,3.446,114445.9
1643011200000,3.449,3.499,3.235,3.253,105289.0
1643025600000,3.251,3.315,3.141,3.301,74455.9
1643040000000,3.301,3.436,3.213,3.378,75922.1
1643054400000,3.378,3.482,3.364,3.396,76135.4
1643068800000,3.396,3.397,3.333,3.38,87897.4
1643083200000,3.38,3.395,3.329,3.395,121650.2
1643097600000,3.393,3.521,3.388,3.484,98117.2
1643112000000,3.483,3.574,3.426,3.496,61441.3
1643126400000,3.494,3.653,3.492,3.604,97771.2
1643140800000,3.604,3.605,3.529,3.576,79536.4
1643155200000,3.577,3.627,3.536,3.623,75351.3
1643169600000,3.62,3.665,3.59,3.612,99873.3
1643184000000,3.614,3.716,3.614,3.716,105433.3
1643198400000,3.717,3.81,3.679,3.739,95542.4
1643212800000,3.737,3.882,3.644,3.728,85669.5
1643227200000,3.727,3.727,3.49,3.547,96752.9
1643241600000,3.55,3.586,3.395,3.412,93990.0
1643256000000,3.413,3.445,3.389,3.426,111302.5
1643270400000,3.427,3.513,3.405,3.509,84331.3
1643284800000,3.512,3.623,3.493,3.569,97145.1
1643299200000,3.571,3.602,3.483,3.497,91186.1
1643313600000,3.502,3.527,3.398,3.519,84183.5
1643328000000,3.52,3.619,3.486,3.608,92353.3
1643342400000,3.609,3.636,3.553,3.554,92662.5
1643356800000,3.555,3.594,3.516,3.54,107595.8
1643371200000,3.544,3.606,3.5,3.597,74869.0
1643385600000,3.599,3.648,3.581,3.628,147178.7
1643400000000,3.626,3.692,3.613,3.669,122421.3
1643414400000,3.668,3.708,3.644,3.678,86825.5
1643428800000,3.681,3.762,3.677,3.758,134548.0
1643443200000,3.758,3.821,3.716,3.808,139971.0
1643457600000,3.806,3.883,3.806,3.821,126751.7
1643472000000,3.825,3.907,3.796,3.9,133269.1
1643486400000,3.9,3.939,3.881,3.924,73321.8
1643500800000,3.928,3.932,3.862,3.885,114462.3
1643515200000,3.885,3.959,3.883,3.938,108164.4
1643529600000,3.939,3.947,3.872,3.913,118896.9
1643544000000,3.913,3.922,3.813,3.849,121573.8
1643558400000,3.856,3.86,3.725,3.734,114346.7
1643572800000,3.734,3.787,3.711,3.746,72373.5
1643587200000,3.746,3.752,3.605,3.64,81272.0
1643601600000,3.64,3.64,3.594,3.627,87991.2
1643616000000,3.629,3.664,3.612,3.654,169278.4
1643630400000,3.654,3.767,3.613,3.759,114081.1
1643644800000,3.761,3.831,3.751,3.804,88146.5
1643659200000,3.805,3.832,3.771,3.819,81885.6
1643673600000,3.818,3.901,3.804,3.895,110729.8
1643688000000,3.896,3.903,3.832,3.875,112690.5
1643702400000,3.874,3.94,3.826,3.875,133284.9
1643716800000,3.875,3.96,3.865,3.899,77093.9
1643731200000,3.898,3.94,3.829,3.829,79752.6
1643745600000,3.829,3.873,3.82,3.844,177820.5
