time,open,high,low,close,volume
1766894400000,22.4,22.4,22.4,22.4,0.0
1766908800000,22.4,22.4,22.4,22.4,0.0
1766923200000,22.4,22.4,22.4,22.4,0.0
1766937600000,22.4,22.4,22.4,22.4,0.0
1766952000000,22.4,22.4,22.4,22.4,0.0
1766966400000,22.4,22.41,22.26,22.31,441.85
1766980800000,22.31,22.41,22.22,22.27,507.74
1766995200000,22.27,22.53,21.89,22.0,4455.53
1767009600000,22.0,22.5,21.56,21.67,8997.01
1767024000000,21.67,22.52,21.59,22.45,3770.42
1767038400000,22.45,22.76,22.13,22.24,1898.13
1767052800000,22.24,22.32,22.23,22.28,749.8
1767067200000,22.28,22.32,22.19,22.2,587.32
1767081600000,22.2,22.72,22.19,22.58,1908.46
1767096000000,22.58,22.86,22.36,22.86,4409.6
1767110400000,22.86,22.96,22.23,22.32,4207.13
1767124800000,22.32,22.7,22.09,22.68,1806.69
1767139200000,22.68,22.73,22.39,22.4,626.31
1767153600000,22.4,22.4,22.27,22.33,436.47
1767168000000,22.33,22.36,22.25,22.31,1365.04
1767182400000,22.31,22.66,22.07,22.47,3046.87
1767196800000,22.47,22.58,22.04,22.07,3555.41
1767211200000,22.07,22.18,21.95,22.16,888.56
1767225600000,22.16,22.16,22.16,22.16,0.0
1767240000000,22.16,22.16,22.16,22.16,0.0
1767254400000,22.16,22.16,22.16,22.16,0.0
1767268800000,22.16,22.16,22.16,22.16,0.0
1767283200000,22.16,22.16,22.16,22.16,0.0
1767297600000,22.16,22.16,22.16,22.16,0.0
1767312000000,22.16,22.59,22.16,22.59,492.34
1767326400000,22.59,22.59,22.51,22.59,541.26
1767340800000,22.59,22.82,22.58,22.73,1033.58
1767355200000,22.73,22.73,21.64,22.47,4433.01
1767369600000,22.47,23.85,22.25,23.72,5765.24
1767384000000,23.72,23.99,23.46,23.6,1090.13
1767398400000,23.6,23.6,23.6,23.6,0.0
1767412800000,23.6,23.6,23.6,23.6,0.0
1767427200000,23.6,23.6,23.6,23.6,0.0
1767441600000,23.6,23.6,23.6,23.6,0.0
1767456000000,23.6,23.6,23.6,23.6,0.0
1767470400000,23.6,23.6,23.6,23.6,0.0
1767484800000,23.6,23.6,23.6,23.6,0.0
1767499200000,23.6,23.6,23.6,23.6,0.0
1767513600000,23.6,23.6,23.6,23.6,0.0
1767528000000,23.6,23.6,23.6,23.6,0.0
1767542400000,23.6,23.6,23.6,23.6,0.0
1767556800000,23.6,23.6,23.6,23.6,0.0
1767571200000,23.6,23.87,23.6,23.69,528.73
1767585600000,23.69,23.8,23.68,23.7,495.79
1767600000000,23.7,23.94,23.65,23.87,1936.8
1767614400000,23.87,25.72,23.57,25.69,4638.18
1767628800000,25.69,25.83,24.92,25.4,5384.49
1767643200000,25.4,25.4,24.88,25.06,2260.36
1767657600000,25.06,25.14,24.92,25.12,698.3
1767672000000,25.12,25.25,25.09,25.09,497.23
1767686400000,25.09,25.09,24.52,24.82,1803.71
1767700800000,24.82,25.65,24.53,24.85,4107.16
1767715200000,24.85,25.04,23.86,24.72,3603.61
1767729600000,24.72,25.5,24.72,25.31,2030.44
1767744000000,25.31,25.43,25.25,25.37,628.25
1767758400000,25.37,25.37,25.18,25.24,673.12
1767772800000,25.24,25.29,24.72,24.93,1677.72
1767787200000,24.93,26.09,24.82,25.99,4604.83
1767801600000,25.99,26.43,25.3,25.7,4968.54
1767816000000,25.7,25.74,25.13,25.22,1438.04
1767830400000,25.22,25.27,24.95,24.96,731.18
1767844800000,24.96,25.05,24.67,24.89,733.52
1767859200000,24.89,25.05,24.76,24.88,1832.48
1767873600000,24.88,26.02,24.55,25.28,4873.67
1767888000000,25.28,26.37,25.13,25.23,6214.24
1767902400000,25.23,25.47,24.95,25.41,1830.61
1767916800000,25.41,25.42,25.22,25.33,403.35
1767931200000,25.33,25.39,25.27,25.31,404.64
1767945600000,25.31,25.9,25.29,25.71,1561.94
1767960000000,25.71,26.68,25.02,25.39,8276.91
1767974400000,25.39,26.13,25.05,25.1,5810.64
1767988800000,25.1,25.36,24.73,24.73,1169.43
1768003200000,24.73,24.73,24.73,24.73,0.0
1768017600000,24.73,24.73,24.73,24.73,0.0
1768032000000,24.73,24.73,24.73,24.73,0.0
1768046400000,24.73,24.73,24.73,24.73,0.0
1768060800000,24.73,24.73,24.73,24.73,0.0
1768075200000,24.73,24.73,24.73,24.73,0.0
1768089600000,24.73,24.73,24.73,24.73,0.0
1768104000000,24.73,24.73,24.73,24.73,0.0
1768118400000,24.73,24.73,24.73,24.73,0.0
1768132800000,24.73,24.73,24.73,24.73,0.0
1768147200000,24.73,24.73,24.73,24.73,0.0
1768161600000,24.73,24.73,24.73,24.73,0.0
1768176000000,24.73,24.73,24.38,24.5,869.24
1768190400000,24.5,24.54,24.36,24.51,687.16
1768204800000,24.51,24.6,24.32,24.44,2262.78
1768219200000,24.44,25.11,23.96,25.05,4662.5
1768233600000,25.05,25.42,24.59,25.35,5150.02
1768248000000,25.35,25.59,25.21,25.52,1351.62
1768262400000,25.52,25.53,25.29,25.33,519.52
1768276800000,25.33,25.43,25.32,25.43,256.13
1768291200000,25.43,25.54,25.4,25.47,463.19
1768305600000,25.47,26.22,24.32,24.91,6866.88
1768320000000,24.91,25.22,24.56,25.18,5281.42
1768334400000,25.18,25.2,24.41,24.66,2030.75
1768348800000,24.66,24.72,24.52,24.59,547.83
1768363200000,24.59,24.61,24.53,24.57,293.87
1768377600000,24.57,24.68,24.25,24.33,1270.71
1768392000000,24.33,24.63,23.8,24.24,4588.36
1768406400000,24.24,25.27,24.11,25.25,5955.03
1768420800000,25.25,25.9,24.87,25.4,3819.04
1768435200000,25.4,25.49,25.35,25.39,695.11
1768449600000,25.39,25.69,25.38,25.62,643.93
1768464000000,25.62,25.96,25.61,25.85,966.07
1768478400000,25.85,26.44,25.17,25.6,5513.98
1768492800000,25.6,26.08,25.26,25.72,4260.01
1768507200000,25.72,25.73,24.51,25.02,2538.59
1768521600000,25.02,25.1,24.98,25.04,514.3
1768536000000,25.04,25.07,25.03,25.06,246.47
1768550400000,25.06,25.17,25.03,25.15,476.88
1768564800000,25.15,25.76,24.6,25.43,3260.69
1768579200000,25.43,26.17,25.3,25.87,5310.42
1768593600000,25.87,25.87,25.52,25.61,1270.27
1768608000000,25.61,25.61,25.61,25.61,0.0
1768622400000,25.61,25.61,25.61,25.61,0.0
1768636800000,25.61,25.61,25.61,25.61,0.0
1768651200000,25.61,25.61,25.61,25.61,0.0
1768665600000,25.61,25.61,25.61,25.61,0.0
1768680000000,25.61,25.61,25.61,25.61,0.0
1768694400000,25.61,25.61,25.61,25.61,0.0
1768708800000,25.61,25.61,25.61,25.61,0.0
1768723200000,25.61,25.61,25.61,25.61,0.0
1768737600000,25.61,25.61,25.61,25.61,0.0
1768752000000,25.61,25.61,25.61,25.61,0.0
1768766400000,25.61,25.61,25.61,25.61,0.0
1768780800000,25.61,25.61,25.61,25.61,0.0
1768795200000,25.61,25.61,25.61,25.61,0.0
1768809600000,25.61,25.61,25.61,25.61,0.0
