time,open,high,low,close,volume
1768478400000,89.76,90.09,87.34,88.08,2022.04
1768492800000,88.08,92.44,86.73,91.44,2886.41
1768507200000,91.44,91.44,90.04,90.76,731.16
1768521600000,90.76,90.76,90.76,90.76,0.0
1768536000000,90.76,90.76,90.76,90.76,0.0
1768550400000,90.76,90.76,90.76,90.76,0.0
1768564800000,90.76,99.39,90.76,99.39,3669.1
1768579200000,99.39,99.48,95.8,98.08,3276.49
1768593600000,98.08,98.28,96.21,96.32,617.22
1768608000000,96.32,96.32,96.32,96.32,0.0
1768622400000,96.32,96.32,96.32,96.32,0.0
1768636800000,96.32,96.32,96.32,96.32,0.0
1768651200000,96.32,96.32,96.32,96.32,0.0
1768665600000,96.32,96.32,96.32,96.32,0.0
1768680000000,96.32,96.32,96.32,96.32,0.0
1768694400000,96.32,96.32,96.32,96.32,0.0
1768708800000,96.32,96.32,96.32,96.32,0.0
1768723200000,96.32,96.32,96.32,96.32,0.0
1768737600000,96.32,96.32,96.32,96.32,0.0
1768752000000,96.32,96.32,96.32,96.32,0.0
1768766400000,96.32,96.32,96.32,96.32,0.0
1768780800000,96.32,96.32,96.32,96.32,0.0
1768795200000,96.32,96.32,96.32,96.32,0.0
1768809600000,96.32,96.32,96.32,96.32,0.0
1768824000000,96.32,96.32,96.32,96.32,0.0
1768838400000,96.32,96.32,96.32,96.32,0.0
1768852800000,96.32,96.32,96.32,96.32,0.0
1768867200000,96.32,96.32,96.32,96.32,0.0
1768881600000,96.32,96.32,96.32,96.32,0.0
1768896000000,96.32,96.32,96.32,96.32,0.0
1768910400000,96.32,98.15,91.77,92.83,2290.95
1768924800000,92.83,93.08,88.63,90.14,3039.7
1768939200000,90.14,90.14,88.36,89.14,638.05
1768953600000,89.14,89.14,89.14,89.14,0.0
1768968000000,89.14,89.14,89.14,89.14,0.0
1768982400000,89.14,89.14,89.14,89.14,0.0
1768996800000,89.14,91.09,86.23,88.71,2502.23
1769011200000,88.71,89.03,82.79,87.76,4743.87
1769025600000,87.76,88.01,86.23,87.86,1091.63
1769040000000,87.86,87.86,87.86,87.86,0.0
1769054400000,87.86,87.86,87.86,87.86,0.0
1769068800000,87.86,87.86,87.86,87.86,0.0
1769083200000,87.86,87.86,81.43,83.91,2859.34
1769097600000,83.91,89.39,82.65,89.29,2969.9
1769112000000,89.29,89.33,87.32,87.98,940.06
1769126400000,87.98,87.98,87.98,87.98,0.0
1769140800000,87.98,87.98,87.98,87.98,0.0
1769155200000,87.98,87.98,87.98,87.98,0.0
1769169600000,87.98,91.86,86.22,91.76,2666.94
1769184000000,91.76,94.37,89.93,90.11,3540.14
1769198400000,90.11,90.15,87.73,88.88,761.03
1769212800000,88.88,88.88,88.88,88.88,0.0
1769227200000,88.88,88.88,88.88,88.88,0.0
1769241600000,88.88,88.88,88.88,88.88,0.0
1769256000000,88.88,88.88,88.88,88.88,0.0
1769270400000,88.88,88.88,88.88,88.88,0.0
1769284800000,88.88,88.88,88.88,88.88,0.0
1769299200000,88.88,88.88,88.88,88.88,0.0
1769313600000,88.88,88.88,88.88,88.88,0.0
1769328000000,88.88,88.88,88.88,88.88,0.0
1769342400000,88.88,88.88,88.88,88.88,0.0
1769356800000,88.88,88.88,88.88,88.88,0.0
1769371200000,88.88,88.88,88.88,88.88,0.0
1769385600000,88.88,88.88,88.88,88.88,0.0
1769400000000,88.88,88.88,88.88,88.88,0.0
1769414400000,88.88,88.88,88.88,88.88,0.0
1769428800000,88.88,88.88,83.55,84.58,2139.21
1769443200000,84.58,84.58,80.66,80.9,2962.16
1769457600000,80.9,80.9,80.06,80.51,641.96
1769472000000,80.51,80.51,80.51,80.51,0.0
1769486400000,80.51,80.51,80.51,80.51,0.0
1769500800000,80.51,80.51,80.51,80.51,0.0
1769515200000,80.51,85.97,80.51,84.68,2200.17
1769529600000,84.68,86.44,83.96,86.33,2480.21
1769544000000,86.33,86.99,85.66,86.99,481.97
1769558400000,86.99,86.99,86.99,86.99,0.0
1769572800000,86.99,86.99,86.99,86.99,0.0
1769587200000,86.99,86.99,86.99,86.99,0.0
1769601600000,86.99,89.29,86.6,87.62,2275.22
1769616000000,87.62,89.78,86.24,88.09,3450.96
1769630400000,88.09,88.9,87.38,88.57,965.81
1769644800000,88.57,88.57,88.57,88.57,0.0
1769659200000,88.57,88.57,88.57,88.57,0.0
1769673600000,88.57,88.57,88.57,88.57,0.0
1769688000000,88.57,88.88,83.1,83.84,2569.0
1769702400000,83.84,87.05,83.31,85.43,3119.44
1769716800000,85.43,85.73,83.23,85.69,695.57
1769731200000,85.69,85.69,85.69,85.69,0.0
1769745600000,85.69,85.69,85.69,85.69,0.0
1769760000000,85.69,85.69,85.69,85.69,0.0
1769774400000,85.69,89.28,81.52,82.54,2576.85
1769788800000,82.54,82.59,78.06,79.56,3790.45
1769803200000,79.56,80.55,78.27,80.06,853.72
1769817600000,80.06,80.06,80.06,80.06,0.0
1769832000000,80.06,80.06,80.06,80.06,0.0
1769846400000,80.06,80.06,80.06,80.06,0.0
1769860800000,80.06,80.06,80.06,80.06,0.0
1769875200000,80.06,80.06,80.06,80.06,0.0
1769889600000,80.06,80.06,80.06,80.06,0.0
1769904000000,80.06,80.06,80.06,80.06,0.0
1769918400000,80.06,80.06,80.06,80.06,0.0
1769932800000,80.06,80.06,80.06,80.06,0.0
1769947200000,80.06,80.06,80.06,80.06,0.0
1769961600000,80.06,80.06,80.06,80.06,0.0
1769976000000,80.06,80.06,80.06,80.06,0.0
1769990400000,80.06,80.06,80.06,80.06,0.0
1770004800000,80.06,80.06,80.06,80.06,0.0
1770019200000,80.06,80.06,80.06,80.06,0.0
1770033600000,80.06,80.5,75.41,76.23,2624.21
1770048000000,76.23,76.76,74.59,74.59,2940.61
1770062400000,74.59,75.08,73.92,74.16,753.38
1770076800000,74.16,74.16,74.16,74.16,0.0
1770091200000,74.16,74.16,74.16,74.16,0.0
1770105600000,74.16,74.16,74.16,74.16,0.0
1770120000000,74.16,79.4,74.16,78.87,2616.45
