time,open,high,low,close,volume
1642435200000,0.52534,0.5258,0.50273,0.51704,6188807.9
1642449600000,0.51702,0.51727,0.48481,0.4978,3784029.2
1642464000000,0.4978,0.5333,0.49773,0.5103,4137641.8
1642478400000,0.51048,0.51515,0.48467,0.49412,5727091.9
1642492800000,0.49396,0.49402,0.47416,0.48261,5720063.5
1642507200000,0.48259,0.48564,0.46143,0.47099,4639828.5
1642521600000,0.47111,0.47689,0.45891,0.47138,3422002.4
1642536000000,0.47145,0.49539,0.46531,0.48223,4269025.3
1642550400000,0.48195,0.51402,0.477,0.49356,3585262.2
1642564800000,0.49412,0.49564,0.45362,0.4537,5893750.9
1642579200000,0.45433,0.47619,0.45433,0.47466,4891916.2
1642593600000,0.47457,0.49358,0.46789,0.47772,5974537.2
1642608000000,0.47743,0.48018,0.46164,0.46317,3998255.2
1642622400000,0.46236,0.46727,0.4538,0.45392,2878361.5
1642636800000,0.45401,0.46372,0.44979,0.45853,3355619.4
1642651200000,0.45896,0.46568,0.45484,0.46381,3419960.1
1642665600000,0.46386,0.46467,0.45242,0.45848,4149908.4
1642680000000,0.45856,0.4802,0.43894,0.47686,11755951.0
1642694400000,0.47719,0.48338,0.46051,0.47437,3659893.5
1642708800000,0.47396,0.47689,0.41081,0.42067,3646766.8
1642723200000,0.42009,0.43354,0.4044,0.41771,5282013.2
1642737600000,0.4172,0.4308,0.41037,0.4249,4027562.9
1642752000000,0.42491,0.43322,0.41261,0.41839,5107488.0
1642766400000,0.41793,0.41961,0.38589,0.39735,10160954.4
1642780800000,0.39781,0.40171,0.38329,0.38626,4964609.1
1642795200000,0.38626,0.38944,0.35406,0.3678,5822384.6
1642809600000,0.36747,0.38648,0.35543,0.3598,4808819.6
1642824000000,0.35954,0.36246,0.30439,0.31058,5236867.5
1642838400000,0.31015,0.32483,0.28012,0.31865,6087684.3
1642852800000,0.31862,0.33972,0.30815,0.31006,5682955.7
1642867200000,0.31054,0.32427,0.30246,0.30872,5272978.8
1642881600000,0.30888,0.32362,0.30422,0.30738,6015116.9
1642896000000,0.30737,0.32713,0.30493,0.31523,4466599.3
1642910400000,0.31532,0.3396,0.3133,0.33394,8946795.7
1642924800000,0.33409,0.3701,0.33265,0.35257,9154026.6
1642939200000,0.35257,0.36734,0.33157,0.33603,9179369.6
1642953600000,0.33639,0.34793,0.32705,0.32937,7489921.4
1642968000000,0.32919,0.35571,0.32682,0.35186,7307451.1
1642982400000,0.35167,0.35187,0.32603,0.33381,5502768.4
1642996800000,0.33367,0.33636,0.30798,0.30977,6213883.9
1643011200000,0.30991,0.3203,0.29191,0.30453,7357736.8
1643025600000,0.30473,0.31079,0.2881,0.30534,6898254.1
1643040000000,0.30548,0.33544,0.2975,0.31768,10020313.2
1643054400000,0.31757,0.34734,0.31692,0.32664,7810018.7
1643068800000,0.32675,0.32939,0.31228,0.31992,5992083.2
1643083200000,0.32013,0.32166,0.30161,0.30852,10124098.9
1643097600000,0.30813,0.32422,0.30768,0.31616,4935839.9
1643112000000,0.31611,0.32431,0.3105,0.31448,7141190.6
1643126400000,0.31466,0.3387,0.31413,0.33322,8707544.9
1643140800000,0.33312,0.33326,0.312,0.31751,8143661.6
1643155200000,0.31751,0.33215,0.31363,0.32872,4509701.3
1643169600000,0.32866,0.33774,0.32031,0.32398,4423909.3
1643184000000,0.32396,0.33591,0.32373,0.33261,5538899.1
1643198400000,0.33252,0.35048,0.32539,0.33695,6681344.1
1643212800000,0.33696,0.36394,0.31518,0.33205,4473129.8
1643227200000,0.33122,0.33141,0.30333,0.31392,5021088.5
1643241600000,0.31397,0.31807,0.29541,0.30077,4300021.1
1643256000000,0.30084,0.30871,0.29813,0.30738,5846165.7
1643270400000,0.30749,0.31666,0.30523,0.31666,4953456.7
1643284800000,0.31666,0.32758,0.31235,0.31465,6292544.9
1643299200000,0.31456,0.31945,0.30388,0.30763,4335768.2
1643313600000,0.30765,0.31301,0.29734,0.31164,8160008.0
1643328000000,0.31161,0.31563,0.30004,0.31346,4315596.2
1643342400000,0.31389,0.31554,0.30621,0.3073,5764984.5
1643356800000,0.30752,0.31064,0.30025,0.30099,4727716.6
1643371200000,0.30113,0.30261,0.29046,0.2979,6586401.9
1643385600000,0.29795,0.31041,0.29696,0.30508,7363863.9
1643400000000,0.30514,0.31442,0.30207,0.31059,7590550.5
1643414400000,0.31074,0.31864,0.3081,0.31781,3576281.9
1643428800000,0.31803,0.32676,0.31622,0.32593,5487450.1
1643443200000,0.32602,0.33356,0.32321,0.33007,6724757.1
1643457600000,0.33,0.34219,0.32327,0.32725,6793946.1
1643472000000,0.32705,0.33176,0.32247,0.33048,5447999.0
1643486400000,0.33076,0.33472,0.32096,0.32483,5531039.4
1643500800000,0.32536,0.32758,0.31903,0.32202,3956927.7
