time,open,high,low,close,volume
1674028800000,36.76,37.0,33.66,35.76,10263.08
1674043200000,35.76,35.77,31.74,32.38,13247.57
1674057600000,32.38,32.66,29.55,30.5,10736.55
1674072000000,30.5,33.0,29.61,31.45,7609.56
1674086400000,31.45,34.3,30.71,33.0,10638.59
1674100800000,33.0,34.41,32.6,33.33,10215.09
1674115200000,33.33,33.33,31.4,31.52,15547.8
1674129600000,31.52,32.42,30.7,31.88,7526.03
1674144000000,31.88,32.45,31.11,32.07,5248.74
1674158400000,32.07,32.49,31.67,32.45,7012.62
1674172800000,32.45,35.02,32.33,34.95,14548.99
1674187200000,34.95,35.63,33.83,34.56,9503.82
1674201600000,34.56,35.27,33.94,34.24,13009.81
1674216000000,34.24,36.92,34.11,35.58,8100.83
1674230400000,35.58,37.58,35.5,36.49,10419.15
1674244800000,36.49,38.02,36.34,37.55,7750.01
1674259200000,37.55,37.99,36.91,36.94,14115.55
1674273600000,36.94,37.12,36.16,36.27,15969.09
1674288000000,36.27,38.08,36.03,36.7,16882.85
1674302400000,36.7,36.92,35.74,36.3,12303.53
1674316800000,36.3,36.7,36.15,36.66,6015.44
1674331200000,36.66,36.75,34.39,34.99,8890.22
1674345600000,34.99,36.06,34.64,34.76,8128.59
1674360000000,34.76,36.07,34.75,35.9,5352.75
1674374400000,35.9,36.34,35.43,35.53,8335.94
1674388800000,35.53,35.93,35.08,35.24,9857.67
1674403200000,35.24,36.35,34.89,35.19,9523.81
1674417600000,35.19,35.21,34.03,34.27,8392.4
1674432000000,34.27,35.76,34.21,34.88,5741.02
1674446400000,34.88,35.14,34.48,34.99,10899.93
1674460800000,34.99,36.1,34.98,35.43,6939.95
1674475200000,35.43,37.22,35.16,36.48,17597.28
1674489600000,36.48,37.02,35.4,35.76,9221.59
1674504000000,35.76,37.28,35.74,36.73,16413.91
1674518400000,36.73,39.78,36.63,39.78,7728.66
1674532800000,39.78,42.36,39.63,40.07,13655.38
1674547200000,40.07,40.27,38.55,38.69,7533.7
1674561600000,38.69,40.99,38.43,39.41,11232.01
1674576000000,39.41,39.94,38.59,39.67,11492.36
1674590400000,39.67,40.36,35.67,36.66,9104.26
1674604800000,36.66,37.5,35.68,37.31,9063.07
1674619200000,37.31,38.35,36.41,37.9,16397.44
1674633600000,37.9,37.98,36.4,36.48,18730.84
1674648000000,36.48,37.73,36.4,37.38,14564.06
1674662400000,37.38,38.07,36.76,37.68,7423.78
1674676800000,37.68,40.46,37.55,40.23,15951.89
1674691200000,40.23,41.04,39.39,39.7,9337.25
1674705600000,39.7,40.94,39.27,39.35,10017.08
1674720000000,39.35,39.66,38.28,38.92,7997.9
1674734400000,38.92,39.85,38.65,38.67,10540.51
1674748800000,38.67,39.29,38.19,39.21,6799.78
1674763200000,39.21,39.27,38.5,38.77,2610.43
1674777600000,38.77,38.94,37.61,38.25,10511.61
1674792000000,38.25,38.89,37.9,38.84,3775.71
1674806400000,38.84,39.47,38.14,38.63,7119.9
1674820800000,38.63,39.68,38.48,39.46,10215.97
1674835200000,39.46,39.45,38.2,39.17,4714.32
1674849600000,39.17,39.71,38.69,39.52,7718.86
1674864000000,39.52,39.71,39.24,39.46,4917.58
1674878400000,39.46,40.46,39.41,39.64,9199.08
1674892800000,39.64,39.69,38.8,38.95,14720.12
1674907200000,38.95,39.02,38.5,38.55,19397.99
1674921600000,38.55,39.01,38.29,38.49,3603.47
1674936000000,38.49,38.5,37.87,37.93,2456.65
1674950400000,37.93,39.49,37.83,39.01,6711.92
1674964800000,39.01,39.56,38.81,39.06,2658.86
1674979200000,39.06,39.2,38.63,38.98,6242.32
1674993600000,38.98,40.54,38.93,40.31,10821.65
1675008000000,40.31,40.48,39.36,39.78,9110.18
1675022400000,39.78,40.4,39.76,40.17,6126.37
1675036800000,40.17,40.41,39.35,39.59,8459.3
1675051200000,39.59,40.03,39.04,39.08,5690.7
1675065600000,39.08,39.3,37.72,37.78,8807.19
1675080000000,37.78,38.4,37.7,38.13,7992.65
1675094400000,38.13,38.31,37.16,37.21,17448.5
1675108800000,37.21,37.7,37.13,37.65,3722.08
1675123200000,37.65,38.09,37.48,37.69,3809.09
1675137600000,37.69,38.35,37.48,38.3,3448.8
1675152000000,38.3,38.51,37.86,37.89,3638.38
1675166400000,37.89,38.26,37.55,38.0,5459.39
1675180800000,38.0,38.9,38.0,38.68,2038.01
1675195200000,38.68,38.84,38.08,38.17,4604.79
1675209600000,38.17,38.34,37.61,37.97,5715.06
1675224000000,37.97,38.4,37.39,37.4,51782.73
1675238400000,37.4,37.83,37.11,37.78,1898.12
1675252800000,37.78,37.79,37.14,37.16,1765.01
1675267200000,37.16,38.32,36.63,38.32,1211.6
1675281600000,38.32,39.96,38.32,39.83,730.21
1675296000000,39.83,41.59,39.81,40.94,909.02
1675310400000,40.94,41.96,40.62,41.38,1996.02
1675324800000,41.38,41.75,41.14,41.59,1506.92
1675339200000,41.59,42.05,40.88,42.03,1226.3
1675353600000,42.03,43.94,42.06,42.48,700.01
1675368000000,42.48,43.02,41.46,41.63,673.47
1675382400000,41.63,42.22,40.64,41.72,1210.04
1675396800000,41.72,41.94,41.12,41.24,1662.2
1675411200000,41.24,41.67,41.02,41.5,1640.64
1675425600000,41.5,41.92,40.57,41.65,1850.19
1675440000000,41.65,42.86,40.9,40.9,1580.09
1675454400000,40.9,41.06,40.3,40.97,1663.74
1675468800000,40.97,41.16,39.87,39.93,2069.24
1675483200000,39.93,40.8,39.77,40.19,1597.94
1675497600000,40.19,40.86,40.19,40.56,1897.87
1675512000000,40.56,41.31,40.42,40.62,1514.3
1675526400000,40.62,41.12,40.32,40.63,1777.08
1675540800000,40.63,41.04,40.28,40.39,1807.47
1675555200000,40.39,40.54,40.04,40.19,1427.73
1675569600000,40.19,40.49,40.03,40.28,1759.78
1675584000000,40.28,40.54,40.0,40.05,1783.2
1675598400000,40.05,40.18,38.54,38.95,1664.76
1675612800000,38.95,39.2,38.66,38.74,1941.57
1675627200000,38.74,39.84,38.33,38.92,1741.3
1675641600000,38.92,39.33,38.87,38.97,1535.05
1675656000000,38.97,39.01,38.71,38.87,1814.55
1675670400000,38.87,39.25,38.68,39.0,1910.31
1675684800000,39.0,40.15,39.01,39.7,1608.52
1675699200000,39.7,43.37,39.75,42.5,2119.35
1675713600000,42.5,42.6,40.48,40.55,1793.29
1675728000000,40.55,42.76,40.54,42.03,1762.67
1675742400000,42.03,42.85,41.46,42.27,1549.35
1675756800000,42.27,44.13,41.88,42.84,1697.94
1675771200000,42.84,44.04,41.81,41.89,1748.1
1675785600000,41.89,42.93,41.32,42.82,1454.16
1675800000000,42.82,43.12,42.18,43.11,1625.73
1675814400000,43.11,43.28,42.06,43.04,1724.23
1675828800000,43.04,43.82,41.35,41.54,1686.69
1675843200000,41.54,41.58,40.65,41.25,1791.36
1675857600000,41.25,41.49,40.32,40.32,1647.7
1675872000000,40.32,40.9,39.78,40.66,1686.45
1675886400000,40.66,41.42,40.44,41.31,1660.92
1675900800000,41.31,48.69,41.26,44.77,2213.3
1675915200000,44.77,47.71,43.53,47.22,1628.65
1675929600000,47.22,48.26,46.07,46.45,1358.45
1675944000000,46.45,46.78,43.02,43.87,1549.94
1675958400000,43.87,47.14,42.56,45.14,1678.58
1675972800000,45.14,52.14,45.09,48.81,2176.45
1675987200000,48.81,56.26,48.54,49.69,1586.31
1676001600000,49.69,55.19,48.84,52.7,2084.54
1676016000000,52.7,52.68,45.7,45.71,1781.07
1676030400000,45.71,50.2,44.72,47.9,1851.19
1676044800000,47.9,50.37,47.08,47.2,1596.93
1676059200000,47.2,47.7,45.15,45.5,1504.66
1676073600000,45.5,45.52,43.8,44.34,1788.28
1676088000000,44.34,45.82,43.98,45.55,1498.26
1676102400000,45.55,45.91,44.91,45.61,1684.87
1676116800000,45.61,47.14,44.66,46.31,1567.76
1676131200000,46.31,46.5,45.36,46.46,1494.58
1676145600000,46.46,46.59,45.49,46.27,1491.19
1676160000000,46.27,46.57,44.96,45.69,1655.83
1676174400000,45.69,45.71,44.12,45.06,1632.35
1676188800000,45.06,45.41,44.66,44.66,1425.08
1676203200000,44.66,44.96,44.38,44.7,1607.98
1676217600000,44.7,48.28,44.57,48.07,1826.37
1676232000000,48.07,48.43,46.34,46.4,1866.65
1676246400000,46.4,46.4,43.99,44.31,1470.38
1676260800000,44.31,44.6,43.86,44.18,1662.2
1676275200000,44.18,44.28,38.85,39.59,1892.61
1676289600000,39.59,40.55,39.5,40.15,1698.81
1676304000000,40.15,40.66,39.15,40.59,2022.13
1676318400000,40.59,41.84,40.51,41.84,1726.11
1676332800000,41.84,42.24,40.58,40.85,1670.18
1676347200000,40.85,41.27,40.57,41.17,1493.35
1676361600000,41.17,41.7,41.0,41.22,1651.38
1676376000000,41.22,43.69,40.79,42.77,2357.95
1676390400000,42.77,43.46,42.19,43.18,1474.49
1676404800000,43.18,43.35,42.65,42.71,1571.26
1676419200000,42.71,43.3,42.3,43.29,1587.22
1676433600000,43.29,43.33,42.84,43.06,1649.09
1676448000000,43.06,45.74,42.91,45.46,1792.27
1676462400000,45.46,45.73,44.12,44.41,1473.29
1676476800000,44.41,45.28,44.36,45.13,1570.85
1676491200000,45.13,48.21,44.99,47.54,1670.5
1676505600000,47.54,47.52,46.07,46.21,1503.23
1676520000000,46.21,46.46,44.95,45.7,1677.18
1676534400000,45.7,48.23,45.67,48.23,1303.39
1676548800000,48.23,49.48,47.3,49.32,1509.8
1676563200000,49.32,49.49,48.0,48.62,1478.38
1676577600000,48.62,49.57,46.5,46.71,1820.75
1676592000000,46.71,49.8,46.21,49.26,1344.17
1676606400000,49.26,50.47,47.68,49.42,1613.51
1676620800000,49.42,52.09,49.37,50.35,1253.6
1676635200000,50.35,57.98,50.26,54.65,1637.55
1676649600000,54.65,54.83,52.53,53.08,1192.75
1676664000000,53.08,53.58,51.44,51.64,1398.11
1676678400000,51.64,51.92,50.78,51.78,1429.77
