time,open,high,low,close,volume
1772438400000,215.91,219.23,215.47,216.53,136.29
1772452800000,216.53,216.53,208.25,210.88,437.75
1772467200000,210.88,212.33,209.84,212.19,194.33
1772481600000,212.19,212.74,211.4,212.1,45.02
1772496000000,212.1,212.1,212.1,212.1,0.0
1772510400000,212.1,212.1,212.1,212.1,0.0
1772524800000,212.1,212.1,212.1,212.1,0.0
1772539200000,212.1,214.37,206.83,207.25,308.4
1772553600000,207.25,209.49,205.71,205.92,239.31
1772568000000,205.92,207.22,205.85,206.79,75.12
1772582400000,206.79,206.79,206.79,206.79,0.0
1772596800000,206.79,206.79,206.79,206.79,0.0
1772611200000,206.79,206.79,206.79,206.79,0.0
1772625600000,206.79,207.25,204.6,207.18,112.5
1772640000000,207.18,209.43,206.39,209.14,191.96
1772654400000,209.14,209.93,208.78,208.98,32.09
1772668800000,208.98,208.98,208.98,208.98,0.0
1772683200000,208.98,208.98,208.98,208.98,0.0
1772697600000,208.98,208.98,208.98,208.98,0.0
1772712000000,208.98,209.68,203.65,203.84,166.47
1772726400000,203.84,203.84,200.15,202.03,218.38
1772740800000,202.03,204.21,201.86,203.83,87.24
1772755200000,203.83,203.83,203.83,203.83,0.0
1772769600000,203.83,203.83,203.83,203.83,0.0
1772784000000,203.83,203.83,203.83,203.83,0.0
1772798400000,203.83,207.67,203.83,206.77,213.02
1772812800000,206.77,209.71,205.71,209.36,235.25
1772827200000,209.36,210.05,208.6,210.05,51.74
1772841600000,210.05,210.05,210.05,210.05,0.0
1772856000000,210.05,210.05,210.05,210.05,0.0
1772870400000,210.05,210.05,210.05,210.05,0.0
1772884800000,210.05,210.05,210.05,210.05,0.0
1772899200000,210.05,210.05,210.05,210.05,0.0
1772913600000,210.05,210.05,210.05,210.05,0.0
1772928000000,210.05,210.05,210.05,210.05,0.0
1772942400000,210.05,210.05,210.05,210.05,0.0
1772956800000,210.05,210.05,210.05,210.05,0.0
1772971200000,210.05,210.05,210.05,210.05,0.0
1772985600000,210.05,210.05,210.05,210.05,0.0
1773000000000,210.05,210.05,210.05,210.05,0.0
1773014400000,210.05,210.05,210.05,210.05,0.0
1773028800000,210.05,210.05,210.05,210.05,0.0
1773043200000,210.05,210.05,210.05,210.05,0.0
1773057600000,210.05,212.63,206.99,208.32,224.07
1773072000000,208.32,210.03,207.53,208.07,270.98
1773086400000,208.07,208.89,208.07,208.89,0.38
1773100800000,208.89,208.89,208.89,208.89,0.0
1773115200000,208.89,208.89,208.89,208.89,0.0
1773129600000,208.89,208.89,208.89,208.89,0.0
1773144000000,208.89,208.89,205.56,207.35,135.72
1773158400000,207.35,208.25,206.73,207.03,166.16
1773172800000,207.03,207.03,207.02,207.02,0.08
1773187200000,207.02,207.02,207.02,207.02,0.0
1773201600000,207.02,207.02,207.02,207.02,0.0
1773216000000,207.02,207.02,207.02,207.02,0.0
1773230400000,207.02,208.15,205.19,207.21,200.22
1773244800000,207.21,209.35,206.9,207.17,116.75
1773259200000,207.17,207.48,207.17,207.48,4.86
1773273600000,207.48,207.48,207.48,207.48,0.0
1773288000000,207.48,207.48,207.48,207.48,0.0
1773302400000,207.48,207.48,207.48,207.48,0.0
1773316800000,207.48,207.48,202.43,205.19,295.85
1773331200000,205.19,206.02,201.98,202.89,195.65
1773345600000,202.89,202.89,202.89,202.89,0.0
1773360000000,202.89,202.89,202.89,202.89,0.0
1773374400000,202.89,202.89,202.89,202.89,0.0
1773388800000,202.89,202.89,202.89,202.89,0.0
1773403200000,202.89,206.08,201.98,205.21,199.52
1773417600000,205.21,205.97,204.26,204.6,152.73
1773432000000,204.6,204.6,204.6,204.6,0.0
1773446400000,204.6,204.6,204.6,204.6,0.0
1773460800000,204.6,204.6,204.6,204.6,0.0
1773475200000,204.6,204.6,204.6,204.6,0.0
1773489600000,204.6,204.6,204.6,204.6,0.0
1773504000000,204.6,204.6,204.6,204.6,0.0
1773518400000,204.6,204.6,204.6,204.6,0.0
1773532800000,204.6,204.6,204.6,204.6,0.0
1773547200000,204.6,204.6,204.6,204.6,0.0
