time,open,high,low,close,volume
1642435200000,5.831,5.916,5.773,5.894,51545.72
1642449600000,5.895,5.919,5.766,5.872,44915.28
1642464000000,5.881,5.959,5.809,5.821,35248.97
1642478400000,5.824,5.909,5.74,5.891,61052.89
1642492800000,5.892,5.895,5.652,5.811,34118.88
1642507200000,5.809,5.826,5.583,5.659,59188.59
1642521600000,5.664,5.747,5.619,5.689,51180.85
1642536000000,5.689,5.879,5.561,5.811,41628.04
1642550400000,5.816,5.824,5.557,5.593,36423.09
1642564800000,5.596,5.652,5.399,5.414,35351.28
1642579200000,5.421,5.51,5.343,5.48,46585.43
1642593600000,5.481,5.571,5.447,5.498,40375.61
1642608000000,5.502,5.52,5.426,5.491,30807.19
1642622400000,5.483,5.493,5.372,5.377,36580.49
1642636800000,5.376,5.419,5.236,5.383,41037.03
1642651200000,5.389,5.479,5.359,5.463,39320.9
1642665600000,5.465,5.699,5.46,5.643,54414.16
1642680000000,5.635,5.875,5.53,5.864,47715.81
1642694400000,5.859,5.894,5.711,5.769,44174.01
1642708800000,5.772,5.784,5.025,5.077,34242.4
1642723200000,5.061,5.122,4.678,4.73,62549.86
1642737600000,4.736,4.996,4.732,4.878,69443.33
1642752000000,4.879,4.971,4.809,4.864,34807.5
1642766400000,4.865,4.878,4.538,4.77,43928.47
1642780800000,4.775,4.939,4.714,4.736,61731.9
1642795200000,4.736,4.775,4.164,4.266,64509.25
1642809600000,4.259,4.345,4.172,4.217,89988.37
1642824000000,4.222,4.246,3.859,3.897,102435.05
1642838400000,3.888,4.018,3.549,3.959,63586.25
1642852800000,3.961,4.16,3.796,3.813,66409.66
1642867200000,3.817,3.94,3.673,3.733,57425.9
1642881600000,3.734,4.023,3.704,3.896,58820.38
1642896000000,3.894,4.019,3.812,3.865,41056.23
1642910400000,3.865,4.094,3.836,4.056,47766.11
1642924800000,4.058,4.234,4.034,4.115,87707.64
1642939200000,4.114,4.174,3.936,3.995,94549.54
1642953600000,3.985,4.041,3.76,3.785,94289.25
1642968000000,3.781,3.936,3.743,3.927,41402.96
1642982400000,3.929,3.929,3.743,3.802,57544.04
1642996800000,3.8,3.815,3.629,3.639,53493.74
1643011200000,3.635,3.727,3.32,3.36,51390.43
1643025600000,3.357,3.49,3.264,3.47,45733.1
1643040000000,3.477,3.738,3.384,3.664,66527.49
1643054400000,3.653,3.813,3.624,3.783,57155.37
1643068800000,3.777,3.864,3.668,3.834,63854.58
1643083200000,3.834,3.865,3.71,3.795,60858.28
1643097600000,3.782,4.118,3.774,3.929,46434.45
1643112000000,3.93,4.001,3.818,3.98,92909.29
1643126400000,3.989,4.244,3.961,4.199,74646.45
1643140800000,4.2,4.327,4.08,4.18,150959.51
1643155200000,4.183,4.194,4.047,4.181,47562.05
1643169600000,4.194,4.228,4.125,4.222,58134.32
1643184000000,4.218,4.356,4.217,4.324,42014.68
1643198400000,4.326,4.435,4.264,4.387,44203.48
1643212800000,4.373,4.592,4.22,4.357,77564.71
1643227200000,4.359,4.359,3.956,4.074,77476.43
1643241600000,4.08,4.126,3.861,3.907,73338.54
1643256000000,3.906,3.992,3.889,3.962,79960.03
1643270400000,3.968,4.043,3.929,4.037,88415.0
1643284800000,4.04,4.121,3.99,4.025,57043.77
1643299200000,4.027,4.082,3.908,3.941,61207.45
1643313600000,3.955,4.007,3.798,3.991,47194.2
1643328000000,3.993,4.114,3.892,4.06,41649.82
1643342400000,4.059,4.079,3.928,3.928,44133.04
1643356800000,3.934,3.955,3.861,3.881,51869.9
1643371200000,3.886,3.92,3.823,3.905,69055.24
1643385600000,3.91,3.976,3.88,3.933,39532.42
1643400000000,3.935,4.082,3.924,4.035,91438.4
1643414400000,4.033,4.183,4.024,4.128,49653.39
1643428800000,4.133,4.213,4.121,4.213,69985.87
1643443200000,4.213,4.226,4.154,4.186,68166.72
1643457600000,4.182,4.24,4.04,4.085,49471.96
1643472000000,4.087,4.216,4.048,4.189,65385.34
1643486400000,4.183,4.331,4.157,4.233,66223.23
1643500800000,4.232,4.272,4.151,4.155,75710.31
1643515200000,4.156,4.251,4.156,4.242,38639.82
1643529600000,4.249,4.259,4.173,4.238,42489.15
1643544000000,4.235,4.246,4.077,4.143,59856.92
1643558400000,4.15,4.155,4.008,4.02,70375.24
1643572800000,4.024,4.069,3.945,4.018,63469.75
1643587200000,4.017,4.029,3.828,3.866,49445.5
1643601600000,3.862,3.88,3.817,3.878,32993.5
1643616000000,3.878,3.913,3.847,3.892,59963.46
1643630400000,3.894,4.015,3.822,3.999,94719.43
1643644800000,4.009,4.147,3.988,4.092,118037.34
1643659200000,4.091,4.148,4.05,4.129,85443.87
1643673600000,4.125,4.196,4.096,4.182,49699.08
1643688000000,4.18,4.197,4.107,4.174,45408.37
1643702400000,4.175,4.252,4.091,4.196,64700.16
1643716800000,4.186,4.261,4.157,4.206,61073.85
1643731200000,4.208,4.275,4.15,4.15,42132.05
1643745600000,4.152,4.229,4.145,4.145,79228.21
1643760000000,4.146,4.176,4.102,4.145,44888.92
1643774400000,4.147,4.186,4.123,4.126,52867.65
1643788800000,4.13,4.163,4.122,4.152,42214.74
1643803200000,4.151,4.272,3.924,3.929,53058.45
1643817600000,3.928,4.009,3.876,3.984,47528.66
1643832000000,3.98,3.995,3.804,3.835,53604.36
1643846400000,3.836,3.874,3.772,3.818,49896.64
1643860800000,3.815,3.856,3.805,3.851,35222.42
1643875200000,3.85,3.985,3.726,3.829,73860.24
1643889600000,3.831,3.846,3.749,3.826,57639.57
1643904000000,3.831,3.851,3.741,3.767,41509.33
1643918400000,3.771,3.859,3.736,3.848,85831.59
1643932800000,3.853,3.861,3.806,3.84,61243.42
1643947200000,3.844,3.941,3.823,3.906,70547.51
1643961600000,3.92,3.994,3.913,3.957,65632.43
1643976000000,3.952,4.101,3.86,4.062,87983.39
1643990400000,4.058,4.208,4.058,4.195,81727.39
1644004800000,4.192,4.296,4.167,4.287,52839.44
1644019200000,4.291,4.424,4.269,4.419,30097.34
1644033600000,4.416,4.584,4.383,4.433,55428.21
1644048000000,4.433,4.638,4.433,4.629,57839.51
1644062400000,4.63,4.79,4.569,4.778,47311.03
1644076800000,4.779,4.784,4.469,4.628,66747.54
1644091200000,4.629,4.846,4.579,4.673,109493.3
1644105600000,4.672,5.06,4.657,4.839,47769.39
1644120000000,4.829,4.999,4.726,4.786,46777.41
1644134400000,4.783,4.943,4.75,4.852,58923.29
1644148800000,4.854,4.972,4.647,4.713,44514.44
1644163200000,4.718,4.81,4.679,4.767,63355.09
1644177600000,4.771,4.901,4.707,4.874,56647.57
1644192000000,4.878,4.995,4.712,4.975,85420.55
1644206400000,4.977,5.019,4.92,4.953,53943.21
1644220800000,4.952,4.962,4.809,4.886,59576.97
1644235200000,4.889,5.217,4.839,5.184,51555.98
1644249600000,5.176,5.211,5.047,5.047,48777.54
1644264000000,5.045,5.082,4.932,5.004,53108.38
1644278400000,5.017,5.035,4.911,4.957,40219.46
1644292800000,4.96,5.11,4.904,4.927,42753.74
1644307200000,4.922,4.942,4.669,4.803,68680.72
1644321600000,4.803,4.812,4.586,4.651,35087.86
