time,open,high,low,close,volume
1737100800000,0.8026,0.8096,0.7954,0.8012,6208.7
1737115200000,0.8012,0.8045,0.7789,0.7805,23893.6
1737129600000,0.7805,0.7909,0.7664,0.7703,14633.9
1737144000000,0.7703,0.7946,0.7664,0.7798,17950.4
1737158400000,0.7798,0.7855,0.7209,0.7213,23930.0
1737172800000,0.7213,0.7218,0.6817,0.693,40484.9
1737187200000,0.693,0.6979,0.6633,0.695,34771.2
1737201600000,0.695,0.7021,0.6763,0.6767,20475.4
1737216000000,0.6767,0.6792,0.6609,0.6763,22042.6
1737230400000,0.6763,0.682,0.6669,0.6801,10884.9
1737244800000,0.6801,0.6861,0.662,0.6793,21061.3
1737259200000,0.6793,0.6794,0.6318,0.6396,26850.0
1737273600000,0.6396,0.6396,0.5517,0.5918,68616.3
1737288000000,0.5918,0.638,0.5825,0.633,43655.1
1737302400000,0.633,0.6494,0.6242,0.6275,22815.6
1737316800000,0.6275,0.6304,0.5495,0.5644,77939.3
1737331200000,0.5644,0.5651,0.5017,0.5501,61956.3
1737345600000,0.5501,0.5938,0.5406,0.5813,33961.3
1737360000000,0.5813,0.5927,0.5727,0.5799,20646.2
1737374400000,0.5799,0.5803,0.5418,0.542,32910.7
1737388800000,0.542,0.5488,0.51,0.5371,56281.8
1737403200000,0.5371,0.5385,0.5113,0.5177,22066.5
1737417600000,0.5177,0.5199,0.5001,0.5197,21799.4
1737432000000,0.5197,0.6333,0.5153,0.5864,71481.9
1737446400000,0.5864,0.6034,0.5581,0.5866,59462.4
1737460800000,0.5866,0.63,0.5725,0.6234,75888.2
1737475200000,0.6234,0.6332,0.6057,0.6085,64549.2
1737489600000,0.6085,0.6135,0.5999,0.6062,27200.5
1737504000000,0.6062,0.6239,0.5999,0.6159,28515.4
1737518400000,0.6159,0.6356,0.6137,0.6232,36474.0
1737532800000,0.6232,0.6561,0.6182,0.6507,41559.7
1737547200000,0.6507,0.6508,0.6068,0.6146,29740.2
1737561600000,0.6146,0.6163,0.6001,0.6062,16334.4
1737576000000,0.6062,0.6094,0.5923,0.5931,21733.9
1737590400000,0.5931,0.6053,0.5842,0.5917,17587.6
1737604800000,0.5917,0.5944,0.5789,0.5877,10890.5
1737619200000,0.5877,0.5879,0.5666,0.5742,14022.7
1737633600000,0.5742,0.5972,0.5636,0.5883,27599.5
1737648000000,0.5883,0.5961,0.5704,0.5731,18703.3
1737662400000,0.5731,0.5917,0.5683,0.5801,20589.7
1737676800000,0.5801,0.5821,0.5513,0.561,25929.3
1737691200000,0.561,0.5726,0.5558,0.5711,20906.6
1737705600000,0.5711,0.5829,0.5686,0.5717,24330.3
1737720000000,0.5717,0.5733,0.5564,0.5584,21437.7
1737734400000,0.5584,0.5607,0.5496,0.5497,12873.8
1737748800000,0.5497,0.5506,0.5272,0.536,19624.2
1737763200000,0.536,0.5469,0.5248,0.5454,16604.6
1737777600000,0.5454,0.5478,0.5327,0.5397,10766.3
1737792000000,0.5397,0.5429,0.5327,0.5408,10162.4
1737806400000,0.5408,0.5461,0.537,0.5413,10323.2
1737820800000,0.5413,0.5431,0.5353,0.5379,13313.7
1737835200000,0.5379,0.5449,0.5369,0.5378,10655.4
1737849600000,0.5378,0.5507,0.5358,0.5485,13292.0
1737864000000,0.5485,0.5553,0.5461,0.5509,7846.0
1737878400000,0.5509,0.5532,0.5369,0.5401,11125.6
1737892800000,0.5401,0.5441,0.5362,0.5406,15888.3
1737907200000,0.5406,0.541,0.5344,0.5363,10574.1
1737921600000,0.5363,0.5383,0.5143,0.5152,11962.7
1737936000000,0.5152,0.5213,0.5006,0.5063,17835.5
1737950400000,0.5063,0.5068,0.4587,0.4714,31191.4
1737964800000,0.4714,0.4845,0.4655,0.4668,31840.5
1737979200000,0.4668,0.4916,0.4655,0.4881,29543.0
1737993600000,0.4881,0.4946,0.4676,0.4738,23763.2
1738008000000,0.4738,0.5009,0.4733,0.4948,22669.0
1738022400000,0.4948,0.4956,0.4841,0.4871,9645.3
1738036800000,0.4871,0.4939,0.4831,0.4887,47249.2
1738051200000,0.4887,0.4933,0.4811,0.4817,10494.7
1738065600000,0.4817,0.4843,0.4668,0.4703,17308.1
1738080000000,0.4703,0.4707,0.4534,0.4596,20309.0
1738094400000,0.4596,0.4611,0.4347,0.44,22179.9
1738108800000,0.44,0.4612,0.4392,0.4588,26543.9
1738123200000,0.4588,0.4725,0.4577,0.4706,13359.9
1738137600000,0.4706,0.4772,0.4643,0.4722,14063.9
1738152000000,0.4722,0.4765,0.4563,0.4581,18997.2
1738166400000,0.4581,0.4776,0.4537,0.4773,22595.9
1738180800000,0.4773,0.4993,0.4716,0.4872,30260.6
1738195200000,0.4872,0.4989,0.4854,0.4984,15079.4
1738209600000,0.4984,0.5087,0.4942,0.5042,14456.8
1738224000000,0.5042,0.5307,0.5029,0.519,29957.6
1738238400000,0.519,0.5309,0.5113,0.5261,20465.7
1738252800000,0.5261,0.5372,0.5216,0.5369,15129.9
1738267200000,0.5369,0.5373,0.5171,0.5185,17355.1
1738281600000,0.5185,0.5315,0.5118,0.5128,24935.7
1738296000000,0.5128,0.5461,0.5025,0.5429,37116.5
1738310400000,0.5429,0.5701,0.5328,0.5679,27475.1
1738324800000,0.5679,0.5801,0.5584,0.5747,35830.8
1738339200000,0.5747,0.6025,0.5688,0.5799,63369.3
1738353600000,0.5799,0.5814,0.5532,0.5643,25456.6
1738368000000,0.5643,0.5702,0.5554,0.5594,10118.5
1738382400000,0.5594,0.5682,0.5479,0.5501,14023.5
1738396800000,0.5501,0.5522,0.522,0.527,23158.8
1738411200000,0.527,0.5375,0.5214,0.5244,16786.3
1738425600000,0.5244,0.5266,0.5039,0.5063,13243.4
1738440000000,0.5063,0.5108,0.4865,0.4911,24429.2
1738454400000,0.4911,0.515,0.4903,0.4911,30245.5
1738468800000,0.4911,0.5114,0.4902,0.5069,19425.9
1738483200000,0.5069,0.5153,0.4912,0.4914,19815.2
1738497600000,0.4914,0.497,0.4816,0.4879,22054.6
1738512000000,0.4879,0.4881,0.4399,0.4625,47753.3
1738526400000,0.4625,0.4816,0.4257,0.4586,52034.6
1738540800000,0.4586,0.4589,0.3179,0.3865,101945.9
1738555200000,0.3865,0.4221,0.3668,0.4207,55242.1
1738569600000,0.4207,0.4308,0.4088,0.4125,40186.6
1738584000000,0.4125,0.4605,0.4029,0.4562,64838.5
1738598400000,0.4562,0.4746,0.4413,0.4739,36986.2
1738612800000,0.4739,0.4807,0.4552,0.4691,30234.3
1738627200000,0.4691,0.4731,0.4468,0.4505,22958.7
1738641600000,0.4505,0.4546,0.413,0.4156,33573.4
1738656000000,0.4156,0.429,0.413,0.4238,21014.0
1738670400000,0.4238,0.4467,0.4236,0.4374,32930.8
1738684800000,0.4374,0.4599,0.4355,0.4372,26691.9
1738699200000,0.4372,0.4386,0.4155,0.4363,29770.2
1738713600000,0.4363,0.4386,0.4294,0.4367,18014.4
1738728000000,0.4367,0.4428,0.4318,0.4369,11734.1
1738742400000,0.4369,0.4422,0.427,0.4381,13968.6
1738756800000,0.4381,0.4594,0.4362,0.4454,35648.8
1738771200000,0.4454,0.4456,0.4249,0.4351,25987.8
1738785600000,0.4351,0.44,0.4288,0.4393,11778.5
1738800000000,0.4393,0.4478,0.4343,0.4437,12419.9
1738814400000,0.4437,0.4601,0.4413,0.4574,19371.3
1738828800000,0.4574,0.4765,0.4503,0.4599,35234.6
1738843200000,0.4599,0.4628,0.4343,0.4363,30882.9
1738857600000,0.4363,0.444,0.4255,0.4263,22886.4
1738872000000,0.4263,0.4329,0.4196,0.4248,15026.7
1738886400000,0.4248,0.4395,0.4227,0.4329,14479.9
1738900800000,0.4329,0.4358,0.4215,0.4261,12098.5
1738915200000,0.4261,0.4377,0.4246,0.4363,13942.0
1738929600000,0.4363,0.4491,0.4318,0.4375,28082.1
1738944000000,0.4375,0.4377,0.4166,0.4167,26317.9
1738958400000,0.4167,0.4171,0.3815,0.3954,29527.8
1738972800000,0.3954,0.4008,0.3898,0.3947,15075.1
1738987200000,0.3947,0.3958,0.3748,0.3879,25473.3
1739001600000,0.3879,0.3885,0.3792,0.3848,14776.4
1739016000000,0.3848,0.3995,0.3811,0.3892,52399.6
1739030400000,0.3892,0.4126,0.3874,0.4108,21265.0
1739044800000,0.4108,0.4182,0.4074,0.4121,13839.9
1739059200000,0.4121,0.4157,0.4032,0.4141,14959.8
1739073600000,0.4141,0.4141,0.4041,0.4095,10421.4
1739088000000,0.4095,0.4179,0.4061,0.414,15207.5
1739102400000,0.414,0.4158,0.4038,0.4145,16060.5
1739116800000,0.4145,0.4174,0.4054,0.4054,12980.5
1739131200000,0.4054,0.4113,0.3934,0.4101,20298.7
1739145600000,0.4101,0.4168,0.3984,0.4096,21180.6
1739160000000,0.4096,0.4127,0.4053,0.4056,14560.5
1739174400000,0.4056,0.4165,0.4051,0.4146,11033.8
1739188800000,0.4146,0.428,0.4144,0.4208,23696.7
1739203200000,0.4208,0.447,0.4186,0.4382,24284.8
1739217600000,0.4382,0.4462,0.4347,0.4364,13401.8
1739232000000,0.4364,0.4527,0.4352,0.4481,12972.4
1739246400000,0.4481,0.4709,0.4466,0.469,19758.4
1739260800000,0.469,0.48,0.4616,0.4661,45823.7
1739275200000,0.4661,0.4683,0.4519,0.4608,19193.7
1739289600000,0.4608,0.4624,0.4407,0.4407,22626.1
1739304000000,0.4407,0.4575,0.4403,0.4534,14422.8
1739318400000,0.4534,0.4742,0.451,0.4682,15725.3
1739332800000,0.4682,0.475,0.465,0.4681,16148.4
1739347200000,0.4681,0.4749,0.4623,0.468,15868.5
1739361600000,0.468,0.5281,0.4565,0.5235,84689.6
1739376000000,0.5235,0.5628,0.5009,0.5414,62936.4
1739390400000,0.5414,0.5571,0.5376,0.5569,39874.3
1739404800000,0.5569,0.5601,0.54,0.543,37032.3
1739419200000,0.543,0.5518,0.5291,0.5352,26383.6
1739433600000,0.5352,0.5881,0.5345,0.5698,37350.6
1739448000000,0.5698,0.5742,0.54,0.5511,45495.0
1739462400000,0.5511,0.5511,0.5322,0.539,25897.1
1739476800000,0.539,0.5439,0.5305,0.5337,17753.2
1739491200000,0.5337,0.5517,0.5292,0.5503,20147.4
1739505600000,0.5503,0.5532,0.5422,0.5443,14579.9
1739520000000,0.5443,0.5489,0.5389,0.544,20527.2
1739534400000,0.544,0.5546,0.5411,0.5446,23809.7
1739548800000,0.5446,0.5593,0.5426,0.5517,17189.5
1739563200000,0.5517,0.5584,0.5456,0.549,12193.2
1739577600000,0.549,0.5615,0.5431,0.5605,14201.9
1739592000000,0.5605,0.562,0.54,0.5404,15703.1
1739606400000,0.5404,0.5435,0.5323,0.5326,10198.6
1739620800000,0.5326,0.5392,0.5259,0.5261,16342.9
1739635200000,0.5261,0.5263,0.5107,0.5127,13197.5
1739649600000,0.5127,0.5171,0.5089,0.5152,9158.7
1739664000000,0.5152,0.5208,0.5118,0.5203,10744.0
1739678400000,0.5203,0.5231,0.5085,0.5089,9230.2
1739692800000,0.5089,0.5242,0.508,0.524,10637.9
1739707200000,0.524,0.5252,0.5138,0.519,8834.0
1739721600000,0.519,0.5351,0.5162,0.5333,17339.5
1739736000000,0.5333,0.5381,0.5235,0.5296,16290.4
1739750400000,0.5296,0.5467,0.5295,0.5466,11507.1
1739764800000,0.5466,0.5511,0.5379,0.5446,15907.7
1739779200000,0.5446,0.5845,0.5431,0.5791,40661.1
1739793600000,0.5791,0.6067,0.5789,0.5869,52782.3
1739808000000,0.5869,0.5975,0.5683,0.5734,36931.5
1739822400000,0.5734,0.625,0.5732,0.6094,41581.9
1739836800000,0.6094,0.629,0.5987,0.6205,30507.9
1739851200000,0.6205,0.626,0.5851,0.5959,47989.5
1739865600000,0.5959,0.5972,0.5771,0.5826,29226.2
1739880000000,0.5826,0.5986,0.5787,0.591,31369.8
1739894400000,0.591,0.5918,0.5663,0.5776,34569.3
1739908800000,0.5776,0.6053,0.5739,0.5972,21825.5
1739923200000,0.5972,0.6251,0.5923,0.625,23316.3
1739937600000,0.625,0.6545,0.6164,0.6487,56101.1
1739952000000,0.6487,0.6881,0.642,0.6823,47690.6
1739966400000,0.6823,0.7246,0.6748,0.7077,126265.6
1739980800000,0.7077,0.7367,0.7051,0.7212,118104.0
1739995200000,0.7212,0.7337,0.71,0.7118,40653.3
1740009600000,0.7118,0.723,0.6963,0.7213,38368.1
1740024000000,0.7213,0.756,0.7156,0.7309,52001.9
1740038400000,0.7309,0.7844,0.7263,0.7723,56927.7
1740052800000,0.7723,0.8026,0.7561,0.7901,57669.7
1740067200000,0.7901,0.8694,0.7882,0.8493,84277.2
1740081600000,0.8493,0.8984,0.8453,0.8666,129434.5
1740096000000,0.8666,0.9877,0.8552,0.9362,156256.5
1740110400000,0.9362,0.9902,0.8557,0.8591,138117.6
1740124800000,0.8591,0.9292,0.8274,0.8949,107261.1
1740139200000,0.8949,0.9233,0.8567,0.8846,75158.0
1740153600000,0.8846,0.9399,0.8363,0.8433,75495.7
1740168000000,0.8433,0.876,0.8404,0.8544,38341.1
1740182400000,0.8544,0.8897,0.8522,0.8567,46689.4
1740196800000,0.8567,0.9157,0.8565,0.8713,39116.0
1740211200000,0.8713,0.8973,0.8629,0.8822,27474.1
1740225600000,0.8822,0.8845,0.7881,0.8116,67454.8
1740240000000,0.8116,0.8474,0.8112,0.827,51639.8
1740254400000,0.827,0.8283,0.799,0.8038,26614.9
1740268800000,0.8038,0.823,0.7974,0.8049,26082.0
1740283200000,0.8049,0.8217,0.7977,0.8215,17381.4
1740297600000,0.8215,0.8216,0.8053,0.8079,15935.2
1740312000000,0.8079,0.858,0.8065,0.8305,46798.2
1740326400000,0.8305,0.8451,0.8174,0.8231,21835.7
1740340800000,0.8231,0.857,0.8218,0.8503,25273.3
1740355200000,0.8503,0.9182,0.8491,0.8702,72808.9
1740369600000,0.8702,0.895,0.8328,0.8879,57286.4
1740384000000,0.8879,0.8898,0.8394,0.864,45068.0
1740398400000,0.864,0.8693,0.7894,0.8078,69570.8
1740412800000,0.8078,0.8474,0.8039,0.8332,36753.7
1740427200000,0.8332,0.8488,0.7918,0.8065,48497.9
1740441600000,0.8065,0.8189,0.7341,0.7358,81245.8
1740456000000,0.7358,0.7529,0.6756,0.7361,103039.3
1740470400000,0.7361,0.7549,0.6977,0.7369,69961.4
1740484800000,0.7369,0.7395,0.6788,0.7147,61096.3
1740499200000,0.7147,0.7511,0.6993,0.751,82074.9
1740513600000,0.751,0.789,0.7455,0.7635,46852.5
1740528000000,0.7635,0.7683,0.7347,0.7544,31950.2
1740542400000,0.7544,0.7644,0.7343,0.7395,22617.3
1740556800000,0.7395,0.7524,0.7298,0.7299,24963.9
1740571200000,0.7299,0.7528,0.6966,0.7317,50121.9
1740585600000,0.7317,0.7325,0.6708,0.6803,63207.6
1740600000000,0.6803,0.7501,0.6688,0.7285,62806.4
1740614400000,0.7285,0.7422,0.7117,0.7202,25185.7
1740628800000,0.7202,0.7291,0.7091,0.724,38892.6
1740643200000,0.724,0.7407,0.7139,0.731,23126.8
1740657600000,0.731,0.7492,0.7063,0.7198,49227.5
1740672000000,0.7198,0.722,0.6879,0.6995,35997.9
1740686400000,0.6995,0.7002,0.6854,0.6962,33973.3
1740700800000,0.6962,0.6982,0.6309,0.6336,63409.7
1740715200000,0.6336,0.64,0.6166,0.6295,56517.0
1740729600000,0.6295,0.6492,0.6216,0.6407,31211.1
1740744000000,0.6407,0.6893,0.6381,0.6815,46541.6
1740758400000,0.6815,0.6862,0.665,0.681,31584.9
1740772800000,0.681,0.6889,0.6693,0.6731,25003.2
1740787200000,0.6731,0.7411,0.6675,0.7333,45796.9
1740801600000,0.7333,0.7609,0.7218,0.7248,40055.5
1740816000000,0.7248,0.7411,0.713,0.7222,27226.7
1740830400000,0.7222,0.7332,0.7117,0.7284,24558.4
1740844800000,0.7284,0.739,0.7252,0.7311,26539.7
1740859200000,0.7311,0.7316,0.7189,0.7243,17388.8
1740873600000,0.7243,0.7265,0.715,0.7195,22181.5
1740888000000,0.7195,0.7366,0.718,0.7323,17971.4
1740902400000,0.7323,0.755,0.7266,0.7492,32038.4
1740916800000,0.7492,0.7519,0.7183,0.7273,43340.5
1740931200000,0.7273,0.7816,0.7182,0.7603,83834.4
1740945600000,0.7603,0.7661,0.7471,0.7479,33531.9
