time,open,high,low,close,volume
1644105600000,4.3418,4.6823,4.3418,4.5207,1537213.53
1644120000000,4.5207,4.5899,4.4523,4.5613,663256.611
1644134400000,4.5595,4.6484,4.5197,4.5534,430271.26
1644148800000,4.5516,4.6422,4.3948,4.5512,1173335.68
1644163200000,4.5498,4.6903,4.5048,4.5545,772955.995
1644177600000,4.5528,4.6776,4.45,4.6383,689886.948
1644192000000,4.6393,4.7604,4.5509,4.6759,942088.01
1644206400000,4.6759,4.7414,4.6212,4.6912,524316.966
1644220800000,4.6932,4.7055,4.5423,4.602,452087.539
1644235200000,4.6043,4.7125,4.5453,4.7039,551185.13
1644249600000,4.7031,4.8523,4.6748,4.7806,987630.55
1644264000000,4.782,4.8067,4.6503,4.6718,459843.016
1644278400000,4.672,4.7087,4.5751,4.657,526863.746
1644292800000,4.6532,4.7293,4.5429,4.5566,685536.92
1644307200000,4.5585,4.5757,4.3581,4.5083,1112006.69
1644321600000,4.5054,4.5054,4.3111,4.3921,972107.7
1644336000000,4.3907,4.4898,4.3163,4.4199,1040222.375
1644350400000,4.422,4.823,4.408,4.8085,1242387.52
1644364800000,4.8087,4.8643,4.5865,4.6053,841153.205
1644379200000,4.6066,4.6438,4.5244,4.6263,403058.668
1644393600000,4.6251,4.7232,4.5483,4.6909,486438.625
1644408000000,4.6897,4.801,4.6753,4.7214,671309.934
1644422400000,4.7232,4.7827,4.6695,4.7608,435305.107
1644436800000,4.7611,4.7893,4.6875,4.7125,317307.424
1644451200000,4.7119,4.7195,4.575,4.6226,464217.4
1644465600000,4.6215,4.6477,4.5424,4.6457,352324.797
1644480000000,4.6445,4.7642,4.6306,4.7163,541257.156
1644494400000,4.7138,4.7498,4.4028,4.612,1575185.65
1644508800000,4.6095,4.7138,4.4748,4.4805,1077472.52
1644523200000,4.4847,4.5211,4.3649,4.3942,587947.46
1644537600000,4.3951,4.5094,4.3317,4.4955,630677.2
1644552000000,4.4982,4.5072,4.43,4.4709,190075.261
1644566400000,4.4706,4.5172,4.4261,4.4586,205901.482
1644580800000,4.4575,4.5435,4.4472,4.4808,476454.037
1644595200000,4.4762,4.4906,4.2111,4.2505,634162.43
1644609600000,4.2525,4.261,4.0476,4.2023,814497.88
1644624000000,4.2023,4.3731,4.1429,4.2622,569153.506
1644638400000,4.2651,4.3286,4.1376,4.254,613103.67
1644652800000,4.255,4.3166,4.1799,4.2664,314827.173
1644667200000,4.2662,4.272,4.1046,4.1675,268171.301
1644681600000,4.1663,4.3518,4.1439,4.3069,388814.667
1644696000000,4.3086,4.3885,4.1609,4.2166,392627.021
1644710400000,4.2168,4.3279,4.1959,4.2286,493889.151
1644724800000,4.2295,4.244,4.1794,4.2312,306610.06
1644739200000,4.2295,4.2439,4.1768,4.2157,282658.939
1644753600000,4.2149,4.237,4.1687,4.1892,335043.465
1644768000000,4.1923,4.1968,3.9569,4.0033,693662.14
1644782400000,4.005,4.1176,3.9866,4.0611,228918.657
1644796800000,4.0639,4.0924,3.8819,3.9508,544505.56
1644811200000,3.9507,3.9816,3.8834,3.9809,180346.404
1644825600000,3.9812,4.0006,3.8958,3.92,348587.35
1644840000000,3.9266,4.0804,3.8732,4.0086,614640.22
1644854400000,4.0092,4.0754,3.8859,3.9114,470041.93
1644868800000,3.9169,4.0364,3.8854,4.0182,332424.693
1644883200000,4.0174,4.1833,3.9929,4.1265,698560.155
1644897600000,4.1316,4.1826,4.0926,4.1744,420817.236
1644912000000,4.1774,4.2857,4.1697,4.2292,2133248.62
1644926400000,4.2289,4.2464,4.176,4.2035,405970.74
1644940800000,4.2031,4.324,4.1811,4.2669,527505.915
1644955200000,4.2669,4.4195,4.2239,4.4179,392528.219
1644969600000,4.4163,4.4515,4.2959,4.3187,539100.739
1644984000000,4.3153,4.3485,4.2352,4.3368,495584.291
1644998400000,4.3383,4.3494,4.2302,4.2693,352782.195
1645012800000,4.2681,4.2738,4.0928,4.1164,710882.86
1645027200000,4.116,4.2708,4.0581,4.2691,606561.13
1645041600000,4.2709,4.3028,4.1597,4.1755,381060.79
1645056000000,4.1716,4.2487,4.0766,4.0816,354227.556
1645070400000,4.0799,4.1308,4.0067,4.124,350054.383
1645084800000,4.1239,4.1295,3.9837,4.03,326018.389
1645099200000,4.0299,4.0554,3.907,3.9553,545893.54
1645113600000,3.9533,3.9868,3.7435,3.8336,699221.71
1645128000000,3.8297,3.8297,3.6977,3.7383,473887.196
1645142400000,3.7386,3.8373,3.7048,3.791,362462.636
1645156800000,3.7907,3.8387,3.7678,3.8066,202549.597
1645171200000,3.8063,3.8339,3.6732,3.6798,352961.18
1645185600000,3.6811,3.731,3.5703,3.6201,537148.578
1645200000000,3.6194,3.6667,3.5703,3.6291,472310.028
1645214400000,3.6293,3.6359,3.5612,3.6054,222056.216
1645228800000,3.6003,3.6486,3.5693,3.5727,207241.01
1645243200000,3.5726,3.6335,3.5693,3.6147,138132.151
1645257600000,3.6153,3.6471,3.4331,3.4612,709056.62
1645272000000,3.46,3.5023,3.4061,3.4935,344778.379
1645286400000,3.4891,3.5587,3.433,3.4412,310816.826
1645300800000,3.4408,3.5036,3.4205,3.5019,173292.266
1645315200000,3.5007,3.5007,3.3664,3.3786,298475.534
1645329600000,3.3786,3.3892,3.2346,3.2945,761307.87
1645344000000,3.2939,3.3023,3.2192,3.2706,511162.886
