time,open,high,low,close,volume
1692100800000,0.1619,0.1968,0.1575,0.1901,39644823.3
1692115200000,0.1901,0.1902,0.1675,0.1728,13371488.9
1692129600000,0.1728,0.1788,0.1656,0.1788,5607764.5
1692144000000,0.1788,0.2502,0.171,0.2418,34712920.1
1692158400000,0.2416,0.2601,0.2053,0.2306,36915173.3
1692172800000,0.2307,0.2813,0.2305,0.252,41384028.2
1692187200000,0.252,0.2542,0.1968,0.2032,37783589.2
1692201600000,0.2034,0.2079,0.1827,0.1913,23047869.8
1692216000000,0.1913,0.2174,0.1851,0.2147,21769546.1
1692230400000,0.2146,0.2151,0.1892,0.1942,21095479.0
1692244800000,0.1942,0.2017,0.1871,0.1924,11514417.9
1692259200000,0.1927,0.1927,0.1772,0.1795,13185111.0
1692273600000,0.1796,0.1857,0.1712,0.1803,14258157.6
1692288000000,0.1804,0.1828,0.1712,0.1812,8086943.4
1692302400000,0.1812,0.1841,0.1555,0.1716,12371215.4
1692316800000,0.1716,0.1766,0.1484,0.1551,18773869.7
1692331200000,0.1551,0.1711,0.1507,0.1621,17243816.2
1692345600000,0.1624,0.1651,0.1566,0.1608,9034939.3
1692360000000,0.1607,0.1611,0.1548,0.1567,5711428.0
1692374400000,0.1567,0.1605,0.152,0.1587,4195261.3
1692388800000,0.1587,0.1685,0.1581,0.1671,4093464.5
1692403200000,0.1671,0.1707,0.1593,0.1625,4787136.1
1692417600000,0.1625,0.1646,0.1573,0.1599,4297179.8
1692432000000,0.1599,0.1617,0.1577,0.1595,3607245.5
1692446400000,0.1596,0.1607,0.1542,0.159,5208691.4
1692460800000,0.159,0.1606,0.1558,0.1593,3969126.2
1692475200000,0.1593,0.161,0.1571,0.1599,2102390.6
1692489600000,0.1599,0.1613,0.1558,0.1571,2329013.4
1692504000000,0.1571,0.1577,0.1514,0.1537,4955551.6
1692518400000,0.1537,0.1554,0.1521,0.1533,3965826.1
1692532800000,0.1533,0.1553,0.1466,0.15,5973566.2
1692547200000,0.15,0.1509,0.1476,0.1504,2669212.8
1692561600000,0.1504,0.1533,0.1505,0.1518,2235784.0
1692576000000,0.1517,0.1555,0.1486,0.1494,2672904.4
1692590400000,0.1494,0.1496,0.1458,0.1458,3268877.8
1692604800000,0.1459,0.147,0.1432,0.1462,2935102.2
1692619200000,0.1462,0.1482,0.142,0.1428,2473599.7
1692633600000,0.1428,0.1464,0.1425,0.145,1968679.7
1692648000000,0.145,0.1499,0.145,0.1488,1883916.1
1692662400000,0.1488,0.1556,0.1458,0.1494,6380728.7
1692676800000,0.1494,0.1509,0.1462,0.1497,3538800.9
1692691200000,0.1497,0.1521,0.148,0.1482,3695635.1
1692705600000,0.1481,0.1503,0.1441,0.1455,3891107.0
1692720000000,0.1455,0.151,0.1438,0.1483,3829423.2
1692734400000,0.1483,0.1555,0.1464,0.1542,5288481.8
1692748800000,0.1542,0.1559,0.1504,0.1505,5122735.3
1692763200000,0.1504,0.1514,0.149,0.1491,2519098.7
1692777600000,0.1491,0.15,0.1477,0.1486,2635709.7
1692792000000,0.1486,0.1506,0.1463,0.1499,3598494.9
1692806400000,0.1499,0.1559,0.1498,0.1528,4210422.1
1692820800000,0.1528,0.1539,0.1508,0.1525,1753642.5
1692835200000,0.1525,0.1526,0.149,0.1501,1848346.9
1692849600000,0.1501,0.1518,0.1495,0.1509,1217968.7
1692864000000,0.1509,0.1516,0.1494,0.1502,1355163.2
1692878400000,0.1502,0.1502,0.1468,0.1472,2006170.9
1692892800000,0.1472,0.1488,0.1458,0.1466,1612175.0
1692907200000,0.1466,0.1483,0.1458,0.1479,2092877.5
1692921600000,0.1479,0.1483,0.1422,0.1425,3086925.6
1692936000000,0.1425,0.1426,0.1365,0.1368,3848729.1
1692950400000,0.1369,0.1398,0.1367,0.139,1696574.7
1692964800000,0.1391,0.1396,0.1369,0.1385,1934616.1
1692979200000,0.1388,0.1396,0.1374,0.1388,1171777.5
1692993600000,0.1388,0.1394,0.138,0.1392,571400.3
1693008000000,0.1392,0.1393,0.1369,0.1389,878236.7
1693022400000,0.1389,0.139,0.1369,0.1372,778160.1
1693036800000,0.1373,0.1373,0.1299,0.1337,3853789.6
1693051200000,0.1337,0.1347,0.1329,0.1337,1112793.7
1693065600000,0.1337,0.1338,0.132,0.1335,861253.0
1693080000000,0.1335,0.1336,0.132,0.1326,1588257.1
1693094400000,0.1326,0.1327,0.128,0.129,2385024.3
1693108800000,0.129,0.1292,0.1282,0.1289,1518637.3
1693123200000,0.1289,0.131,0.128,0.13,2280117.6
1693137600000,0.13,0.1354,0.1299,0.1328,2323998.3
1693152000000,0.1328,0.133,0.1303,0.1312,936133.6
1693166400000,0.1312,0.1333,0.1309,0.1318,742406.7
1693180800000,0.1318,0.1321,0.1264,0.1284,2735372.3
1693195200000,0.1284,0.1293,0.1263,0.1265,1948265.9
1693209600000,0.1265,0.1278,0.1256,0.1277,1266358.5
1693224000000,0.1277,0.1301,0.1273,0.1278,1291489.5
1693238400000,0.1278,0.129,0.1275,0.1283,1250479.7
1693252800000,0.1283,0.1295,0.1275,0.1286,729406.4
