time,open,high,low,close,volume
1785715200000,48.37,48.44,48.34,48.44,18.96
1785729600000,48.44,48.77,48.32,48.48,210.26
1785744000000,48.48,49.33,46.83,47.08,455.79
1785758400000,47.08,52.16,43.78,51.84,929.71
1785772800000,51.84,53.19,49.68,52.42,575.07
1785787200000,52.42,52.96,52.03,52.96,274.33
1785801600000,52.96,53.4,51.48,52.53,316.48
1785816000000,52.53,54.35,52.36,53.86,351.27
1785830400000,53.86,58.04,53.79,56.49,614.61
1785844800000,56.49,57.13,51.71,56.89,768.66
1785859200000,56.89,58.14,55.34,55.52,412.77
1785873600000,55.52,55.87,54.58,55.63,268.48
1785888000000,55.63,57.46,55.5,57.13,203.31
1785902400000,57.13,57.97,57.03,57.3,217.42
1785916800000,57.3,57.3,55.4,55.45,239.98
1785931200000,55.45,58.45,53.33,57.51,565.95
1785945600000,57.51,58.08,56.44,57.08,354.25
1785960000000,57.08,57.56,56.58,57.01,284.07
1785974400000,57.01,58.19,56.83,57.26,298.68
1785988800000,57.26,58.06,57.11,57.74,217.44
1786003200000,57.74,57.74,53.69,55.5,471.8
1786017600000,55.5,57.54,52.11,55.16,554.11
1786032000000,55.16,55.17,51.96,52.23,399.61
1786046400000,52.23,53.17,52.19,52.74,234.39
1786060800000,52.74,53.61,52.42,53.41,247.93
1786075200000,53.41,53.85,53.0,53.81,175.14
1786089600000,53.81,55.38,53.79,54.95,270.99
1786104000000,54.95,55.99,48.1,49.61,639.59
1786118400000,49.61,50.48,48.31,49.91,450.45
1786132800000,49.91,50.51,49.75,50.16,233.49
1786147200000,50.16,50.36,49.84,49.89,144.24
1786161600000,49.89,50.2,49.64,50.15,219.42
1786176000000,50.15,50.49,49.8,49.89,226.47
1786190400000,49.89,49.94,49.48,49.57,135.52
1786204800000,49.57,49.82,49.5,49.8,124.84
1786219200000,49.8,50.61,49.75,49.88,182.38
1786233600000,49.88,50.01,49.64,49.7,138.85
1786248000000,49.7,50.43,49.65,50.09,136.33
1786262400000,50.09,51.06,49.58,49.84,229.57
1786276800000,49.84,49.84,49.62,49.68,144.17
1786291200000,49.68,49.83,49.63,49.76,119.93
1786305600000,49.76,49.81,49.65,49.73,116.67
1786320000000,49.73,50.21,49.48,50.1,156.66
1786334400000,50.1,50.22,49.94,50.15,180.06
1786348800000,50.15,50.37,49.67,49.84,246.8
1786363200000,49.84,54.04,49.0,52.75,608.34
1786377600000,52.75,53.38,51.92,52.74,365.08
1786392000000,52.74,53.43,52.07,53.13,211.57
1786406400000,53.13,53.85,53.08,53.83,154.42
1786420800000,53.83,54.05,52.65,53.3,187.13
1786435200000,53.3,54.12,52.28,54.05,311.15
1786449600000,54.05,55.23,53.24,54.95,483.61
1786464000000,54.95,57.38,54.56,56.65,456.68
1786478400000,56.65,58.73,55.48,56.96,387.8
1786492800000,56.96,56.99,56.29,56.76,176.73
1786507200000,56.76,58.88,56.71,57.73,328.49
1786521600000,57.73,60.11,57.72,59.88,230.89
1786536000000,59.88,67.45,59.79,66.39,755.79
1786550400000,66.39,69.58,65.62,68.48,634.51
1786564800000,68.48,68.83,67.28,68.68,301.05
1786579200000,68.68,68.91,67.38,67.58,303.62
1786593600000,67.58,67.81,66.16,66.43,318.77
1786608000000,66.43,68.68,65.08,68.5,581.06
1786622400000,68.5,73.85,66.84,72.4,570.86
1786636800000,72.4,73.85,71.48,72.07,306.15
1786651200000,72.07,72.35,70.48,71.76,255.05
1786665600000,71.76,72.29,70.77,71.8,303.85
1786680000000,71.8,72.75,71.21,72.13,244.16
1786694400000,72.13,72.53,71.44,72.07,223.71
1786708800000,72.07,74.02,69.78,70.61,407.43
1786723200000,70.61,76.69,70.59,76.49,1601.37
1786737600000,76.49,76.84,74.67,75.72,600.23
