time,open,high,low,close,volume
1644062400000,2.336e-05,2.345e-05,2.294e-05,2.329e-05,89242051000.0
1644076800000,2.329e-05,2.334e-05,2.208e-05,2.258e-05,158707199000.0
1644091200000,2.258e-05,2.286e-05,2.232e-05,2.251e-05,63851000000.0
1644105600000,2.251e-05,2.302e-05,2.251e-05,2.281e-05,44554869000.0
1644120000000,2.281e-05,2.286e-05,2.229e-05,2.268e-05,64462824000.0
1644134400000,2.268e-05,2.286e-05,2.252e-05,2.271e-05,49965936000.0
1644148800000,2.27e-05,2.328e-05,2.225e-05,2.265e-05,123986213000.0
1644163200000,2.266e-05,2.718e-05,2.257e-05,2.6e-05,347513043000.0
1644177600000,2.6e-05,2.875e-05,2.522e-05,2.846e-05,877701010000.0
1644192000000,2.848e-05,2.957e-05,2.733e-05,2.88e-05,397824974000.0
1644206400000,2.882e-05,2.889e-05,2.745e-05,2.806e-05,269954414000.0
1644220800000,2.807e-05,2.812e-05,2.707e-05,2.805e-05,168906680000.0
1644235200000,2.805e-05,3.228e-05,2.75e-05,3.203e-05,641217691000.0
1644249600000,3.203e-05,3.517e-05,3.18e-05,3.284e-05,860118610000.0
1644264000000,3.283e-05,3.381e-05,3.111e-05,3.255e-05,469170050000.0
1644278400000,3.256e-05,3.415e-05,3.151e-05,3.409e-05,503252076000.0
1644292800000,3.404e-05,3.504e-05,3.321e-05,3.404e-05,437111471000.0
1644307200000,3.405e-05,3.433e-05,3.188e-05,3.315e-05,321225153000.0
1644321600000,3.317e-05,3.317e-05,3.017e-05,3.05e-05,410833635000.0
1644336000000,3.049e-05,3.072e-05,2.944e-05,3.024e-05,344582744000.0
1644350400000,3.026e-05,3.213e-05,3.015e-05,3.096e-05,320641040000.0
1644364800000,3.097e-05,3.211e-05,3.044e-05,3.112e-05,297527592000.0
1644379200000,3.112e-05,3.237e-05,3.061e-05,3.135e-05,287201606000.0
1644393600000,3.134e-05,3.201e-05,3.082e-05,3.176e-05,233643316000.0
1644408000000,3.176e-05,3.386e-05,3.162e-05,3.346e-05,384678086000.0
1644422400000,3.345e-05,3.408e-05,3.296e-05,3.327e-05,351957401000.0
1644436800000,3.326e-05,3.355e-05,3.241e-05,3.293e-05,183104372000.0
1644451200000,3.293e-05,3.298e-05,3.208e-05,3.25e-05,129618506000.0
1644465600000,3.25e-05,3.288e-05,3.216e-05,3.281e-05,126229383000.0
1644480000000,3.281e-05,3.369e-05,3.248e-05,3.317e-05,164606552000.0
1644494400000,3.318e-05,3.341e-05,3.057e-05,3.229e-05,427063134000.0
1644508800000,3.229e-05,3.253e-05,3.122e-05,3.127e-05,176921944000.0
1644523200000,3.128e-05,3.154e-05,3.06e-05,3.08e-05,147209040000.0
1644537600000,3.083e-05,3.102e-05,2.991e-05,3.06e-05,255412204000.0
1644552000000,3.059e-05,3.141e-05,3.018e-05,3.141e-05,104243827000.0
1644566400000,3.14e-05,3.141e-05,3.058e-05,3.088e-05,110270701000.0
1644580800000,3.088e-05,3.237e-05,3.066e-05,3.17e-05,197475744000.0
1644595200000,3.17e-05,3.187e-05,3.013e-05,3.046e-05,305062746000.0
1644609600000,3.046e-05,3.063e-05,2.786e-05,2.868e-05,296465512000.0
1644624000000,2.869e-05,2.934e-05,2.832e-05,2.89e-05,107075267000.0
1644638400000,2.89e-05,2.921e-05,2.75e-05,2.821e-05,174326389000.0
1644652800000,2.821e-05,2.901e-05,2.782e-05,2.86e-05,188233462000.0
1644667200000,2.86e-05,2.874e-05,2.795e-05,2.867e-05,174219045000.0
1644681600000,2.867e-05,2.98e-05,2.849e-05,2.919e-05,257793208000.0
1644696000000,2.919e-05,2.953e-05,2.823e-05,2.912e-05,177692784000.0
1644710400000,2.912e-05,2.953e-05,2.868e-05,2.877e-05,91183105000.0
1644724800000,2.878e-05,2.928e-05,2.839e-05,2.915e-05,100005272000.0
1644739200000,2.915e-05,2.979e-05,2.896e-05,2.939e-05,140697490000.0
1644753600000,2.94e-05,3.221e-05,2.924e-05,3.175e-05,336536706000.0
1644768000000,3.174e-05,3.179e-05,2.98e-05,3.022e-05,306900230000.0
1644782400000,3.021e-05,3.082e-05,2.984e-05,3.014e-05,147125753000.0
1644796800000,3.014e-05,3.081e-05,2.873e-05,2.929e-05,220460280000.0
1644811200000,2.93e-05,2.966e-05,2.864e-05,2.957e-05,134212001000.0
1644825600000,2.958e-05,3.035e-05,2.907e-05,2.996e-05,161524516000.0
1644840000000,2.995e-05,3.086e-05,2.972e-05,3.015e-05,141767486000.0
1644854400000,3.014e-05,3.043e-05,2.894e-05,2.926e-05,136410513000.0
1644868800000,2.926e-05,2.982e-05,2.911e-05,2.957e-05,74046804000.0
1644883200000,2.958e-05,3.078e-05,2.955e-05,3.053e-05,154149105000.0
1644897600000,3.053e-05,3.144e-05,3.008e-05,3.108e-05,124099719000.0
1644912000000,3.109e-05,3.184e-05,3.088e-05,3.13e-05,172995238000.0
1644926400000,3.13e-05,3.149e-05,3.084e-05,3.107e-05,131960228000.0
1644940800000,3.107e-05,3.11e-05,3.04e-05,3.056e-05,184955938000.0
1644955200000,3.056e-05,3.139e-05,3.054e-05,3.124e-05,102905053000.0
1644969600000,3.124e-05,3.126e-05,3.047e-05,3.068e-05,103433537000.0
1644984000000,3.068e-05,3.095e-05,2.993e-05,3.083e-05,166282398000.0
1644998400000,3.083e-05,3.124e-05,3.054e-05,3.086e-05,139961249000.0
1645012800000,3.086e-05,3.107e-05,3.016e-05,3.041e-05,124587762000.0
1645027200000,3.041e-05,3.098e-05,2.996e-05,3.09e-05,158868678000.0
1645041600000,3.09e-05,3.159e-05,3.054e-05,3.092e-05,106753340000.0
1645056000000,3.091e-05,3.135e-05,3.065e-05,3.068e-05,102344482000.0
1645070400000,3.068e-05,3.251e-05,3.038e-05,3.22e-05,210545428000.0
1645084800000,3.22e-05,3.238e-05,3.078e-05,3.116e-05,207165888000.0
1645099200000,3.116e-05,3.13e-05,2.959e-05,2.998e-05,202135309000.0
1645113600000,2.998e-05,3.031e-05,2.847e-05,2.914e-05,209677879000.0
1645128000000,2.914e-05,2.914e-05,2.772e-05,2.821e-05,135374556000.0
1645142400000,2.819e-05,2.914e-05,2.784e-05,2.913e-05,101677564000.0
1645156800000,2.913e-05,2.993e-05,2.894e-05,2.947e-05,133144634000.0
1645171200000,2.947e-05,2.986e-05,2.852e-05,2.874e-05,122605703000.0
1645185600000,2.875e-05,2.922e-05,2.806e-05,2.834e-05,171421708000.0
1645200000000,2.834e-05,2.875e-05,2.783e-05,2.843e-05,207746612000.0
1645214400000,2.844e-05,2.85e-05,2.793e-05,2.811e-05,73664577600.0
1645228800000,2.811e-05,2.883e-05,2.804e-05,2.835e-05,79896526000.0
1645243200000,2.835e-05,2.895e-05,2.824e-05,2.868e-05,67415112000.0
1645257600000,2.868e-05,2.88e-05,2.739e-05,2.768e-05,170124250000.0
1645272000000,2.769e-05,2.779e-05,2.695e-05,2.762e-05,123165880000.0
1645286400000,2.762e-05,2.821e-05,2.734e-05,2.741e-05,155638265000.0
1645300800000,2.741e-05,2.756e-05,2.71e-05,2.748e-05,56896163000.0
1645315200000,2.748e-05,2.759e-05,2.614e-05,2.638e-05,98525978000.0
1645329600000,2.639e-05,2.646e-05,2.518e-05,2.575e-05,162697224000.0
1645344000000,2.573e-05,2.576e-05,2.495e-05,2.562e-05,141402367000.0
1645358400000,2.561e-05,2.605e-05,2.491e-05,2.554e-05,107420228000.0
1645372800000,2.553e-05,2.573e-05,2.528e-05,2.555e-05,81724371000.0
1645387200000,2.555e-05,2.626e-05,2.495e-05,2.547e-05,144376788000.0
1645401600000,2.547e-05,2.716e-05,2.529e-05,2.671e-05,166279316000.0
1645416000000,2.671e-05,2.753e-05,2.669e-05,2.741e-05,134034581000.0
1645430400000,2.741e-05,2.747e-05,2.565e-05,2.586e-05,164937884000.0
1645444800000,2.583e-05,2.718e-05,2.513e-05,2.656e-05,347480029000.0
1645459200000,2.657e-05,2.684e-05,2.554e-05,2.595e-05,241401959000.0
1645473600000,2.595e-05,2.616e-05,2.394e-05,2.405e-05,247691398000.0
1645488000000,2.405e-05,2.46e-05,2.312e-05,2.336e-05,165575132000.0
1645502400000,2.336e-05,2.411e-05,2.33e-05,2.364e-05,138381816000.0
1645516800000,2.363e-05,2.477e-05,2.349e-05,2.449e-05,118634890000.0
1645531200000,2.449e-05,2.527e-05,2.422e-05,2.475e-05,124179036000.0
1645545600000,2.476e-05,2.484e-05,2.406e-05,2.471e-05,102174796000.0
1645560000000,2.471e-05,2.509e-05,2.439e-05,2.494e-05,69643099500.0
1645574400000,2.494e-05,2.542e-05,2.458e-05,2.475e-05,141962787000.0
1645588800000,2.475e-05,2.528e-05,2.468e-05,2.519e-05,68906367000.0
1645603200000,2.519e-05,2.727e-05,2.517e-05,2.683e-05,220404631000.0
1645617600000,2.683e-05,2.737e-05,2.598e-05,2.618e-05,202021284000.0
1645632000000,2.617e-05,2.692e-05,2.564e-05,2.577e-05,213798608000.0
1645646400000,2.577e-05,2.594e-05,2.481e-05,2.486e-05,128982262000.0
1645660800000,2.486e-05,2.511e-05,2.252e-05,2.278e-05,325073895000.0
1645675200000,2.276e-05,2.306e-05,2.073e-05,2.203e-05,485468426000.0
1645689600000,2.201e-05,2.289e-05,2.115e-05,2.169e-05,266777306000.0
1645704000000,2.169e-05,2.298e-05,2.137e-05,2.286e-05,282460320000.0
1645718400000,2.286e-05,2.396e-05,2.227e-05,2.394e-05,314348817000.0
1645732800000,2.395e-05,2.529e-05,2.308e-05,2.384e-05,323125958000.0
1645747200000,2.384e-05,2.466e-05,2.376e-05,2.429e-05,201223395000.0
1645761600000,2.43e-05,2.433e-05,2.348e-05,2.382e-05,127985031000.0
1645776000000,2.381e-05,2.417e-05,2.303e-05,2.406e-05,147833866000.0
1645790400000,2.405e-05,2.496e-05,2.389e-05,2.466e-05,239057487000.0
1645804800000,2.465e-05,2.48e-05,2.406e-05,2.413e-05,133017336000.0
1645819200000,2.414e-05,2.509e-05,2.385e-05,2.486e-05,133673244000.0
1645833600000,2.486e-05,2.59e-05,2.477e-05,2.512e-05,161654029000.0
1645848000000,2.512e-05,2.531e-05,2.449e-05,2.492e-05,68101244000.0
1645862400000,2.492e-05,2.529e-05,2.427e-05,2.443e-05,116338171000.0
1645876800000,2.443e-05,2.493e-05,2.427e-05,2.472e-05,86107910000.0
1645891200000,2.471e-05,2.483e-05,2.436e-05,2.464e-05,57658999000.0
1645905600000,2.464e-05,2.509e-05,2.42e-05,2.444e-05,78866332000.0
1645920000000,2.444e-05,2.454e-05,2.339e-05,2.383e-05,134966005000.0
1645934400000,2.383e-05,2.437e-05,2.373e-05,2.422e-05,48592833000.0
1645948800000,2.422e-05,2.483e-05,2.404e-05,2.473e-05,81491431000.0
1645963200000,2.473e-05,2.502e-05,2.396e-05,2.463e-05,163291183000.0
1645977600000,2.463e-05,2.469e-05,2.304e-05,2.319e-05,80777990400.0
1645992000000,2.319e-05,2.381e-05,2.31e-05,2.342e-05,116768598000.0
1646006400000,2.342e-05,2.381e-05,2.281e-05,2.345e-05,106646246000.0
1646020800000,2.345e-05,2.406e-05,2.323e-05,2.39e-05,71004992600.0
1646035200000,2.39e-05,2.419e-05,2.367e-05,2.38e-05,56982528000.0
1646049600000,2.38e-05,2.515e-05,2.355e-05,2.507e-05,180633810000.0
1646064000000,2.506e-05,2.541e-05,2.456e-05,2.502e-05,110241964000.0
1646078400000,2.501e-05,2.6e-05,2.476e-05,2.579e-05,134883143000.0
1646092800000,2.579e-05,2.657e-05,2.537e-05,2.571e-05,129965950000.0
1646107200000,2.571e-05,2.615e-05,2.538e-05,2.598e-05,93720750000.0
1646121600000,2.598e-05,2.643e-05,2.547e-05,2.595e-05,130726906000.0
1646136000000,2.596e-05,2.858e-05,2.589e-05,2.707e-05,399261685000.0
1646150400000,2.707e-05,2.743e-05,2.633e-05,2.691e-05,143944618000.0
1646164800000,2.691e-05,2.727e-05,2.672e-05,2.709e-05,78654416000.0
1646179200000,2.709e-05,2.712e-05,2.603e-05,2.685e-05,153518252000.0
1646193600000,2.685e-05,2.715e-05,2.635e-05,2.658e-05,117549692000.0
1646208000000,2.658e-05,2.688e-05,2.639e-05,2.685e-05,75389204000.0
1646222400000,2.685e-05,2.719e-05,2.561e-05,2.622e-05,197898499000.0
1646236800000,2.623e-05,2.643e-05,2.555e-05,2.582e-05,84246280000.0
1646251200000,2.581e-05,2.628e-05,2.569e-05,2.59e-05,52404108000.0
1646265600000,2.59e-05,2.617e-05,2.557e-05,2.568e-05,56622270600.0
1646280000000,2.569e-05,2.586e-05,2.526e-05,2.566e-05,64737103000.0
1646294400000,2.565e-05,2.576e-05,2.532e-05,2.557e-05,34663288000.0
1646308800000,2.558e-05,2.612e-05,2.49e-05,2.514e-05,105708310000.0
1646323200000,2.514e-05,2.531e-05,2.45e-05,2.489e-05,77128437000.0
